actor.	3600	in	soa	v0n0.nic.actor. hostmaster.donuts.email. 1769302362 7200 900 1209600 3600
000.actor.	3600	in	ds	39200 8 2 4E339843A977FF93DA848C6DD46AF6001BE40A12367551BA6CA530B8DE74D408
000.actor.	3600	in	ns	dns200.anycast.me.
000.actor.	3600	in	ns	ns200.anycast.me.
000.actor.	3600	in	rrsig	DS 8 2 3600 20260207152300 20260117142300 36288 actor. dFfHvGas6UCdECWlM6bmSSggkVraLWQ7JM6gvvmyaVpMPMQSeVlv/X1Qwd0h3qqIbOhHEJwHg0Mha4+vVgcMS+DiyN5P2UrLig0Uoc03ckFPUbFTKVa/fuFglkMjlltWyQl+3UPFLC5GrZfQXQfiuyal7zAhRV/kEgdP5GbBjzU=
009.actor.	3600	in	ns	launch1.spaceship.net.
009.actor.	3600	in	ns	launch2.spaceship.net.
009bet.actor.	3600	in	ds	14175 13 2 800B8608BC871EA8328045C261422DDC16DE0F946880B9857DBB2A18B8B2A551
009bet.actor.	3600	in	ns	launch1.spaceship.net.
009bet.actor.	3600	in	ns	launch2.spaceship.net.
009bet.actor.	3600	in	rrsig	DS 8 2 3600 20260207152300 20260117142300 36288 actor. dbM6lVBRNuJ4ItqrXA69+6W1q6K3oXIwuBS3+ys+zN0yuwBErXmrZfwSwbHsmt3qMEhII29EfvJv83TtPkwkbj5wsvL4CPMT72nO5e/n+/6S4TkhIvjs60z9dsD9cj70s8JMvnyKZ/ISIUG4VZqRs4wVAsihZDK1vK3KvfnJLog=
07t8d6vmvq3eae83h2un9a31r0seri3v.actor.	3600	in	nsec3	1 1 0 73 0J3VBMBFMEG2QKA0L6ILKG9Q2IMJJINN NS DS RRSIG
07t8d6vmvq3eae83h2un9a31r0seri3v.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. vGhBsb7J6WaDHWZDFDIHm64SeMBRS1EZAxQP8NgtrN3rT5TbekY5k+B0PUJCJLXpbLlheUEE6zrHo5dnveFAF5Et/dfj0DXCjs+OQIEhS13WC6rDtFgtKgdd4qqlaOUc/oU3lCQig9SzJFhNaaUVWP1GPXk4gsD3UlCXXR3n8Xw=
0j3vbmbfmeg2qka0l6ilkg9q2imjjinn.actor.	3600	in	nsec3	1 1 0 73 13NF2AIHJN121E5NQJO9CQ4U2DGFI0FM NS DS RRSIG
0j3vbmbfmeg2qka0l6ilkg9q2imjjinn.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. ST0+bkHiuvvuKdU7jUqMPPV3PaTahEv4RO9CRtymgjqVUzLvPm8/3m62+OgYc1WrhxuIHRWmr283WrY7mRBxzubt8YVvnKW0F7hZ+Gx+NNLt458CU9KFhjyIFsKg0sygNqH6fbiSHs6AL8sFGx+fxdcoHj52lE9q1TmCss3fy5Y=
1111.actor.	3600	in	ns	ns1.sedoparking.com.
1111.actor.	3600	in	ns	ns2.sedoparking.com.
