army.	3600	in	soa	v0n0.nic.army. hostmaster.donuts.email. 1759366088 7200 900 1209600 3600
00030.army.	3600	in	ns	ns1.netsto.net.
00030.army.	3600	in	ns	ns2.netsto.net.
00031.army.	3600	in	ns	ns1.netsto.net.
00031.army.	3600	in	ns	ns2.netsto.net.
0008.army.	3600	in	ns	ns1.netsto.net.
0008.army.	3600	in	ns	ns2.netsto.net.
003.army.	3600	in	ns	ns1.dyna-ns.net.
003.army.	3600	in	ns	ns2.dyna-ns.net.
003376.army.	3600	in	ns	ns1.dyna-ns.net.
003376.army.	3600	in	ns	ns2.dyna-ns.net.
00486.army.	3600	in	ns	n1.xundns.com.
00486.army.	3600	in	ns	n2.xundns.com.
00759.army.	3600	in	ns	ns1.dyna-ns.net.
00759.army.	3600	in	ns	ns2.dyna-ns.net.
00898.army.	3600	in	ns	ns1.dyna-ns.net.
00898.army.	3600	in	ns	ns2.dyna-ns.net.
01019.army.	3600	in	ns	ns1.dnsip.com.
01019.army.	3600	in	ns	ns2.dnsip.com.
01278.army.	3600	in	ns	n1.xundns.com.
01278.army.	3600	in	ns	n2.xundns.com.
01480.army.	3600	in	ns	n1.xundns.com.
01480.army.	3600	in	ns	n2.xundns.com.
01602.army.	3600	in	ns	n1.xundns.com.
01602.army.	3600	in	ns	n2.xundns.com.
01994.army.	3600	in	ns	ns1.dnsip.com.
01994.army.	3600	in	ns	ns2.dnsip.com.
020942.army.	3600	in	ns	ns1.sedoparking.com.
020942.army.	3600	in	ns	ns2.sedoparking.com.
02126.army.	3600	in	ns	ns1.dyna-ns.net.
02126.army.	3600	in	ns	ns2.dyna-ns.net.
02352.army.	3600	in	ns	ns1.dyna-ns.net.
02352.army.	3600	in	ns	ns2.dyna-ns.net.
02424.army.	3600	in	ns	ns1.dyna-ns.net.
02424.army.	3600	in	ns	ns2.dyna-ns.net.
02453.army.	3600	in	ns	ns1.dyna-ns.net.
02453.army.	3600	in	ns	ns2.dyna-ns.net.
02617.army.	3600	in	ns	ns1.dyna-ns.net.
02617.army.	3600	in	ns	ns2.dyna-ns.net.
02654.army.	3600	in	ns	ns1.dyna-ns.net.
02654.army.	3600	in	ns	ns2.dyna-ns.net.
02950.army.	3600	in	ns	ns1.dyna-ns.net.
02950.army.	3600	in	ns	ns2.dyna-ns.net.
02976.army.	3600	in	ns	ns1.dyna-ns.net.
02976.army.	3600	in	ns	ns2.dyna-ns.net.
03093.army.	3600	in	ns	ns1.dns.com.
03093.army.	3600	in	ns	ns2.dns.com.
03654.army.	3600	in	ns	ns1.dyna-ns.net.
03654.army.	3600	in	ns	ns2.dyna-ns.net.
03665.army.	3600	in	ns	ns1.dyna-ns.net.
03665.army.	3600	in	ns	ns2.dyna-ns.net.
03694.army.	3600	in	ns	ns1.dyna-ns.net.
