baby.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1767659415 900 1800 6048000 3600
000.baby.	3600	in	ns	curitiba.ns.porkbun.com.
000.baby.	3600	in	ns	fortaleza.ns.porkbun.com.
000.baby.	3600	in	ns	maceio.ns.porkbun.com.
000.baby.	3600	in	ns	salvador.ns.porkbun.com.
0000.baby.	3600	in	ns	dns1.registrar-servers.com.
0000.baby.	3600	in	ns	dns2.registrar-servers.com.
0007.baby.	3600	in	ns	ns1.dyna-ns.net.
0007.baby.	3600	in	ns	ns2.dyna-ns.net.
001.baby.	3600	in	ns	frida.ns.cloudflare.com.
001.baby.	3600	in	ns	glen.ns.cloudflare.com.
002700759.baby.	3600	in	ds	7730 13 2 E5298338FA1393ECBFCC9A9EA4FA2BCFE4B4DC4D26F8BF7604E135704A94970D
002700759.baby.	3600	in	ns	launch1.spaceship.net.
002700759.baby.	3600	in	ns	launch2.spaceship.net.
002700759.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. CcijP6n9CBn/kXe552vp9zkoLe19wxN9qv7bz51BhcOE3Zxuj6rL2W5g1p/2bZl1YAHp1NeaL7HYeYO257LbrpgA/4O7r+1s1wnwQdzRMtVkajxr2euK2r1D93WT7g0rafFAQTuLHOvM9XFO5EuIvQlOIrTbOyg4FldHn1AyUTo=
003.baby.	3600	in	ns	dns25.hichina.com.
003.baby.	3600	in	ns	dns26.hichina.com.
004635309.baby.	3600	in	ds	9621 13 2 25E6F2BCFA7F4F6D3ACA74EB54C78E18C360FA01B1AE247AF51A4DE77CD0AF98
004635309.baby.	3600	in	ns	launch1.spaceship.net.
004635309.baby.	3600	in	ns	launch2.spaceship.net.
004635309.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. 0mzYhAfsTalBNtcqhpHmzQhyDNyVzNv3w7mWTG8/oEUK6IWp4+jYjmorMbSb9G979BjH2rpofuFvncvOsvoLn5TzS0kxf1PpmPFHxxm03dk4U471t+Ye6Ci6iU36NSOySEd7o6uOd+QwXYjO9jNHiA6UzCq5Kd8GdgggKhTT2Aw=
007211878.baby.	3600	in	ds	278 13 2 6A3E6B7E918F35436926B25F819DF79A136B1F2CF347E6128A8905F6112AEE1B
007211878.baby.	3600	in	ns	launch1.spaceship.net.
007211878.baby.	3600	in	ns	launch2.spaceship.net.
007211878.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. FriXJG2tnLxH+ErOOeyx8wH7UGeBj94fNJVgRC5gBkbo3yZ394t+Q+jXSxZGEHCKTnLrv8krr1vtGeHRGvKC1M1dXJ9HKCH+6sSYdLAKpLtha/uNACvVLOcKcl4lcAEAnuY/TM8Hk5c7scWOhnxnNE22kJBbTDqwLqEtgdM8+vQ=
007610241.baby.	3600	in	ds	50984 13 2 39055F45B754434A42B09F5B3537624F2F5BD55A425769296A7DE96D280F3C35
007610241.baby.	3600	in	ns	launch1.spaceship.net.
007610241.baby.	3600	in	ns	launch2.spaceship.net.
007610241.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. m/avW+pBxMsbh9dbNIsbDy4w0OfBm85My2swTWPZ0nJgYRsdwwzn4q+rKZt4dF4cdN/rnLdUGbsVAxzr7MF12unPQl3HpRNe6m74I0PbsIEqrQ63EnhZ/jO2tH5vcFwSgTF2NZoDLNsX2PgA/KU1WO8WOoxFTge6TPb9dAHDfKY=
007o4j2h61c2ckji2jll6br5j599qecu.baby.	900	in	nsec3	1 1 0 - 00JJH30GDD8M90V4MF3BTQ3VEK0R75EN NS DS RRSIG
007o4j2h61c2ckji2jll6br5j599qecu.baby.	900	in	rrsig	NSEC3 8 2 900 20260202150930 20260103133930 55701 baby. YqT7fMF8cqFe6cH1J9gPlTbv9Xy9qOUgkK+xMu9I2T7G124hU5yVr9aJrWVol6hMUNRzVJST2t9PckllJad5naq4d/gsZBxc37uFYX/Y47qdW5qoDL1QbH9bN2SYy2Yb0e2nlc2QYOCKG/rvPwhvIxDFXP48uAQ4ySIb1cObYLQ=
008.baby.	3600	in	ns	ns1.afternic.com.
008.baby.	3600	in	ns	ns2.afternic.com.
008015539.baby.	3600	in	ds	29608 13 2 7A6D10223504D4625046EDC7E60CF8A7B82E1E6DDC29DE59B4EA310159FB4A70
008015539.baby.	3600	in	ns	launch1.spaceship.net.
008015539.baby.	3600	in	ns	launch2.spaceship.net.
008015539.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. IaEwRdXSujuUZn4dB4p/pj4vsFwWo5kF84P9pphuM9za4NuaJSd323Y88NiClnFH9nwXwvz8SQ3IuPQDu3yb92Kt/DHejJQM0EeY2VRdszFIfQnwslaMdEj5x0xXbweNikr/+oyeATYjJQXzBxec6cetPxLOmQl7+bAIl1KXMPs=
008xile.baby.	3600	in	ns	dns23.hichina.com.
008xile.baby.	3600	in	ns	dns24.hichina.com.
009.baby.	3600	in	ns	ns1.dyna-ns.net.
009.baby.	3600	in	ns	ns2.dyna-ns.net.
009bet.baby.	3600	in	ns	elmo.ns.cloudflare.com.
009bet.baby.	3600	in	ns	melany.ns.cloudflare.com.
00a.baby.	3600	in	ns	julio.ns.cloudflare.com.
00a.baby.	3600	in	ns	rosalie.ns.cloudflare.com.
00jjh30gdd8m90v4mf3btq3vek0r75en.baby.	900	in	nsec3	1 1 0 - 00ONPS56GM6HD5ACH86P07G7G27COEKP NS DS RRSIG
