bar.	86400	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1757552443 1800 900 604800 300
00001.bar.	900	in	ns	vip7.alidns.com.
00001.bar.	900	in	ns	vip8.alidns.com.
00002.bar.	900	in	ns	vip7.alidns.com.
00002.bar.	900	in	ns	vip8.alidns.com.
00003.bar.	900	in	ns	vip7.alidns.com.
00003.bar.	900	in	ns	vip8.alidns.com.
00004.bar.	900	in	ns	vip7.alidns.com.
00004.bar.	900	in	ns	vip8.alidns.com.
00005.bar.	900	in	ns	vip7.alidns.com.
00005.bar.	900	in	ns	vip8.alidns.com.
00006.bar.	900	in	ns	vip7.alidns.com.
00006.bar.	900	in	ns	vip8.alidns.com.
00007.bar.	900	in	ns	vip7.alidns.com.
00007.bar.	900	in	ns	vip8.alidns.com.
00008.bar.	900	in	ns	vip7.alidns.com.
00008.bar.	900	in	ns	vip8.alidns.com.
00009.bar.	900	in	ns	vip7.alidns.com.
00009.bar.	900	in	ns	vip8.alidns.com.
00010.bar.	900	in	ns	vip7.alidns.com.
00010.bar.	900	in	ns	vip8.alidns.com.
00011.bar.	900	in	ns	vip7.alidns.com.
00011.bar.	900	in	ns	vip8.alidns.com.
00012.bar.	900	in	ns	vip7.alidns.com.
00012.bar.	900	in	ns	vip8.alidns.com.
00013.bar.	900	in	ns	vip7.alidns.com.
00013.bar.	900	in	ns	vip8.alidns.com.
00014.bar.	900	in	ns	vip7.alidns.com.
00014.bar.	900	in	ns	vip8.alidns.com.
00015.bar.	900	in	ns	vip7.alidns.com.
00015.bar.	900	in	ns	vip8.alidns.com.
00017.bar.	900	in	ns	ns1.dnsip.com.
00017.bar.	900	in	ns	ns2.dnsip.com.
001.bar.	900	in	ns	dns01.gmoserver.jp.
001.bar.	900	in	ns	dns02.gmoserver.jp.
00114.bar.	900	in	ns	ns1.dnsip.com.
00114.bar.	900	in	ns	ns2.dnsip.com.
00376.bar.	900	in	ns	n1.xundns.com.
00376.bar.	900	in	ns	n2.xundns.com.
00430.bar.	900	in	ns	n1.xundns.com.
00430.bar.	900	in	ns	n2.xundns.com.
0055.bar.	900	in	ns	gigi.ns.cloudflare.com.
0055.bar.	900	in	ns	jasper.ns.cloudflare.com.
00586.bar.	900	in	ns	ns1.dnsip.com.
00586.bar.	900	in	ns	ns2.dnsip.com.
00688.bar.	900	in	ns	ns1.dnsip.com.
00688.bar.	900	in	ns	ns2.dnsip.com.
007win.bar.	900	in	ns	matt.ns.cloudflare.com.
007win.bar.	900	in	ns	veda.ns.cloudflare.com.
00889.bar.	900	in	ns	ns1.dns.com.
00889.bar.	900	in	ns	ns2.dns.com.
009.bar.	900	in	ns	cullen.ns.cloudflare.com.
009.bar.	900	in	ns	elisabeth.ns.cloudflare.com.
00984.bar.	900	in	ns	ns1.dnsip.com.
00984.bar.	900	in	ns	ns2.dnsip.com.
009casino.bar.	900	in	ns	betty.ns.cloudflare.com.
009casino.bar.	900	in	ns	yichun.ns.cloudflare.com.
00video.bar.	900	in	ns	ns1.afternic.com.
00video.bar.	900	in	ns	ns2.afternic.com.
00viplgp692fo803ifpvtmbs9j9q8jj1.bar.	300	in	nsec3	1 1 0 - 02T2EM7LA76SB8TJ63IFMCJFPEPMICRT NS DS RRSIG
00viplgp692fo803ifpvtmbs9j9q8jj1.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. tVVwuA+eNZb70BhJorGkLlMHMtDNFt8+/rYEEhxKnF9u+4Nzd0cE76yLcKWLkJICvTjv5UkIWc8ZSW+btFuYpA==
01-bca.bar.	900	in	ns	carl.ns.cloudflare.com.
01-bca.bar.	900	in	ns	nucum.ns.cloudflare.com.
010.bar.	900	in	ns	celeste.ns.cloudflare.com.
010.bar.	900	in	ns	pablo.ns.cloudflare.com.
0101.bar.	900	in	ns	ns77.domaincontrol.com.
0101.bar.	900	in	ns	ns78.domaincontrol.com.
0101111.bar.	900	in	ns	ns11.domaincontrol.com.
0101111.bar.	900	in	ns	ns12.domaincontrol.com.
0101777.bar.	900	in	ns	ns35.domaincontrol.com.
0101777.bar.	900	in	ns	ns36.domaincontrol.com.
0101btc.bar.	900	in	ns	ns31.domaincontrol.com.
0101btc.bar.	900	in	ns	ns32.domaincontrol.com.
01039.bar.	900	in	ns	ns1.dnsip.com.
01039.bar.	900	in	ns	ns2.dnsip.com.
01045.bar.	900	in	ns	ns1.dnsip.com.
01045.bar.	900	in	ns	ns2.dnsip.com.
01109.bar.	900	in	ns	ns1.dnsip.com.
01109.bar.	900	in	ns	ns2.dnsip.com.
01165.bar.	900	in	ns	ns1.dns.com.
01165.bar.	900	in	ns	ns2.dns.com.
01166.bar.	900	in	ns	n1.xundns.com.
01166.bar.	900	in	ns	n2.xundns.com.
01190.bar.	900	in	ns	ns1.dns.com.
01190.bar.	900	in	ns	ns2.dns.com.
0123movies.bar.	900	in	ns	damian.ns.cloudflare.com.
0123movies.bar.	900	in	ns	lovisa.ns.cloudflare.com.
01285.bar.	900	in	ns	ns1.dnsip.com.
01285.bar.	900	in	ns	ns2.dnsip.com.
01608.bar.	900	in	ns	ns1.dnsip.com.
01608.bar.	900	in	ns	ns2.dnsip.com.
01683.bar.	900	in	ns	n1.xundns.com.
01683.bar.	900	in	ns	n2.xundns.com.
01696.bar.	900	in	ns	ns1.dnsip.com.
01696.bar.	900	in	ns	ns2.dnsip.com.
01921.bar.	900	in	ns	ns1.dnsip.com.
01921.bar.	900	in	ns	ns2.dnsip.com.
01e.bar.	900	in	ns	core.freed.network.
01e.bar.	900	in	ns	wave.freed.network.
01e.bar.	900	in	ns	wing.freed.network.
02042.bar.	900	in	ns	ns1.dnsip.com.
02042.bar.	900	in	ns	ns2.dnsip.com.
02179.bar.	900	in	ns	n1.xundns.com.
02179.bar.	900	in	ns	n2.xundns.com.
022030.bar.	900	in	ns	ns1.dnsip.com.
022030.bar.	900	in	ns	ns2.dnsip.com.
02226.bar.	900	in	ns	ns1.dnsip.com.
02226.bar.	900	in	ns	ns2.dnsip.com.
02468.bar.	900	in	ns	hank.ns.cloudflare.com.
02468.bar.	900	in	ns	lucy.ns.cloudflare.com.
025001.bar.	900	in	ns	n1.xundns.com.
025001.bar.	900	in	ns	n2.xundns.com.
025003.bar.	900	in	ns	n1.xundns.com.
025003.bar.	900	in	ns	n2.xundns.com.
025004.bar.	900	in	ns	n1.xundns.com.
025004.bar.	900	in	ns	n2.xundns.com.
025006.bar.	900	in	ns	n1.xundns.com.
025006.bar.	900	in	ns	n2.xundns.com.
025007.bar.	900	in	ns	n1.xundns.com.
025007.bar.	900	in	ns	n2.xundns.com.
025008.bar.	900	in	ns	n1.xundns.com.
025008.bar.	900	in	ns	n2.xundns.com.
025009.bar.	900	in	ns	n1.xundns.com.
025009.bar.	900	in	ns	n2.xundns.com.
025010.bar.	900	in	ns	n1.xundns.com.
025010.bar.	900	in	ns	n2.xundns.com.
025012.bar.	900	in	ns	n1.xundns.com.
025012.bar.	900	in	ns	n2.xundns.com.
025013.bar.	900	in	ns	n1.xundns.com.
025013.bar.	900	in	ns	n2.xundns.com.
025014.bar.	900	in	ns	n1.xundns.com.
025014.bar.	900	in	ns	n2.xundns.com.
025015.bar.	900	in	ns	n1.xundns.com.
