bayern.	86400	in	soa	anycast9.irondns.net. dnsmaster.irondns.net. 2509120103 7200 7200 604800 7200
000.bayern.	86400	in	ns	nsa8.schlundtech.de.
000.bayern.	86400	in	ns	nsb8.schlundtech.de.
000.bayern.	86400	in	ns	nsc8.schlundtech.de.
000.bayern.	86400	in	ns	nsd8.schlundtech.de.
0008cp8d8h7jgqmddh0kciot4gousac0.bayern.	43200	in	nsec3	1 0 0 - 002S0LDFQ8L8UO0QR63FBTNJIRGC2058 NS
0008cp8d8h7jgqmddh0kciot4gousac0.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. aE4NzZzvJbEbji2VLqRIMYLIF3NJ7/Nf4YeXoQFefs6hIVD9eEU4nM59IDM8j6yDXWAAEfDtejvoPFjXIya5eRbFe/ABmqyuf0Pphwi3iw1kbIlMyIbQDBX7zsqeEL4hzYSOk+TwzczMN3NHUS26OdJn8hLo9l6XRh0uyenM8sGknnehjIrhVR8TNWzKEbZnXuuIakuO1DcCKJCcIYmcQQ==
002s0ldfq8l8uo0qr63fbtnjirgc2058.bayern.	43200	in	nsec3	1 0 0 - 003V242NNO6B91PPGTFR54RC820DVKQU NS
002s0ldfq8l8uo0qr63fbtnjirgc2058.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. pNDuMyy2bFy5idYhEAbvc7Vmfv9Wn6OzMZ7YHDIAl8o3Onr1T1q4zK7fv96Mfgq8LSl8bFGBNpxVMKdg4HCTMlmW527fw0jSZ/SmMFG/Un1K/zqmgpOKOeHw0iXJjFJpOwncrKm9G7BNiN2wKPywupC2RdcfGCccOmJJfRTCGGnnJ5SaUpTF1CFjx7URNiY6RKZj4C0esIC6ZM1sigTyqw==
003v242nno6b91ppgtfr54rc820dvkqu.bayern.	43200	in	nsec3	1 0 0 - 005589S7TFD5K419B3CFL9GG5DLL628O NS
003v242nno6b91ppgtfr54rc820dvkqu.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. ogrzFAWy45XGRN1x/7N3qNP53xQtY39NbOWiPATq1gfOvAN+96HHN2c0tzcUdDPdW00Q/hO7fZLu8CgeR6JwqgW258MpfrhcAH9kG/1gMx7UJ8dCqb2XmauL+VCflgni+fXsGwvyPjJnA3eJbL0Gpea7zP+ot4U1tASLgd6cr9VXe3hytttgDex1/zwpebS3fd1l28Sdc0+PwrPyDFhNig==
005589s7tfd5k419b3cfl9gg5dll628o.bayern.	43200	in	nsec3	1 0 0 - 0057TCGA35H7EN9CRO4VTBQR2SUAL0JU NS
005589s7tfd5k419b3cfl9gg5dll628o.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Mn+hr7CxTMMM12AmbmTfvdiTbrfl08exwaD7NB3F7c1G8hXEmwjcxFzB2BWodTGIo+z1w6z1Favtzx/0YAKrU7ZgdL8LMBWj9lX9x5sYehautQP+Eewuytp+KlGK37K9l5jCs2LAKaWr0rwm6qRus5fb075veGur0cWzRqrROZL+g5Hqs6PbpCdszpL6j3SsnPmtL9S3pbeZKZREVrg2OA==
0057tcga35h7en9cro4vtbqr2sual0ju.bayern.	43200	in	nsec3	1 0 0 - 0070FQ4BOLDTIHBVANGUSGGQ5R4JC8U7 NS
0057tcga35h7en9cro4vtbqr2sual0ju.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. FwzP4ogtXabfhPsXkh4bw9DxosoTX/dWH6VQcF20buXTL4Xu9b3scZc3eiO3vDoOYSzn/b6k0BMDmdat0C85WmuC4PuZPK7XzcJraGkPd+0flH9IDb8ACcyWJ/RlXXtQH2kiMclK1/0WBB9MazlX/k9hIbdRV71KRW0BJ8+N0ahhaLBZqT/UE7d0tuUGSxHQSJ2IrTzfRQwm4d/M2mC8zg==
0070fq4boldtihbvangusggq5r4jc8u7.bayern.	43200	in	nsec3	1 0 0 - 0077BCQMB64P5ODOA0PFHEDMUV8NRDO9 NS
