beauty.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1759364031 900 1800 6048000 3600
0000.beauty.	3600	in	ns	ns1.edgeonedy1.com.
0000.beauty.	3600	in	ns	ns2.edgeonedy1.com.
0000.beauty.	3600	in	ns	ns3.edgeonedy1.com.
0012977050.beauty.	3600	in	ds	21337 13 2 91E5473CC61C087EAF7F05E230A60B2D3688E220A2A27A0A459EE80EA40963D3
0012977050.beauty.	3600	in	ns	launch1.spaceship.net.
0012977050.beauty.	3600	in	ns	launch2.spaceship.net.
0012977050.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. Q2zScXhBSNg8CnjSkI1fhd8mtlJKQBvBBNco+GNMeh2cSvvNS3KbJ9ftUku7eyPTK2mHayuclk6gYrwWvd4j0BSz/bT2Wjo8uk3llT80S3oO6zaeNh7j+OU8w2mJM9uqSyp+WBfgSUvPdvA9hiK8xUnfxGzuuy+gBC9B76FhEvCzoJn9PX+Y9NMN9tKLeVeZhe3blfc2MR3fk2y0Ko54vA==
001fn.beauty.	3600	in	ns	eloise.ns.cloudflare.com.
001fn.beauty.	3600	in	ns	paul.ns.cloudflare.com.
0026388935.beauty.	3600	in	ds	63510 13 2 F4C001EDF45CC6385116A8E2D7DD63B8501811561A58EC778A8D04B459A9E956
0026388935.beauty.	3600	in	ns	launch1.spaceship.net.
0026388935.beauty.	3600	in	ns	launch2.spaceship.net.
0026388935.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. eYzm8njld6YERNibJ/wpd1AkBXIb8rtr5zs6vd/JbXdtTOQt7YbRi6i56kw1qwOAyHOcEFIxfi8PVWAM37qfLxbLb1IeTWtGUVnrZ9i+Qowf38LDR87MrXfSANCz003YbW6Ji8LyKXMxmPl+NQn5ZxkDfWmUpZmPBHxKg+Fj/7SrjHNkXmCyb6xqrqjItkDv8rwETpgMGdjYfARNnnoJ1Q==
003vvni8rmvbnihuf3ahpggmdvrv3gpg.beauty.	900	in	nsec3	1 1 0 - 00G5042EOQ054PSI1IOUEEU9GNR017MH NS DS RRSIG
003vvni8rmvbnihuf3ahpggmdvrv3gpg.beauty.	900	in	rrsig	NSEC3 8 2 900 20251031150712 20251001133712 39090 beauty. hOq3Reb03f4ChQCw3+N1+/ZBiSddhytVX+VyaOmJSaJLtmjYodqhsvLBnUui6mNWcb9AQ89UUywOwUzf/jML5yf6yFBEFDFDgLnuu0D7y6rK5GXFNDxR5jx3ApkoHzJTIX7D2Cw6kqckoKzf8cu3NkIYXeacqqhkOTb++ClwUun3+x8GHrXEVW9iMuGreQU25JL68oiQ8VV+wHKgqqimQg==
00435242.beauty.	3600	in	ds	17758 13 2 0662AC39412CB78F695C9768758F38CAD2526C32C59B8A73D6A8C820F7AA370B
00435242.beauty.	3600	in	ns	launch1.spaceship.net.
00435242.beauty.	3600	in	ns	launch2.spaceship.net.
00435242.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. oPf5Wgp8c8sJFL//hEhxcM0slw/ItmMtH+c05LUmrlU1J4fPtyn6laSr+FkrciX5OHlvHarpVkkNt1RH2/CMPGXBZlwrgq9ybXVEcfE1cgKkTJem+9OEW+Yuy3rDbdoOEhw+HiSmBlPPJKizmttJ+K8QCXcMsftIUXOLQ6ejdkt9YnL3OlxdSXMxzrvuK/3fol+Vij7Q5jemBrH4bcvj8Q==
0047261508.beauty.	3600	in	ds	4353 13 2 1D8169018EF88F27C6DBE3FDD4E080309E118DEEB8B79EC37318260E4159D55E
0047261508.beauty.	3600	in	ns	launch1.spaceship.net.
0047261508.beauty.	3600	in	ns	launch2.spaceship.net.
0047261508.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. CadIXqde2dTeqKAYTh+TJ3aD+9FRddlAGjZ18ooKYM+BkED+gArj4CJejQP4tQOOCb1Oe8JN2w1hhgTsxOBVSgC3WgZ3hPqitOLPx5R8AaYhW5UBiSKA3rvMAyhTfOjnV52gtWCCse+zJKAZThyqN/Z/FbRCTSNbX830sx2EIK+aeUhPA3FhveFczWu4LhRh9J10icPas4Bk52FzDWw1fg==
0058016605.beauty.	3600	in	ds	30559 13 2 C69003BD3C812D8C7881B73CFEC0484B7F7EBC1C338DF1054C2BCF9E781DF9AE
0058016605.beauty.	3600	in	ns	launch1.spaceship.net.
0058016605.beauty.	3600	in	ns	launch2.spaceship.net.
0058016605.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. mgtGUXwGdx4EICOPR3UWsXVVEgTuhlG7f+vegENnACDsZ1Z3BShEc5xV/lpmGfYEDro4mnPFN40Ybrnb3vWZGh3FHZ0yyWnwptDO3Jsl2q5qjROM6Wrj0p4DjDsQRhheh2Lx/RnGrVl4EUi3tVxBt8bvAJ1crLolyurODuqaKtrP8BgRyCbVC9b4I0hxxzabBZHh0pAFmv1gaZd0GF2MfQ==
0065108900.beauty.	3600	in	ds	34524 13 2 206137FC5A5438F1DC0E6B74462BE37C0C12396B2D79CCF7206A757E89E07434
0065108900.beauty.	3600	in	ns	launch1.spaceship.net.
0065108900.beauty.	3600	in	ns	launch2.spaceship.net.
0065108900.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. F8vXKS/ZopLBW9brRBSok8uACwbSt0els6Of1UOmOZqc399+4nXUn4UtiAcldVJXDlkhLFpU+sI6wAm+k4AhxHJPy1lm2yKwo3TQjAsyPgtXG6IPkqk9zNRVrDFSU1Kw23egUQpBmYLfEfG+BxO4XyrvYzR9yyoqpTaT8OQY35IaijQ3XUlnf3O/sxkfCi0v+HOVKfeReV+LmezjIbzM/g==
0066406276.beauty.	3600	in	ds	61491 13 2 5F2425405C9E1ACFE18030371D5670367A33B8E4398C87FCCB15A8913C5FEE37
0066406276.beauty.	3600	in	ns	launch1.spaceship.net.
0066406276.beauty.	3600	in	ns	launch2.spaceship.net.
0066406276.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. IskD4lQPGJEUSBuUJ8EfAtDju3WHcv4bCdSu13oxjvtEZZnsYUCTICc62Iyob5VdOnWQIg6Z+bxr4rTBE6t1nfAujFxNA3Tz3VqjeoB1lCDAaTiJPCIGzy9udjPffBDRbYMzjuBmTuO/R3k5hGu5U3iX8gKyyOpZBA6KR81NKbdMK4dDVjYC9hmNpan3mO0Lvk6IyJyoTKQq8/cBdDpqQQ==
007.beauty.	3600	in	ns	ns1.hosting.reg.ru.
007.beauty.	3600	in	ns	ns2.hosting.reg.ru.
007win.beauty.	3600	in	ns	expire1.gname-dns.com.
007win.beauty.	3600	in	ns	expire2.gname-dns.com.
0082836746.beauty.	3600	in	ds	48159 13 2 6FDC97C74ED24CDFCE3F0927894E6F07188684245B09545D0F3B5B9B3EC81BC8
0082836746.beauty.	3600	in	ns	launch1.spaceship.net.
0082836746.beauty.	3600	in	ns	launch2.spaceship.net.
0082836746.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. BENWtEWVT075UB71jKhaVdiLyfIUjJh5AozEmDX0nE0cS0a08E3SltTV7w7n7PiC7rmu7ZYjM1T1x5IBhba4KpqpVD/r1Cc/LuMMrAidrqYSCAT6nXKTqeyAukwc0Axs0goJFY8iwwni2eMsURprpv7MZdlQcV4kB1XfvqaIlcY6BDaElCI4K/PzVIMPUgR+L5Duz7/aPOJwxH7Tq4v+3g==
0087686566.beauty.	3600	in	ds	4517 13 2 8CB8E2CC2485A4D1DF5717409E462A3AE21B782C5073EBFDAEAA86F3DDAD0870
0087686566.beauty.	3600	in	ns	launch1.spaceship.net.
0087686566.beauty.	3600	in	ns	launch2.spaceship.net.
0087686566.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. muB8ojkNjh6ps9+LYoLM4rUpb3vol6oTpYoIWtbXq/59dWdMgQisdtuSN4VG+Z9UqnC2K44t7JiXmfUAmF+VA9UzhnAifkH1fM3aezuKC6DKzY2jT5Ke6umOXMc4D/tnsKH/+znyCt1yJh3uLs13vvb6v7Yc+yZ2uhZIZ3OuktpdDtcLqZaELmXv9LuvGnzQZnJgJJ7AM8inKgyN5fAiVg==
008dl.beauty.	3600	in	ns	kim.ns.cloudflare.com.
008dl.beauty.	3600	in	ns	yichun.ns.cloudflare.com.
0095572462.beauty.	3600	in	ds	7648 13 2 65BE0322B4D8F562E364DE243E660C2F8D307542DC5FA6272895824CE0F52019
0095572462.beauty.	3600	in	ns	launch1.spaceship.net.
0095572462.beauty.	3600	in	ns	launch2.spaceship.net.
0095572462.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. sFzTaaEULkt/34oRUdfX5mumwXej6t9YJC66AYCFg6itVytf9xiHMK6FiAa8xtDr1J8tx6IiuNWsns01HA+7m9gqTs7G+t1IVLPxFfbSxocNLDL7l7NZkqbOFjFMwVSATgi7D/N1w2jwhtKL5X4wJfwMHl4jonISPZWofiJwPyJSGkqWooLt4BqHpN+hqUb106mPND7pSyVFRcG8ftVHzQ==
0098849365.beauty.	3600	in	ds	52557 13 2 7A17AC688509820787EBDB1E9460187A45CDF480C5217136EA7DCB003A6C9C4B
0098849365.beauty.	3600	in	ns	launch1.spaceship.net.
0098849365.beauty.	3600	in	ns	launch2.spaceship.net.
0098849365.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. c4spft14xSrZ+KS1cnrYlLH5l1q1yFzSwvheIxFO8qKLdWQ6Q3qNjUjq3ixcIKwTVwWLQyGvae6LVZ8FYnNGcpvu143vBCh5YcfB/EVBTfaI6V2jstZt0QjkQgIy9DmAGtGdlljx53B7VdL32srmg2rGyIKzPeLs2tHHpAMPXXiwB3elCXJBrRnUoakHCCV9fG1DGfK1UAlw4MhWeN4fgQ==
