beer.	900	in	soa	a.nic.beer. admin.tldns.godaddy. 1757032370 1800 300 604800 1800
0.beer.	3600	in	ns	ns3.afternic.com.
0.beer.	3600	in	ns	ns4.afternic.com.
0017446691.beer.	3600	in	ds	1995 13 2 B983319C3DCA195BEB6EF2BED611493F656FE907898BDCAA1A0F723F295540EA
0017446691.beer.	3600	in	ns	launch1.spaceship.net.
0017446691.beer.	3600	in	ns	launch2.spaceship.net.
0017446691.beer.	3600	in	rrsig	DS 8 2 3600 20250916195057 20250902194751 21996 beer. KG+1BGm3+4RAy/3xxg7UfSlBPz+Ie85NI2+lddn9KgfkuaJxukgvCAE1yS3z8T/pC7tAGEqBjdwFT/iLGPUSQcbCRG6UiltgTiwvVbAFfbm9Tf/DvZdYtTaFHrxYF4PkUnJctS20Ctc1f1scQyJB4HyJHqwjkpSet7m8ZEMexB2lvkZKIcUxA557ADElXXFGy0UJFAX1z22veXQeqBVuBg==
0017957603281.beer.	3600	in	ds	23458 13 2 D3C0504CF17118B527A13514EAA7ED818D479A8185DE7F73602FF9669DD19014
0017957603281.beer.	3600	in	ns	launch1.spaceship.net.
0017957603281.beer.	3600	in	ns	launch2.spaceship.net.
0017957603281.beer.	3600	in	rrsig	DS 8 2 3600 20250915015101 20250901014808 21996 beer. grqYNo9jbZ2D/HPLXcwETr0QcWUiJ4pytuldMbI4IW84+Kq5zM3ThBPTFrCVwbfajejSYT+VWI3IvCSxnr1GRItraXp8POg0ZfmNQndrutTO0ayMhEJ2rU0S66f6/Aao/xWDBpwXbikp+scGfGNrKZ2pOiS7diPTRM6qQMSuM/CMFKMQHwORdp2FxpCY9g6hianL5uZYEpePaZKGIEXcvw==
00187215.beer.	3600	in	ds	23708 13 2 E0E2024595A1F94A0CD32079CE9E2CE84B35DDF26702240D27452865A371CB6F
00187215.beer.	3600	in	ns	launch1.spaceship.net.
00187215.beer.	3600	in	ns	launch2.spaceship.net.
00187215.beer.	3600	in	rrsig	DS 8 2 3600 20250915075324 20250901073058 21996 beer. Qt2/QdANovVQoxY8kDF8ZGyRz0wm76NHmIvOo+G4UvCT/S0T6oUNyUOc2SWgygoYyPLhEq6i+XhBjknUzfOSBb5TKwu8VY/tyU22BT7jQQoTU2lLA+phx+1YUDOm5Cij91XurhK+G22NixdwXSlx3HZFiSV6/2ebu/g17vsSwoQh8agHk7r96arDSQn+XBBuMpRwoTljnMq0nR3JKKax4A==
0024004770.beer.	3600	in	ds	54585 13 2 CE18A6CA39BF1C424678D4CA807781F02E1E939F5F323160D58C2F78A059AFEF
0024004770.beer.	3600	in	ns	launch1.spaceship.net.
0024004770.beer.	3600	in	ns	launch2.spaceship.net.
0024004770.beer.	3600	in	rrsig	DS 8 2 3600 20250913154706 20250830154134 21996 beer. HhNG9N1O51C918nd/qREmc4hGGg79EN7mfR0Mf3M6mnpny/kvTDg1TSeUFzIO9tf/Oynpgdkj6w/DLxVBEWRqxUgHyw/quXs2w+9Qhq0SEVJr2Un/+0+xvl/1Ntw9xrLQBeV3uASP3E1LH4ce0pcJQQCn5Uqk/88+REOP5dzRNb/u3nTai+mdOUwRqmbXNdixowMuSt0MmjhiUJqXqcOeA==
0034477014909.beer.	3600	in	ds	48869 13 2 BA532BA11899D1D002C11E36615EAE190321B5F5FB88CB5E8154CF67BB1638AF
0034477014909.beer.	3600	in	ns	launch1.spaceship.net.
0034477014909.beer.	3600	in	ns	launch2.spaceship.net.
