bid.	900	in	soa	ns1.dns.nic.bid. admin.tldns.godaddy. 1757552378 1800 300 604800 1800
0000.bid.	3600	in	ns	ns1.myhostadmin.net.
0000.bid.	3600	in	ns	ns2.myhostadmin.net.
0000.bid.	3600	in	ns	ns3.myhostadmin.net.
0000.bid.	3600	in	ns	ns4.myhostadmin.net.
0000.bid.	3600	in	ns	ns5.myhostadmin.net.
0000.bid.	3600	in	ns	ns6.myhostadmin.net.
00001.bid.	7200	in	ns	dns15.hichina.com.
00001.bid.	7200	in	ns	dns16.hichina.com.
00005.bid.	3600	in	ns	a.share-dns.com.
00005.bid.	3600	in	ns	b.share-dns.net.
0001.bid.	3600	in	ns	louis.ns.cloudflare.com.
0001.bid.	3600	in	ns	natasha.ns.cloudflare.com.
00015.bid.	3600	in	ns	grannbo.ns.cloudflare.com.
00015.bid.	3600	in	ns	norm.ns.cloudflare.com.
0002.bid.	3600	in	ns	ns1.dns.com.
0002.bid.	3600	in	ns	ns2.dns.com.
0003.bid.	3600	in	ns	ns1.dns.com.
0003.bid.	3600	in	ns	ns2.dns.com.
00030.bid.	3600	in	ns	ns1.dyna-ns.net.
00030.bid.	3600	in	ns	ns2.dyna-ns.net.
0004.bid.	3600	in	ns	ns1.dyna-ns.net.
0004.bid.	3600	in	ns	ns2.dyna-ns.net.
001010.bid.	3600	in	ns	ns1.1233dns.com.
001010.bid.	3600	in	ns	ns2.951dns.com.
001122.bid.	7200	in	ns	dns15.hichina.com.
001122.bid.	7200	in	ns	dns16.hichina.com.
001379.bid.	3600	in	ns	ns1.dnsip.com.
001379.bid.	3600	in	ns	ns2.dnsip.com.
001744.bid.	3600	in	ns	ns1.dnsip.com.
001744.bid.	3600	in	ns	ns2.dnsip.com.
00188.bid.	3600	in	ns	n1.xundns.com.
00188.bid.	3600	in	ns	n2.xundns.com.
00199.bid.	3600	in	ns	ns1.dyna-ns.net.
00199.bid.	3600	in	ns	ns2.dyna-ns.net.
00215.bid.	3600	in	ns	n1.xundns.com.
00215.bid.	3600	in	ns	n2.xundns.com.
00222.bid.	3600	in	ns	ns1.netsto.net.
00222.bid.	3600	in	ns	ns2.netsto.net.
00223.bid.	3600	in	ns	ns1.dnsip.com.
00223.bid.	3600	in	ns	ns2.dnsip.com.
002339.bid.	3600	in	ns	ns1.1233dns.com.
002339.bid.	3600	in	ns	ns2.951dns.com.
