bingo.	3600	in	soa	v0n0.nic.bingo. hostmaster.donuts.email. 1756256470 7200 900 1209600 3600
008.bingo.	3600	in	ns	oswald.ns.cloudflare.com.
008.bingo.	3600	in	ns	sara.ns.cloudflare.com.
030040.bingo.	3600	in	ns	ns1.dyna-ns.net.
030040.bingo.	3600	in	ns	ns2.dyna-ns.net.
03q85cqfqhda9b39r0gkn84l92jd8kf8.bingo.	3600	in	nsec3	1 1 0 73 0ODJ9KQM7JVK8OU5TQT4GJT2F0G4DPA5 NS DS RRSIG
03q85cqfqhda9b39r0gkn84l92jd8kf8.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. M7tLoEUZ1V8KuIiGztYX28QlGt/lKe2vG0/d2SbZaNs/zIU2idVDjVngLhdtUPnhBqnb06tvuteorECY/HJD0fpr2c/DE6MrnsQiGKmMe4lh8ujop4McgOvJuJ+c17oovf9SR+0ZK9K71EH1Qi9UvY0HBxaow1I3ZFMkTqAqnzc=
07.bingo.	3600	in	ns	ns1mpz.name.com.
07.bingo.	3600	in	ns	ns2bkr.name.com.
07.bingo.	3600	in	ns	ns3qtx.name.com.
07.bingo.	3600	in	ns	ns4ksy.name.com.
0odj9kqm7jvk8ou5tqt4gjt2f0g4dpa5.bingo.	3600	in	nsec3	1 1 0 73 1K4E539GNKB5PRHFJUJ40N54879M1OIT NS DS RRSIG
0odj9kqm7jvk8ou5tqt4gjt2f0g4dpa5.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. 5RUmA3Q/cR2RUIe3JDKCuyGuG5ryuCzV/2b1IVLu+BRhDrcfvyp2rtij5vFvUj+3hpLG23ziYKcL0I9j1Sx6qnielQw1gZKbfKVwZ5Rua3uQjP1OPtxsQQP5n5h8xd1fsaGsDVjf2Ju6nb7xvLAYBhkyNqRQqn3CSbX3u6rKyPQ=
0x.bingo.	3600	in	ns	1-you.njalla.no.
0x.bingo.	3600	in	ns	2-can.njalla.in.
0x.bingo.	3600	in	ns	3-get.njalla.fo.
1-win.bingo.	3600	in	ns	ns101.cloudns.net.
1-win.bingo.	3600	in	ns	ns102.cloudns.net.
1-win.bingo.	3600	in	ns	ns103.cloudns.net.
1-win.bingo.	3600	in	ns	ns104.cloudns.net.
10.bingo.	3600	in	ns	ns55.domaincontrol.com.
10.bingo.	3600	in	ns	ns56.domaincontrol.com.
100.bingo.	3600	in	ns	dns1.registrar-servers.com.
100.bingo.	3600	in	ns	dns2.registrar-servers.com.
10c.bingo.	3600	in	ns	ns1.aj423.parklogic.com.
10c.bingo.	3600	in	ns	ns2.aj423.parklogic.com.
111.bingo.	3600	in	ns	ns35.domaincontrol.com.
111.bingo.	3600	in	ns	ns36.domaincontrol.com.
1111bet.bingo.	3600	in	ns	ns61.domaincontrol.com.
1111bet.bingo.	3600	in	ns	ns62.domaincontrol.com.
122bet.bingo.	3600	in	ns	ns37.domaincontrol.com.
122bet.bingo.	3600	in	ns	ns38.domaincontrol.com.
123.bingo.	3600	in	ns	ns27.domaincontrol.com.
123.bingo.	3600	in	ns	ns28.domaincontrol.com.
123b.bingo.	3600	in	ns	audrey.ns.cloudflare.com.
123b.bingo.	3600	in	ns	sergi.ns.cloudflare.com.
123betwing.bingo.	3600	in	ns	ns1glr.name.com.
123betwing.bingo.	3600	in	ns	ns2fwz.name.com.
123betwing.bingo.	3600	in	ns	ns3npv.name.com.
123betwing.bingo.	3600	in	ns	ns4blx.name.com.
123win.bingo.	3600	in	ns	ns1.dns-redirect.com.
123win.bingo.	3600	in	ns	ns2.dns-redirect.com.
12b.bingo.	3600	in	ns	ns-11-a.gandi.net.
12b.bingo.	3600	in	ns	ns-222-b.gandi.net.
12b.bingo.	3600	in	ns	ns-45-c.gandi.net.
12bet.bingo.	3600	in	ns	ns-138-a.gandi.net.
12bet.bingo.	3600	in	ns	ns-237-b.gandi.net.
12bet.bingo.	3600	in	ns	ns-82-c.gandi.net.
152743.bingo.	3600	in	ns	ns1.dyna-ns.net.
152743.bingo.	3600	in	ns	ns2.dyna-ns.net.
168topgame.bingo.	3600	in	ns	ns1hwy.name.com.
168topgame.bingo.	3600	in	ns	ns2lns.name.com.
168topgame.bingo.	3600	in	ns	ns3dgr.name.com.
168topgame.bingo.	3600	in	ns	ns4lrt.name.com.
188bet.bingo.	3600	in	ns	pdns95.ultradns.biz.
188bet.bingo.	3600	in	ns	pdns95.ultradns.com.
188bet.bingo.	3600	in	ns	pdns95.ultradns.net.
188bet.bingo.	3600	in	ns	pdns95.ultradns.org.
18win.bingo.	3600	in	ns	aron.ns.cloudflare.com.
18win.bingo.	3600	in	ns	pablo.ns.cloudflare.com.
19343.bingo.	3600	in	ns	n1.xundns.com.
19343.bingo.	3600	in	ns	n2.xundns.com.
1bet.bingo.	3600	in	ns	ns21.domaincontrol.com.
1bet.bingo.	3600	in	ns	ns22.domaincontrol.com.
1k4e539gnkb5prhfjuj40n54879m1oit.bingo.	3600	in	nsec3	1 1 0 73 1UFQ3S78TT4KI77IC9UA6U3GUOLU3I02 NS DS RRSIG
1k4e539gnkb5prhfjuj40n54879m1oit.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. 8b+Az+cZvZNwDXQpgL41x96OBLQSYtkcWTk7by4TVobIFIY6U52ffkzyT5z3Jtr5YIp9QDBAsldYUlLJqR8BJeeRNwOrkQHO17GdqKVeb58OjZkq1oX0H7Vhiv8ArlZFgYd9UNUkA656zhcw3zJ9O5iC4Fpqv++jJZBE56I6QlM=
1omarion.bingo.	3600	in	ns	lennon.ns.cloudflare.com.
1omarion.bingo.	3600	in	ns	luciane.ns.cloudflare.com.
1play.bingo.	3600	in	ns	ns1023.ui-dns.org.
1play.bingo.	3600	in	ns	ns1034.ui-dns.de.
1play.bingo.	3600	in	ns	ns1099.ui-dns.com.
1play.bingo.	3600	in	ns	ns1120.ui-dns.biz.
1st.bingo.	3600	in	ns	dns1.registrar-servers.com.
1st.bingo.	3600	in	ns	dns2.registrar-servers.com.
1ufq3s78tt4ki77ic9ua6u3guolu3i02.bingo.	3600	in	nsec3	1 1 0 73 265JP88MIQ2PF1LFK66CHDFA0OISC1FC NS DS RRSIG
1ufq3s78tt4ki77ic9ua6u3guolu3i02.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. PhuvlyeXzlmSoQYZ98p/9czGYJgqu8+UBM5MPbAvlMEIkDrAtsFQLFbIOrnU9H3XXn0yX+dqWjLqB5ooe80ZX4CuWr7tOVx1e0UNqZghzallMgorTRTGjAen74DySmKEghqgklthVg6xuK/hB6MEUe7JqAMDLNsoq0aLRV2/QFg=
1winturkey.bingo.	3600	in	ns	ram.ns.cloudflare.com.
1winturkey.bingo.	3600	in	ns	stevie.ns.cloudflare.com.
1x.bingo.	3600	in	ns	1-you.njalla.no.
1x.bingo.	3600	in	ns	2-can.njalla.in.
1x.bingo.	3600	in	ns	3-get.njalla.fo.
1xbet.bingo.	3600	in	ns	ns-119-b.gandi.net.
1xbet.bingo.	3600	in	ns	ns-58-a.gandi.net.
1xbet.bingo.	3600	in	ns	ns-94-c.gandi.net.
1xslots.bingo.	3600	in	ns	ns1.dns-redirect.com.
1xslots.bingo.	3600	in	ns	ns2.dns-redirect.com.
2021.bingo.	3600	in	ns	dns1.registrar-servers.com.
2021.bingo.	3600	in	ns	dns2.registrar-servers.com.
2025.bingo.	3600	in	ns	ns-cloud-c1.googledomains.com.
2025.bingo.	3600	in	ns	ns-cloud-c2.googledomains.com.
2025.bingo.	3600	in	ns	ns-cloud-c3.googledomains.com.
2025.bingo.	3600	in	ns	ns-cloud-c4.googledomains.com.
2050.bingo.	3600	in	ns	ns1mpz.name.com.
2050.bingo.	3600	in	ns	ns2dhj.name.com.
2050.bingo.	3600	in	ns	ns3cgw.name.com.
2050.bingo.	3600	in	ns	ns4fmw.name.com.
20713.bingo.	3600	in	ns	ns1.dyna-ns.net.
20713.bingo.	3600	in	ns	ns2.dyna-ns.net.
20bet.bingo.	3600	in	ns	ns1.afternic.com.
20bet.bingo.	3600	in	ns	ns2.afternic.com.
21nova.bingo.	3600	in	ns	dns1.idp365.net.
21nova.bingo.	3600	in	ns	dns2.idp365.net.
21nova.bingo.	3600	in	ns	dns3.idp365.net.
22.bingo.	3600	in	ns	ns1.dyna-ns.net.
22.bingo.	3600	in	ns	ns2.dyna-ns.net.
2222bet.bingo.	3600	in	ns	ns57.domaincontrol.com.
2222bet.bingo.	3600	in	ns	ns58.domaincontrol.com.
22jogo.bingo.	3600	in	ns	ns-1245.awsdns-27.org.
22jogo.bingo.	3600	in	ns	ns-474.awsdns-59.com.
22vip.bingo.	3600	in	ns	coraline.ns.cloudflare.com.
22vip.bingo.	3600	in	ns	seamus.ns.cloudflare.com.
23-win.bingo.	3600	in	ns	mustafa.ns.cloudflare.com.
23-win.bingo.	3600	in	ns	paislee.ns.cloudflare.com.
23jogo.bingo.	3600	in	ns	ns-1611.awsdns-09.co.uk.
23jogo.bingo.	3600	in	ns	ns-455.awsdns-56.com.
23win.bingo.	3600	in	ns	mustafa.ns.cloudflare.com.
23win.bingo.	3600	in	ns	paislee.ns.cloudflare.com.
24.bingo.	3600	in	ns	ns1.afternic.com.
24.bingo.	3600	in	ns	ns2.afternic.com.
24.bingo.	3600	in	ns	verification-b2xhbafl2wwjvijqdzzuyn.ns101.verify.hn.
247.bingo.	3600	in	ns	ns3.afternic.com.
247.bingo.	3600	in	ns	ns4.afternic.com.
24822.bingo.	3600	in	ns	n1.xundns.com.
24822.bingo.	3600	in	ns	n2.xundns.com.
24thstreet.bingo.	3600	in	ns	ns8.wixdns.net.
24thstreet.bingo.	3600	in	ns	ns9.wixdns.net.
25013.bingo.	3600	in	ns	ns1.dyna-ns.net.
25013.bingo.	3600	in	ns	ns2.dyna-ns.net.
255bet.bingo.	3600	in	ns	ns75.domaincontrol.com.
255bet.bingo.	3600	in	ns	ns76.domaincontrol.com.
25blocs.bingo.	3600	in	ns	ns1.webspace-verkauf.de.
25blocs.bingo.	3600	in	ns	ns2.webspace-verkauf.de.
25blocs.bingo.	3600	in	ns	ns3.webspace-verkauf.de.
265jp88miq2pf1lfk66chdfa0oisc1fc.bingo.	3600	in	nsec3	1 1 0 73 26PARMJVMHH8EQDIF640IU4CQUAFOCCT NS DS RRSIG
265jp88miq2pf1lfk66chdfa0oisc1fc.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. zlDZMCNS/Yn5ePxxyj5YLgRP76fk/unffLKPinLjwSLFnaNX6hj3icLdsD/9M4bzxa55E4YVrGenRjNocAszmFNzvAJFT8laj01EN45QYnBZZN2jEvxkJ0hc5i3ae2nY21CxhACPWarjn/9MoKgR7B4mDjRIYkxqx2J3NH5mz5E=
26parmjvmhh8eqdif640iu4cquafocct.bingo.	3600	in	nsec3	1 1 0 73 2CD46DJ83HLDUPE9T3BR5UB1HS9N5RO2 NS DS RRSIG
26parmjvmhh8eqdif640iu4cquafocct.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. ZqHAZgAFHzDmDZy+3gU09gKvtOLmvq4gEGJsnv35WqtOOBWYGxoq1AZzGE5fXHTFXZZTnwJfQYuXK4IQUq86A0fdEi1qXkmKDeL5ZKxz/JiVcmPf616HBLYoP8l9q7G9rmRwtSeN1ypLaEMIN5b5+B0CBcCC4obDgx3SwmHN150=
277bet.bingo.	3600	in	ns	ns19.domaincontrol.com.
277bet.bingo.	3600	in	ns	ns20.domaincontrol.com.
28bet.bingo.	3600	in	ns	aragorn.ns.cloudflare.com.
28bet.bingo.	3600	in	ns	fatima.ns.cloudflare.com.
299bet.bingo.	3600	in	ns	gloria.ns.cloudflare.com.
299bet.bingo.	3600	in	ns	osmar.ns.cloudflare.com.
2bet.bingo.	3600	in	ns	ns33.domaincontrol.com.
2bet.bingo.	3600	in	ns	ns34.domaincontrol.com.
2cd46dj83hldupe9t3br5ub1hs9n5ro2.bingo.	3600	in	nsec3	1 1 0 73 2K4QTU3BHFIEBEQOIJONNQ4HKG85L6UB NS DS RRSIG
2cd46dj83hldupe9t3br5ub1hs9n5ro2.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. daTnZv+7/Z9uMFZ2GiIV6hRNvEDItTgsouuwAa6/Ovo1YxGku3I+7zTXG0clQLZMftWSiGiMh3FU3oF2lEiWDobCuk04ArsQs3bT3K9bou/N6TBRaMeiPf3ozD/Z650ZCxe6XZXcGd0SlK1PY9dAdBx0BP55dI/DEh+QjDNKMJQ=
2ducks.bingo.	3600	in	ns	ns1.livedns.co.uk.
2ducks.bingo.	3600	in	ns	ns2.livedns.co.uk.
2ducks.bingo.	3600	in	ns	ns3.livedns.co.uk.
2k4qtu3bhfiebeqoijonnq4hkg85l6ub.bingo.	3600	in	nsec3	1 1 0 73 352EP5MS06DT96ECPSSVE95OG5UNAVG2 NS DS RRSIG
2k4qtu3bhfiebeqoijonnq4hkg85l6ub.bingo.	3600	in	rrsig	NSEC3 8 2 3600 20250916152726 20250826142726 28026 bingo. 3ozZk5Qb576YJUjuchMsjaD36ALPGXZzZ4Po2T5wSIvbe+/N1PubO0q6iinAnzIIIEzB/FM2XEN/yuGdu2XSYARRZSkflLS/6LXWssr9HTfehieWCl+tsvD/d8UjFyO4L6bZQJKcp112S5Lj/WvvQIJ/lTrktx08EjlrsQZkVko=
2krk.bingo.	3600	in	ns	joan.ns.cloudflare.com.
2krk.bingo.	3600	in	ns	yisroel.ns.cloudflare.com.
2q.bingo.	3600	in	ns	ns1.dns-parking.com.
2q.bingo.	3600	in	ns	ns2.dns-parking.com.
321.bingo.	3600	in	ns	r1.schlundtech.de.
321.bingo.	3600	in	ns	r2.schlundtech.de.
32win.bingo.	3600	in	ns	fonzie.ns.cloudflare.com.
32win.bingo.	3600	in	ns	rose.ns.cloudflare.com.
3333.bingo.	3600	in	ns	ns1.dns-redirect.com.
3333.bingo.	3600	in	ns	ns2.dns-redirect.com.
3333bet.bingo.	3600	in	ns	ns69.domaincontrol.com.
3333bet.bingo.	3600	in	ns	ns70.domaincontrol.com.
333bet.bingo.	3600	in	ns	carol.ns.cloudflare.com.
333bet.bingo.	3600	in	ns	etienne.ns.cloudflare.com.
33win.bingo.	3600	in	ns	annabel.ns.cloudflare.com.
33win.bingo.	3600	in	ns	nico.ns.cloudflare.com.
34bet.bingo.	3600	in	ns	aryanna.ns.cloudflare.com.
34bet.bingo.	3600	in	ns	dax.ns.cloudflare.com.
352ep5ms06dt96ecpssve95og5unavg2.bingo.	3600	in	nsec3	1 1 0 73 39E603PRDO8LFO0JRBT7FSTKGQF4P3C7 NS DS RRSIG
