blackfriday.	900	in	soa	a.nic.blackfriday. admin.tldns.godaddy. 1756199912 1800 300 604800 1800
0800flowers.blackfriday.	7200	in	ns	dns1.cscdns.net.
0800flowers.blackfriday.	7200	in	ns	dns2.cscdns.net.
0815.blackfriday.	7200	in	ns	ns1.bdm.microsoftonline.com.
0815.blackfriday.	7200	in	ns	ns2.bdm.microsoftonline.com.
0815.blackfriday.	7200	in	ns	ns3.bdm.microsoftonline.com.
0815.blackfriday.	7200	in	ns	ns4.bdm.microsoftonline.com.
1800baskets.blackfriday.	7200	in	ns	dns1.cscdns.net.
1800baskets.blackfriday.	7200	in	ns	dns2.cscdns.net.
1800flowers.blackfriday.	7200	in	ns	dns1.cscdns.net.
1800flowers.blackfriday.	7200	in	ns	dns2.cscdns.net.
1and1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.org.
1and1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.com.
1and1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.de.
1and1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.org.
1ihdfcaae43inhlg2tnu62i64i1m9nvh.blackfriday.	900	in	nsec3	1 1 0 - 2AJQIL0POLB3VUO6U5BAM5P11NGGRQEL NS DS RRSIG
1ihdfcaae43inhlg2tnu62i64i1m9nvh.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. Yz3XpPcHYwAy9tVsGvzXTr9frtR0URmB0Av8MCAyFI96cBpKm5cjoT2gn1JuKbq9HwOV/tappAuHxEeGKGG2iw==
1und1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.biz.
1und1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.com.
1und1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.de.
1und1-ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.org.
1und1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.biz.
1und1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.com.
1und1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.de.
1und1ionos.blackfriday.	7200	in	ns	ns-1and1.ui-dns.org.
1xbet.blackfriday.	3600	in	ns	ns1.dnsres.net.
1xbet.blackfriday.	3600	in	ns	ns2.dnsres.net.
1xbet.blackfriday.	3600	in	ns	ns3.dnsres.net.
2ajqil0polb3vuo6u5bam5p11nggrqel.blackfriday.	900	in	nsec3	1 1 0 - 2LD9ATRLGE7AS71TIE0TV7EQB7SS7O48 NS DS RRSIG
2ajqil0polb3vuo6u5bam5p11nggrqel.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. mYzDlH1bRTxzdkZhOXp8uPIdlSLlsMsY8++eMKUl2paPE2YQ3odSOsCaroVqgJJVRvwc1ZxemmObKnzuoqcTsA==
2ld9atrlge7as71tie0tv7eqb7ss7o48.blackfriday.	900	in	nsec3	1 1 0 - 2RJ8N9M0L7QME1PKI55H1OP8GOH8S0MQ NS DS RRSIG
2ld9atrlge7as71tie0tv7eqb7ss7o48.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250905020747 20250822015417 29969 blackfriday. t87mkDYRSltKk8+yglv02QUdjAiFwy5hL52FO/wK9T3gIGE3LEt9zh+iyI14Gkl6Ek2pIfBkmzP6k8iz/9eP9A==
2rj8n9m0l7qme1pki55h1op8goh8s0mq.blackfriday.	900	in	nsec3	1 1 0 - 34AAJJO1QBT5Q6AT8USKTUOV9NMA2JUF NS DS RRSIG
2rj8n9m0l7qme1pki55h1op8goh8s0mq.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. jE1Zqr4Wd3Qh8UxPvHQt7i9pipsH3YNj3g+40b+h+ORaocZtkPVLypVpwkAEe435dKbpYWQ1SukVEIb5Mi+5ZQ==
34aajjo1qbt5q6at8usktuov9nma2juf.blackfriday.	900	in	nsec3	1 1 0 - 402870NDL3E8ACFSRIL9U6L17AS51E6S NS DS RRSIG
34aajjo1qbt5q6at8usktuov9nma2juf.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. 4co/RxDs16L+yLgUJvyjYOOpaQOY4TVmJkRp5p6MMWUkh6Q7NmrG0hOZOLtmeow8uL8bAffG1fUu1EL3iFjrmg==
365.blackfriday.	3600	in	ns	chris.ns.cloudflare.com.
365.blackfriday.	3600	in	ns	lilyana.ns.cloudflare.com.
402870ndl3e8acfsril9u6l17as51e6s.blackfriday.	900	in	nsec3	1 1 0 - 48EBIIKU6H4JH01JGDLIQGD0KSALTA2V NS DS RRSIG
402870ndl3e8acfsril9u6l17as51e6s.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. MKS2uAz9gAssUpZSo41EQ33InjRVPeJfNGuIAEd72sKu9yPC7GeTaQmvylsM3T0niGD84FdsxkERU2C4SkNfgQ==
48ebiiku6h4jh01jgdliqgd0ksalta2v.blackfriday.	900	in	nsec3	1 1 0 - 4CC49BRAFNA3LV5EKPQNF9AJDODQTT99 NS DS RRSIG
48ebiiku6h4jh01jgdliqgd0ksalta2v.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250909032213 20250826022946 29969 blackfriday. NgiwPo/CqAGwuTJwnBg6HsTQfvwIRBCx3NXIj29Mk+hz8r1kdCUlMGHKAtRmBpnCQEXSolOrZxR6kBzbbb8C+w==
4cc49brafna3lv5ekpqnf9ajdodqtt99.blackfriday.	900	in	nsec3	1 1 0 - 4CEPT3SVLNJM0F6DNU6T65EMIMCG5NVT NS DS RRSIG
4cc49brafna3lv5ekpqnf9ajdodqtt99.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. 0XBl6019ZPjNtyMJDwKMWh+7rHRvUu6GydC5GtWx7QvBZ9s14PqOk8fQjgNVs6f15g0Un8zR+7PY1dbBaK38jA==
4cept3svlnjm0f6dnu6t65emimcg5nvt.blackfriday.	900	in	nsec3	1 1 0 - 54HTO20MBQ3FJVHDKBFJD83Q50FU4CG9 NS DS RRSIG
4cept3svlnjm0f6dnu6t65emimcg5nvt.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. qDrAmlxei0O02VXE9QSJuHDbZERUZRf+QlvXLGZkumYb3q+xLE5CCULh0iKiRnZVP4rqIg7FmWKavMZlJwAa+Q==
54hto20mbq3fjvhdkbfjd83q50fu4cg9.blackfriday.	900	in	nsec3	1 1 0 - 60NT8S66A2C6IFE3TGAIAQ4V1GKAESKB NS DS RRSIG
54hto20mbq3fjvhdkbfjd83q50fu4cg9.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. ciZCkcNzzfL0++YVourCgav1DsWdHVR4WUNffLlGbR0r2N8lRQW1eALReQOyw1q/hdU1COa0MuOa+MNXcZS7pg==
60nt8s66a2c6ife3tgaiaq4v1gkaeskb.blackfriday.	900	in	nsec3	1 1 0 - 6TQG5QNQNMD719QECS50V9QP8KMJ5PDL NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
60nt8s66a2c6ife3tgaiaq4v1gkaeskb.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250909045227 20250826042552 29969 blackfriday. l2qYWHtpzIjLSib6VZ2Iy9EplUoGg0DluDkZ7Q1g44q5MSNWSComvuWLB3p/SwGq+4eBRjIH45lUzxY4Qvn04A==
6pm.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
6pm.blackfriday.	7200	in	ns	nssui.comlaude.ch.
6pm.blackfriday.	7200	in	ns	nsusa.comlaude.net.
6tqg5qnqnmd719qecs50v9qp8kmj5pdl.blackfriday.	900	in	nsec3	1 1 0 - 7TDVOIJB60II0Q20KA7NIHS4IH2E1LTU NS DS RRSIG
6tqg5qnqnmd719qecs50v9qp8kmj5pdl.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250907114600 20250824105135 29969 blackfriday. jPUWZC+R1xz0fo7ruCIGsIQuT6uqEpy0JMdQnPW49m213NUP0i13dEP7hxKfyiaRu49XAowBgYKUUAaZiiCc3Q==
789bet.blackfriday.	3600	in	ns	eleanor.ns.cloudflare.com.
789bet.blackfriday.	3600	in	ns	kyrie.ns.cloudflare.com.
7tdvoijb60ii0q20ka7nihs4ih2e1ltu.blackfriday.	900	in	nsec3	1 1 0 - 82C9T6B3LECVEAU59ILQVSNO53DVQBLG NS DS RRSIG
7tdvoijb60ii0q20ka7nihs4ih2e1ltu.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. Cas6TgszJl9/Q8equZwrjqv3654iHkBkqLJncad2qJ9MEB8FSQRvdRT2MIwAh5Lq75yoPKTx5RBStE7a+YJadQ==
82c9t6b3lecveau59ilqvsno53dvqblg.blackfriday.	900	in	nsec3	1 1 0 - 8FGJSQ9E2CIU5TASH6VD8AH2T8TTRIBE NS DS RRSIG
82c9t6b3lecveau59ilqvsno53dvqblg.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250905020747 20250822015417 29969 blackfriday. Luu/8DZeUHm+rYzQeMYouDZL19MNznvpLDid3nxJOqH7u8K2RJevi6d7022tmjdi9PWuKRedfrKDz6yRQYNaFg==
8fgjsq9e2ciu5tash6vd8ah2t8ttribe.blackfriday.	900	in	nsec3	1 1 0 - 8IKFBR537BT8N1EV30U36TMG6G66PCRI NS DS RRSIG
8fgjsq9e2ciu5tash6vd8ah2t8ttribe.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. BOtG6UfDWKB6Sk8h6RDmnn2bv/QNey1P4RpiJRMNeINLkSIA98gjOtRzq87kAniwPbH2k8fj9op+qXPpjLjOyA==
8ikfbr537bt8n1ev30u36tmg6g66pcri.blackfriday.	900	in	nsec3	1 1 0 - 8LI1OQC0HLTKK65I1TQ2G2AHTKO7GD0J NS DS RRSIG
8ikfbr537bt8n1ev30u36tmg6g66pcri.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. 1Y9goIbMqDRlJqM2iiSdF0BfZWZfO1GIyWXhh+IyAL8vpm0Ywi3eq3skduSZVo8blDLgwDtUIx3/JQmpUt9dqg==
