blue.	3600	in	soa	a0.nic.blue. hostmaster.donuts.email. 1756256501 7200 900 1209600 3600
0.blue.	3600	in	ns	ns1.name.com.
0.blue.	3600	in	ns	ns2.name.com.
0.blue.	3600	in	ns	ns3.name.com.
0.blue.	3600	in	ns	ns4.name.com.
000.blue.	3600	in	ns	adam.ns.cloudflare.com.
000.blue.	3600	in	ns	cora.ns.cloudflare.com.
000.blue.	3600	in	ns	ns1.alidns.com.
000.blue.	3600	in	ns	ns2.alidns.com.
0000ff.blue.	3600	in	ns	dns01.muumuu-domain.com.
0000ff.blue.	3600	in	ns	dns02.muumuu-domain.com.
00172.blue.	3600	in	ns	ns1.dnsip.com.
00172.blue.	3600	in	ns	ns2.dnsip.com.
002.blue.	3600	in	ns	cass.ns.cloudflare.com.
002.blue.	3600	in	ns	santino.ns.cloudflare.com.
00255.blue.	3600	in	ns	dns1.hostiq.ua.
00255.blue.	3600	in	ns	dns2.hostiq.ua.
007.blue.	3600	in	ns	dns27.hichina.com.
007.blue.	3600	in	ns	dns28.hichina.com.
007win.blue.	3600	in	ns	celine.ns.cloudflare.com.
007win.blue.	3600	in	ns	ivan.ns.cloudflare.com.
009.blue.	3600	in	ns	ns1.dns-redirect.com.
009.blue.	3600	in	ns	ns2.dns-redirect.com.
0107.blue.	3600	in	ns	dns01.muumuu-domain.com.
0107.blue.	3600	in	ns	dns02.muumuu-domain.com.
011me40b8fta4sol93dib0teqjmsdk4c.blue.	3600	in	nsec3	1 1 0 73 01LBGL37TJ8J8NB4D06VJD7HBDC694UT NS DS RRSIG
011me40b8fta4sol93dib0teqjmsdk4c.blue.	3600	in	rrsig	NSEC3 8 2 3600 20250916153554 20250826143554 55518 blue. HQ8j9lVnFd02gwJBQzraRMu+PCHKzn8MQ48LTzFg/tUvlPxqeRQUeOv1FtghRV33e2narjW1U/GlfGa8gsRgQ4LC19qfiEbeYIbrw3NcX8F6ZPhlsT54zisWbHKU1NVVVU4YTpGE4JdPFu2y5EaTFkvMZcFF1ftULv1Eq2kjuac=
0129.blue.	3600	in	ns	dns01.muumuu-domain.com.
0129.blue.	3600	in	ns	dns02.muumuu-domain.com.
01516.blue.	3600	in	ns	n1.xundns.com.
01516.blue.	3600	in	ns	n2.xundns.com.
016.blue.	3600	in	ns	ns1.dyna-ns.net.
016.blue.	3600	in	ns	ns2.dyna-ns.net.
0173.blue.	3600	in	ns	uns01.lolipop.jp.
0173.blue.	3600	in	ns	uns02.lolipop.jp.
01lbgl37tj8j8nb4d06vjd7hbdc694ut.blue.	3600	in	nsec3	1 1 0 73 057QRD38VKF6QQJKNJ8C55U39TNI0G5C NS DS RRSIG
01lbgl37tj8j8nb4d06vjd7hbdc694ut.blue.	3600	in	rrsig	NSEC3 8 2 3600 20250916153554 20250826143554 55518 blue. GZlPCFKADojpJ1QoRoGYqxpHvmLW8hOSXUF7Y3iB0msaDHpXeoC7maKC3P1tNwqRgiwKHVVopxIQtDZW574EwcKJbvpymjur+mSnBSS9qItZTRqXYOQ/G+ouAVXts4Chj6ApTx4Ge+nMKTQX4xKaARkWoQeA/l6+LpzoGi2UTvM=
024.blue.	3600	in	ds	29534 8 2 71605F03678060920E3C372C573ADBD60150AD7D5611AD972509125793D514CA
024.blue.	3600	in	ns	ns-cloud-c1.googledomains.com.
024.blue.	3600	in	ns	ns-cloud-c2.googledomains.com.
024.blue.	3600	in	ns	ns-cloud-c3.googledomains.com.
024.blue.	3600	in	ns	ns-cloud-c4.googledomains.com.
024.blue.	3600	in	rrsig	DS 8 2 3600 20250916153554 20250826143554 55518 blue. V8frw1Hczz4s0lj3mwUp1Y76Ey4TitMq5GhzGQAXClzFHsJC2gfVUHdtE9m0u2BvEbcTG1/fJi+/hmJ152kJRz9TlV0Li4/npZCRv0xfSY6cgk/4yNGkmWr2wUUIqZN+UxgZk74lLjtTX6Px/KKgsTjg8Zi25ukDED0CXC+iHHw=
027.blue.	3600	in	ns	dns01.gmoserver.jp.
027.blue.	3600	in	ns	dns02.gmoserver.jp.
03218.blue.	3600	in	ns	ns1.dyna-ns.net.
03218.blue.	3600	in	ns	ns2.dyna-ns.net.
03611.blue.	3600	in	ns	ns1.dyna-ns.net.
03611.blue.	3600	in	ns	ns2.dyna-ns.net.
03696.blue.	3600	in	ns	a.dnspod.com.
03696.blue.	3600	in	ns	b.dnspod.com.
03696.blue.	3600	in	ns	c.dnspod.com.
03752.blue.	3600	in	ns	n1.xundns.com.
03752.blue.	3600	in	ns	n2.xundns.com.
0379.blue.	3600	in	ns	dns15.hichina.com.
0379.blue.	3600	in	ns	dns16.hichina.com.
03899.blue.	3600	in	ns	ns1.dnsip.com.
03899.blue.	3600	in	ns	ns2.dnsip.com.
045.blue.	3600	in	ns	01.dnsv.jp.
045.blue.	3600	in	ns	02.dnsv.jp.
045.blue.	3600	in	ns	03.dnsv.jp.
045.blue.	3600	in	ns	04.dnsv.jp.
04672.blue.	3600	in	ns	n1.xundns.com.
04672.blue.	3600	in	ns	n2.xundns.com.
049.blue.	3600	in	ds	8489 8 2 493DE29984A8858B5A0315FACA79B20855A0674BCB22C2A49E91393CD4568C0D
049.blue.	3600	in	ns	ns-cloud-b1.googledomains.com.
049.blue.	3600	in	ns	ns-cloud-b2.googledomains.com.
049.blue.	3600	in	ns	ns-cloud-b3.googledomains.com.
049.blue.	3600	in	ns	ns-cloud-b4.googledomains.com.
