boston.	900	in	soa	a.nic.boston. admin.tldns.godaddy. 1767645801 1800 300 604800 1800
001.boston.	3600	in	ns	dns1.registrar-servers.com.
001.boston.	3600	in	ns	dns2.registrar-servers.com.
021b38n01997u2stqv29f42o8eqrkmrk.boston.	900	in	nsec3	1 1 0 - 097DJ5O6KA6CVFHDF4KHNF386RE5DRHE NS DS RRSIG
021b38n01997u2stqv29f42o8eqrkmrk.boston.	900	in	rrsig	NSEC3 8 2 900 20260118082511 20260104074833 58551 boston. TEWd2FoQNFMYKaElgLXFBw/mB0KsBpAzJDaejfkDmfTvnokek+GubCTAI0n1cdhlZX5eYRsTRmD40D6g+PylM+mwWOxN1CvFEO2ribDS9mDTxLiFY4mvYpE7UaAWu7BOVU1zfBlp8Uh74uMt/CAn3r5z981LYDsvagN8LaYvxcRgbrJXo0R60jZ/RDcvNwJCgf2MZwIYrZm34Xtb53PXaw==
02215.boston.	3600	in	ds	2371 13 2 518590F175D5FFAEB30DEF883D5DB2E135A14FF8A0D3A4A144AD808DCC352FB5
02215.boston.	3600	in	ns	alla.ns.cloudflare.com.
02215.boston.	3600	in	ns	kirk.ns.cloudflare.com.
02215.boston.	3600	in	rrsig	DS 8 2 3600 20260115085529 20260101082200 58551 boston. Dco/8yRTIap/pymkmQgJpG0msMvf4GxivkuSgIuKKe9hyC77xh67rhrfn3kc8Mma5EeZSI84pLza7pnrLhjThklg6n5Bs79pYyMfp9pKnXTnxbjmznLk17LNuY8xNzltQ8R5dpvbIm3kI5r1bbLnXssBiWrAc3NoQJ4dKX+6K24GO55AL1HxKYtKkr+SAS/NISQxoCyaVoFcullhyPvJUw==
07964.boston.	3600	in	ns	n1.xundns.com.
07964.boston.	3600	in	ns	n2.xundns.com.
08.boston.	3600	in	ns	n1.xundns.com.
08.boston.	3600	in	ns	n2.xundns.com.
097dj5o6ka6cvfhdf4khnf386re5drhe.boston.	900	in	nsec3	1 1 0 - 09SF47NOSTEF7J21ASGQ4DQQ8L4JCAB5 TXT RRSIG
097dj5o6ka6cvfhdf4khnf386re5drhe.boston.	900	in	rrsig	NSEC3 8 2 900 20260119154650 20260105145117 58551 boston. rEYZ+NMcDxIGIbR2zGi9LzGCpOA4mDjN7Ellk3WCo0YJ70u59hX9xcvhEYy9ckUNOakqxcPEmncf0TD8cVcmuwBSDigVy++NHCn8Qmhq1DSCvADpgyDVTIQZqlecNyHZrxO/QfKlcJpUV2I8HJishCTRYSzkmOiYB8N6z7TuHlbw9LToUrTEWyqehoXwE1PQ+xhCV+IwrWSge1OcPMA6bQ==
09sf47nostef7j21asgq4dqq8l4jcab5.boston.	900	in	nsec3	1 1 0 - 0JNVI8S0QER1IVFJ09ELITSOHJL13J63 NS DS RRSIG
09sf47nostef7j21asgq4dqq8l4jcab5.boston.	900	in	rrsig	NSEC3 8 2 900 20260118190258 20260104185620 58551 boston. gRXj+bYmcdKCYhgTFC0wlCVHVTpRolWVaB6WUxnedLynZtYa/TBvHv7F1t6fRvkFJ6yO06UrHt7248R9J0cKdpYkx6qZPikC/Trzi3BJMGw6iXjt8O2oF9KgnXJzVW24OMyMESBmXFabvCP3+zN5OXC45WRlSFNvTOmndTVpFkbcQb1Zu7nL5f0OxDpORK5Kmxlp6fAy3/U/eEP6Ne4vSA==
0jnvi8s0qer1ivfj09elitsohjl13j63.boston.	900	in	nsec3	1 1 0 - 0JQKJO27U8U7PNU5NGA6GDVPNQVL4OHO NS DS RRSIG
0jnvi8s0qer1ivfj09elitsohjl13j63.boston.	900	in	rrsig	NSEC3 8 2 900 20260118190258 20260104185620 58551 boston. OvkyYujT/5l3yEQdBBSrsQSPD7WrmpHa8moCBp5eieaK5tf4yOtUMziq2VZ4mATjiHR1ZLSIAbDMyZ9bLf1/ox+ZfYtq+NYfsj3cnvbuoQXZbIv+rcAm4h/c93/axK28/ujiKW3ivSBDhTxuJAC5c6ZmEwm5XAjoD3H/b1O8c2Ud03qWjqH2/PpdC9Q7w0YXzIk17eJ8p2K3BjADuz7xRA==
0jqkjo27u8u7pnu5nga6gdvpnqvl4oho.boston.	900	in	nsec3	1 1 0 - 0SKUOSO3E3E3PFMR3Q6K54F3P9HNJ26B NS DS RRSIG
0jqkjo27u8u7pnu5nga6gdvpnqvl4oho.boston.	900	in	rrsig	NSEC3 8 2 900 20260116224626 20260102223540 58551 boston. mc0BiSOOrtooK1p0VMgOGYJha8Mj2U2d0uFmtWXgt4DcMPSkG+XoPpuO0J6IkAWw/SJcvYgd+3qBt7leeuOOg2glTEqhVoeM5m6IPcyC2Q5B245mhfcv3n+ejUCd+Hvck60OwbHdLLGZCpY5Y3NTXN6nYQxM8U1aYs1/ADMfvvk9OnCfN26MLIludNIiHKooOXfE0umA0nBGkXVcvBRspA==
0skuoso3e3e3pfmr3q6k54f3p9hnj26b.boston.	900	in	nsec3	1 1 0 - 0V297K732AU4D1S6NR7AQ47JEIF57MAU NS DS RRSIG
0skuoso3e3e3pfmr3q6k54f3p9hnj26b.boston.	900	in	rrsig	NSEC3 8 2 900 20260114044618 20251231044237 58551 boston. wzyTVOUZco+lRWcCGWQgeM0TfD+RjEuGD++NrjxFmciNsnawSbPvn88w25ZcHTgTFzw2WV+nO0UB2oO7arn5/VpbGYZFU8Xz33DzWtAp0SFUW6v3+/UHlmB6ak+CAqhWHt0J64xzu8f3wDjdXHir/LqfJ6C29Ipl3OaQONouQrrn/NS+7e3umcOD0F3/V/YtdhWWPGDdnRWBDHswVCDYew==
