build.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1767659533 900 1800 6048000 3600
01.build.	3600	in	ns	dns1.registrar-servers.com.
01.build.	3600	in	ns	dns2.registrar-servers.com.
021.build.	3600	in	ns	ns33.domaincontrol.com.
021.build.	3600	in	ns	ns34.domaincontrol.com.
05169.build.	3600	in	ns	ns1.dyna-ns.net.
05169.build.	3600	in	ns	ns2.dyna-ns.net.
05rql8qcpqbn1pjrdpl9nsmckol3hpmg.build.	900	in	nsec3	1 1 0 - 0BULUULM6Q50KSE1A20V62UU23NTAALO NS DS RRSIG
05rql8qcpqbn1pjrdpl9nsmckol3hpmg.build.	900	in	rrsig	NSEC3 8 2 900 20260120094618 20251221081618 56883 build. K5DRgYjq7QHF/AiGVOXFfO7wONqiOx2KiZRcsyNgW78wZ78uIfa9hzkVDTg+13ZLJXTvKHyRP61YniG8LQfWPFlb/cTGgKimOWeIcztTssb9MHZPsAP8HsHIgRG6LTyWfIHulwboGgEYMrPdxZjfggtAvivV+UyQSVTEMs7iBXuQRpsGJF4OCm52TkFxBK5WJyBP8BdI6BDbS1KWYImwtw==
0asis.build.	3600	in	ns	dns1.registrar-servers.com.
0asis.build.	3600	in	ns	dns2.registrar-servers.com.
0buluulm6q50kse1a20v62uu23ntaalo.build.	900	in	nsec3	1 1 0 - 0LTTLDMBUFDIPAFR4N9EB7G0I9ATB2MF NS DS RRSIG
0buluulm6q50kse1a20v62uu23ntaalo.build.	900	in	rrsig	NSEC3 8 2 900 20260120114128 20251221101128 56883 build. I2G6LuWHGBj+7zOen+zIOn4SAj/ccriNk6n77bobAE7KzW2al4+jxPpPeY6TDG590UQQLmhJP7NDhYSYBxAZy84D5hMGrd1HMjlZCYH9NlCL8JySY8du0sBLEf/4C2qhAMmWQXUTbgjwaKIeSDvABcj+gA6Le3egkFSGQPPMmalStm/7o6b3+nR3Wjtp+EOMpeGupGGYqjpRtD04U5Fprg==
0degrees.build.	3600	in	ns	aarav.ns.cloudflare.com.
0degrees.build.	3600	in	ns	kia.ns.cloudflare.com.
0human.build.	3600	in	ns	alexandra.ns.cloudflare.com.
0human.build.	3600	in	ns	joel.ns.cloudflare.com.
0lttldmbufdipafr4n9eb7g0i9atb2mf.build.	900	in	nsec3	1 1 0 - 0NI6IIH640KKVHDA7U3SJH93S4HOFJBV NS DS RRSIG
