builders.	3600	in	soa	v0n0.nic.builders. hostmaster.donuts.email. 1759366636 7200 900 1209600 3600
00582.builders.	3600	in	ns	ns1.dnsip.com.
00582.builders.	3600	in	ns	ns2.dnsip.com.
00637.builders.	3600	in	ns	ns1.dnsip.com.
00637.builders.	3600	in	ns	ns2.dnsip.com.
00738.builders.	3600	in	ns	ns1.dnsip.com.
00738.builders.	3600	in	ns	ns2.dnsip.com.
00794.builders.	3600	in	ns	ns1.dnsip.com.
00794.builders.	3600	in	ns	ns2.dnsip.com.
00832.builders.	3600	in	ns	n1.xundns.com.
00832.builders.	3600	in	ns	n2.xundns.com.
00944.builders.	3600	in	ns	ns1.dnsip.com.
00944.builders.	3600	in	ns	ns2.dnsip.com.
01285.builders.	3600	in	ns	ns1.dnsip.com.
01285.builders.	3600	in	ns	ns2.dnsip.com.
01290.builders.	3600	in	ns	n1.xundns.com.
01290.builders.	3600	in	ns	n2.xundns.com.
01291.builders.	3600	in	ns	n1.xundns.com.
01291.builders.	3600	in	ns	n2.xundns.com.
01650.builders.	3600	in	ns	n1.xundns.com.
01650.builders.	3600	in	ns	n2.xundns.com.
01659.builders.	3600	in	ns	ns1.dnsip.com.
01659.builders.	3600	in	ns	ns2.dnsip.com.
01eoobljm6ll80dkk7e7tumab6bqto9j.builders.	3600	in	nsec3	1 1 0 73 081ILUEAKHAJIA06KO5VDR7HT7TMMOE7 NS DS RRSIG
01eoobljm6ll80dkk7e7tumab6bqto9j.builders.	3600	in	rrsig	NSEC3 8 2 3600 20251022152537 20251001142537 50079 builders. leSTzhOUhz9jZFUeY9UgnQ0qvw2ICg9T0HHwvLRGxp79etLt4lIZpdlFDv+VdeeKKH8kqWOk+J8WlIc8B2rEeYUjS3NmLGzkQe1Qg42JdDDAKw8hHT8MGKBFhNpKAQEwNiBpEv7z1oQs0hup9DtE8LSSjkKhSeM7UDpc7KESVgY=
01s.builders.	3600	in	ns	curitiba.ns.porkbun.com.
01s.builders.	3600	in	ns	fortaleza.ns.porkbun.com.
01s.builders.	3600	in	ns	maceio.ns.porkbun.com.
01s.builders.	3600	in	ns	salvador.ns.porkbun.com.
02092.builders.	3600	in	ns	n1.xundns.com.
