cab.	3600	in	soa	v0n0.nic.cab. hostmaster.donuts.email. 1756256399 7200 900 1209600 3600
000.cab.	3600	in	ns	ns3.myhostadmin.net.
000.cab.	3600	in	ns	ns4.myhostadmin.net.
0000.cab.	3600	in	ns	ns1.sdhpdh.one.
0000.cab.	3600	in	ns	ns2.sdhpdh.one.
001.cab.	3600	in	ns	curitiba.ns.porkbun.com.
001.cab.	3600	in	ns	fortaleza.ns.porkbun.com.
001.cab.	3600	in	ns	maceio.ns.porkbun.com.
001.cab.	3600	in	ns	salvador.ns.porkbun.com.
007.cab.	3600	in	ns	dns3.hichina.com.
007.cab.	3600	in	ns	dns4.hichina.com.
009.cab.	3600	in	ds	3841 8 2 1A4A6A003B600A0C4E062C51BE0107504F32FB04A674862CD974DC7924871104
009.cab.	3600	in	ns	ns-cloud-e1.googledomains.com.
009.cab.	3600	in	ns	ns-cloud-e2.googledomains.com.
009.cab.	3600	in	ns	ns-cloud-e3.googledomains.com.
009.cab.	3600	in	ns	ns-cloud-e4.googledomains.com.
009.cab.	3600	in	rrsig	DS 8 2 3600 20250916152802 20250826142802 21009 cab. ShlJXdfkd8qflb4gv28yIWp4ndVKbuPVZYEPz8EinuGQ/OWKftdeDhXQUsJD+AhNUe8fWIsV8Cn57uQeW5602yUfoFbbAaW9tm0yR71G3PZ3ANdEhNblQtxXE0G9wONwh1lJoIYUkaGNY5DBms38hiVLR7ojF4i4BMTUDKqebTs=
010.cab.	3600	in	ns	sparrow.dnspod.net.
010.cab.	3600	in	ns	spruce.dnspod.net.
012648.cab.	3600	in	ns	ns1.dnsip.com.
012648.cab.	3600	in	ns	ns2.dnsip.com.
020.cab.	3600	in	ds	36864 13 1 11BCB98DA288600A967DA657EAFB2071787F8F1D
020.cab.	3600	in	ns	ns0.transip.net.
020.cab.	3600	in	ns	ns1.transip.nl.
020.cab.	3600	in	ns	ns2.transip.eu.
020.cab.	3600	in	rrsig	DS 8 2 3600 20250916152802 20250826142802 21009 cab. i9MwEASM8Ulbc56NW0D/BOH4QUPiaBWQ3uGteJNtFss4blB/TGi56ycZ3FTWg3O5awMFN4Nbeffx5II6tbcRKbHwKXpRtOdFESZRrLobEm8a7bVCxWWq0cPS4qzlP6fSMFVIplxaD5xGTqWa1VnsvKL37mkiEvWzun0AvZx6qz4=
023.cab.	3600	in	ns	charcoal.dnspod.net.
023.cab.	3600	in	ns	structure.dnspod.net.
028.cab.	3600	in	ns	dns11.hichina.com.
028.cab.	3600	in	ns	dns12.hichina.com.
04fr3687ne46s56a011osep5fmq4s9sf.cab.	3600	in	nsec3	1 1 0 73 07KM316PEQ3UIOF17AKI7SM678L322SR NS DS RRSIG
04fr3687ne46s56a011osep5fmq4s9sf.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. cz3fq57PcvGAMZV4xPdERzymh8sqcZNzSgp+zVtN0FpxTfU288HM1qu17Z7oa9NQs460TfH8HCVhmuc+TVHONzUVcflpr/IQqsbtkA6sV2swWc1mF6LeufSGdbhdHs3DONemtwGSf8weaXd0WpgANSXq58Gz17Fta8eQammbUvQ=
052.cab.	3600	in	ns	n1.xundns.com.
052.cab.	3600	in	ns	n2.xundns.com.
06166.cab.	3600	in	ns	ns1.dnsip.com.
06166.cab.	3600	in	ns	ns2.dnsip.com.
07km316peq3uiof17aki7sm678l322sr.cab.	3600	in	nsec3	1 1 0 73 0934A35GJAFKM975CKH16QFOGEPS03S8 NS DS RRSIG
07km316peq3uiof17aki7sm678l322sr.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. swMdY7d0T7FH3Fqs+sYeXaH/cMohjbsRbsdZPqUuIl3brEUb1ZOtOsRwfSOtq85It6bO07PuGFPVtbfTp062KvSM+vsGapwdHmIJazzjYNX/LhSHpT2A1YvWnaijaQ5I7yBE+Wjwc0Lm1Os0xS39xfGa3ryC9wuYxkq41Wyg0SM=
088707.cab.	3600	in	ns	ns1.dnsip.com.
088707.cab.	3600	in	ns	ns2.dnsip.com.
0934a35gjafkm975ckh16qfogeps03s8.cab.	3600	in	nsec3	1 1 0 73 0DL6MDD5M3JRV2M1VJBEQCB7AQJB5FIP NS DS RRSIG
0934a35gjafkm975ckh16qfogeps03s8.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. KOAPREoP7feCqBkXHksdHCem37D/NSc6gucgkHHoLnUOaPr/6tdZKckJVdPR9uF6IcZOCrmR58hB6qBJqPtem5GHIPNeEHVQc7P9FOaHYIee9gSg+0Uko/Ub/qlPh6FmvkT2FDvOyxuuCUzXPxGxIO6MfQytZvNQUG4Nf2aoYbo=
0dl6mdd5m3jrv2m1vjbeqcb7aqjb5fip.cab.	3600	in	nsec3	1 1 0 73 0DTPQH9JIU2PDI7B8SHBLBEGJS9QRHNI NS DS RRSIG
0dl6mdd5m3jrv2m1vjbeqcb7aqjb5fip.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. cXSd5/sVw4jcQwLubBI+1zOEDbXMjl4Z5k+4FQwwDM6Q7X7rVihgyC0nTNREJPe/S4L7Qn6FTEOyxufqgwdTBkT62M39rktp1XU/++zpntsOOYpmYJjkuzWm/dBe/abBazJ9kkV6HAojOcCy1Hu/GDel49px76nTNBHcb+W91lw=
0dtpqh9jiu2pdi7b8shblbegjs9qrhni.cab.	3600	in	nsec3	1 1 0 73 0I07A0T9I7QOBMPP6I5IACA6T38U0LUK NS DS RRSIG
0dtpqh9jiu2pdi7b8shblbegjs9qrhni.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. RH9HeXyEiRoPNP1TVQOe+AvjyHBJeSRnQJYzFELWUXbMczbFzptdkNCb3eU+6TmrG8wvLlmqQdElyChmI9WEvupHV0rwEoSYrDSfnk6UYC2HyMh29/wohi1FuuO3uq7xmcVD5G4c2U+cXAUIIF5EA45SRlwKZnhMror9ndQpcbo=
0i07a0t9i7qobmpp6i5iaca6t38u0luk.cab.	3600	in	nsec3	1 1 0 73 0NF0SCPUKAD83PKSBQGR6E7U20SP2CJ9 NS DS RRSIG
0i07a0t9i7qobmpp6i5iaca6t38u0luk.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. ptfrN1taMYbr9nxNbR1RikNeUvzqz1fS348aCA+vd8cloC+nXgJUoxbs+i5aUUSTjMF+ue4vZt/AxBqCO8+w625Rq6ehhKYGcu+aAl0d/yn/IPBMX/XNPD9EIZWD3jReGop1wBWpFxgFPbVPY07a0wfMZHaedf1Zt/fR0cpOZSA=
0nf0scpukad83pksbqgr6e7u20sp2cj9.cab.	3600	in	nsec3	1 1 0 73 0P043VR5PG4ELV1JD7TJ2GDHKLNTU313 NS DS RRSIG
0nf0scpukad83pksbqgr6e7u20sp2cj9.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. HIrBMvZ7udATpJHIXTuP5cqfpNaFOdNKel7oe1lAptsBP/UU5ugT1AiIKcoe6TjOoShXw4nzGnmXu5hHu3J60xWQDmjgw1ektHw7wVNYYRaJGjNmR5C3396o1kacPsJKAwx159ScaAkS/SC9mWTelDEf8R9i5o0o4S1tmtUZW6w=
0p043vr5pg4elv1jd7tj2gdhklntu313.cab.	3600	in	nsec3	1 1 0 73 0QE0O3AVOV08DC49K7QNFPUE106D3GOQ NS DS RRSIG
0p043vr5pg4elv1jd7tj2gdhklntu313.cab.	3600	in	rrsig	NSEC3 8 2 3600 20250916152802 20250826142802 21009 cab. tUuaBpzWdm3+vS8hCzh6cohlsTd8IVIQ0tlQ4PgmCjkDLWULsqV9a8mIdlwqHXmYSl4lc8/94+20LKkQ3qTEMOb9UrYuJvqfGMBSZfY3t02aAjTXsuuyKmJefElKRjQxxnGY86vbGASrH06VDIAX8LrYInpS9iYGQJI2DosUIHE=
0qe0o3avov08dc49k7qnfpue106d3goq.cab.	3600	in	nsec3	1 1 0 73 0S6B84L252O6ASKRCTAF0NA86KG6DVGB NS DS RRSIG
