cafe.	3600	in	soa	v0n0.nic.cafe. hostmaster.donuts.email. 1759366706 7200 900 1209600 3600
0.cafe.	3600	in	ns	bob.ns.cloudflare.com.
0.cafe.	3600	in	ns	may.ns.cloudflare.com.
000.cafe.	3600	in	ns	lionel.dnspod.net.
000.cafe.	3600	in	ns	mule.dnspod.net.
0000.cafe.	3600	in	ns	dns1.registrar-servers.com.
0000.cafe.	3600	in	ns	dns2.registrar-servers.com.
001.cafe.	3600	in	ns	gail.ns.cloudflare.com.
001.cafe.	3600	in	ns	ivan.ns.cloudflare.com.
0049.cafe.	3600	in	ns	docks16.rzone.de.
0049.cafe.	3600	in	ns	shades07.rzone.de.
00852.cafe.	3600	in	ns	cass.ns.cloudflare.com.
00852.cafe.	3600	in	ns	elliott.ns.cloudflare.com.
009.cafe.	3600	in	ns	ns1.dns-redirect.com.
009.cafe.	3600	in	ns	ns2.dns-redirect.com.
009bet.cafe.	3600	in	ns	byron.ns.cloudflare.com.
009bet.cafe.	3600	in	ns	pearl.ns.cloudflare.com.
01.cafe.	3600	in	ds	37787 8 2 EF2057AFCB924C69B0BFC04D3DA718E32E49F9D6122478688AA71BF111562985
01.cafe.	3600	in	ns	ns-cloud-d1.googledomains.com.
01.cafe.	3600	in	ns	ns-cloud-d2.googledomains.com.
01.cafe.	3600	in	ns	ns-cloud-d3.googledomains.com.
01.cafe.	3600	in	ns	ns-cloud-d4.googledomains.com.
01.cafe.	3600	in	rrsig	DS 8 2 3600 20251022152358 20251001142358 5868 cafe. XcqqmSZa5+FOBFMAC/ivEUKO+SULIBthnY5uweS4MqGW1GRP/4zaI5LepuIJ3vHEVQZ1eojaa/d2DweifhIQOuk9ZFTkHlaU81SPnTLRCDu6zzE/zfdCmNTdZIHsOf1PvSD68aCYpUsfFNNFGnDD2H4PefPkpFFZjenbR/dIoJ0=
010.cafe.	3600	in	ns	ns01.hostnet.nl.
010.cafe.	3600	in	ns	ns02.hostnet.nl.
01fiu4c3fhldmuirkl55d0vdo0mphcvr.cafe.	3600	in	nsec3	1 1 0 73 02S60HA1TI9MOF14KDPS0PE3436PVP3F NS DS RRSIG
01fiu4c3fhldmuirkl55d0vdo0mphcvr.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. dWXY04DpHQ0f8Zv4ySitty95QJow8lvzJyOu55YdfHVu7cQifgiEoOJYVQkB8dsewOPfEj/3y7rmJJ8SgYii2r8ma451SdZ0AaPKxwFFede4Q5fr0Q6we0c3txRUXRYF1q1kPFYCINGNp94dnAZcMbbvi8izTKxWAutJ2j/R9FI=
021.cafe.	3600	in	ns	ns3.myhostadmin.net.
021.cafe.	3600	in	ns	ns4.myhostadmin.net.
02s60ha1ti9mof14kdps0pe3436pvp3f.cafe.	3600	in	nsec3	1 1 0 73 035OCCVELGOMOCASAL4I913RA84K6RCG NS DS RRSIG
02s60ha1ti9mof14kdps0pe3436pvp3f.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. o5SORvj7GgkVUYNqdWI9ciCMzmbNDbMl4Oxl4q1stzjs6Dqq9VVc52FxTFTCJgha/XS2UtIaVkcBhwZ+/isjei886G4b+FXgKPLS29NIE7uxeSGpKC3/U4GwF7pmPBuqRVHDC+4mYDu5hUycENxK+27Pm99LJRnIRt6bm9kUREg=
03031001.cafe.	3600	in	ns	ns1.dyna-ns.net.
03031001.cafe.	3600	in	ns	ns2.dyna-ns.net.
035occvelgomocasal4i913ra84k6rcg.cafe.	3600	in	nsec3	1 1 0 73 03VQMNIDIJ7AA3L04LGB5UAR7H9RDIK7 NS DS RRSIG
035occvelgomocasal4i913ra84k6rcg.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. WLrpvalWaegDt0A7OAlBWECDx9JK+jeF5Vw2aM3kpQnQCJ4F2YjO8kl/K1QsVzqA+T+Eajmk7nZbrm4TR3xtWYs2dVmTTJ1q40yaudMoHSsbyZDd5JZ7X24+D4B7D18ES6s583WdnJmEvlI/Dm1u4Zn5baOajYV9QQwWmWFvIes=
036.cafe.	3600	in	ds	26646 13 1 4ED1D0533C16C29CCCAE3D341666E0F7B2F600BE
036.cafe.	3600	in	ns	ns0.transip.net.
036.cafe.	3600	in	ns	ns1.transip.nl.
036.cafe.	3600	in	ns	ns2.transip.eu.
036.cafe.	3600	in	rrsig	DS 8 2 3600 20251022152358 20251001142358 5868 cafe. J7MAYIp5eUZEHhYTuApnPEfQ1ZNTGAXM5dgVJcRfmGZpeD1sypAnycVBM0WdJa9Mytwgy5LGVbqY7bJeXV9KgGKnHlGX/ufVZjpIJ4efHadJCA86jw/JZnJ4d8rtJqXgKGbRAai86HTw+V0zn4AN2dsOicX1BMC3TmIfqr2QNEk=
03vqmnidij7aa3l04lgb5uar7h9rdik7.cafe.	3600	in	nsec3	1 1 0 73 04C570LE78CVPN4VVF6EG62HC759OD0V NS DS RRSIG
03vqmnidij7aa3l04lgb5uar7h9rdik7.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. E7xeEyLQZ9TqKHhYK84+CD+i51Cu/PjEUdW+IaYce3YOQdhplP0Y4T33Sv4DloqpwzWloc+hrgexZNb27X6eCxrt/bRWjVi1+hMsWGMj5OPmAb4jm6iONvInx0QBQfAJOu3wI08MpMXJjTk/zH/9gRMRk/Hvr7gwUacB3iW1PTw=
04c570le78cvpn4vvf6eg62hc759od0v.cafe.	3600	in	nsec3	1 1 0 73 04TA0ITHJD7RUKIJCQ63IBI2TTNHVG7B NS DS RRSIG
04c570le78cvpn4vvf6eg62hc759od0v.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. FqzAaEQ6976ADNXjH42gmZaLNdeRaCSnQhlG5jUPD4u0a0gqgku1Ik59ovvezY1JHrfjkol6lO8linowTg/Cd9fBdrdRFPl1Cu1yyIny52fNTiMcaxTS6b4z5RrhurbBih9DLoqoH7RZn8KSAPN+U3Fl71WN/QJpzC92m0YUYyI=
04ta0ithjd7rukijcq63ibi2ttnhvg7b.cafe.	3600	in	nsec3	1 1 0 73 050Q1SMOP06FAVCP2K0LQEKTNTS3H3R7 NS DS RRSIG
04ta0ithjd7rukijcq63ibi2ttnhvg7b.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. YM0GFMq7MhFZ96PJ2NY4pOG3nKoAMN0CgZ3JN7pyZSJQgIAaiVTwDhTIvM3kbhBriIeoN9WQ9v+Le12RwyA/eMjIyW1yRy7Siv5mvVI9vSIgQH0y/4KIky+n+khRS1JZfHr3FUkRz4C8+Ds1j7azSfRoYchIlN05JfJVJHi9tP0=
05.cafe.	3600	in	ns	dns25.hichina.com.
