capital.	3600	in	soa	v0n0.nic.capital. hostmaster.donuts.email. 1767661098 7200 900 1209600 3600
0-1.capital.	3600	in	ns	ns21.domaincontrol.com.
0-1.capital.	3600	in	ns	ns22.domaincontrol.com.
0-8.capital.	3600	in	ns	ns-1333.awsdns-38.org.
0-8.capital.	3600	in	ns	ns-1636.awsdns-12.co.uk.
0-8.capital.	3600	in	ns	ns-425.awsdns-53.com.
0-8.capital.	3600	in	ns	ns-941.awsdns-53.net.
0.capital.	3600	in	ns	pdns13.domaincontrol.com.
0.capital.	3600	in	ns	pdns14.domaincontrol.com.
00.capital.	3600	in	ns	pdns07.domaincontrol.com.
00.capital.	3600	in	ns	pdns08.domaincontrol.com.
000.capital.	3600	in	ns	dns101.registrar-servers.com.
000.capital.	3600	in	ns	dns102.registrar-servers.com.
000o6ujttt7kc8d41avfuturuag5oujm.capital.	3600	in	nsec3	1 1 0 73 0056PUHCH9IUN6HOGAVC6DP11U4JQFID NS DS RRSIG
000o6ujttt7kc8d41avfuturuag5oujm.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. O+F2vRDy7kMOL7aSGOOebzKtSqLY1bXAaR7oY6yySVYJF+/lIKdeD3NO8whlst/1W/+/w1i8yJBGM6QoTvphbLR1PyZbYVcSfcmuo7sZfopvUS4Ey0fGPhMhYWT60y5m9J3PAeZuUzzDfr6ORnwuIR5u6KQUxqUCYTgfLICI5/c=
001.capital.	3600	in	ds	1444 8 2 18543B39B3247C3B392EA22F1266BCD4E30145F5CC24528EC0E6177D64A20106
001.capital.	3600	in	ns	ns-cloud-c1.googledomains.com.
001.capital.	3600	in	ns	ns-cloud-c2.googledomains.com.
001.capital.	3600	in	ns	ns-cloud-c3.googledomains.com.
001.capital.	3600	in	ns	ns-cloud-c4.googledomains.com.
001.capital.	3600	in	rrsig	DS 8 2 3600 20260122152720 20260101142720 40794 capital. uylnjU5T0d7/WGQAZzQfcqPkknQY/8GjqqmgGEwafBuAWxBnHrjrUu5M1hRWm1YTBHSRzAUOS6Txz+LvypW8OpnizMHYf3Q5U5lkltJfnKDAn/hLuUYJ4tdefbIt74WS+UNeSi9eaRWURopEf+j+CQZEWCP5gW8mp31upsuxzfs=
0056puhch9iun6hogavc6dp11u4jqfid.capital.	3600	in	nsec3	1 1 0 73 00C0JRQV0VB7RMEUVHSEAI98RBM41IBL NS DS RRSIG
0056puhch9iun6hogavc6dp11u4jqfid.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. BjkLqy9nLjmxxjFtPwqd+lcavaHjpi+ou8oSi/BI/C2t/IFGEXN+miOZbW+qNnzr9JRzNmUwgQA1f5av0wZIccK0L14H6zXt1laa2Nl0Elf3IQUFOMKZP8Vq+hw5GoYI+Mq/u0za7eJQfGHqJQawMo0DmwvSsEPuSsKjLRkcbMY=
007.capital.	3600	in	ns	ns15.domaincontrol.com.
007.capital.	3600	in	ns	ns16.domaincontrol.com.
008.capital.	3600	in	ns	ns.hostpoint.ch.
008.capital.	3600	in	ns	ns2.hostpoint.ch.
008.capital.	3600	in	ns	ns3.hostpoint.ch.
00c0jrqv0vb7rmeuvhseai98rbm41ibl.capital.	3600	in	nsec3	1 1 0 73 00PLK4NA4V4I76IB69F2LC7H5IMD223Q NS DS RRSIG
