cards.	3600	in	soa	v0n0.nic.cards. hostmaster.donuts.email. 1757638833 7200 900 1209600 3600
0.cards.	3600	in	ns	ns1.dan.com.
0.cards.	3600	in	ns	ns2.dan.com.
001patprkpkebuglfsfnkn5287qmi6qk.cards.	3600	in	nsec3	1 1 0 73 00KTA2CLQ30HUMK0KCT5F77GPUINDOU2 NS DS RRSIG
001patprkpkebuglfsfnkn5287qmi6qk.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. YQDC500+h7abPAoQX/OUaP7ISZSRsMuu39N7A61/v1oG/yFRmzr6I60MtqqxZwBQzVOGGCWZbUMM31lhRZxynPQxvtya9XkEyar90uRnFOnHN1vfwYDQTKYsxlFAV07Qe6aePgu9kVbL7oBVmIV68/1X1RcvAVzilROEKLvawiY=
008.cards.	3600	in	ns	audrey.ns.cloudflare.com.
008.cards.	3600	in	ns	casey.ns.cloudflare.com.
00kta2clq30humk0kct5f77gpuindou2.cards.	3600	in	nsec3	1 1 0 73 01UAEJ5QHGB5QRS4JR0OVC104L7J9QN5 NS DS RRSIG
00kta2clq30humk0kct5f77gpuindou2.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. LikxECFOMWC++ubuFKdan2gIM2HDjnzdjjX+gMG6O92Sdwc1YNErYXrs+n9CdgE2pv7PjmD6BhHdrstSTPPCnXfVopdjUWIqOtnt1Zn8wi8r3CCVxzU9P9rDSlQDA46raQvx9pJVbLtVeKQ8ADDsTXIZHvjmyWv0qgts1iJgGwk=
01uaej5qhgb5qrs4jr0ovc104l7j9qn5.cards.	3600	in	nsec3	1 1 0 73 03OEA4G9CL56UVPJ46KL4VAAI4K91LC3 NS DS RRSIG
01uaej5qhgb5qrs4jr0ovc104l7j9qn5.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. GBoi2hxZcwyscVcE6y8JGqKW9JtIqit51TYHjEbVBjRWveKAhcUENEpNw/gKDHrHcoGSl7+KaSDTnuPi6qGUE7+cemHFdIxicNfXAKNcWudkfvoUvXls6VIbjFCMVxerxdrmT9VmlwZSoKZ3A3NAxOovdvLwrcWGA1I/idO89E4=
