casa.	900	in	soa	a.nic.casa. admin.tldns.godaddy. 1757034178 1800 300 604800 1800
0000.casa.	3600	in	ns	dns1.registrar-servers.com.
0000.casa.	3600	in	ns	dns2.registrar-servers.com.
0001.casa.	3600	in	ds	25310 13 2 1850885CA4D91093677B8039CB253E442A70CE819417F696DDF3AB0CE9BF1022
0001.casa.	3600	in	ns	launch1.spaceship.net.
0001.casa.	3600	in	ns	launch2.spaceship.net.
0001.casa.	3600	in	rrsig	DS 8 2 3600 20250918141144 20250904131343 36348 casa. ic1Qfegbu3/beWCV4uw6rt/NUAj9h3fxD3ptd/pKN6V2v+/upcpxt9F3jvpbgKqUMbDZ7W5my4s9TVMqckUHntwanWR2lxH/j8pyV0k1XIQTWTIHpCG5widhYHag34zDeHYMqWoynFqWUKJdMNHZ2xS95hXkNE773vIpvnWUQUxapKk4qiCmc/IgYCjRd2TomEoUTR8qnKiM9lhCohATIQ==
00010010001101000101011001111000100110101100110111101111axyz.casa.	3600	in	ds	46940 8 2 1F8AE9D9E5A457F009934D524D03889A54A1708BB8FD6E1BF89CF23A33E28749
00010010001101000101011001111000100110101100110111101111axyz.casa.	3600	in	ns	dns19.ovh.net.
00010010001101000101011001111000100110101100110111101111axyz.casa.	3600	in	ns	ns19.ovh.net.
00010010001101000101011001111000100110101100110111101111axyz.casa.	3600	in	rrsig	DS 8 2 3600 20250918062527 20250904053338 36348 casa. dlEd8eQStuzhvROuxfsLHrwC8IuJZHHKEuCokUwaEt6WT2O6kP1F0YsxpehmLnWbLFaG8gtFZJkGxbHusKOH5UUaGU+RJ96r6htpdARCxTrrOfIYMXkb9QeIZcjAVqMfhthPi5GMS5Ph4+KcQSrTtkBfAFoV73kaiiQNJFB0cGR/EX9kuJYq0h8JPmRfowDV4YLdZzEllH4dCljDV0TUUw==
000et74evesjbu021q97dd7pa5kfnqre.casa.	900	in	nsec3	1 1 0 - 007RNF0KDJUN7I95FSP360IL2VEJ418J NS DS RRSIG
000et74evesjbu021q97dd7pa5kfnqre.casa.	900	in	rrsig	NSEC3 8 2 900 20250917103435 20250903095638 36348 casa. rJVAgwLC9d/v2THRxaUyIn0n5XZYX5pVQF6DA02pnq1CHvbhmDy+fvmUZJq/Zj43h6KTmENcHzWHjYXg8EApOG9X6MdZJOjjvVuqzl/tLmN9AvNPcGWThg8u6Edm8Dki47HQMSajpxSN8C5eMjLnbCyUCMkdC+OjfkQggUvN0sdwoDsBFnVlNjCh5iQwh6+flCkX1Yzlf3mJ4bTXRVyr9g==
00500.casa.	3600	in	ns	ns1.dyna-ns.net.
00500.casa.	3600	in	ns	ns2.dyna-ns.net.
007rnf0kdjun7i95fsp360il2vej418j.casa.	900	in	nsec3	1 1 0 - 00B1AUN54CRJFQFIP9AC0K1DU50OI0JN NS DS RRSIG
007rnf0kdjun7i95fsp360il2vej418j.casa.	900	in	rrsig	NSEC3 8 2 900 20250918150800 20250904144110 36348 casa. poYaT/m6AVfcJbDn/zhJWNaoAQhJIP7gbyb8/WezBYF9XY/55jL45WwsYcnqrnhwlHYo8CmO0XQUg6dyoOZRC8JmFMzOzG0V82qzKgGTs3VuHgyYY/GBTQvpu3L/GNNqplrMiyUJ+E5N7/wNzpBAlhSShS5NYLWLJXWUQFNx5aRbhyDFoUBFBuYuFmdvISWzTr5dy0kwa/cSgPXTOarb6Q==
00b1aun54crjfqfip9ac0k1du50oi0jn.casa.	900	in	nsec3	1 1 0 - 00SFIJ9FCAC5PIKHA3IUMVDAJFIM5UJI NS DS RRSIG
00b1aun54crjfqfip9ac0k1du50oi0jn.casa.	900	in	rrsig	NSEC3 8 2 900 20250918150800 20250904144110 36348 casa. rZtLrLgBf1Sr5cTSnRC9zNZk5uv6n9GoEG1JGyiTJ5oObq5he719dOCJjWlQm5dm7E5Bvok7VgpGEmzNJ+9/DZldJjIFoNbUcYxLGgkdiKdND+lmMIZ1jnNSMO7P8goGJFLp42UDIzb66ruP7HeyadsmCRokko5j9QJIuvnFrjSEw8knw41zSXVU/ZkRrtapUld+WEZq7X6qr+k/Rqaqzw==
00sfij9fcac5pikha3iumvdajfim5uji.casa.	900	in	nsec3	1 1 0 - 013P7792G0VN9CF58J1BHPHQUNN6CKP8 NS DS RRSIG
00sfij9fcac5pikha3iumvdajfim5uji.casa.	900	in	rrsig	NSEC3 8 2 900 20250915101437 20250901101216 36348 casa. HWTTfE4o1uAlvp2lsVxnMjNCXYi57GNb6gwRwItFxkguoUO58mrhuhv1mvLnooZ/pfmhkXFkyzpa5F5+ZiVY1h52Vd+V2yoF81ugZlY1fcHrP5whcGtABNwtdSyvqHchsd8L1zSEvMvrK06spm4BhGfRoGVphgwGBRkflXOdUF+ZFFE/9IfBoMHPPm2QyqauWY7zbIeMFBgr/FLvTGDyfg==
