cash.	3600	in	soa	v0n0.nic.cash. hostmaster.donuts.email. 1759366662 7200 900 1209600 3600
0.cash.	3600	in	ns	ns59.domaincontrol.com.
0.cash.	3600	in	ns	ns60.domaincontrol.com.
000.cash.	3600	in	ns	jay.ns.cloudflare.com.
000.cash.	3600	in	ns	lila.ns.cloudflare.com.
001.cash.	3600	in	ns	enable.dnspod.net.
001.cash.	3600	in	ns	lynn.dnspod.net.
007win.cash.	3600	in	ds	33506 13 2 FFEF9F94BE76F253C0AC2B280739272B439869B826B6ADE29C73FA5517B9870A
007win.cash.	3600	in	ns	launch1.spaceship.net.
007win.cash.	3600	in	ns	launch2.spaceship.net.
007win.cash.	3600	in	rrsig	DS 8 2 3600 20251022153432 20251001143432 24780 cash. kaqeZCwK3ju76Uf9IYeUXOg1CVaUfjAVKkZZZTfMjhxaDaAFBRgQlhhMM7IQDNFpJ7t7gLUVt1089rB8pS9z+CfMTVxWUtzCvTEg+7xMRh8JxnaaEESDgkg0nE5fHaxPm5w3Dds/8ApiyToav85LT2n+yXSYoevcBea2tQlj2BU=
008.cash.	3600	in	ns	brynne.ns.cloudflare.com.
008.cash.	3600	in	ns	dane.ns.cloudflare.com.
009bet.cash.	3600	in	ns	ali.ns.cloudflare.com.
009bet.cash.	3600	in	ns	gabe.ns.cloudflare.com.
00g001q6lu01o7hjp35ks646gqv9b6kj.cash.	3600	in	nsec3	1 1 0 73 02N9V25RV59KO62FG8CV04SFSIT06K5F NS DS RRSIG
00g001q6lu01o7hjp35ks646gqv9b6kj.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. GQlhoFEPYmA1o+Nm6Lwl5N9DhiGK3u5wRvu87Ra4ozhBVIl9sYgatNmF0Lq5y7z3I1wtnFJFzAjO4RsQnl+aCKKwGzrg6ZilY76KG8oeM+qajThcshI1+TyKuFdUe4poWHAAlD1KuGlHL+b9MFAdPIBghjJ6sJaQjqxsG+qHcFo=
01.cash.	3600	in	ns	ns1.vercel-dns.com.
01.cash.	3600	in	ns	ns2.vercel-dns.com.
02n9v25rv59ko62fg8cv04sfsit06k5f.cash.	3600	in	nsec3	1 1 0 73 08CF5GIJ6E3L1CKS7O73KBFNG33GL6E2 NS DS RRSIG
02n9v25rv59ko62fg8cv04sfsit06k5f.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. SZ6B2mpGJqbuXlIYnxfGH6Z0wPkRbstSFUUUkTvYrSOi6SQ1G5/ntiTXZk+HvfK+TPxyFSCZOAHVfNpR4Q766gbZKYIpruKLWgy9jJXR++ufwxzpEyNsBts4Ql8BzASj7UBsy5wTVm+eRw5X7UpJrYePFFVjhs31JUKZg/GbtbE=
0755.cash.	3600	in	ns	dns1.hichina.com.
0755.cash.	3600	in	ns	dns2.hichina.com.
085.cash.	3600	in	ns	docks17.rzone.de.
085.cash.	3600	in	ns	shades14.rzone.de.
0898.cash.	3600	in	ns	anderson.ns.cloudflare.com.
0898.cash.	3600	in	ns	noor.ns.cloudflare.com.
08cf5gij6e3l1cks7o73kbfng33gl6e2.cash.	3600	in	nsec3	1 1 0 73 08SIO96SSVECA8178UQP5GV968NPRBMS NS DS RRSIG
08cf5gij6e3l1cks7o73kbfng33gl6e2.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. AQnSfzYUHdvMTyD1/f4hfXOB2kfeKHbK7McDR/QCUSMwOWVSU/+q4Vt5AyeCfHdaLEP08HmcXDCoQ6d+YGQtdUjOzyD6GBLK8ghhSLpp541Q7/y9hyhWeDIhKHnj7zE4IgP47oJ73NCtKBKdbQSvEgu7T7LhB7MRVpRImacMkGU=
08sio96ssveca8178uqp5gv968nprbms.cash.	3600	in	nsec3	1 1 0 73 09A7VGNK5I6MTKB5A7TQRABH53J4OG9J NS DS RRSIG
08sio96ssveca8178uqp5gv968nprbms.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. fUkhK7cSVaeqI8LOgOjrpKqTYZs0z8Sbnrac7tArMQD/i2HQi25OEZ9Wg5av6ZFVxvkIRxJotblFmDp/tXtEUX5OXuKP77+lw6cgCeF7IQmhavh9lkrOf6a5eZbzQ/5pWfEOBAbittgQhoxHsBFsSKqjD3z6yn12p5Bm8GHOmww=
09a7vgnk5i6mtkb5a7tqrabh53j4og9j.cash.	3600	in	nsec3	1 1 0 73 09JG87G6V1O8PARL1TTT6LE5KDD2QU0I NS DS RRSIG
09a7vgnk5i6mtkb5a7tqrabh53j4og9j.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. t1Up1yVi1JXOS/y/l1c19JufnMxciRCNMES/BAsMh0o+ybEoaVtJCnfJbAG+rZidUr2lpM/4dtwKmd371iNqgDsUFcR+RYINSEG2VmEGzhBV8IHafUuo6BFR3/81vxZcbzj4GHOBkG7WGMPRgbtHfE9bW0ZQT2EUOnQsyFCSbdY=
09jg87g6v1o8parl1ttt6le5kdd2qu0i.cash.	3600	in	nsec3	1 1 0 73 0AFI44S65DIRBMDJ46OIDUAHHEIO2MJN NS DS RRSIG
09jg87g6v1o8parl1ttt6le5kdd2qu0i.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. pELGzuyTM5T3lbmmXFakAu594buROu80a/+IrSaP0f0M5JNkVoMNEUflukjTqpG3i6IIduiF44q8MJRq4uwN1iYML9lQFyTA+/xFyLVPXoy7w6M9AOaAMQA4SpjuDb4jq7Z5O3ANivFbqzs6g4n4HWRP/U27AChmgaHkX4b781s=
0afi44s65dirbmdj46oiduahheio2mjn.cash.	3600	in	nsec3	1 1 0 73 0BG1NAT1CG2V7LPGTRTET1N2HV56BGR6 NS DS RRSIG
0afi44s65dirbmdj46oiduahheio2mjn.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. uO6MJV9rjmsouMIdFF9SExJkAgImuQqaY99YpIWlxmxbN76DKpTi6rNQ0xWsSXIgnHP1JPNYgtciaV5bWHJ66jneolAfY/7ZkmZZuRiajwqRiJmRscC6rJ/LryFq8rRDX5FB4FVv2gYV8X03RUpWS16Emy9xzwpRbR++XA59EAU=
0bg1nat1cg2v7lpgtrtet1n2hv56bgr6.cash.	3600	in	nsec3	1 1 0 73 0C97PINQTNB65KCMVLR7SGHMMO6M6OL8 NS DS RRSIG
0bg1nat1cg2v7lpgtrtet1n2hv56bgr6.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. MpY5kTlARh+MAZW0OenRUKpVsOZzO7uGF15ol9BY9kGZ0VQb98Ea8JuvsUNiLHudkYMRxnJNpbl9O7zsn17hErSZw8FU3CFVfXJiMY3L/DzKEnmyh3JdwYTVZLk/pn0ghudlDVfGqDAjT4ZQKsGSXp2BwEHLDd3HPePNph2rz38=
0c97pinqtnb65kcmvlr7sghmmo6m6ol8.cash.	3600	in	nsec3	1 1 0 73 0CASEENB4EJIN8V915OIFT74GUSUJ976 NS DS RRSIG
0c97pinqtnb65kcmvlr7sghmmo6m6ol8.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. egrXvDcYZOAy6yZlNSpzHrHA84lWtjyKtRFKkanJunNsrRevmF9JQyWKL9gJx6QFom2zYsw12ADg4nLosVKWxjqFuy/E12j1y/K8aRsRgkLrOeGhKHLP3uccPMyBugp8/TUyder7jhLwR7llh6O88JQmXtK7EdJRMahNAwBvODQ=
0caseenb4ejin8v915oift74gusuj976.cash.	3600	in	nsec3	1 1 0 73 0CD2G9QSM0D91S2H5G6Q1TNIL91IPKBJ NS DS RRSIG
0caseenb4ejin8v915oift74gusuj976.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. iTo5V33EuEUDG//Q3P6LfHJwSxxI0yUkqtU2y+xmBLlqdvQmY/RegfjtNFffWMMPN2WzhpTa04mS3AiCerJz/P6WtwPMFfJMvUIBlQVynvFLCKaptbP6Ie7NtD6I70JLJ24WmqujBz8bt97Ta64m3f8InaXmsSiWtwCmAozXk4A=
0cd2g9qsm0d91s2h5g6q1tnil91ipkbj.cash.	3600	in	nsec3	1 1 0 73 0CN7O66P67LRQA6MEEVHLL9Q3LFLRDK6 NS DS RRSIG
0cd2g9qsm0d91s2h5g6q1tnil91ipkbj.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. aPsxkDety0D7T3jwss83ay63sWJlSO7ne/zuekZJ6kG+ZsPGVetDJ7r7dub3ZssRZRV3T1v2zu4ZdyWvBSEgX2W5eajcQ7ct9uETqGRZjTx9APvnskCIfxAOftJbWSd1C3jah5YlF/naRehQQo2kI2nx9sfKOKoUZfp4XBPBv1c=
0cn7o66p67lrqa6meevhll9q3lflrdk6.cash.	3600	in	nsec3	1 1 0 73 0CQI55JGKKI10TM6618NPRMNAKEJFU06 NS DS RRSIG
0cn7o66p67lrqa6meevhll9q3lflrdk6.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. vDso2oF/4Rh7H3lWgLgzM7DeSVlPJlk457J+6VO31T2LwTKnqlRud5i+6TnExZQxKRBylRQpGKK+3zh1f4T6AWBtD1r2jPnb46eIJE2czdxPGalmVs8Xwj3uq3ZZH385VznkJOCwHIvM9b8APpzGaPDo+IhbYfhBtzJdD+jxEK0=
0cqi55jgkki10tm6618nprmnakejfu06.cash.	3600	in	nsec3	1 1 0 73 0CQM13TA1ECF7S9AO50M1P6PDBJ3QKDE NS DS RRSIG
0cqi55jgkki10tm6618nprmnakejfu06.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. NC88/t08OinpxhiJHNp+dQFCuityrnt66K8HMaBWe97gKhjVpUONVLKUPC6dJNF8shQYBwmMfA4yifskULlN38NuM+0Ou5OyF1gL4z6fffjbn0hUr+CG9jGHbygOsokfLbodtQd7u7OtzoBAA9cYxOo1WQSv7Fhhcx9k5R1qisQ=
0cqm13ta1ecf7s9ao50m1p6pdbj3qkde.cash.	3600	in	nsec3	1 1 0 73 0CQNGG0KQ14QJ5U6TTQ1SFO8J97TM2AD NS DS RRSIG
0cqm13ta1ecf7s9ao50m1p6pdbj3qkde.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. KSu02wpeoxHU5/BKWLO8QjIPZoLea1Qq9ibieUfeOw/meCBTGHB9xxrlaswwK8zQbrNNpJIMrDWgh/KlRIMaHgVROVpqZtxCgdRlJSj+R7re22bCvvlKtpYFgX4SKVjTDLVQWj77xsAz4bLeO46H4OEIlo0P1WT0DcMPIdZYxHU=
0cqngg0kq14qj5u6ttq1sfo8j97tm2ad.cash.	3600	in	nsec3	1 1 0 73 0DLU43OJRD6DH70J34BOI2SQRIE4CQQT NS DS RRSIG
0cqngg0kq14qj5u6ttq1sfo8j97tm2ad.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. XKh8KNX1XwspL6S3lrOGNQcoYkijiiVjDdpUJEh+NRucN5kdJj02qnSmx8qCoZ0V0slhhv9m0BibWxDA/njYeY/vbY5Ct6TycspQrqe9AxMp8eqW+IudoVDlEec3p3Zz3HnEQ+KsBYBmFSo9/r/Hk5BZy0/ZoiGy5NwiUy3EhRk=
0day.cash.	3600	in	ns	x.ns.joker.com.
0day.cash.	3600	in	ns	y.ns.joker.com.
0day.cash.	3600	in	ns	z.ns.joker.com.
0dlu43ojrd6dh70j34boi2sqrie4cqqt.cash.	3600	in	nsec3	1 1 0 73 0FSQF4I89PVMJ35OV3VGFEUAJ5OS1TB3 NS DS RRSIG
0dlu43ojrd6dh70j34boi2sqrie4cqqt.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. VE7YHz0Catchp7sfdl1peLabs1Nw8QffJ2j+JO8JgC63eEsKX8p7B1p87/uXaj1olvebY87H/S/rE19vC81nZO+k5zHjA7FRgHL+7jfQKlh9jG1tLLjra/WSEiw8NInL424tD2jP6jjqPNygaTmT7qdOhI4M8Eyf6Lupt1gyjGU=
0euro.cash.	3600	in	ns	dns1.registrar-servers.com.
0euro.cash.	3600	in	ns	dns2.registrar-servers.com.
0fsqf4i89pvmj35ov3vgfeuaj5os1tb3.cash.	3600	in	nsec3	1 1 0 73 0HGU05STTM6O2ROMSM045U44FPNB0UAO NS DS RRSIG
0fsqf4i89pvmj35ov3vgfeuaj5os1tb3.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. BWFVKU7/bKCfrGMFardZvMBaCu/eS26DdVLJISDc5eW4u+uZc1HLsImv1Cj6s9Vmuwh6dwBzq09LbXR0MuJHbjtp+KeSZaNGH/rs1F1nelmFpIBcWk0ADUz/IVRJm1IcN51UDqCXjEGXFZxHDAnPoQTZBg6AzmYnUSvxNeUpfbc=
0hgu05sttm6o2romsm045u44fpnb0uao.cash.	3600	in	nsec3	1 1 0 73 0I87CTV36FHCQRBUTBFER0551C8E01AL NS DS RRSIG
0hgu05sttm6o2romsm045u44fpnb0uao.cash.	3600	in	rrsig	NSEC3 8 2 3600 20251022153432 20251001143432 24780 cash. e6m1VO2xE9VZOALoEYjgo6JlKI9tPxtoG9a7Iq8L+a7DAFOejLKgKA9EZ+jIvsM/sTWalhFoeK7wrwVGP7pK/i3vo7Ztaq60zcXnh2PoE4QRS2lpMHvSB/piv4LfB/wI+H1XvvxXYAqWGPlPZRWNy2jwJvnY0J56uF7beXD7Tj0=
