charity.	3600	in	soa	v0n0.nic.charity. hostmaster.donuts.email. 1756256463 7200 900 1209600 3600
01joyfulfoundation.charity.	3600	in	ns	ns41.domaincontrol.com.
01joyfulfoundation.charity.	3600	in	ns	ns42.domaincontrol.com.
02vimrvighh5472d9oumb8ms3uvf1bde.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 053BULI35V4OIQEAM4QEHBE864QKT7VC NS DS RRSIG
02vimrvighh5472d9oumb8ms3uvf1bde.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. lc8mos8XzYmmlRjPGwd5b1V5hjZsjlX/xAgZDi67BF+4Q1oUoG4gnlBHR0C651XeLJjSt6/Hgss4x8hoZI8v4mtl7uXhgBusGt8Fds2qtwPNQktftPgTpuCYZ7ofv1q+jXUgwceWPrhEsCEigqauVuuSFS2rYwnlad+0PLI2/+g=
053buli35v4oiqeam4qehbe864qkt7vc.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 09SLL80M6CA7F2V819NB0O0V5JPLRT63 NS DS RRSIG
053buli35v4oiqeam4qehbe864qkt7vc.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. eU5k0xccnn6YahaPElhs85HYuP1mKVMwUd9DoMK2NVZKvpSFCrKcWf8/Fh+Jb6CV65qyyXsZishHYo6a4Wx34m5WfE3UaVUNuoHRYSG7DMlG0thxmZqwsxMNNeoQPPcwMzh6VqRQe/ggUQYVNaZi2GKF/WZKI83VNU6IRRpMIPw=
09sll80m6ca7f2v819nb0o0v5jplrt63.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0AM4R04U4JV8AJOH94O4CSTSKH8QOF2S NS DS RRSIG
09sll80m6ca7f2v819nb0o0v5jplrt63.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. BI0A7tqQDyIJAkKxpsIvlEp3lyHoVnp40bc2fERI1Dt5C3/szyFyy8nEODAGsVhlcN7briVrA3lNzJmGhSBIqpv6SUpggeItL6m9C26M6pmQoBZ1JiznNIMqGPIc/O8L8rHOTtLrxynbj38rekNTmCj5vqjIlx4Zif5d2xqj584=
0am4r04u4jv8ajoh94o4cstskh8qof2s.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0C01VRJQ4TH27G980ME7LE394FISK8TS NS DS RRSIG
0am4r04u4jv8ajoh94o4cstskh8qof2s.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. ndc5hpHPuVgMhHWw9uNmTYxaBmzPDFBvFEXwObu8kbzwFYTFmDWA6J5tPuD9JAoZy41nqyy305byNeOOoac4BKK2N2DgHmg/qtO5JDJCH54tWFsAlWdvJFy3pFeXgSmB+2KdeTYvA0BpLWF38x52JoVw0WgO+qJXeGlGuu9oreU=
0c01vrjq4th27g980me7le394fisk8ts.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0CKC7Q5EVUI4TNG12GI9LDE0SQKL1R8U NS DS RRSIG
