chase.	900	in	soa	ns1.dns.nic.chase. admin.tldns.godaddy. 1757029022 1800 300 604800 1800
1stbanking.chase.	3600	in	ns	ns05.jpmorganchase.com.
1stbanking.chase.	3600	in	ns	ns06.jpmorganchase.com.
1stbanking.chase.	3600	in	ns	ns1.jpmorganchase.com.
1stbanking.chase.	3600	in	ns	ns2.jpmorganchase.com.
1stchecking.chase.	3600	in	ns	ns05.jpmorganchase.com.
1stchecking.chase.	3600	in	ns	ns06.jpmorganchase.com.
1stchecking.chase.	3600	in	ns	ns1.jpmorganchase.com.
1stchecking.chase.	3600	in	ns	ns2.jpmorganchase.com.
92l6bgj2e8v1q2ndfskji4ssp0r8up74.chase.	900	in	nsec3	1 1 0 - MA7O4P2N1QH4O5GFPRMDN375JMF5ATDJ NS DS RRSIG
92l6bgj2e8v1q2ndfskji4ssp0r8up74.chase.	900	in	rrsig	NSEC3 8 2 900 20250918154804 20250904145529 11463 chase. JmuL3BS4iBGxTEc3aGBhc8aojpvgGBmgDq73ZBn1TNSuw6dHerYdxzRvXRP+D1viLa7EwChukjvvv3FIDnfqhegRaVj2t7Pgkv1t4QYwe/G6qGOcrjpYehfjOmaunoJixSakkTznoG0vsMFFFxExqHR/iZX+73nmatgTJ0AIKjBMQ2yTqJMOLkdgE3pEdDGengBP2iyX1k1vGfEgIVMgUQ==
_forcedupdate.chase.	300	in	rrsig	TXT 8 2 300 20250916121134 20250904223702 11463 chase. S+EbyIhUkLLlOkkol4Moinb6VU+JzaxKrCdxatUtqzI49g2s9DM2jJNnxjmowbDAsNtEELE5LUjXOkTkaNiOPEMXJ9+DSLErPLrZguhvI+QG1hxZ3h5fG7aJABwWDIjs8vMqdAuqt4MnXSmmSACZbuTFKxajxj+Sr+VA6tnMgYEXlcKQ74OY7Iyl4bti6qf1hA43WYYJdYQCg9TtLX0FYA==
_forcedupdate.chase.	300	in	txt	"1757029022"
a.nic.chase.	3600	in	a	37.209.192.9
a.nic.chase.	3600	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0009
access.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
access.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
access.chase.	3600	in	ns	ns05.jpmorganchase.com.
access.chase.	3600	in	ns	ns06.jpmorganchase.com.
access.chase.	3600	in	ns	ns1.jpmorganchase.com.
access.chase.	3600	in	ns	ns2.jpmorganchase.com.
agentexpress.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
agentexpress.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
agentexpress.chase.	3600	in	ns	ns05.jpmorganchase.com.
agentexpress.chase.	3600	in	ns	ns06.jpmorganchase.com.
agentexpress.chase.	3600	in	ns	ns1.jpmorganchase.com.
agentexpress.chase.	3600	in	ns	ns2.jpmorganchase.com.
b.nic.chase.	3600	in	a	37.209.194.9
b.nic.chase.	3600	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0009
bcj.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
bcj.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
bcj.chase.	3600	in	ns	ns05.jpmorganchase.com.
bcj.chase.	3600	in	ns	ns06.jpmorganchase.com.
bcj.chase.	3600	in	ns	ns1.jpmorganchase.com.
bcj.chase.	3600	in	ns	ns2.jpmorganchase.com.
beginnertobuyer.chase.	3600	in	ns	ns1.markmonitor.com.
beginnertobuyer.chase.	3600	in	ns	ns3.markmonitor.com.
bizcreditjourney.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
bizcreditjourney.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
bizcreditjourney.chase.	3600	in	ns	ns05.jpmorganchase.com.
bizcreditjourney.chase.	3600	in	ns	ns06.jpmorganchase.com.
bizcreditjourney.chase.	3600	in	ns	ns1.jpmorganchase.com.
bizcreditjourney.chase.	3600	in	ns	ns2.jpmorganchase.com.
businesscreditjourney.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
businesscreditjourney.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
businesscreditjourney.chase.	3600	in	ns	ns05.jpmorganchase.com.
businesscreditjourney.chase.	3600	in	ns	ns06.jpmorganchase.com.
businesscreditjourney.chase.	3600	in	ns	ns1.jpmorganchase.com.
businesscreditjourney.chase.	3600	in	ns	ns2.jpmorganchase.com.
businesspremier.chase.	3600	in	ns	ns1.markmonitor.com.
businesspremier.chase.	3600	in	ns	ns3.markmonitor.com.
businesspremiercard.chase.	3600	in	ns	ns1.markmonitor.com.
businesspremiercard.chase.	3600	in	ns	ns3.markmonitor.com.
businesspremiercreditcard.chase.	3600	in	ns	ns1.markmonitor.com.
businesspremiercreditcard.chase.	3600	in	ns	ns3.markmonitor.com.
c.nic.chase.	3600	in	a	37.209.196.9
c.nic.chase.	3600	in	aaaa	2001:0dcd:0003:0000:0000:0000:0000:0009
careers.chase.	3600	in	ns	ns05.jpmorganchase.com.
careers.chase.	3600	in	ns	ns06.jpmorganchase.com.
careers.chase.	3600	in	ns	ns1.jpmorganchase.com.
careers.chase.	3600	in	ns	ns2.jpmorganchase.com.
chase.	0	in	nsec3param	1 0 0 -
chase.	0	in	rrsig	NSEC3PARAM 8 1 0 20250918154804 20250904145529 11463 chase. MCDaeXtOVJJh6/o4qrtm/EI63om8hxEnRKImgmr7bCK9xThI3pH0JZmoVmLOnGsBPcW7bhxGz8YYpoCF7GiPUe+uEfb+W8154hz/+A9HkISHcGBUUNSueMzeilh8lXKeOdBgHQJSMozzhwDeIbUZZ2u5533rGikNtka5ZMz/Asdf2vigt+Xt876y0hSQ81IzQS1u2ZpVuXPGfIlezp7RZg==
chase.	172800	in	ns	a.nic.chase.
chase.	172800	in	ns	b.nic.chase.
chase.	172800	in	ns	c.nic.chase.
chase.	172800	in	ns	ns4.dns.nic.chase.
chase.	172800	in	ns	ns5.dns.nic.chase.
chase.	172800	in	ns	ns6.dns.nic.chase.
chase.	172800	in	rrsig	NS 8 1 172800 20250916101312 20250902092515 11463 chase. CGSPTarDVM7FMHDZH5u5mtXN2qrAam/MzOY7jRD3A4Yh268DeFq8jK5LE204Td5dhbM26T6XXJs6wDOz1OOSCpCLQ0yg7eeHDRzdkog3z3AykkJC0ZMJ2VvXXb5XjbuMPdr97if9e4zJc7xFNBUkxA+IrPNjpC9m0FhEvb1d++r/dSswbXD7/dBdZZrYrGSwKdD2LwGmbuhhsVOBQIFXxw==
chase.	3600	in	cdnskey	257 3 8 AwEAAb9GTL6HG7Cc8joDX48GrDss/L8dbfc9q6xo95yxzIqym7Etzd7SEpqv/fcS/UfN4UkK/DSxQ7JnNdV/K56lImK4OIeb5ljEpEkf1F0bms3fCg/e8q6DyY5YxEucVpbWpzfPpzlnNM1poD/lwGE4FoPF3nhhmo+klmYxHG5ieCH5TZjFPDdx5XdmsLsybmoIQwcv/IY1jpTQH/kCx+RefFR6BDpTNFclmLsKOAiA5ZmVpU5g8f3Y4aS6hE6/blMUDVMzKW2RRbTw7YeP2zHA75yc3AYyVz1sztNkOCvfc+hR7BGNxb72dz2z+BGgC1beKNl6qEXyXbS/bdG4KETVZ/U=
chase.	3600	in	cds	38962 8 2 7E231DFE930CAA42C760D3298C2F9B4B4F22AADC5A0FE6C7784E4E2177A0E317
chase.	3600	in	rrsig	CDNSKEY 8 1 3600 20250916121359 20250902120140 38962 chase. YfKCEtaksHEHMZnwzqPV1Z0t7hOzuY3WTHymWOaT5zx9KGS+9q7QywNQyU1+gtWwP2eGqm80tBeV2zHlSYO+BASy3nsA6moczT1jCaE3OeynIv0D1/8v59QMvyKI0u0VqmUwcU3c6ruOP+J6A/FvNNIyvUTpo++yRGWnW5/PejfwpBUA8c9cKgf8zSr+I7QVGxGG2KbS9m48JRPnBfCHhU/bXNXk4NAa4esQGxMQVugTYHtSS2OL+Y3mLsFrQw8HkC5d5Amog87YO0vISYpDbWClo0nKOwib8qPppW9rwUQN/jHMXfUawkDD13ZseUf6jy4kjdpXiHUZ8MFbB0oiAw==
