christmas.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1769299976 900 1800 6048000 3600
00.christmas.	3600	in	ns	pam.ns.cloudflare.com.
00.christmas.	3600	in	ns	yisroel.ns.cloudflare.com.
00.christmas.	900	in	nsec	000615.christmas. NS RRSIG NSEC
00.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. k6FGEJa49NINiQEnuQW8qI4V2XuPIBMFdneuGz/Oe30YtE7ruRCkecO7SMCpTN5PuB0rCyyOw1OyMG8gIAiXBw==
000615.christmas.	3600	in	ds	40429 13 2 0316B8D0B49DDC094933E3BC688C5336E0A9299FD3CC21D3D3D5614F28360B2A
000615.christmas.	3600	in	ns	launch1.spaceship.net.
000615.christmas.	3600	in	ns	launch2.spaceship.net.
000615.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. EcAgbOfRG+ZLvZss2jO407EDwJW314pU7e2M8rGg81sGKzQlTirzfRbDF4PLAkWUo6AduiRijOoxKAgxCbljOQ==
000615.christmas.	900	in	nsec	002246.christmas. NS DS RRSIG NSEC
000615.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. 85U2Vu9fgPJCYYbYEiPfCOP3V82cWHO+IJU707kZM/LpjmsefdqmMfty0y52Ipyby6hWu0U2Njhi44OURR6IeQ==
002246.christmas.	3600	in	ds	37702 13 2 2FDB4F318A063A2DA58BC94EC566F1B4A56E543736AA5943C22AB79603C7758E
002246.christmas.	3600	in	ns	launch1.spaceship.net.
002246.christmas.	3600	in	ns	launch2.spaceship.net.
002246.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. MqyEq4/hh/+565af8qLsYUMU9IO1fCCrPtRKe0HKqqBiueytSGFRw5EIcuiCr3UDr2Efm4QiVMSyPfEpmIA9vw==
002246.christmas.	900	in	nsec	005677.christmas. NS DS RRSIG NSEC
002246.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. qqz4IB0x/YAI6ogb1Cts/o3zPPWituostn6Zziwgu6k330dKnNZVIMuU94TPN38y1GI+/KbE6oW3So5zA5gbMQ==
005677.christmas.	3600	in	ds	12842 13 2 C7330EF4FD5A4146439D6930B4BA31BB9D6F26E61E4114F340743FF0AED6878A
005677.christmas.	3600	in	ns	launch1.spaceship.net.
005677.christmas.	3600	in	ns	launch2.spaceship.net.
005677.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. yJY/hmkRfGSbB9/9+mu3aTpXFJ1bKBYFdTdVvDOmcQVW/txpQbjYmfC5dN7873MqSM1D8f0ILSNLk41mpLpqjg==
005677.christmas.	900	in	nsec	005882.christmas. NS DS RRSIG NSEC
005677.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. mB7jOU5TgIo5iRprARxqV5DProx/kuu+OjQYTz7m5Fiu2mQbuKDDptsLHrq6gmldYX3MrGoPkT3vEXH2ZTqceg==
005882.christmas.	3600	in	ds	42735 13 2 57F179E8CE0C694BF1AECDA27A59EEDA37E14604B9078A9BD1A0195C9AA112AC
005882.christmas.	3600	in	ns	launch1.spaceship.net.
005882.christmas.	3600	in	ns	launch2.spaceship.net.
005882.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. qqkPVgsp6VKaS3w4qpPHEJppPa/AQ5TOE7CD0u1IQuh0erkt+XvsD3dJFM4OugIngnlXbnRw9S2CdZcEbOKEBw==
005882.christmas.	900	in	nsec	006874.christmas. NS DS RRSIG NSEC
005882.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. hLLSRjmxzqzC/rWMiRtTi4NnX/NptMdffUaa6vSZ1xkN5iD7qYBJw+kC7EkIInkD7V4ZZUqzizqmMYJFGTAZaw==
006874.christmas.	3600	in	ds	12593 13 2 469C47DF17A9E199F4C81C6E51B85B1D48762B4ACA1A47475C90F1EF00C79DA2
006874.christmas.	3600	in	ns	launch1.spaceship.net.
