city.	3600	in	soa	v0n0.nic.city. hostmaster.donuts.email. 1757034211 7200 900 1209600 3600
0.city.	3600	in	ns	ns01.domaincontrol.com.
0.city.	3600	in	ns	ns02.domaincontrol.com.
0001.city.	3600	in	ns	dns13.hichina.com.
0001.city.	3600	in	ns	dns14.hichina.com.
001.city.	3600	in	ns	ns1.afternic.com.
001.city.	3600	in	ns	ns2.afternic.com.
001ancj49f63f8m3qhk8astfsg09dou3.city.	3600	in	nsec3	1 1 0 73 00TMIAQSODKH101I22T118JNLAAVS89Q NS DS RRSIG
001ancj49f63f8m3qhk8astfsg09dou3.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. rKEjyRmMyNdJea1R7frnGssZ19tl1twVdkK4kCNuIGyupS9dpZDW9fZbLoYF8LL0T3z2LVkzwZkZRCfllZ++uQqTREXdSjc+uNMvDlsgLObmp/f1ajWIP7cx2ZYiq1/TsfRd83BVgPBVsu0hAD3z/qZDCbYAJYDnOGLlwfyNx3I=
0033.city.	3600	in	ns	ns31.domaincontrol.com.
0033.city.	3600	in	ns	ns32.domaincontrol.com.
007.city.	3600	in	ns	dns23.hichina.com.
007.city.	3600	in	ns	dns24.hichina.com.
007win.city.	3600	in	ns	jake.ns.cloudflare.com.
007win.city.	3600	in	ns	kiki.ns.cloudflare.com.
00852.city.	3600	in	ns	dns25.hichina.com.
00852.city.	3600	in	ns	dns26.hichina.com.
009casino.city.	3600	in	ns	brynne.ns.cloudflare.com.
009casino.city.	3600	in	ns	curt.ns.cloudflare.com.
00tmiaqsodkh101i22t118jnlaavs89q.city.	3600	in	nsec3	1 1 0 73 010CIUSI0BNDSNE400FTOKOSGP4CD4MC NS DS RRSIG
00tmiaqsodkh101i22t118jnlaavs89q.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. Uugb9bygfqYPbyTtbP6HiCUOWpFUnvx2gPIMEP7FBKPdBTN3Ym/peeTddYPApdktzY5AK4IhT8N2537oA7Z0c6Nm2sIyUecktkfNh9+Qd+raKKhypUG94ZJvK/vJzQM4YtSODJO1DEUfb5qyQ2GSTRTnVgAMYtadDbHLMROMOU8=
01.city.	3600	in	ns	pdns07.domaincontrol.com.
01.city.	3600	in	ns	pdns08.domaincontrol.com.
010.city.	3600	in	ns	ns1.afternic.com.
010.city.	3600	in	ns	ns2.afternic.com.
010ciusi0bndsne400ftokosgp4cd4mc.city.	3600	in	nsec3	1 1 0 73 01C2F9J880JE0LVD69OH3BA4FMBKMRM9 NS DS RRSIG
010ciusi0bndsne400ftokosgp4cd4mc.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. KDPEnTq6VGelVJOBocfQOZm79y1zc+ZmE+nUZ1BaFWkyOBewyIzATOPkZtbo2cWf4IZF+4bC4piiDO/5f0sOSwmG5PUkql04woO1e4KI8Tg60gfNzmTBaKBErnG8HJC3JF/89fIgnc7MG202xeTilNB019fMjfPwWKPRO0r63+M=
01c2f9j880je0lvd69oh3ba4fmbkmrm9.city.	3600	in	nsec3	1 1 0 73 01JRQE11I5QVLG7J43D4C3EAPPOP1C3G NS DS RRSIG
01c2f9j880je0lvd69oh3ba4fmbkmrm9.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. uVdNYAmMb8BUYdbpTiEx0ucM235eazNN152N9dj7QsgoeT3VVOHA7ngysYg0et6EkrJsnXC59dIguDPNI6RjIXStxrMe3MKzStSuroH+a1tbye/g9kY69IgH+xFcfS5uddW4VWAwjKkFZn6CJVHN9pTFV643DKy6MRwMv3rpVFY=
01jrqe11i5qvlg7j43d4c3eappop1c3g.city.	3600	in	nsec3	1 1 0 73 01OVTTF59Q8PG8JHOCOQ553SHGK2H4CT NS DS RRSIG
01jrqe11i5qvlg7j43d4c3eappop1c3g.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. LkIgulXsmM6f4WV6rtyo7Qy1ifPkb7xKAbLvdY4qrPQTgdXBdU5SQTcZo7IrUM869w5/ogZ/+n5dGZucgrDPebn3Et+qGzGJKmg2eMp+2812fnGZ4ziZww+295u9ecpyKzsYPHztW1PCbCUvx4BqU/pfJ3c1qZQ4D9wqZ8gV33s=
01ovttf59q8pg8jhocoq553shgk2h4ct.city.	3600	in	nsec3	1 1 0 73 01UOBS6224382I85TEAL9KUAEPP0R5RV NS DS RRSIG
01ovttf59q8pg8jhocoq553shgk2h4ct.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. AT7+kRi9JI1aj7JBrE0m+Ypdrt6QRe+NqLfQRfcWdGmLNDHU6l8bePf1L/GWKXCmbWmWemLvHqlTMjp2ZmGxlOujlfYrX80p7UPlrP1UNw9hrZ/y8BM7n7g0Gk3l9sQo0oPehuc7O0FUZRkvY8LVuVLvUAuAMXFRpcdXLZ272zU=
01uobs6224382i85teal9kuaepp0r5rv.city.	3600	in	nsec3	1 1 0 73 03NSJSJ4H3O6S3GPC8EHF4ITNFVFRN2K NS DS RRSIG
01uobs6224382i85teal9kuaepp0r5rv.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. SytKSLcFWmJP0BxmD5jInca7EFQrN8Ytkz93MllHexTM9CTjt5mrNLJvN6dXY4CowqVfpMowZpcuTyHpT3RxVly4V8NcBpOoYKcKBs4TOX3o4eZD59yWz2Ba104lsJwBaXMC0C+eA1Zya1MTRKzjmvPU2dmFmbknnTXwxHgx/64=
020.city.	3600	in	ns	ns1.afternic.com.
020.city.	3600	in	ns	ns2.afternic.com.
02012.city.	3600	in	ns	n1.xundns.com.
02012.city.	3600	in	ns	n2.xundns.com.
021.city.	3600	in	ns	ns1.afternic.com.
021.city.	3600	in	ns	ns2.afternic.com.
022.city.	3600	in	ns	ns1.afternic.com.
022.city.	3600	in	ns	ns2.afternic.com.
023.city.	3600	in	ns	ns1.afternic.com.
023.city.	3600	in	ns	ns2.afternic.com.
025.city.	3600	in	ns	ns1-show.myhostadmin.net.
025.city.	3600	in	ns	ns2-show.myhostadmin.net.
026.city.	3600	in	ns	ns1.bdydns.cn.
026.city.	3600	in	ns	ns2.bdydns.cn.
027.city.	3600	in	ns	launch1.spaceship.net.
027.city.	3600	in	ns	launch2.spaceship.net.
028.city.	3600	in	ns	ns1.afternic.com.
028.city.	3600	in	ns	ns2.afternic.com.
028cn.city.	3600	in	ns	ns1.huaweicloud-dns.cn.
028cn.city.	3600	in	ns	ns1.huaweicloud-dns.com.
029.city.	3600	in	ns	ns1.afternic.com.
029.city.	3600	in	ns	ns2.afternic.com.
030.city.	3600	in	ns	nsn1.mijndomein.nl.
030.city.	3600	in	ns	nsn2.mijndomein.nl.
0314.city.	3600	in	ns	dns7.hichina.com.
0314.city.	3600	in	ns	dns8.hichina.com.
0335381.city.	3600	in	ns	ns1.dyna-ns.net.
0335381.city.	3600	in	ns	ns2.dyna-ns.net.
034.city.	3600	in	ns	a1.share-dns.com.
034.city.	3600	in	ns	b1.share-dns.net.
0355.city.	3600	in	ns	dns29.hichina.com.
0355.city.	3600	in	ns	dns30.hichina.com.
036.city.	3600	in	ns	bayan.ns.cloudflare.com.
036.city.	3600	in	ns	davina.ns.cloudflare.com.
037.city.	3600	in	ns	ns1.mint.rs.
037.city.	3600	in	ns	ns2.mint.rs.
037.city.	3600	in	ns	ns3.mint.rs.
037.city.	3600	in	ns	ns4.mint.rs.
0374.city.	3600	in	ns	ns11.xincache.com.
0374.city.	3600	in	ns	ns12.xincache.com.
03nsjsj4h3o6s3gpc8ehf4itnfvfrn2k.city.	3600	in	nsec3	1 1 0 73 06744T42D4PDN212C48DGAEU4OKPQO31 NS DS RRSIG
03nsjsj4h3o6s3gpc8ehf4itnfvfrn2k.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. tvFOOft9jqMlHO2kqeH3qAX2oKFDFSBuvJzH9I2ZAOrMgDImRQzKADLiWZSf4W9CMdSZJl4y0jfeqhG6z94eHfbnIDw9uI/yetaMVbGHLGARZc79sar//htRP2hCPL9jXAK6qLU1rKUCvLJj5lQdJZo7VT8YdindoYQMQgjnwLQ=
042.city.	3600	in	ns	dns01.muumuu-domain.com.
042.city.	3600	in	ns	dns02.muumuu-domain.com.
0431.city.	3600	in	ns	dns21.hichina.com.
0431.city.	3600	in	ns	dns22.hichina.com.
044.city.	3600	in	ns	arushi.ns.cloudflare.com.
044.city.	3600	in	ns	benedict.ns.cloudflare.com.
0451.city.	3600	in	ns	dns19.hichina.com.
0451.city.	3600	in	ns	dns20.hichina.com.
0513.city.	3600	in	ns	ns1.huaweicloud-dns.cn.
0513.city.	3600	in	ns	ns1.huaweicloud-dns.com.
0516.city.	3600	in	ns	dns25.hichina.com.
0516.city.	3600	in	ns	dns26.hichina.com.
0521.city.	3600	in	ns	pns61.cloudns.net.
0521.city.	3600	in	ns	pns62.cloudns.com.
0521.city.	3600	in	ns	pns63.cloudns.net.
0521.city.	3600	in	ns	pns64.cloudns.uk.
0539.city.	3600	in	ns	dns21.hichina.com.
0539.city.	3600	in	ns	dns22.hichina.com.
0551.city.	3600	in	ns	dns29.hichina.com.
0551.city.	3600	in	ns	dns30.hichina.com.
0553.city.	3600	in	ns	dns25.hichina.com.
0553.city.	3600	in	ns	dns26.hichina.com.
0557.city.	3600	in	ns	ns3.myhostadmin.net.
0557.city.	3600	in	ns	ns4.myhostadmin.net.
0579.city.	3600	in	ns	dns27.hichina.com.
0579.city.	3600	in	ns	dns28.hichina.com.
059.city.	3600	in	ns	ns45.domaincontrol.com.
059.city.	3600	in	ns	ns46.domaincontrol.com.
0592.city.	3600	in	ns	ezra.ns.cloudflare.com.
0592.city.	3600	in	ns	lily.ns.cloudflare.com.
0594.city.	3600	in	ns	dns21.hichina.com.
0594.city.	3600	in	ns	dns22.hichina.com.
0632.city.	3600	in	ns	duckbill.dnspod.net.
0632.city.	3600	in	ns	triangle.dnspod.net.
06744t42d4pdn212c48dgaeu4okpqo31.city.	3600	in	nsec3	1 1 0 73 06CRS66CON2GTM2HKUTSTJ18M50MIDPL NS DS RRSIG
06744t42d4pdn212c48dgaeu4okpqo31.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. uxBOv9g7YZalBNYyUN1RX6XElKzdKpC7un20FYFkCWuv6roZ05YnWsrwpuwesUOWKvjaR839cOaJwfisX+pd0E6z3GHN2Q1CBig9Mn35OFXSQFkWqWUAsGudQ0Ii1rJp2xP1VOs5AxepKFspYiMaV79Tk+sju2mEuJi9E23i7c4=
06880.city.	3600	in	ns	ns31.domaincontrol.com.
06880.city.	3600	in	ns	ns32.domaincontrol.com.
06crs66con2gtm2hkutstj18m50midpl.city.	3600	in	nsec3	1 1 0 73 06QLP3NV90RO21QS0CEU7TT6DKUP9PMM NS DS RRSIG
06crs66con2gtm2hkutstj18m50midpl.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922222641 20250901212641 55041 city. QDH6HFmVoSSuflV3X0p0PuPNlnWBUflEdCRRpIndMTdmYGlQXgi7dVaQ5VFtvkE9Jn0zRbH+5MvpftUAMBL5Tvn3P+MQZVjvEjO6AlrtXJR5Z8h291BFMo3ZjyOrmyVK8Pd9WJ+arRk4Ath/CI5J356kC6ohVS56wST4maaFwLQ=
06qlp3nv90ro21qs0ceu7tt6dkup9pmm.city.	3600	in	nsec3	1 1 0 73 076BJGDM9NKRQO6VT34NPNOKDN383S8D NS DS RRSIG
06qlp3nv90ro21qs0ceu7tt6dkup9pmm.city.	3600	in	rrsig	NSEC3 8 2 3600 20250922160051 20250901150051 55041 city. tU6ZeAshR8xyxSqA7GrrClzgP/QyiyLpUUMkzSUPxyvXGsttT86NBnqhl3wVASC85c+66uvxrVTnQNOg5mpRhzYXvJK7SeN+6K9OmB1N/vTLQLNET00EmiK/kneMg14ORGxUGntXbn+LZlGHrR6JQL3t6aJBZkXm08WjjO4yVsc=
0716.city.	3600	in	ns	dns17.hichina.com.
0716.city.	3600	in	ns	dns18.hichina.com.
0755.city.	3600	in	ns	ns5.myhostadmin.net.
0755.city.	3600	in	ns	ns6.myhostadmin.net.
0759.city.	3600	in	ns	anderson.ns.cloudflare.com.
0759.city.	3600	in	ns	noor.ns.cloudflare.com.
0762.city.	3600	in	ns	ns1.dns.com.
0762.city.	3600	in	ns	ns2.dns.com.
0768.city.	3600	in	ns	boyd.ns.cloudflare.com.
0768.city.	3600	in	ns	noor.ns.cloudflare.com.
0769.city.	3600	in	ns	ns3.myhostadmin.net.
0769.city.	3600	in	ns	ns4.myhostadmin.net.
076bjgdm9nkrqo6vt34npnokdn383s8d.city.	3600	in	nsec3	1 1 0 73 07PGGHIK5VA43CA91UNVKQD3GU7L72H0 NS DS RRSIG
076bjgdm9nkrqo6vt34npnokdn383s8d.city.	3600	in	rrsig	NSEC3 8 2 3600 20250925090516 20250904080516 55041 city. wzMIyTD3xqtTq16bXaBf8SPYlJIGGYbzX1wVtnW+cgDN2J3hWnE6DaSEPPaqTdFiDb3SbjBoXctehwIL1NX3YTZ8TEJq8PSPjbtLqic4hvUn51gcoEXu9fXcCdHdKkNqgvy0A4GPWErQahz1yvzv8xao/Cyn/Hr/AiMVeM4iK0s=
07pgghik5va43ca91unvkqd3gu7l72h0.city.	3600	in	nsec3	1 1 0 73 09EMNC4NL3L5KPCRGC8QC3534RNKF6BV NS DS RRSIG
