coach.	3600	in	soa	v0n0.nic.coach. hostmaster.donuts.email. 1757033587 7200 900 1209600 3600
007.coach.	3600	in	ns	ns1.dns-redirect.com.
007.coach.	3600	in	ns	ns2.dns-redirect.com.
008.coach.	3600	in	ds	31498 13 2 7B90C5FAFE2BF1F71BDB30A469B35886B76F98B6B19894D349B76A435F788683
008.coach.	3600	in	ns	nsany1.infomaniak.com.
008.coach.	3600	in	ns	nsany2.infomaniak.com.
008.coach.	3600	in	rrsig	DS 8 2 3600 20250922155858 20250901145858 18699 coach. l0PvkcHaACFjvQlPWDYeJdWM829pRg7D6muQCpStUnywIXZbHd5hPkw1DGyLHQWt2pECN1uyfW3qO3w1bRXqNOK5fk43PViFJsddsfe3cCmV+9XRIT8MOZtJjF0oLk67nhArO5aCtV+8/1SHOXDcoUmpOU75rzCI0qQt9dO+IAI=
01imdq580uvn620duvs0h2613gspjd78.coach.	3600	in	nsec3	1 1 0 73 01PU6JGB1LCO29VRNCV4OBDBATCMN6CM NS DS RRSIG
01imdq580uvn620duvs0h2613gspjd78.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. dT6pRpbyqtoc4DSo09VbDvLLIazi+s+2UCSPDAlNYI5fUVKhQbkAtrn560AUNWXt6RU3o2M6rVpR4gVb1HhPCA7TpXKYlsr3xGFMkFkgMMnp/6QKyrP30DK9JFwaSqyIKgQRtc5PaDfnF/aDpJE3z5MCu9otHC1/LIbUElY0ibo=
01pu6jgb1lco29vrncv4obdbatcmn6cm.coach.	3600	in	nsec3	1 1 0 73 01R5UIP27NMPO5DG6S3IIL7QSB6NDIGA NS DS RRSIG
01pu6jgb1lco29vrncv4obdbatcmn6cm.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. UwkIe6eYVRJ3iP1gC3EDnZQ601QvW52zXBnMbpazaPRDTm8/TYZ64Ww/pEEZQ4saaENd0FH3OwSHBUjm8vyzq1DqadboF/cmbD7A6EITKdw4LdbHJaUtUDjXiSA2BOYPI/OgrcQwKnhMaCpkS8E0qt6f/siL2B+1TEh1LKPX5qs=
01r5uip27nmpo5dg6s3iil7qsb6ndiga.coach.	3600	in	nsec3	1 1 0 73 02EF7CP7A7CEAF8D84BDNLOPKHN8B9FP NS DS RRSIG
01r5uip27nmpo5dg6s3iil7qsb6ndiga.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. MTH2DeDZC7gNnodu9ApJnu5vVAN6l+0/qrYdxhd/oGjU812pvpDNGHBkS/80PrxBur7cKCCy+QmqYRAMtn1qady0fnULBuTHp+2lUSJloOPYih/RTa7Jp5cV8zUpunT5gOpmcc3+KzcsCMnGolQxlplNQFElmxMFH+ComEvYwKg=
0211.coach.	3600	in	ns	docks20.rzone.de.
0211.coach.	3600	in	ns	shades04.rzone.de.
02ef7cp7a7ceaf8d84bdnlopkhn8b9fp.coach.	3600	in	nsec3	1 1 0 73 032KJHFETVQODH4SJO7V0IHH6TC5G2M2 NS DS RRSIG
02ef7cp7a7ceaf8d84bdnlopkhn8b9fp.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. x4UptE3fQXYdNEYxrCEevQ7cY8cjB0sBQ4/xcvmrT1qe9wQvMbVYhB70iuHYoQY6dw1Z0UufQn79pLyWRw7czv7hnGEQvpNAVHLpGW2S9xSmRaGbhOY1nmHGi65YeXS/BLkYq0kFfJaOOQ15tRuS7Ht1bM99RMzNr9ABkEo83/k=
032kjhfetvqodh4sjo7v0ihh6tc5g2m2.coach.	3600	in	nsec3	1 1 0 73 039BH4B8I2NR1S1QFOMJ6JQHVEIAU5M3 NS DS RRSIG
032kjhfetvqodh4sjo7v0ihh6tc5g2m2.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. x5ETNnGaxhA1uXkRF+m07p+fqY+zoxOQ8WOmLsEguYS7c1TCrVt22Zuzergxj5j2l1ok66D39Es+G9JX2nZUJma065u0yNb2S8179dT6QYKJhTYr65x7WQWfIH5R91NMdv5naxuNtpXw7op+j3Qv4YsbPjgsxBy40MHd9Qm5SkA=
033.coach.	3600	in	ns	ns01.hostnet.nl.
033.coach.	3600	in	ns	ns02.hostnet.nl.
039bh4b8i2nr1s1qfomj6jqhveiau5m3.coach.	3600	in	nsec3	1 1 0 73 045GQS8601R53E955RVAPARQTVKJI059 NS DS RRSIG
039bh4b8i2nr1s1qfomj6jqhveiau5m3.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. Vts3acROgdsCDjWpPtXndxpzPvGNSX80bC5ZvHfjTZ3kU6QclElHbyqZpNO7pDoYlOBJxD9v/UZCq0Ltaxu4+S1Hr87rWIv036bdAp5TmYNWvUI7AZ0RGtf+T/+97We1h/EHlcUmGgy7xyBMrrgWJnPXeCI1VdQAHDNQbkqAQ0Q=
045gqs8601r53e955rvaparqtvkji059.coach.	3600	in	nsec3	1 1 0 73 04TPLSH40GCA1208RFKKOMJU2NKUK4U5 NS DS RRSIG
045gqs8601r53e955rvaparqtvkji059.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. uORbtubTcqsk5K0R3+ms9Jy9cQ47/nRG5R+3QU5Uu6Ex2h05pPP4lrev4mKaWovUIoMeCNL0BAn0w/8UE7pHvxXHv0+jnchiUZkJAGNuvMnPw5gMyEmMfdud5mgm8QZHTIahk2F8tZIY25KOudZxO4XJPVqV/C3ORUC4vOyJsqc=
04tplsh40gca1208rfkkomju2nkuk4u5.coach.	3600	in	nsec3	1 1 0 73 06DFKKQD2JK5KV7BS95A25EQ77AEUI2E NS DS RRSIG
04tplsh40gca1208rfkkomju2nkuk4u5.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. hoz1OOHe+GmTI6vqwVuX7N8aqzIjCjwnd94HfmzU1bO9+jveUqypUpoYzoS8KFgGVsejSJjA5ZYx3j7YaJnsD9vhWosAFaapsqh4LRKKhWYBlW5ZZzfDTJDW4VbXAYG7RS+ABKWKmtYZ97onOaOYvf0dWoAiqurr8kSmYlQYhMA=
06dfkkqd2jk5kv7bs95a25eq77aeui2e.coach.	3600	in	nsec3	1 1 0 73 06UMOTTHP4AM1LQED1J2VVCR2J503US0 NS DS RRSIG
06dfkkqd2jk5kv7bs95a25eq77aeui2e.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. tK17SHHVUWlMLEOA6J4hqoyZNssXU4vW/Bv9Mob3fltwpjO16AiqK36R6jULD354IX+cAz8ZTTXmaAFwwQbv5eCJfqCcY/M11D3Rc7cg84rRA7kuWA0cAxk/OHbJ2iRpRfmKMoDQqs2AOL9Q42hTymI3tN4N2yL2sSCJNufOHEs=
06umotthp4am1lqed1j2vvcr2j503us0.coach.	3600	in	nsec3	1 1 0 73 076FRVL7ABTDF8OOLNIFL4JM2BGA9HGV NS DS RRSIG
06umotthp4am1lqed1j2vvcr2j503us0.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. rpw43tBPJn6H8zj/GLZzJH1fzqzH+xNMNk1V5zJ+UIJ1yqHEMkkJT3Y9SLIVa6OyRp5lohmKdCHcPZSNbEZiAI1ZrRKqpB/e5BXhR0wI8Jy+O++60152rE9R0nwKxnE932GnFZQpzp2/QbjaWr/9kOVMWfTfQNDhAcKpOK/8nnc=
076frvl7abtdf8oolnifl4jm2bga9hgv.coach.	3600	in	nsec3	1 1 0 73 078NPIB9OCN9J9PUQIQCB9FS70A7K1HU NS DS RRSIG
076frvl7abtdf8oolnifl4jm2bga9hgv.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. AhkK21wWzPxOWIgoRa+Tas3pqLamueyVw31zltoO85wEEh8t4VghjYOkRRkr6ZpcpOuhzvDPYgAaDvuXOg3+wtdb4Wc5SZ1nZQfCx5m9UAxqlgFli9HJAcDJG6YnGgisWsHuzYi12VUSGRR5Q8KUQctL+q47FkJcq2WNFqVUo3M=
078npib9ocn9j9puqiqcb9fs70a7k1hu.coach.	3600	in	nsec3	1 1 0 73 07COAP1JKVVGK8RK7TM1RDOCEHE53TST NS DS RRSIG
078npib9ocn9j9puqiqcb9fs70a7k1hu.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. AL52MoWRPeT+lGWuBNw0g1T7CsqiBGbIXIDUmUA1WzaBS2PkbWrXxwFFw6jtGaRfKMGFkTpDGYpqFXoinbJ8PUaMATGrVozrrTMmI/UeWQbS7foE3DXs2ta/m5xvqnSxXKcaZBbnCyveMIY/9CMa5HYb/zUl+GvcDhz7srsYxjA=
07coap1jkvvgk8rk7tm1rdocehe53tst.coach.	3600	in	nsec3	1 1 0 73 08SV6GNNMC3G2PABIJ2J5DSHULBOPH3K NS DS RRSIG
07coap1jkvvgk8rk7tm1rdocehe53tst.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. z1f80mJrOd0GeUyL03xT85lMP+bZvp6JFCnCN68dhp6arvp7T8vtu7bjO8W/1K6cFw59SjgnYU4+TEoE8VVPIDbGQK0Olb945vYvtSYq7JWj7KB8p2W8/rp0FHKIkHYguFobYd8a8VB+uAZf6WR2ej92knK1LKN5h1iccIEXG+Q=
08sv6gnnmc3g2pabij2j5dshulboph3k.coach.	3600	in	nsec3	1 1 0 73 0A2T13GPMQ1EUP2SH60K6VOBP14PO2M2 NS DS RRSIG
08sv6gnnmc3g2pabij2j5dshulboph3k.coach.	3600	in	rrsig	NSEC3 8 2 3600 20250922155858 20250901145858 18699 coach. TFoyzyT/UfruuD2oqA3QLcdMNdjEHOLREsQKqu8mjTaQOjOUs2jrnfGFFRjA58bwy9zfVH8mNCnZqEB+M+qobaIVOr/qV7vgaXR8l1x3WQx4z2CHp3+R8TlZPJ4DFEiyJue8H6MSbEC4Q33KX/fPNYB82Ba7hgElpFMQWfKYw1A=
0a2t13gpmq1eup2sh60k6vobp14po2m2.coach.	3600	in	nsec3	1 1 0 73 0AE2RHSEJP7B0H9MDCJEGAGVNELHOPI2 NS DS RRSIG
