compare.	900	in	soa	a.nic.compare. admin.tldns.godaddy. 1756977366 1800 300 604800 1800
000i8kvpfhlbechrhap32gmo9e6aqq5q.compare.	900	in	nsec3	1 1 0 - 57FJBJM2ASK7E5E3HVP1TBTNB119A0LA NS DS RRSIG
000i8kvpfhlbechrhap32gmo9e6aqq5q.compare.	900	in	rrsig	NSEC3 8 2 900 20250916165530 20250902155646 7680 compare. WJFbWv2OVcM71O309c0IiR4LKkC6dAlKsBuKvJrDeTWyHZiuJ3g4rscSeWsSj/uwpWMaLOAdShR70w78I6r2TS9nS8LpW6P9ITRUTKAla1AP7rhla8Q1nAJ4/N1FCDOS/cqX+zwOzWJqzfOjjwZgDHdjhscEYezrc39sUlsKOYydmlGCdkehBD4LV351NIsKySMvtEOuEwf/tFrr6OR6mg==
00video.compare.	3600	in	ns	ns1.afternic.com.
00video.compare.	3600	in	ns	ns2.afternic.com.
123b.compare.	3600	in	ns	emma.ns.cloudflare.com.
123b.compare.	3600	in	ns	nero.ns.cloudflare.com.
188bet.compare.	3600	in	ns	adelaide.ns.cloudflare.com.
188bet.compare.	3600	in	ns	louis.ns.cloudflare.com.
1day.compare.	3600	in	ns	ns1.markmonitor.com.
1day.compare.	3600	in	ns	ns2.markmonitor.com.
1day.compare.	3600	in	ns	ns3.markmonitor.com.
1day.compare.	3600	in	ns	ns4.markmonitor.com.
1day.compare.	3600	in	ns	ns5.markmonitor.com.
1day.compare.	3600	in	ns	ns6.markmonitor.com.
1day.compare.	3600	in	ns	ns7.markmonitor.com.
1togel2win.compare.	3600	in	ns	darl.ns.cloudflare.com.
1togel2win.compare.	3600	in	ns	rosa.ns.cloudflare.com.
33win.compare.	3600	in	ns	georgia.ns.cloudflare.com.
33win.compare.	3600	in	ns	scott.ns.cloudflare.com.
3m.compare.	3600	in	ns	a.ns.3m.com.
3m.compare.	3600	in	ns	b.ns.3m.com.
57fjbjm2ask7e5e3hvp1tbtnb119a0la.compare.	900	in	nsec3	1 1 0 - 7C3318K4OGSKK863RQJFOR5PHUBDC0OT NS DS RRSIG
57fjbjm2ask7e5e3hvp1tbtnb119a0la.compare.	900	in	rrsig	NSEC3 8 2 900 20250915145002 20250904081605 7680 compare. Fh7qpgPpZ4WKdCvb+u1NUEXN9WxM4vAP3aTmqCF2YxGhJPPyus/0mzb1hOpRySxK9zYlCZ9MG5fnkT0eqRuz1bntJUNcMB8IA2LvAOlQ4PweW9m3dyZoF3ZSnAqftpeLzZ0AEOGQ1d0Wa1Y2FtGnNLtB3U0DYkDfvfF8zGvikBF7fWBdUJBfO+RiFcisB+tObP+rAB9Atavdluo6NdWgTw==
69vn.compare.	3600	in	ns	archer.ns.cloudflare.com.
69vn.compare.	3600	in	ns	romina.ns.cloudflare.com.
789club.compare.	3600	in	ns	ace.ns.cloudflare.com.
789club.compare.	3600	in	ns	betty.ns.cloudflare.com.
7c3318k4ogskk863rqjfor5phubdc0ot.compare.	900	in	nsec3	1 1 0 - 7CHMDDVQV91UBOI77VGCRV4M8M1MHP54 NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
7c3318k4ogskk863rqjfor5phubdc0ot.compare.	900	in	rrsig	NSEC3 8 2 900 20250916113842 20250902111115 7680 compare. YxYqgtRQpOuvucAm3DLbLAYkq0GqrlUlBlsQf/4BpCSRYOUI7XOTF1jvkX8ytoqKu2wylsCsf1j/u0T70SaanxL1Mr/wmKeD/n396Jyzi3QECsp60TS+4U7DnpIaGItwvf3liuCBEc85uAjIVCUGjSKYTY46apwKNXKlwkwqMzU7pPaTAHHYks4U7UNckytI9BgMJ5Tf6L1zJ+NelbF8MA==
7chmddvqv91uboi77vgcrv4m8m1mhp54.compare.	900	in	nsec3	1 1 0 - 827BCPJQG5RG5HBR7QJF70KBGBSLDV24 NS DS RRSIG
7chmddvqv91uboi77vgcrv4m8m1mhp54.compare.	900	in	rrsig	NSEC3 8 2 900 20250917150437 20250903141048 7680 compare. Z+XbPDxmWry9b1s92OWDYP/TCC+d5EbX33cmQVVWnW4tjlJ3J+enep8p3/YYF3N3nkPcEIIdRJRSm784XCB60nj301E8Q3/BZNk4ECDDT0wufW/2dHkVhMkiWF4VXXDOrUO3iFYrEsCTUOTB5/rI9WftQn9hFo0uKUvmxi0CBHf29ZsDYxLjjs9miiwHaSIXo6Y8cA1Dre73rdRpS6TlCg==
827bcpjqg5rg5hbr7qjf70kbgbsldv24.compare.	900	in	nsec3	1 1 0 - 87VBG6SVQQRTOMJ107260NAHC4DH7O2G NS DS RRSIG
827bcpjqg5rg5hbr7qjf70kbgbsldv24.compare.	900	in	rrsig	NSEC3 8 2 900 20250917150437 20250903141048 7680 compare. SjtHNR6n+LvlKPvDPWrxz48TNtZNFsa028ZSDEPQf5WU5fwGSZHB4og+UaRd2UXk73JW7orCAMR0uGz+xv25ekc5V1coUF4l4VIr3GxFpPriACHsIo6UTVCvXh/8NTw4NlIam/FcvKHjnZfwDKHbmfEXZ7vlOEKMe+ROmY4MgBQqMBqcrWheLk/ObZD1SAtp8Dwdt3MLKSWCudQddPkcIg==
87vbg6svqqrtomj107260nahc4dh7o2g.compare.	900	in	nsec3	1 1 0 - 8GOV0VIA65E8U64D8JFQOL0N9SUCIKQL NS DS RRSIG
87vbg6svqqrtomj107260nahc4dh7o2g.compare.	900	in	rrsig	NSEC3 8 2 900 20250917112232 20250903104749 7680 compare. Jxxv0r9tMDB/e6k7vTiR8IebqspLtuQZa7XqE3gzjaKF1CLa/u/Nbqj5Sz3vMHFIQ6N/Cr+HxBNqB1T/3Krp3eapKDzyMmzrvLYD2gocjX3gB21Zp9IvAba1sPHhonhHeRj9X0vrZPcEo16gPDCylRk4oS5Ghpy2CIzkn39V6EYU7OwXEF8uRK6vHSVOTwDkvB9Pm9OY8r/0LKbP7TCSCg==
8888.compare.	3600	in	ns	ns45.domaincontrol.com.
8888.compare.	3600	in	ns	ns46.domaincontrol.com.
888b.compare.	3600	in	ns	princess.ns.cloudflare.com.
888b.compare.	3600	in	ns	terry.ns.cloudflare.com.
88clb.compare.	3600	in	ns	coen.ns.cloudflare.com.
88clb.compare.	3600	in	ns	jillian.ns.cloudflare.com.
8gov0via65e8u64d8jfqol0n9sucikql.compare.	900	in	nsec3	1 1 0 - A6FTFJ0DOPD1P2MTUNESTAKV4QOV2G4R NS DS RRSIG
8gov0via65e8u64d8jfqol0n9sucikql.compare.	900	in	rrsig	NSEC3 8 2 900 20250916213724 20250902204146 7680 compare. gCDRi4iWJlajbVpzy+WTk0ukirxQokELhqSKMobWpKTb9EEQlF6O5BPgFgYzbfL83ILpZlkr5VYvdgh9LtOz1C0EhMKw7saGNn7A/zlbWwEPR/etUG4wj+MB4ZAkOF7pRqPMBRY1BrFOt7K8EZldMcUtf5hfTr2cAR3gj1pzT3aaASkZeFHMb740e+3MfDsJqm7RDav/RZxuT7zxpgBxlw==
8xbet.compare.	3600	in	ns	celine.ns.cloudflare.com.
8xbet.compare.	3600	in	ns	huxley.ns.cloudflare.com.
_forcedupdate.compare.	300	in	rrsig	TXT 8 2 300 20250913071539 20250903193703 7680 compare. iMt0h+cBS6MYHJDd6HC81RHs63Izs97/JGSL9GJ5gaqS4TSczhACufN6FSjkMfGlFeNHzpH2Ov2kJm/cDqyHIGZ67J/3W7ytFHg1lfxeTEKwXibBNEJGJO1KjbnrZg3UKC/YTF19NpvGiefjc/Q/ABYBqmelSIlzvbI/M5p64sOX4NsE+q6kmB4vsEKvg+sf6RpoTm9aB5s0jlrlgr6B4Q==
_forcedupdate.compare.	300	in	txt	"1756931822"
a.nic.compare.	172800	in	a	37.209.192.9
a.nic.compare.	3600	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0009
a6ftfj0dopd1p2mtunestakv4qov2g4r.compare.	900	in	nsec3	1 1 0 - B7OMP1MLL7R8BE407HEU5FMT9Q9C7NSR NS DS RRSIG
a6ftfj0dopd1p2mtunestakv4qov2g4r.compare.	900	in	rrsig	NSEC3 8 2 900 20250916135232 20250902134438 7680 compare. Ke/jYC5THB2gwYkD1jtiM215L1BvkX8Cef0YSzbqF1zkNp8L5Sdt/wkwxXaeatY/MwfZISGCLVerHwDaGdgUmdVSC1JZCi4ZPc/vAWb5rlbZJ5YlLQpiUOjX31h3caNyAUSu22tAjHdh7sWR/v1VsXAR7gXgS98whe3NDnLwVmhIZtSLlIn2Uey1UTQ55mXKscis0cajeZfmjJRSeAFejQ==
abebooks.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
abebooks.compare.	3600	in	ns	nssui.comlaude.ch.
abebooks.compare.	3600	in	ns	nsusa.comlaude.net.
accounting-software.compare.	3600	in	ns	ns49.domaincontrol.com.
accounting-software.compare.	3600	in	ns	ns50.domaincontrol.com.
admiral.compare.	3600	in	ns	ns0.phase8.net.
admiral.compare.	3600	in	ns	ns1.phase8.net.
admiral.compare.	3600	in	ns	ns2.phase8.net.
admiralgroup.compare.	3600	in	ns	ns0.phase8.net.
admiralgroup.compare.	3600	in	ns	ns1.phase8.net.
admiralgroup.compare.	3600	in	ns	ns2.phase8.net.
adobe.compare.	3600	in	ns	ns1.digitalocean.com.
adobe.compare.	3600	in	ns	ns2.digitalocean.com.
adobe.compare.	3600	in	ns	ns3.digitalocean.com.
adsense.compare.	3600	in	ns	ns1.googledomains.com.
adsense.compare.	3600	in	ns	ns2.googledomains.com.
adsense.compare.	3600	in	ns	ns3.googledomains.com.
adsense.compare.	3600	in	ns	ns4.googledomains.com.
adultvideos18.compare.	3600	in	ns	ns1.afternic.com.
adultvideos18.compare.	3600	in	ns	ns2.afternic.com.
agency.compare.	3600	in	ns	jerome.ns.cloudflare.com.
agency.compare.	3600	in	ns	violet.ns.cloudflare.com.
agent.compare.	3600	in	ns	ns21.domaincontrol.com.
agent.compare.	3600	in	ns	ns22.domaincontrol.com.
agentic.compare.	3600	in	ns	curitiba.ns.porkbun.com.
agentic.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
agentic.compare.	3600	in	ns	maceio.ns.porkbun.com.
agentic.compare.	3600	in	ns	salvador.ns.porkbun.com.
agents.compare.	3600	in	ns	curitiba.ns.porkbun.com.
agents.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
agents.compare.	3600	in	ns	maceio.ns.porkbun.com.
agents.compare.	3600	in	ns	salvador.ns.porkbun.com.
agi-systems.compare.	3600	in	ns	ns31.domaincontrol.com.
agi-systems.compare.	3600	in	ns	ns32.domaincontrol.com.
agilent.compare.	3600	in	ns	dns1.p05.nsone.net.
agilent.compare.	3600	in	ns	dns2.p05.nsone.net.
agilent.compare.	3600	in	ns	dns3.p05.nsone.net.
agilent.compare.	3600	in	ns	dns4.p05.nsone.net.
agoda.compare.	3600	in	ns	ns1.markmonitor.com.
agoda.compare.	3600	in	ns	ns2.markmonitor.com.
agoda.compare.	3600	in	ns	ns3.markmonitor.com.
agoda.compare.	3600	in	ns	ns4.markmonitor.com.
agoda.compare.	3600	in	ns	ns5.markmonitor.com.
agoda.compare.	3600	in	ns	ns6.markmonitor.com.
agoda.compare.	3600	in	ns	ns7.markmonitor.com.
aiagent.compare.	3600	in	ns	ns47.domaincontrol.com.
aiagent.compare.	3600	in	ns	ns48.domaincontrol.com.
aianimation.compare.	3600	in	ns	ns05.domaincontrol.com.
aianimation.compare.	3600	in	ns	ns06.domaincontrol.com.
aibot.compare.	3600	in	ns	ns09.domaincontrol.com.
aibot.compare.	3600	in	ns	ns10.domaincontrol.com.
aidata.compare.	3600	in	ns	ns65.domaincontrol.com.
aidata.compare.	3600	in	ns	ns66.domaincontrol.com.
aimedigap.compare.	3600	in	ns	ns49.domaincontrol.com.
aimedigap.compare.	3600	in	ns	ns50.domaincontrol.com.
aiphotos.compare.	3600	in	ns	ns75.domaincontrol.com.
aiphotos.compare.	3600	in	ns	ns76.domaincontrol.com.
airco.compare.	3600	in	ns	ns-164-b.gandi.net.
airco.compare.	3600	in	ns	ns-172-a.gandi.net.
airco.compare.	3600	in	ns	ns-221-c.gandi.net.
airobot.compare.	3600	in	ns	ns75.domaincontrol.com.
airobot.compare.	3600	in	ns	ns76.domaincontrol.com.
airobots.compare.	3600	in	ns	ns57.domaincontrol.com.
airobots.compare.	3600	in	ns	ns58.domaincontrol.com.
airpods.compare.	3600	in	ns	a.ns.apple.com.
airpods.compare.	3600	in	ns	b.ns.apple.com.
airpods.compare.	3600	in	ns	c.ns.apple.com.
airpods.compare.	3600	in	ns	d.ns.apple.com.
airportparking.compare.	3600	in	ns	ns1.sedoparking.com.
airportparking.compare.	3600	in	ns	ns2.sedoparking.com.
aitexts.compare.	3600	in	ns	ns71.domaincontrol.com.
aitexts.compare.	3600	in	ns	ns72.domaincontrol.com.
aitools.compare.	3600	in	ns	curitiba.ns.porkbun.com.
aitools.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
aitools.compare.	3600	in	ns	maceio.ns.porkbun.com.
aitools.compare.	3600	in	ns	salvador.ns.porkbun.com.
aitraining.compare.	3600	in	ns	ns27.domaincontrol.com.
aitraining.compare.	3600	in	ns	ns28.domaincontrol.com.
alexa.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
alexa.compare.	3600	in	ns	nssui.comlaude.ch.
alexa.compare.	3600	in	ns	nsusa.comlaude.net.
aliens.compare.	3600	in	ds	46752 13 2 EB1D85586F206FCF55E466D35B9022EE26D4329C5C0E39CE8ABA06539E166B60
aliens.compare.	3600	in	ns	launch1.spaceship.net.
aliens.compare.	3600	in	ns	launch2.spaceship.net.
