contact.	3600	in	soa	v0n0.nic.contact. hostmaster.donuts.email. 1769302998 7200 900 1209600 3600
0.contact.	3600	in	ns	launch1.spaceship.net.
0.contact.	3600	in	ns	launch2.spaceship.net.
00.contact.	3600	in	ns	damien.ns.cloudflare.com.
00.contact.	3600	in	ns	lucy.ns.cloudflare.com.
0000.contact.	3600	in	ds	49184 8 2 D58E37D314F3ABFEB964A5DF07B5CD6172D56F4218150870DFFCEDA060BC182E
0000.contact.	3600	in	ns	ns-cloud-a1.googledomains.com.
0000.contact.	3600	in	ns	ns-cloud-a2.googledomains.com.
0000.contact.	3600	in	ns	ns-cloud-a3.googledomains.com.
0000.contact.	3600	in	ns	ns-cloud-a4.googledomains.com.
0000.contact.	3600	in	rrsig	DS 8 2 3600 20260207153219 20260117143219 53970 contact. NOjPaQsb7RbbQwUSVLuNoOd6id2oYMFG5ARFXDeeQJ5KOPfjfhtDjD12WfUFdF8PDLcL3U4ooV13QXSOblCATCZAkTEgwXn8PgQIgbihsLzCGLWxISEj+KHahOQ0Qh9uaP8z9pV2oNRWIb152vDdDDWfPKjPqRHkR1ys4o8AdEM=
000borhg1lnngkn6e1ah514dh7e381lt.contact.	3600	in	nsec3	1 1 0 73 002K031F7NDDH1K6CLBQG89EDDHNS41A NS DS RRSIG
000borhg1lnngkn6e1ah514dh7e381lt.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. WrOdFeIXBYUH7D30eq85iggvEHKqa5TzkmIo5iLHTYmMjcju75GhUoWc2k4zRDXR54PvU2/c28gjtCQfwIU3sOMtRYTd277FvY1Di4hvM7L23nZTqCDrPy+pGx1evIRMbIFivQ14MGJ4sbefLu52A7Nu8gReLp21kMWYAP2VsyM=
001.contact.	3600	in	ns	ns1.afternic.com.
001.contact.	3600	in	ns	ns2.afternic.com.
001.contact.	3600	in	ns	ns3.verification-nhonygudqdkwxkkggwjq2n.ns101.verify.hn.
002k031f7nddh1k6clbqg89eddhns41a.contact.	3600	in	nsec3	1 1 0 73 009RUGH8H18938PKF5PJE9NU3I01T5IA NS DS RRSIG
