cooking.	900	in	soa	a.nic.cooking. admin.tldns.godaddy. 1757527537 1800 300 604800 1800
022ttulo7lqa9gs4l8bahdqmv1kk9pd7.cooking.	900	in	nsec3	1 1 0 - 09BS7VFKG9QD4TKIB5LIMTO11KSAJT5N NS DS RRSIG
022ttulo7lqa9gs4l8bahdqmv1kk9pd7.cooking.	900	in	rrsig	NSEC3 8 2 900 20250919221524 20250905211816 8223 cooking. ED4jgzkLSMelBUqCC8qz9WV2g2Oi2Z/8FVEtejUG0QSkR/tSOF7RFmkwiy7sAH2a7KDn/dUygZFZ8XQdmLwhEQAadT0ldD0/kHh/c03Btz4T9xXvo2SshgKD6NRcXnye6d8JbmY4w9tnAUrQueEw+AyH3z/W3uZgMbbAEu38VT0s0K5k4c/9oITSkAMgxh0XphC3tiNGnbfVr4dcarU0nA==
09bs7vfkg9qd4tkib5limto11ksajt5n.cooking.	900	in	nsec3	1 1 0 - 0ON8PRHNCINK250TSAC2OQSV35F9N6S1 NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
09bs7vfkg9qd4tkib5limto11ksajt5n.cooking.	900	in	rrsig	NSEC3 8 2 900 20250922100207 20250908094647 8223 cooking. dpJv/xAyKFs3b+l/e6CfudDmLinCRzzyV8a/kZpDSWcOtishw6aDQla4lQRVLv/mKNMO+UYugwUREU4z5eljAxrCj4QZymgpdS84KphaiWO17U2qZoqqJHA041QtO+rSYPKpwVtF/9DcSbCBGOXStw2QCZkf1otHkbtDZCtKX5YLXvwTlCrOOhYjHdcLUZRD14x7KtB0DMy1Ii1Q1qo4EQ==
0on8prhncink250tsac2oqsv35f9n6s1.cooking.	900	in	nsec3	1 1 0 - 0VMS7U5RG8GVPDK5U7JHOE8EKNMALC9R NS DS RRSIG
0on8prhncink250tsac2oqsv35f9n6s1.cooking.	900	in	rrsig	NSEC3 8 2 900 20250922203705 20250908201840 8223 cooking. 4z2R0YLmgPobzywWQZAc6B9aNMAKicSD9WS4crBdM1b0eN+dGiK+2NV6sURUdOJi1UPJIeY2CeHmtENWwVdN6r+MAObwvjWjPihmxMg7kjF9gS0nfsV4A8P9XtxdQX/TdxAyo2sHnHQvi1iNHaBIGxSK5icG3R1hCq47g+0Dxw4Y+Jm0AyVjPfTGoLU7uF3rTGa9cMpHOmjSg/GgOLqaRQ==
0vms7u5rg8gvpdk5u7jhoe8eknmalc9r.cooking.	900	in	nsec3	1 1 0 - 10G42K30E3FO5H4AT3111P4UM01GAQIC NS DS RRSIG
0vms7u5rg8gvpdk5u7jhoe8eknmalc9r.cooking.	900	in	rrsig	NSEC3 8 2 900 20250919104006 20250905095026 8223 cooking. C7mneWbnSI7459Phx5faMn5GAfmoqYlaIzbP/DUuce2aUirFDKiG9AvcaFl+GpujVDmKE8Z1JdPZtLtLuJc3IZT/pUH3vREVoYVLCYTSNjLztsowXOob19s7AHsT0iNwEhuCy+TexzdsqjhQGbyY8u+nizaA42q8bEMvDpXmPFzX3aJugyw9162VXkAifV9KFKcYLyoKU5+bVkeblI983Q==
1.cooking.	3600	in	ns	ns3.afternic.com.
1.cooking.	3600	in	ns	ns4.afternic.com.
