credit.	3600	in	soa	v0n0.nic.credit. hostmaster.donuts.email. 1759366664 7200 900 1209600 3600
0.credit.	3600	in	ns	arvind.ns.cloudflare.com.
0.credit.	3600	in	ns	ryleigh.ns.cloudflare.com.
007.credit.	3600	in	ds	62711 13 2 913347512F0F5F416092278EA4C3E613D72C035DA171CD0682FCE6CC20258E83
007.credit.	3600	in	ns	launch1.spaceship.net.
007.credit.	3600	in	ns	launch2.spaceship.net.
007.credit.	3600	in	rrsig	DS 8 2 3600 20251022153420 20251001143420 28215 credit. NfixhgYsLNVhcNXbT0IUouB0JG/WqT2qSCd4xWYJs3wZHjlmD2l3MgHSnXPqKnvL/u5/Fb2h8aOP72kmNXI0Q7nUshyqnOzr/XbTzD2z0KgOtH9fC/baZowSa1GZfFOqIXVFAvVmBahAf+Nk9zH+m5xgqoOY3qtLHZNl5N3G+4w=
02vsjfitmboutpc0mrra9ib4i898nalm.credit.	3600	in	nsec3	1 1 0 73 0442E20EE820CLB6EIHI6J7I52FH1QAI NS DS RRSIG
02vsjfitmboutpc0mrra9ib4i898nalm.credit.	3600	in	rrsig	NSEC3 8 2 3600 20251022153420 20251001143420 28215 credit. pMdAJo1hXDO2gRxbWEvV7966p4Aq0h6OUOP0Pb2Y3riiC15MJvkNVNQtG/mI/23d3RokkvIfOIIs+jOwfVG3sok5o6ghma+stMYBgVvh9v/iJH7HBmgF0tRpJfAxw1mH/N4oI4WboJPstQgPWgihKHj0M5wOhUiAlEV7DpssWZY=
0442e20ee820clb6eihi6j7i52fh1qai.credit.	3600	in	nsec3	1 1 0 73 0B43PEL03JV39VCL702PUHGBIB2OAKG1 NS DS RRSIG
0442e20ee820clb6eihi6j7i52fh1qai.credit.	3600	in	rrsig	NSEC3 8 2 3600 20251022153420 20251001143420 28215 credit. lwPjyQ+1sEXNRtN5tB0BCA2GfjswGOFjq0r+xd7iMPG5F8xabfIq0Ad2+Za4CIebM3+dsiF4JpAXwpPuAc/4N+pB9wLbHMxyJoY/tlq6IqXeo7sBMze/T5D2fq9aGCB0nUSIVTleMTNtcu71ga1jQ5tihkaBBrWooZOqQpLp5ws=
06e.credit.	3600	in	ns	failed-whois-verification.namecheap.com.
