cruises.	3600	in	soa	v0n0.nic.cruises. hostmaster.donuts.email. 1767661091 7200 900 1209600 3600
0crfa3e6ff96jt9fcip0h12jiur7i37r.cruises.	3600	in	nsec3	1 1 0 73 1KH5F866H02TSTK6FPE0LTL07PPBB68U NS DS RRSIG
0crfa3e6ff96jt9fcip0h12jiur7i37r.cruises.	3600	in	rrsig	NSEC3 8 2 3600 20260122152615 20260101142615 33054 cruises. OiU+4f8fXnd3K+ODKn2YIfJoQEOFPuC7xfgFHvFdCDxf9ciPs2PXMCJb+KRLO4/+aCqQeQ9lPen5Hzl3bBhvazyy8ieYlKZNcwCoo1aUJ8eVC5LauCGREb9Vy38KBbDz/I5en+6K6PvnksELUHiJX0JAZjuFM2P7p8BT9qa0lOw=
118.cruises.	3600	in	ns	ns43.domaincontrol.com.
118.cruises.	3600	in	ns	ns44.domaincontrol.com.
11bet.cruises.	3600	in	ns	ns1.dns-redirect.com.
11bet.cruises.	3600	in	ns	ns2.dns-redirect.com.
123.cruises.	3600	in	ns	e0s2fo.ns3.nameshift.com.
123.cruises.	3600	in	ns	ns1.nameshift.com.
123.cruises.	3600	in	ns	ns2.nameshift.com.
123b.cruises.	3600	in	ns	monroe.ns.cloudflare.com.
123b.cruises.	3600	in	ns	weston.ns.cloudflare.com.
15.cruises.	3600	in	ns	ns39.domaincontrol.com.
15.cruises.	3600	in	ns	ns40.domaincontrol.com.
1800.cruises.	3600	in	ns	curitiba.ns.porkbun.com.
1800.cruises.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.cruises.	3600	in	ns	maceio.ns.porkbun.com.
1800.cruises.	3600	in	ns	salvador.ns.porkbun.com.
1kh5f866h02tstk6fpe0ltl07ppbb68u.cruises.	3600	in	nsec3	1 1 0 73 1NCC78CSNSMGN6I0J3G6QT8VNMP30KRK NS DS RRSIG
