deals.	3600	in	soa	v0n0.nic.deals. hostmaster.donuts.email. 1769302966 7200 900 1209600 3600
00video.deals.	3600	in	ns	ns1.afternic.com.
00video.deals.	3600	in	ns	ns2.afternic.com.
03kfdm2enpnll1fqqe6v9f3gkjquik7d.deals.	3600	in	nsec3	1 1 0 73 03R5GH8TPFVJEKFB8JF4FP2UICUT5GCS NS DS RRSIG
03kfdm2enpnll1fqqe6v9f3gkjquik7d.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. cQ5Z/Yz85pPV5WuGAaxd+KlVqcerrhr9+Ih+s1RtNs5CO5N61RP5wJEMKbz65Y5PKXZTPSxLGJjyGXh/k52ec7vZln+AM7R+voJfR+Nd1kH2+LNuxVyRKBsfmrAGrX6yZxYfic6/1gsonVq2LCGTSPZ5rIgI5LEU1pzBNJGYxC4=
03r5gh8tpfvjekfb8jf4fp2uicut5gcs.deals.	3600	in	nsec3	1 1 0 73 043UO7SPKE0DHOCA39DFKBJ9531USKS1 NS DS RRSIG
03r5gh8tpfvjekfb8jf4fp2uicut5gcs.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. mzACE/U7zPM4si0xRu5qxS5Z05KILtRy4XSkKdItwZyL+cp7nX0FWkIF5XV7fGZjyn4ogk5iXinqJWWUWElAbPUQdVDHRwOv2rzyTaPuAHExCsDVq68H+UGJUIUefb+QgvmuqcjS9HUfDIHowVOOEHSULma2nVbDyIohcYvvUmc=
041w.deals.	3600	in	ns	curitiba.ns.porkbun.com.
041w.deals.	3600	in	ns	fortaleza.ns.porkbun.com.
041w.deals.	3600	in	ns	maceio.ns.porkbun.com.
041w.deals.	3600	in	ns	salvador.ns.porkbun.com.
043uo7spke0dhoca39dfkbj9531usks1.deals.	3600	in	nsec3	1 1 0 73 066IR25JHG931H2O5EUS5EQTJNTVCO18 NS DS RRSIG
