democrat.	3600	in	soa	v0n0.nic.democrat. hostmaster.donuts.email. 1767661143 7200 900 1209600 3600
04fvvepgeu6fa1k63qt51ljplc8166og.democrat.	3600	in	nsec3	1 1 0 73 0GT20RG07O24EDKET3M0A33BLR442GGL NS DS RRSIG
04fvvepgeu6fa1k63qt51ljplc8166og.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. geoYnxfvrdnHENpG6O5Tk+45+hbrDPcWKvW1gBKMd9dx5s5+MHmgLEyHV7kSDkKEsMPipBchj3OKKOan1XO0zQDBlBSuhWzUH8WBb37seQTONweVu5K0aqnycSjYsRWYoxyPBfrxHYaziQ4eTo8SACK85aq3/zDIw5pS8D/ZGs0=
0gt20rg07o24edket3m0a33blr442ggl.democrat.	3600	in	nsec3	1 1 0 73 0HGU61F7EMG3V8PRBSTKBVD6MIJF638R NS DS RRSIG
0gt20rg07o24edket3m0a33blr442ggl.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. Q+yr3xVe2hfZEiVplpoti7pS/gaIw+V0B2PXsNzhzZ89RYvB/9ZQwjraO7CddSPu/XUzAq2UHm10zzXPwmifQIIOnULrP7lhAcXJqY4dgQla6h8LDiUo5mvjoJGBlMMXmoXYMLwF6oUCUO3m5PvIjm6ybTWuIcQ43H/34NAif0w=
0hgu61f7emg3v8prbstkbvd6mijf638r.democrat.	3600	in	nsec3	1 1 0 73 0J8OILJTN8PKDIS3RGOPGOUGCU12IFLE NS DS RRSIG
0hgu61f7emg3v8prbstkbvd6mijf638r.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. WfnapANLm75wptF7yR/T5sk35EJap7odCZ09PpaBFKb3ClMgWPWq3xFoPbwPbV+r6t7zZvI64UDMoEWqBibkBR707+tLfY1fokNgcz6vkaoZHxQS5u9weLzGOi4v3PAc0WK6HCGIFJ2ypBtWYjPQYt0cwvz1x5+ijPxqfxQS1Dw=
0j8oiljtn8pkdis3rgopgougcu12ifle.democrat.	3600	in	nsec3	1 1 0 73 13ACTCIM1CI0B3PUDDLQUHSRGGBSBFV1 NS DS RRSIG
0j8oiljtn8pkdis3rgopgougcu12ifle.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. Yh3lluRYDuHbHlYYjKH1Z55b75E0JmzJI4tF55tZI0PW7rEDtfJeZnBqLG8pfIdMJhBSORx5E0KoLpSuh7WgddIFIiAZZyJT4ueRRFDcKWefwgvxm/q3iPtIYoaYNYfKn8Dak43dnD1aER9MijOlFQ2OaNpkAnYBe0da8jTe0XQ=
123b.democrat.	3600	in	ns	ganz.ns.cloudflare.com.
123b.democrat.	3600	in	ns	marissa.ns.cloudflare.com.
13actcim1ci0b3puddlquhsrggbsbfv1.democrat.	3600	in	nsec3	1 1 0 73 1UBF4G1046Q36NNO78QFEPBRL8JVKTT6 NS DS RRSIG
13actcim1ci0b3puddlquhsrggbsbfv1.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. vYTgzJzKDjEBgKGwe4/bQ1Belcu7TIXJrFQHdjmXzDO3/5aGXsUGnPbbjcV3CaIYqYdCPq+SYxFcGqlAy55y1bHTQkB26HuesQKRz5tsiQlFGUUfjuzBdYkDBrmOWwmXmUpJS4BeHdcHgXEjsly5EQcc1hL40qjQi4HehsHe5wE=
13newyork.democrat.	3600	in	ns	ns.myhosting.com.
13newyork.democrat.	3600	in	ns	ns1.myhosting.com.
13newyork.democrat.	3600	in	ns	ns2.myhosting.com.
13ny.democrat.	3600	in	ns	ns.myhosting.com.
13ny.democrat.	3600	in	ns	ns1.myhosting.com.
13ny.democrat.	3600	in	ns	ns2.myhosting.com.
13thny.democrat.	3600	in	ns	ns.myhosting.com.
13thny.democrat.	3600	in	ns	ns1.myhosting.com.
13thny.democrat.	3600	in	ns	ns2.myhosting.com.
188bet.democrat.	3600	in	ns	armfazh.ns.cloudflare.com.
188bet.democrat.	3600	in	ns	fish.ns.cloudflare.com.
1st.democrat.	3600	in	ns	ns1.atom.com.
1st.democrat.	3600	in	ns	ns2.atom.com.
1ubf4g1046q36nno78qfepbrl8jvktt6.democrat.	3600	in	nsec3	1 1 0 73 26KCLULU6P6OJD1KJT7RILLON0652HQ9 NS DS RRSIG
1ubf4g1046q36nno78qfepbrl8jvktt6.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. f+abZyY6Uy0bkApEiI/1i1qT19BBePmI+bwaxUkxMybkE/j8iSSsttjph0d5nfaOwe5Or35+8zkuLKnBY2uG2Jgf9Jspxv4kenG0S44rW0x4AK4QCGdSGiDfbBdmyMzE1y3NAScR+jYMU+y8cSED5dUb/qW6AzctOazL44YPn1s=
2020elections.democrat.	3600	in	ds	39485 8 2 73FD30FAE312117F7BEBF7F5531C78DD35D1DA2E3B8CB5A27E1B7EAC773183D0
2020elections.democrat.	3600	in	ns	ns-cloud-a1.googledomains.com.
2020elections.democrat.	3600	in	ns	ns-cloud-a2.googledomains.com.
2020elections.democrat.	3600	in	ns	ns-cloud-a3.googledomains.com.
2020elections.democrat.	3600	in	ns	ns-cloud-a4.googledomains.com.
2020elections.democrat.	3600	in	rrsig	DS 8 2 3600 20260122152417 20260101142417 54771 democrat. HtWVbGzGzJvml6UxnRKQuUfzpw1uPeDm4+R+QxPXhWdW3YO+TRiEGBobE8c89f6uNEb2U+jffR78ZvQ/AKJIFaTk5eHn8Itm3NB2BWYZfiTXzutI3J6iZvFQ9V3tjMrVZiXJkePIJID2cyLOxwL97pL8x0lrWZrQcqxweBDMksk=
2026.democrat.	3600	in	ns	dns1.registrar-servers.com.
2026.democrat.	3600	in	ns	dns2.registrar-servers.com.
2026vote.democrat.	3600	in	ns	ns1.afternic.com.
2026vote.democrat.	3600	in	ns	ns2.afternic.com.
2026vote.democrat.	3600	in	ns	verification-hk7fxnvmre3f4anx6syd7r.ns101.verify.hn.
247.democrat.	3600	in	ns	curitiba.ns.porkbun.com.
247.democrat.	3600	in	ns	fortaleza.ns.porkbun.com.
247.democrat.	3600	in	ns	maceio.ns.porkbun.com.
247.democrat.	3600	in	ns	salvador.ns.porkbun.com.
26kclulu6p6ojd1kjt7rillon0652hq9.democrat.	3600	in	nsec3	1 1 0 73 28HG2UK98GNRJDH15BPMQ45GAE2KM5PI NS DS RRSIG
26kclulu6p6ojd1kjt7rillon0652hq9.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. C0XnKDosSGE+FEB2imGRdFnTQEb4JdT8WvpgE6ZmjkSoRtvLxQOn9SsTMNbKONAXxZdEO0e1fnV0s59vBEutXNX4aZFiHxKROerkW9b+6Moh6KgG0A/rp3h1nKG7GvRPpWbECGUf+4AEL1OR4f7nbcjOZowYIDVmNPe6GvZ/bsE=
28hg2uk98gnrjdh15bpmq45gae2km5pi.democrat.	3600	in	nsec3	1 1 0 73 2JG1194HJMGAOU1DPR9TQD6FSF8AKT92 NS DS RRSIG
28hg2uk98gnrjdh15bpmq45gae2km5pi.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. qeakTUWRtY8HstyHUiy47jdXC5uiQSaukfLzvEaNiosUYbDHaTJP4aoeJwttj5kN3zptNrLx4fcAzjTlA1CwQs1tuVw+cluCGNyy9crWSJF2kYTKT14W5y64Iqp+/288zm+oIwR1u1S3/yTvsctMgp7pptVqkNh/6QNzGb+ctgM=
2jg1194hjmgaou1dpr9tqd6fsf8akt92.democrat.	3600	in	nsec3	1 1 0 73 3IF5DUU6LLJPA74RR90USJJIVFQCSQTE NS DS RRSIG
2jg1194hjmgaou1dpr9tqd6fsf8akt92.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. MJEjQ/O1epNahMH5e69LfNvV2JiuHuXi4namlX8eYxT4RNjUnriFIBODu71ZpU+QGGgtceQgcRMZx5Acj6PinDCUhb6DJ4gB04CQphqmKoC1g/eZ85gM8c+/pDxkUDpQLT0ENSrx5+a6+0Ukv509sulEhpMT0MvGitm89oxQjd4=
332.democrat.	3600	in	ns	ns.myhosting.com.
332.democrat.	3600	in	ns	ns1.myhosting.com.
332.democrat.	3600	in	ns	ns2.myhosting.com.
3aotariq.democrat.	3600	in	ns	ns1.dyna-ns.net.
3aotariq.democrat.	3600	in	ns	ns2.dyna-ns.net.
3if5duu6lljpa74rr90usjjivfqcsqte.democrat.	3600	in	nsec3	1 1 0 73 4FMVOTUAU01D18LT0HH62G334VOCHFDQ NS DS RRSIG
3if5duu6lljpa74rr90usjjivfqcsqte.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. WpJ14dN7emZVwXE/2gcM3wSz614DyFJ16xV02X8YiCOATRn/GEQKE+rZGPsLfc1HL3q36QsG/Bkskkrg+CDRD4So8Myi8MwpNRzuF/RjXSSg6z3D9DslwjKOmLU0CPlGrsgQBxgFAqwvT1GIp4KXJ6pajgG+2JTWIOwctPe0VnE=
45th.democrat.	3600	in	ns	curitiba.ns.porkbun.com.
45th.democrat.	3600	in	ns	fortaleza.ns.porkbun.com.
45th.democrat.	3600	in	ns	maceio.ns.porkbun.com.
45th.democrat.	3600	in	ns	salvador.ns.porkbun.com.
4fmvotuau01d18lt0hh62g334vochfdq.democrat.	3600	in	nsec3	1 1 0 73 4GORNUQU52QIJM95KP0MIAVFKDV33C68 NS DS RRSIG
4fmvotuau01d18lt0hh62g334vochfdq.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. x0qhfOtx65YwEx2b35Tp3pKExwH1WEVuWSmOEhtuTE232CSjoB+n6ynCj3LwkNMUc9251y4kNaeWmedVaX1HlLYRA/9BfN1jGOYAWQ+onebJQQ1U7Rllp/kFsqQrAxbscFl6yc+/is78WC4jUMrLRtOWt+R4zCg7WH23kK5jwmw=
4gornuqu52qijm95kp0miavfkdv33c68.democrat.	3600	in	nsec3	1 1 0 73 4QQM9B6OIKRQK5P04CTCQFKPO2BOBP9J NS DS RRSIG
