dental.	3600	in	soa	v0n0.nic.dental. hostmaster.donuts.email. 1759366664 7200 900 1209600 3600
01ebtiraupavaho0uueo2mfc2e6749dg.dental.	3600	in	nsec3	1 1 0 73 03TCA4K8777GK45NHFDF5HN28A92V3AD NS DS RRSIG
01ebtiraupavaho0uueo2mfc2e6749dg.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. dWKVrPs6cT6LczDeJ9V0fYWaFWmtaSMg5jnyKX0Mln0u1n6OAfrrjMHCP87yIsLQ8Ab1DZdbc0mfMrkN74WrZhw9LZOGN5AWTshcz2/To+8lbvIj41gGG+y7LLsoAXQMWQDfFl03pIBXW8H1sAIGs4ZH+wNU/R9uCC3KYotz1U4=
0211.dental.	3600	in	ns	ns.udag.de.
0211.dental.	3600	in	ns	ns.udag.net.
0211.dental.	3600	in	ns	ns.udag.org.
03tca4k8777gk45nhfdf5hn28a92v3ad.dental.	3600	in	nsec3	1 1 0 73 06DQ008N7APM82GM5C7QE0GQ3H9I0VKA NS DS RRSIG
03tca4k8777gk45nhfdf5hn28a92v3ad.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. dGxfMsqwgAxqZbZIkIfOVzC3SJLWZGh7ROblm9VYt//cjJORaiHej60o+nVVlsAm+fJxFZlAjvML0/ptpCXwtG+7lvDnRPkftHxvok7Tghs7kQRQELFq1EzLuLkRJwIx9g/dM12d2Jp/Xw1qCT7VzhtTVHTwwDmhP5w/RhwVF9Y=
06dq008n7apm82gm5c7qe0gq3h9i0vka.dental.	3600	in	nsec3	1 1 0 73 08LDI2H80DO7VOGCE111H5E18EQC25IJ NS DS RRSIG
06dq008n7apm82gm5c7qe0gq3h9i0vka.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. sbEc2QTZDlq+XnpxkfrFo1wgX9gY8kyjzbnbmrO4faQP5oOkEbc+Qxm3i8FZwmKUgQvyDd96fNnCvTt1/xo5f4k3ankccyzzeZOILu/yGcx1rOir6ddlUB1S78ekN7vKwuba/8qeHxjrA7O0ovyF78NgrR/JPzAa/ZC8pxZxtzA=
0800.dental.	3600	in	ns	ns09.domaincontrol.com.
0800.dental.	3600	in	ns	ns10.domaincontrol.com.
089.dental.	3600	in	ns	docks01.rzone.de.
089.dental.	3600	in	ns	shades16.rzone.de.
08ldi2h80do7vogce111h5e18eqc25ij.dental.	3600	in	nsec3	1 1 0 73 092NFR5DHU0SB2GSKP88FQVVEF6MCJAB NS DS RRSIG
08ldi2h80do7vogce111h5e18eqc25ij.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. tv4TPLphuFcQ1+HFmKO9hmRXGD/85plb1XGZKtqi+t1fGk4vLa+QrueOIbrdgiqc0G3gNtH8Ic9M9Qe9Q/KtCF27B9hjFT83oJ7T+j/M3h1HLtUix0E9ZeMQDkedx6gZMR6GQsOoHt3CtYJPjg3Am0k8/oslsqSvuwF9P/+Bmfg=
092nfr5dhu0sb2gskp88fqvvef6mcjab.dental.	3600	in	nsec3	1 1 0 73 0AGLDN85028V12S15N9OPHS640OG9V5S NS DS RRSIG
092nfr5dhu0sb2gskp88fqvvef6mcjab.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. pEh3k/O7dlx7TfN9Li9ql7T88Uste1wBVnRHWHeVe+K8baUjCVD6HMivzWt5BsaVCE6oeAMvkowklZA3Mrj5ytgiu7v8GHmos/a/qNseYI/pg+qeXcW+zjtnH5zLn9YFBJBcUrqsg3bsI7fuVEMyUCOnlZHue54r32w+KG/yELY=
0agldn85028v12s15n9ophs640og9v5s.dental.	3600	in	nsec3	1 1 0 73 0BHC343E9JMO8G1LU24GKASR05SIQA3U NS DS RRSIG
0agldn85028v12s15n9ophs640og9v5s.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. ZLKk0AkN7+GOeeAksxLyVCdrwsrdzqFKZAGcHj+kJVRsVXIXopHVnFv1vqtMGSskHx4dPypqq7W8QGoh993wimZizzfV+APLgs1QJfj5qGWUs4bfz0aUBaR0+y7JVdMJHcJoZCFmd/eR+A140kGuCtS4rbFx24KvNl9P9f8MT1Q=
0bhc343e9jmo8g1lu24gkasr05siqa3u.dental.	3600	in	nsec3	1 1 0 73 0BR0DC8DVVRA75PK58SMF4T34I6MQCQB NS DS RRSIG
0bhc343e9jmo8g1lu24gkasr05siqa3u.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. O7YvIK2JrHyMQpnFgcJfKOwj3GXiSsFBK8m4Qt26EPH/sBfHr4PwGkROTF1mwRVyUA4sPVnHcfe88lSwytmxGat8rwaOCDmoQSnj+7+tKMS6NE2Y6fbBijBNpaM5Id0O+593AL4jqe5xr5SD+NX6rNv79rQrwsZFcs8hrRFB9I8=
0br0dc8dvvra75pk58smf4t34i6mqcqb.dental.	3600	in	nsec3	1 1 0 73 0DP4BJS9N0ATN707N0COTOA366V6LTEQ NS DS RRSIG
0br0dc8dvvra75pk58smf4t34i6mqcqb.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. a5JhOjkMjsHh/2g/LCf937aImPz3hHUHsWCOQUQyw8M+WkVmnafl0urLFFYFsU+q+KBx0FyuVNpIr00uZkIHrQFqKzBx9dlfsg77cfu52mXjwYxblm+hN57FELm4BYME64k8nnEidmB6iK3lyxcPbrZVFlQQttinFAPiphUD8CU=
0dp4bjs9n0atn707n0cotoa366v6lteq.dental.	3600	in	nsec3	1 1 0 73 0HNC6HB4BU78N8MMHD85HOTCNS6GIUSJ NS DS RRSIG
0dp4bjs9n0atn707n0cotoa366v6lteq.dental.	3600	in	rrsig	NSEC3 8 2 3600 20251022153457 20251001143457 20733 dental. TksiQ64OZQ3Kouj3jj3K+Si7pgtSPceWuuEqrIi9VGTK5yiHgbwUiuMdttzk6neO4l3Jx6YfnfBO5uyP1ybZ0NWEkyvq+XBKqfqTuPMnm6Xai12gdL6vHOQ/P5uZACw4PJxNjNAZsYOI9QFikd0LCZh+6v/zaTm0wPjQqKC5EpY=
