dentist.	3600	in	soa	v0n0.nic.dentist. hostmaster.donuts.email. 1767661111 7200 900 1209600 3600
01vdmord0hr2qfqf19qgopblnck1gu6r.dentist.	3600	in	nsec3	1 1 0 73 057LKE710S17JTGSU119S0FK5E2H553B NS DS RRSIG
01vdmord0hr2qfqf19qgopblnck1gu6r.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. w2njU1EgCRFHCq1Rsl0VdbAqZ9jBnD/CVjahWkFwy4vGR+IVc5fLgOQQ5ShzcQbC4J13Tyd9k3RnfJOWTfYWjOARS9rWKwqSHVW6mxMV8AQkgqhwit5104Cr3R5Ey7mYkFO0tD3tDisem1viSSMhSINp748aAOxxHc43fTIhj8Q=
0211.dentist.	3600	in	ns	ns.udag.de.
0211.dentist.	3600	in	ns	ns.udag.net.
0211.dentist.	3600	in	ns	ns.udag.org.
057lke710s17jtgsu119s0fk5e2h553b.dentist.	3600	in	nsec3	1 1 0 73 075CBRBFVHE2VSB4UP2KRMKJ9Q0A2I3A NS DS RRSIG
057lke710s17jtgsu119s0fk5e2h553b.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. DiRV5y/KvfTM4FnP74rxh5j8TARiX85RoiYLuKwrjQEjJcm5bYGniJNrNrMBuATRtfaxOVgaUwEcA+m8dd1TYHw6d/iJUfpryve8jKMBVn3JPCrCujfWs6kIQcxeA/VJrnSQqN1vrO1Q1G+MSw+G5FgzHsGhK475bHJeR7OLlgU=
075cbrbfvhe2vsb4up2krmkj9q0a2i3a.dentist.	3600	in	nsec3	1 1 0 73 0G3TKO7HB5MUKC9TS89EEHQ84EKVK3MC NS DS RRSIG
075cbrbfvhe2vsb4up2krmkj9q0a2i3a.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. s2eLKP25TnQygH3gcuqct9av3edkDQvxqv6u/PRNfh1vnnZj91H9pXa9Wle9LXp8MFDitaFcsusY8Dm/XR3/LoYs+zJcebLvvmzc58Js9/q3tjdY1mPM1GwW+hE91TxXSuT3i+VfpgnkPmxx5uZCCfHz2PGG2ls8ctu+YRfzkss=
0800.dentist.	3600	in	ns	ns35.domaincontrol.com.
0800.dentist.	3600	in	ns	ns36.domaincontrol.com.
0g3tko7hb5mukc9ts89eehq84ekvk3mc.dentist.	3600	in	nsec3	1 1 0 73 0NH5HE32T5BIF32QVRJ66PT4BTVMGNR7 NS DS RRSIG
0g3tko7hb5mukc9ts89eehq84ekvk3mc.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. Qic1T6fCrWhVDnrMz2pStIkDkLCf21bMlHxuZCU4mCjviGrL6FpzadktXsDRQOx7Gw3Qp8F06Wlo+cU6l03UO2Ly2WAJjueOgOC7ibdBwCU9PdyVxQuMS5MN1fJPJZsKXkyXy7i8JeoZZCxIW/iWEYqf+LxW+Y75P00MtJLvUYg=
0nh5he32t5bif32qvrj66pt4btvmgnr7.dentist.	3600	in	nsec3	1 1 0 73 0PDQ389317C63I1TK4MGTD6OLI21E6TQ NS DS RRSIG
0nh5he32t5bif32qvrj66pt4btvmgnr7.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. Wd2toOPWZr82FHZdSqUG31rLsY701nEfqmaYuudh6vfRsr6juOMMaOJuG2N8Vhd1ZlfU4z5ADJySBwyq3nf1HASLkvGIppRQek8s/jG/XRL6D44M4dClp+3JUuyBBY+CO64yVlhrsRqdcHyKmt7YaB45fT3kswAB8KG9isPmeGU=
0pdq389317c63i1tk4mgtd6oli21e6tq.dentist.	3600	in	nsec3	1 1 0 73 156CFJ9CRC4QSIV76MOVUGCMT50CRM4S NS DS RRSIG
