diet.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1767654120 900 1800 6048000 3600
080.diet.	3600	in	ns	ns1.dn.com.
080.diet.	3600	in	ns	ns2.dn.com.
080.diet.	900	in	nsec	10.diet. NS RRSIG NSEC
080.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. 8tLG0rq2U8NbH97kJUiy6Pnf26F6Ml8jk6dhoXN4D31c2/XrZHPLbYnJ4xjg1wRmx1TIO1zuBmv0ydxAGI7LoA==
10.diet.	3600	in	ns	earl.ns.cloudflare.com.
10.diet.	3600	in	ns	gabriella.ns.cloudflare.com.
10.diet.	900	in	nsec	100year.diet. NS RRSIG NSEC
10.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. VlhvKxBD4cJ3fcfn2GK1ShqD7/5Ak9Kp3Si66wQKrTkd9KyUIKXn6+Bo9TYfpp+F1a77GNE7VvkTdbAu4OT0aQ==
100year.diet.	3600	in	ns	ns0.directnic.com.
100year.diet.	3600	in	ns	ns1.directnic.com.
100year.diet.	3600	in	ns	ns2.directnic.com.
100year.diet.	3600	in	ns	ns3.directnic.com.
100year.diet.	900	in	nsec	100yr.diet. NS RRSIG NSEC
100year.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. noNG83i/DC7+YbqawZby39g+ohjdKbZny0lyWtuo+ciK9Sy1dbH2mIxqilN2IKh9TREtWjV81Pqzt0ShVspvdQ==
100yr.diet.	3600	in	ns	ns0.directnic.com.
100yr.diet.	3600	in	ns	ns1.directnic.com.
100yr.diet.	3600	in	ns	ns2.directnic.com.
100yr.diet.	3600	in	ns	ns3.directnic.com.
100yr.diet.	900	in	nsec	101pounds.diet. NS RRSIG NSEC
100yr.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. j8ziQF+A6nN3TIqz2XxCWUFxZqpfzkK7sP3qsQVeMV58aPmrZZLBgCpHCh5LdT5oN2iVA7lY4NGDPLguI/Wdyw==
101pounds.diet.	3600	in	ns	ns1.meganameservers.eu.
101pounds.diet.	3600	in	ns	ns2.meganameservers.eu.
101pounds.diet.	3600	in	ns	ns3.meganameservers.eu.
101pounds.diet.	900	in	nsec	10x.diet. NS RRSIG NSEC
101pounds.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. BcHdoejxjuuQ+FL3wNsNJqRaaleQI0vfXhp6vkAdWM9yFBhrrAsyBP4Z1HoMaDa6mhWwlrQboyOflkPxXEaa5A==
10x.diet.	3600	in	ns	pdns07.domaincontrol.com.
10x.diet.	3600	in	ns	pdns08.domaincontrol.com.
10x.diet.	900	in	nsec	121.diet. NS RRSIG NSEC
10x.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. y9QXK5rqS1as/8qpC2I/2BLL6+YdTM4AKG2qv908y8i3g9jGaFOP6SqmDP+9xLfhycXw0o3lbxr9/b+WPN12Dw==
121.diet.	3600	in	ns	ns01.is.nl.
121.diet.	3600	in	ns	ns02.is.nl.
121.diet.	3600	in	ns	ns03.is.nl.
121.diet.	900	in	nsec	12345.diet. NS RRSIG NSEC
121.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. VK6WluIV8g7vLu3swVNJhqVoDsBR2gwY/NzaW2vGpPUx8G3LqwK9bOwBerBUqPNLmGc+7n9mKD5+YO79lUcETA==
12345.diet.	3600	in	ns	ns3.insales.ru.
12345.diet.	3600	in	ns	ns4.insales.ru.
12345.diet.	900	in	nsec	123b.diet. NS RRSIG NSEC
12345.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. QRT/xdVuKjC3Wsd0k79L74sbIB7aM0PEAD7sZyTMQFXCbUWnFIqtKqe5u1cmDw44nXSe9PaJbgHHKW4XkdbUrw==
123b.diet.	3600	in	ns	lisa.ns.cloudflare.com.
123b.diet.	3600	in	ns	roman.ns.cloudflare.com.
123b.diet.	900	in	nsec	1glp1.diet. NS RRSIG NSEC
123b.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. XKuik8Xi+8YToHR8essbCUceQuBDZ6mN7maB+sAKsG8Ig6POQMA5xSJqhaB6/Kl0O3mtX8mVYh++ja9DVMXoyw==
1glp1.diet.	3600	in	ns	ns55.domaincontrol.com.
1glp1.diet.	3600	in	ns	ns56.domaincontrol.com.
1glp1.diet.	900	in	nsec	1op1dieet.diet. NS RRSIG NSEC
1glp1.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. mJN0yhq0RsvVHiIilidUGWXz1ZwSuD/MuC7uFAh4V58ULaWom/Y+frLtim+AHDiwzKHPIQPcVZDu5DXz0AvHEg==
1op1dieet.diet.	3600	in	ds	38224 8 2 5EF2FE26E6F20D7380BDEB34728ECC5504D897FCF2F0886CE62AC1D3B3C14FE1
1op1dieet.diet.	3600	in	ns	ns1.argewebhosting.eu.
1op1dieet.diet.	3600	in	ns	ns2.argewebhosting.com.
1op1dieet.diet.	3600	in	ns	ns3.argewebhosting.nl.
1op1dieet.diet.	3600	in	rrsig	DS 13 2 3600 20260120134025 20251221121025 19886 diet. eFUJdSNj529W1nq2NMXTo0B22dsRZ3iv/lYwv4YSjZeJ2Q0eGWJ+z04BIqZoV1qTBwdU2X8dU1AAlwnAj9Tv8w==
1op1dieet.diet.	900	in	nsec	24k.diet. NS DS RRSIG NSEC
1op1dieet.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. L7LCDMPmt7uOdoJ3aBYg64SWIepm6qaPcvDRyNwjnbzsPBmEDeaLiepHcf6L0z3pZcAkevN1DXYMzxzYka0Sxg==
24k.diet.	3600	in	ns	ns1.bluehost.com.
24k.diet.	3600	in	ns	ns2.bluehost.com.
24k.diet.	900	in	nsec	2gether.diet. NS RRSIG NSEC
24k.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. ZpmiTOZTESEu6UQd6aooUIdp+h88TVjOu4t/h7l9Gpxu/2SkEUEPEaARw3HfTEiN8pmIpMXSzI5PN9QfVt/5lw==
2gether.diet.	3600	in	ns	docks18.rzone.de.
2gether.diet.	3600	in	ns	shades12.rzone.de.
2gether.diet.	900	in	nsec	3-week.diet. NS RRSIG NSEC
2gether.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. Lb05gXyOrJCRO7JOC4IUOg5KSLuGAam7kyiOoPfo1433xMZ4w51QgLRrpSxK2/HCwgKmunt/WQZabEMk+9uMIQ==
3-week.diet.	3600	in	ns	ns17.domaincontrol.com.
3-week.diet.	3600	in	ns	ns18.domaincontrol.com.
3-week.diet.	900	in	nsec	365.diet. NS RRSIG NSEC
3-week.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. 3jNWJBS1ZRofVKkmoCz9BTVPYEFwDYXAvr7ERqP1q1W6Ov4I1Sy8RbBvjzCGrc3sCzJ4BHLLe7SmEiTaFj4gBA==
