direct.	3600	in	soa	v0n0.nic.direct. hostmaster.donuts.email. 1757638863 7200 900 1209600 3600
0.direct.	3600	in	ns	arvind.ns.cloudflare.com.
0.direct.	3600	in	ns	ryleigh.ns.cloudflare.com.
0047.direct.	3600	in	ns	dns105.ovh.net.
0047.direct.	3600	in	ns	ns105.ovh.net.
009.direct.	3600	in	ns	dns1.registrar-servers.com.
009.direct.	3600	in	ns	dns2.registrar-servers.com.
04ts1r3ehtr3plk5uffncaddljmpk9lv.direct.	3600	in	nsec3	1 1 0 73 04VNTK20MK9FJPQHUAFFUHTMM3TUHFPS NS DS RRSIG
04ts1r3ehtr3plk5uffncaddljmpk9lv.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. RfjJLQLuh5PFgPHNGxN6H1YO/1MV9yDV6S4fm7+ILOhRgle4jntMglO0G4EQ3TnHLf/566eBwXgVTp8/R925t32xPYZecZ3b2ojTbyHhVb2OpaDJAPlsue84j1Y4vgYDG25yVAxqnIaJ5DfLL8piURKs0X+qn8Dy56O4zOcO1zM=
04vntk20mk9fjpqhuaffuhtmm3tuhfps.direct.	3600	in	nsec3	1 1 0 73 06U1DD4EEKGVU1UAKG4VSNSGGJL6D1GA NS DS RRSIG
04vntk20mk9fjpqhuaffuhtmm3tuhfps.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. Qkh7oUR32yPr58l5wDJ32io/YlRzhQ+mEb6ppYIqtRT0gSCD/rDsbgcX9xF0fM7NwuPp/vEUL3olY5eFqdhSWp1CDW6FadMFNkhjkYdoNI5dgpCVPn/cWetNmIFChxeIix7olxNlBcqCFQTHRlsxskCsn14faQ/wuYmeCXJN/aI=
06u1dd4eekgvu1uakg4vsnsggjl6d1ga.direct.	3600	in	nsec3	1 1 0 73 09NH4VDHCMQM7QFGP8RG00EMDVPP6JOH NS DS RRSIG
06u1dd4eekgvu1uakg4vsnsggjl6d1ga.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. RdcI8dSPOYl+HjtGEbyJ2nRFrn/s7jA95o940wBIzJTwet/i1TKecLcgRr7YrccbJBErGCSvhboinUNJmC79lsPztRtrRXG1HXRDJFWBLy1sjiNbTVIRz6FPBX8mT0scST08bhQZi/IWi9QscWFyuiZOdTRocUSA6UQoMAfHIBM=
0800.direct.	3600	in	ns	dns1.cscdns.net.
0800.direct.	3600	in	ns	dns2.cscdns.net.
09nh4vdhcmqm7qfgp8rg00emdvpp6joh.direct.	3600	in	nsec3	1 1 0 73 09P4012JO2V4JPPT12MHHUOTSRP8E0B6 NS DS RRSIG
09nh4vdhcmqm7qfgp8rg00emdvpp6joh.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. jz7fkfVTr8d4EvScllPaRFAPV9uILfDGFOiGSrRDjQuwR0ihd8d/AtcwpMec9T9WEwdftKHgxg6ZzS7Ahwq3oNx+NNQ+D3u3ThFLSGhi1LB0q4K4wNYZ6TQB5BoPrW7x5t9a9pLa4ruJN+GLKFp6Ig1ZeXoGQfKyEYsJoe026EA=
09p4012jo2v4jppt12mhhuotsrp8e0b6.direct.	3600	in	nsec3	1 1 0 73 0BFJBB5M0VUR22C609JOINVQ51HC2OBE NS DS RRSIG
09p4012jo2v4jppt12mhhuotsrp8e0b6.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. YvSu7NOsqbPVGsFnHINxzt7vb8VjOfens6Wmt4IgkQQpf1q1ozHPhys4rfx7KnR3Pm/bmcEWvzYQf/5q2Hbu0JfRX3ydJ1/DP38mOxomgl64PJ7KjuwIrUHdg9lCADLBf39CIFm6fCWUVYGMLJVm7AoJi8tzDYbHqurclByUKCk=
0bfjbb5m0vur22c609joinvq51hc2obe.direct.	3600	in	nsec3	1 1 0 73 0EDG7KGSI3MUKD60V2SRH66S18LFCTG2 NS DS RRSIG
0bfjbb5m0vur22c609joinvq51hc2obe.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. epJXv7Yy/u/+rfAfKaBEBm4M3FW1JEeDrmMsvD7QkXpW7D9q/ZCex/04XxOaQ/ma2CtOmcNO5QuJBZOzeCahvkfjWOdjyoXY1dtw5hQKGGtS3OofaF9gG4789hR+55aawn2ukAqJrO9uY2CW+nAtSOYlucZZExe3MxPwnDezHYU=
0day.direct.	3600	in	ns	ns1bcp.name.com.
0day.direct.	3600	in	ns	ns2fhn.name.com.
0day.direct.	3600	in	ns	ns3jmt.name.com.
0day.direct.	3600	in	ns	ns4fqz.name.com.
0edg7kgsi3mukd60v2srh66s18lfctg2.direct.	3600	in	nsec3	1 1 0 73 0G310L3KNCPHCDT713HMBR8ARMOTCCFV NS DS RRSIG
0edg7kgsi3mukd60v2srh66s18lfctg2.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. GpcGPAC6c9T4zYQ+W8fzT0N/PucSRRL/kq6xqo0+paHcSzh8vMcqApe1MrrXGbH9s9b4yN4nr/LjIpI8WQy+RQF5/rLLwClczuNL1NadwWWh4li+316FmFA/8EvZ4MUrGMcXE94+m2ferP/oWtKB/5m1cxHjSE+XWvkKCYwNPUI=
0g310l3kncphcdt713hmbr8armotccfv.direct.	3600	in	nsec3	1 1 0 73 0G4T6566IIO3H3ITFLFK3UUM9RBVAI7U NS DS RRSIG
0g310l3kncphcdt713hmbr8armotccfv.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. hU2X6TwoyPZxMBdG77Ku9FG5eAwP2YXq4bqx9Js9pHhrT4XsXeaB1v/z/wzMiB4AyXMZUx0NN5wzgtAu965O3Qoi4e5gh+PhJlIs3F0vpAYrvyjAMXReHR85zWZZHr0OOTiKxDwe9JnIwLsQtjcPPhjJHolkI2UeVI+MNz+vMmM=
0g4t6566iio3h3itflfk3uum9rbvai7u.direct.	3600	in	nsec3	1 1 0 73 0HI7K7PT2NIOAFVJ8H5OOAP5CVEU0S17 NS DS RRSIG
0g4t6566iio3h3itflfk3uum9rbvai7u.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. LjeMGyWOdFN3V8GtnnqsFMn7UMktyf0W/zqHSRDDsQf2rQ4239lHFWJ41yUua+s+/rFDKH9UeV5Il37pnyknlzsz1pU0o6yLExS2PAdiU76R1lUZxOgoJYsHav2gyIpDdDawWr+24XTJuI7ElS2d8doxv0kK6NvnZLfs15yLoHo=
0hi7k7pt2nioafvj8h5ooap5cveu0s17.direct.	3600	in	nsec3	1 1 0 73 0HTG87DRPUJAVTHUT73140A7SCM0VJHJ NS DS RRSIG
0hi7k7pt2nioafvj8h5ooap5cveu0s17.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. bXx7A7a8ZtV4JmHd3iwYde1VrzrD2NuKCvkgXQKutOJSV2zoQ2czwym46ABSjj/+jCVhhikBZjDSYd/bBmIJAZNCk5ErLFP0S7KkNzTxNrroFpkDy/TwDcbqsYk9vaHpYZBjh12O611K//u7zwlMyCfmNhumU0zILUcTwrAD+wE=
0htg87drpujavthut73140a7scm0vjhj.direct.	3600	in	nsec3	1 1 0 73 0HU4F003IIHDPM429IVI3GGVP5O1OFRA NS DS RRSIG
0htg87drpujavthut73140a7scm0vjhj.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. SB8xtfiUyXY7uh5HCT0v9WRIRDPVlI8Ml5tAanFb1tweHu0KNiBxmQRx1X0Y1gmwvth8abrh5OEY7rb3Z7etzrRbVlDPBqBLMXKDxCQdmYxfAdkzgmmBywlJE4vhB8Z4vVmM+zFQ1MOm4UaqZ/LENUINet+VE2GFyGC3x+DLx4s=
0hu4f003iihdpm429ivi3ggvp5o1ofra.direct.	3600	in	nsec3	1 1 0 73 0IQV1KGBFFGDJ6O75S0451N8Q960Q0CP NS DS RRSIG
0hu4f003iihdpm429ivi3ggvp5o1ofra.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. E23jcSc6OVOo+hTvkrHDT8ed9aI79aKeLCI4uY587MChLObqkt+110M+BRnY/H6VdULgNpuebNc5mEpekDtkaG5QYSKgtQyFr8sLMc+HigoOi+zcSqpRM9RYyhsi/H6cB/DM7x/5NMJoBT1j5yKp+jbbFyCDFVxxS1BUwDO2EOw=
0iqv1kgbffgdj6o75s0451n8q960q0cp.direct.	3600	in	nsec3	1 1 0 73 0JVEG76FA37TQ04OJFFMH3LCDGFGRV68 NS DS RRSIG
0iqv1kgbffgdj6o75s0451n8q960q0cp.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. g22+jESSbyF4XfW3k5QfBRtYLY64qhvd39mfKszYEAPUQfby7Trjn0A94laZCtqXV0Z+TzkhwQ1Afr1+QORfNXvFD1Ucr1byoZROfq5CbO3HNzdAU4tdQmkyuaMIhjDd1M5h7xWYJHqvzRr38AWADRi1Ietxslz5BGwyKX7TlXM=
0jveg76fa37tq04ojffmh3lcdgfgrv68.direct.	3600	in	nsec3	1 1 0 73 0NVPS6VNFSE46M15MJOQG96LEEG60FIC NS DS RRSIG
0jveg76fa37tq04ojffmh3lcdgfgrv68.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. Fc5locgMQwXJhvIU/lRvB6+ckUIpPdzzhj8diGxfUyPkDUlMM6FYv8RBiMQoSHJdhAe1+pZ5NkNxD9n02eq8rgN9GHF82nFkJnTpScas1gVjA2yq4sQGTkA6J8SSG85DIRiC0YqDESuRMsYYOHyrZrwtEBvFz64R1jTra4hrPcw=
0nvps6vnfse46m15mjoqg96leeg60fic.direct.	3600	in	nsec3	1 1 0 73 0QM4M88AJ3KJJ5B9O149KMBGPTU2ISFD NS DS RRSIG
0nvps6vnfse46m15mjoqg96leeg60fic.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. MSObOCsiPUB27VA3pJQBqtA0KSjSIWy5QUDU6EgtsN7HOEInnQKf1dDlvaQ7mWmLMr3EbQ8q/KWIBpDIL1EcTkeEEP6BN2C/YBBlJZ1CGz1Gijguk/Hug5+cER2dM+5u07CtOSO2MkJCMW+Qeg2rqs4UCjn2GiyiH4YZJiH2DIo=
0qm4m88aj3kjj5b9o149kmbgptu2isfd.direct.	3600	in	nsec3	1 1 0 73 0UND6NOSO81B4K4J0VOSR1F75GBLFHFG NS DS RRSIG
0qm4m88aj3kjj5b9o149kmbgptu2isfd.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. Uk9h0CCBTBDI1mWMcZAR4YO8EuqIx4qxzzHN2LU3zrpLefE50mhrXzybCJRXMnSylyb4o6GUWHWUN1a21CZhMJM/SJobXbGnaYGnO+N+s8TR/YZtMF8Xd4f1z4mf6/hTYhFtL6xwqliH1Ir7Gfw7IG+BTXTnDRggCz/RhrrFzr8=
0und6noso81b4k4j0vosr1f75gblfhfg.direct.	3600	in	nsec3	1 1 0 73 0USNTADRRG2K3P5FINN4SQNHNBRCPFL3 NS DS RRSIG
