diy.	86400	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1769303111 1800 900 604800 300
00000.diy.	900	in	ns	a11.share-dns.com.
00000.diy.	900	in	ns	b11.share-dns.net.
007win.diy.	900	in	ns	alice.ns.cloudflare.com.
007win.diy.	900	in	ns	pedro.ns.cloudflare.com.
00video.diy.	900	in	ns	ns15.domaincontrol.com.
00video.diy.	900	in	ns	ns16.domaincontrol.com.
011videos.diy.	900	in	ns	ns75.domaincontrol.com.
011videos.diy.	900	in	ns	ns76.domaincontrol.com.
0123movie.diy.	900	in	ns	dns1.registrar-servers.com.
0123movie.diy.	900	in	ns	dns2.registrar-servers.com.
01384.diy.	900	in	ns	ns1.dyna-ns.net.
01384.diy.	900	in	ns	ns2.dyna-ns.net.
023274.diy.	900	in	ns	ns1.dyna-ns.net.
023274.diy.	900	in	ns	ns2.dyna-ns.net.
02483.diy.	900	in	ns	ns1.dyna-ns.net.
02483.diy.	900	in	ns	ns2.dyna-ns.net.
02579.diy.	900	in	ns	ns1.dyna-ns.net.
02579.diy.	900	in	ns	ns2.dyna-ns.net.
02593.diy.	900	in	ns	ns1.dyna-ns.net.
02593.diy.	900	in	ns	ns2.dyna-ns.net.
02945.diy.	900	in	ns	dexter.ns.cloudflare.com.
02945.diy.	900	in	ns	perla.ns.cloudflare.com.
04176.diy.	900	in	ns	ns1cnb.name.com.
04176.diy.	900	in	ns	ns2dhj.name.com.
04176.diy.	900	in	ns	ns3cna.name.com.
04176.diy.	900	in	ns	ns4fmx.name.com.
05387.diy.	900	in	ns	n1.xundns.com.
05387.diy.	900	in	ns	n2.xundns.com.
0600.diy.	900	in	ns	curitiba.ns.porkbun.com.
0600.diy.	900	in	ns	fortaleza.ns.porkbun.com.
0600.diy.	900	in	ns	maceio.ns.porkbun.com.
0600.diy.	900	in	ns	salvador.ns.porkbun.com.
06346.diy.	900	in	ns	ns1cnb.name.com.
06346.diy.	900	in	ns	ns2dhj.name.com.
06346.diy.	900	in	ns	ns3cna.name.com.
06346.diy.	900	in	ns	ns4ksy.name.com.
0644.diy.	900	in	ns	curitiba.ns.porkbun.com.
0644.diy.	900	in	ns	fortaleza.ns.porkbun.com.
0644.diy.	900	in	ns	maceio.ns.porkbun.com.
0644.diy.	900	in	ns	salvador.ns.porkbun.com.
06635.diy.	900	in	ns	dexter.ns.cloudflare.com.
06635.diy.	900	in	ns	perla.ns.cloudflare.com.
06qcd22a65tj08rg9uk5qgst4n3m6rqr.diy.	300	in	nsec3	1 1 0 - 0JIEJ1SP3OLGCPNT7C23O5ILL2N7N3IC NS DS RRSIG
