dog.	3600	in	soa	v0n0.nic.dog. hostmaster.donuts.email. 1759366694 7200 900 1209600 3600
0.dog.	3600	in	ns	gns1.cloudns.net.
0.dog.	3600	in	ns	gns2.cloudns.net.
0.dog.	3600	in	ns	gns3.cloudns.net.
0.dog.	3600	in	ns	gns4.cloudns.net.
0.dog.	3600	in	ns	ns1.r4ns.com.
0.dog.	3600	in	ns	ns2.r4ns.net.
000.dog.	3600	in	ns	ns1.epizy.com.
000.dog.	3600	in	ns	ns2.epizy.com.
0000.dog.	3600	in	ns	ns45.domaincontrol.com.
0000.dog.	3600	in	ns	ns46.domaincontrol.com.
00000000.dog.	3600	in	ns	ns1.dns-expired.com.
00000000.dog.	3600	in	ns	ns2.dns-expired.com.
001i4f3h4l4d0sv30qtgkj68n9jmu3ie.dog.	3600	in	nsec3	1 1 0 73 009EDMC88Q9D88OCSH3P9AUT1IGG39Q0 NS DS RRSIG
001i4f3h4l4d0sv30qtgkj68n9jmu3ie.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. TABsvOswnQHAsWEl1yW+PJ8xNTdVrNigOeDDgVjFJi4+QE0dnE2Xft4/Pa5r0k+fXRW5IEIbtNuDQIUsOm1HN8WYaYKu4w1WaVfyQVBdx66lJd1o5131fUBTScDqJnPjjNXwIuzuhD5DcyGZaJKYnOeVgFyWJuhgrrUGtp/uxQ0=
006.dog.	3600	in	ns	aurora.ns.cloudflare.com.
006.dog.	3600	in	ns	rodney.ns.cloudflare.com.
007.dog.	3600	in	ns	aurora.ns.cloudflare.com.
007.dog.	3600	in	ns	rodney.ns.cloudflare.com.
008.dog.	3600	in	ns	audrey.ns.cloudflare.com.
008.dog.	3600	in	ns	casey.ns.cloudflare.com.
00852.dog.	3600	in	ns	cass.ns.cloudflare.com.
00852.dog.	3600	in	ns	elliott.ns.cloudflare.com.
009.dog.	3600	in	ns	ns1.dns-redirect.com.
009.dog.	3600	in	ns	ns2.dns-redirect.com.
009casino.dog.	3600	in	ns	frida.ns.cloudflare.com.
009casino.dog.	3600	in	ns	kevin.ns.cloudflare.com.
009edmc88q9d88ocsh3p9aut1igg39q0.dog.	3600	in	nsec3	1 1 0 73 01CTMSECJNPK4F9SJNBLO1ENFBGMIPG1 NS DS RRSIG
009edmc88q9d88ocsh3p9aut1igg39q0.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. NLifXOTCmEVEBjM0ZGBLe4I0JgSIbbvxYpRAnD1rmUjxYWpQ7G5sIjBDO3bxLVefZxIDn+g0S8ctTLkeBuVRT4SniBZh7dQ6mhhqwUKHSqNa5duxk7DIe41kVqUbKgUQdBztJam9KPHjGOSDsdvYBMaWpUMGdfe3l7FL4Trn2aQ=
01.dog.	3600	in	ds	2371 13 2 3890240648560273221383550667EF3DB5A40B16BEA53BAB1DB250BDA69C56BD
01.dog.	3600	in	ns	nelly.ns.cloudflare.com.
01.dog.	3600	in	ns	newt.ns.cloudflare.com.
01.dog.	3600	in	rrsig	DS 8 2 3600 20251022153640 20251001143640 7023 dog. A/wAYGsDSbS0tPK+WA/VQxH6SxJa46Kn0K05XtReJ2Kn/lCVqJwoLW91/Lox8SsamYTS+m7UyOggqY8CE05897MMkWBzyHGKRBwLLbLBg8aAsTMoj6Yo3LP4moIBaJRq1bCE8U4WnW/7O1NQRykzM6wWvX55yHw/M8cG75N8DNI=
01ctmsecjnpk4f9sjnblo1enfbgmipg1.dog.	3600	in	nsec3	1 1 0 73 02CIAJJE0RDRVO0T8QH5OENAVF3RRBQ2 NS DS RRSIG
01ctmsecjnpk4f9sjnblo1enfbgmipg1.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. mFp6Si6WZSjY+I4VNzyPs+0/RxfUVKR57V6EYuTxLtALsgrt6I8J7FbDh8+AOXRD81kg+6dREax1DKNiE0/g+rzEpI9PCO3rR7BsVvDneu1lCFBqa8YnpPOEppECgODAgiRL6fK5MJ99FkEpWL9vOjO3DBtKlcLlER/F+HcPPR4=
02ciajje0rdrvo0t8qh5oenavf3rrbq2.dog.	3600	in	nsec3	1 1 0 73 02VK0BD221D1L10ULKBNJMFJ2MFD3I4J NS DS RRSIG
02ciajje0rdrvo0t8qh5oenavf3rrbq2.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. m4bXeDeLrds2WWjnYyz18jnVPUc+DIBfqIBy/uad5alq8z5knlhJW12/FLQlMg2j7Mn9nQ82pIOPvBbumsr51JnlwCJustxrzI9zJ5b4emnukTBW9f4KacBDu+NRqfHKeHF8BfBTLm+Od+DlZM+OPPNxA+npSdrHQLgGBOjPbAs=
02vk0bd221d1l10ulkbnjmfj2mfd3i4j.dog.	3600	in	nsec3	1 1 0 73 03B44JEFCN3ATAI0NATI270ECLH00D41 NS DS RRSIG
02vk0bd221d1l10ulkbnjmfj2mfd3i4j.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. yE93e/74h8HzPMtOr1V8DTFECO4pqR9CvZTECswqgQTrlgAhmpJAWbqoMEBn3FuHjHqkR4hyA/ygstNseJyW0iOnPBgAbx05/jQ8U3hR9sBrs9uG4RaIos39nwdxlEW0yT2W9454E54HRWnQPx0KY5r2zR47nSMu7EGUKn2rLbA=
03730.dog.	3600	in	ns	ns1.1233dns.com.
03730.dog.	3600	in	ns	ns2.951dns.com.
03b44jefcn3atai0nati270eclh00d41.dog.	3600	in	nsec3	1 1 0 73 03JIVN1BMDKP97E6FF1T6TO3FDM0Q970 NS DS RRSIG
03b44jefcn3atai0nati270eclh00d41.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. bHqjghArhGPw3i1dxIUBCbRy08Vy4A//yh0kLXvJ9JaWPmJduPSEExOgyAUlD3XiFaEPMobI7UHnz3TlHdg9vKcCRIIDBWQcitCHMWdOdPV14d8gTsd171oGBhjXHKTd1ZOjqkONYrXwxNBJpuc9sD/97wsu8kVCYKyMWo5ibwY=
03jivn1bmdkp97e6ff1t6to3fdm0q970.dog.	3600	in	nsec3	1 1 0 73 03K9P86V7DO27HHRS7MEHJMPRI7RPPG1 NS DS RRSIG
03jivn1bmdkp97e6ff1t6to3fdm0q970.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. QbSa2Zq9G71syjBX7QROlbTHx20uOXa0CpTRhBXb4AO6qilvV1MCkN51X6lP8dYcOudnBxAM+mlVFQB5ADfWTt4nJrhSCTmyrLQknFLGgjUc8cPS14zmcsF2AHJLYIm0lMw77FAyn5uHzQTtPCnU7rJ2u7tzqMibsAFpegWz5ys=
03k9p86v7do27hhrs7mehjmpri7rppg1.dog.	3600	in	nsec3	1 1 0 73 04M0152T16F1OQ3K3HU1C2JPA6PJS70R NS DS RRSIG
03k9p86v7do27hhrs7mehjmpri7rppg1.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. Ntc/Yqlqd0HfFb/7XXDAo6Ap/NDH3DZK2BhxHXYyqkk4q28ww/TiyEfAz+gTyPiTMjn4XwZTEJ07fWpAuLiY6m+sa89J3ShZmgFWvLWUyQh6KmgmVo0vDTGihhliZQujR/hdkdW/FW4DXK7OqmYYri9uCTL4yaXpvZvKMBAYel8=
04921.dog.	3600	in	ns	ns1.1233dns.com.
04921.dog.	3600	in	ns	ns2.951dns.com.
04m0152t16f1oq3k3hu1c2jpa6pjs70r.dog.	3600	in	nsec3	1 1 0 73 05MDJOSBPS5N3QFMDUF6860HL6QOPS6L NS DS RRSIG
04m0152t16f1oq3k3hu1c2jpa6pjs70r.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. EfT7CSDmKYLswwhAG8C2GagAsTTbsTv/vAbOZc7iDCXYbV+/7Mjl/jv2GWLMMnQHidO8j8gmJZyEJaxB8n/MbAJF3ga0XogFHNKccjvkltsOYit1Zuy4fYBEbfwsSQCeSlY9QXY4SbG8F47a4HB4eBryne2Jbvi0XddMyu1y3hA=
05mdjosbps5n3qfmduf6860hl6qops6l.dog.	3600	in	nsec3	1 1 0 73 05VJ5B1H795FPC85022BFJGRR4SK3TK8 NS DS RRSIG
05mdjosbps5n3qfmduf6860hl6qops6l.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. d41fVqzCEkhTKluf2AZyMLE1XMNfArXWxNbocWAlUhewbMYkOz3lr9WCI0lOhWhVOuL38rahyvMd3xdq461IDUOA0XD+sEKVD5Xdotdx170v0HomYMRaTihU9mOffMpQkzJV95eLKu4wLvw11b+BwKTXV12amy1rSeBhpgjbsYc=
05vj5b1h795fpc85022bfjgrr4sk3tk8.dog.	3600	in	nsec3	1 1 0 73 06DRME3TRSU6846J5R0JHCBCATHJ807L NS DS RRSIG
05vj5b1h795fpc85022bfjgrr4sk3tk8.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. GSzNKvgnOYzHUmxJ4zDrBepz5N11Y+tAzIIstjeRZtbdMpElZbqNBGFd62eil6Jgk8Dsli8I+GiwTuv69lLcjRSGZHuWFQAUMhudg/huIBVE5AUoE5lZf00YBstlV+5LH3hOecVIsKcwhhdYLXxqNwtpTANJt+gxG1k8Dffg0Z0=
06drme3trsu6846j5r0jhcbcathj807l.dog.	3600	in	nsec3	1 1 0 73 07B4568GJU2UKK9BE20K118GU8M9IKB4 NS DS RRSIG
06drme3trsu6846j5r0jhcbcathj807l.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. MNMjIsRCsDnGn9EmgCpcyPl1IQoKubpxaD/cgkFZDvRsjxXw0rK4bDyE7S1xq2UkMFwCFu9WHmeYjXOpDxqjXSeivk57RBa+lzpg4kY2UfNBzM0FuoLM93ZPmXsGJopwYWmpqu1FbG3Gx8FNhvPlc/UuYMqZQmCFoC1ChVl5zx4=
07699.dog.	3600	in	ns	ns1.dyna-ns.net.
07699.dog.	3600	in	ns	ns2.dyna-ns.net.
07b4568gju2ukk9be20k118gu8m9ikb4.dog.	3600	in	nsec3	1 1 0 73 08I73R0Q0QKS2JDQI58V30KISV6VJDL6 NS DS RRSIG
07b4568gju2ukk9be20k118gu8m9ikb4.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. aoKOp44+wahs5CYPTbOzfvSGWFab2jxrliMFU2simWs1vNhKjH2CSCvPIO8YZS9nuRE3tDfGMy8NDb4aMZ86YMQvs7lwne7xaPf3eLrFnHmbk+4GVonzzS4yO0zsT/nThUVKMbxmmXUgzwwBOrVJPmZ9BaXFApGzlBncU17z9oY=
08i73r0q0qks2jdqi58v30kisv6vjdl6.dog.	3600	in	nsec3	1 1 0 73 08LFBCMJBLJ8CF3GSKH846L0PFOH9H34 NS DS RRSIG
08i73r0q0qks2jdqi58v30kisv6vjdl6.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. JlLVykHbg6mRXY+CTx1tMn95Gk+o/EaI62AiXt778tNcJWdjQGRUmZwHatZFJtGyxIAhE2FbzfIp/q55KTZ4nBNq54ydB/rcdY8/J7kyZM9pNZxdKy/23rIARZshMxC9QKYQWTU7Ua0dFLr60Yqbu8VJQico9MNmtxqiEbooFvo=
08lfbcmjblj8cf3gskh846l0pfoh9h34.dog.	3600	in	nsec3	1 1 0 73 09D25BPCPRNMU3M6UM77VK1OV7IE80MR NS DS RRSIG
08lfbcmjblj8cf3gskh846l0pfoh9h34.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. 0EYDDNEfDHrIED/byqS9akJOcTUMTZLIf7IIYI16SdXRxeCIi/VBALxWQxUEy1JW6h8OpmFlsXhah4Ji3+D8zPbQGWZFk5BuUPUSxZ30mSoo7+p57uliCDOm/k7hVDpwl2JAz0quLlgWalmeTblLEbIMx1btiUE6sSwh3vhmShU=
09149.dog.	3600	in	ns	ns1.1233dns.com.
09149.dog.	3600	in	ns	ns2.951dns.com.
098.dog.	3600	in	ns	devin.ns.cloudflare.com.
098.dog.	3600	in	ns	rosemary.ns.cloudflare.com.
09d25bpcprnmu3m6um77vk1ov7ie80mr.dog.	3600	in	nsec3	1 1 0 73 0A5ERDG80T90OK5NAPT3QKR8GG2V52N5 NS DS RRSIG
09d25bpcprnmu3m6um77vk1ov7ie80mr.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. NCEXKCTbwYohat6pnf3UXHCRqPuTgohoA8l7gu+z51KX+7G86ESZ7ewNxpPtBg0WegPou9BqHHdonJ9l/IR2XvwdZuL6ICKp22XT5RCpFO+l1L52klsil2LG8AEZrUPk0ZrNURo1Rma/QlO9WYfeq6mZxTZ+GsVgDr9cb8OmK+4=
0a5erdg80t90ok5napt3qkr8gg2v52n5.dog.	3600	in	nsec3	1 1 0 73 0A9VN74BBI0UMBLLBDIK8VHBKETCDKE2 NS DS RRSIG
0a5erdg80t90ok5napt3qkr8gg2v52n5.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. rRPjCPiR7cNlo/8sfWw8ek4qehZEI4yJUIJrG8DQtNO4JzdHAOBtQXI478MVtS3Tez9WxMow83deXRUyH7Gd9HFc+rDGgrCPFbz6rBEqKrr8BJz0iWQ7bAovS6PD58+9ZZRMk4qs+gMu8sVizl4pqiiA1/K0l/gOBs9lp4qnEcU=
0a9vn74bbi0umbllbdik8vhbketcdke2.dog.	3600	in	nsec3	1 1 0 73 0CCU41MJ9145BJT566HJC4LOC85LUS9H NS DS RRSIG
0a9vn74bbi0umbllbdik8vhbketcdke2.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. UGdRLElnD/LvgQEM4cY9su7YBgQ4X9bkDAabUIZXNl1mMMMdyZr/iuhN6Jz4+tnUl+HL6T3JdYJWMqqixqlmSmDWAZ7eYCNvEqgdNFX5YXPqz8wvGUp2HTWtBrvKfigtd6r00VZ+BSJBjsnOWxwxn7ov32583nzm23SlEyg84mA=
0ccu41mj9145bjt566hjc4loc85lus9h.dog.	3600	in	nsec3	1 1 0 73 0DUISAVL7BFM2MSQC0U035KBSPI62FVD NS DS RRSIG
0ccu41mj9145bjt566hjc4loc85lus9h.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. RCKyLaoAM8hriSCrcT0SBApXI6h0OFbNmo+IFTi57FmOwv07aYD+w28rnxiRyxQYzqN1ogD8+FXPwU/9XvAYoof3A2Nikg+A23TmKwMlOoQ955oeDMC1y81oUXWFiRJ18f2MZef7pLmOhapB79L7NolsU483DnVbf2u93AcEAmE=
0duisavl7bfm2msqc0u035kbspi62fvd.dog.	3600	in	nsec3	1 1 0 73 0EPO114A6OOUP0GFO6I8AN8PN8RGS5GH NS DS RRSIG
0duisavl7bfm2msqc0u035kbspi62fvd.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. E5Cv0yNfuD5GD4cFR1e2GOPdRwcbFyI+64fYV3V7stZPNsVhMSRmPiqw6yryenGnvN4bVpZLLGBX9SIsJuBCpCMq8idIlQ61tlOyBNH84A3uLP5Kby2MD2DBF6GvBjrPvvN3DoNcF8F+feQgu30vdO+OAo6lpRCrVT5t6FNmH9Q=
0epo114a6ooup0gfo6i8an8pn8rgs5gh.dog.	3600	in	nsec3	1 1 0 73 0HT9VA2GAGPCSNP1890BKFLGR0Q9TSI3 NS DS RRSIG
0epo114a6ooup0gfo6i8an8pn8rgs5gh.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. CskmY+ExC3w1kr6V0byq99n/KZVZFaMR3jidQOKnJApt8evUOqLR4YgAPNR3WbtrTkJaiCyL8YJt6k4BIluL86hPm+sJYQcrtggr/fH9qFeracZezabea498xbkWxPqszMZGRaCtkWI9nKIAeeuf+1haBXinJFqAurH29/fTrCg=
0ht9va2gagpcsnp1890bkflgr0q9tsi3.dog.	3600	in	nsec3	1 1 0 73 0I4Q4D5TUAI4SPVNBECKJA1IBB2KCB38 NS DS RRSIG
0ht9va2gagpcsnp1890bkflgr0q9tsi3.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. EAklaRU0/rmT//zxUVugJr4hB1Iw6YXjET6mW8JihmH2J3rwRyDwhZW4t2LmM6YuPnAEXGHHMSD/fkiiTX0piA4lSBdQL7asL697sMMp+6Q2UW5NgVzNkMKPjZ0nAaz7m429p9ALa5KaFS/geAg2K1+eCqOuuWCagMxI21m2BaI=
0i4q4d5tuai4spvnbeckja1ibb2kcb38.dog.	3600	in	nsec3	1 1 0 73 0IRBRCQK8N3V9VNQ4B3DJAUS7U86FI2L NS DS RRSIG
0i4q4d5tuai4spvnbeckja1ibb2kcb38.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. X2n17SRp9x94Ps7aBKRb3zg5tbe4LakaBerDMepl8T4RvypxXASSySDu29EzfNSwqsIkvN2NdKlUm3xkPmh5oxJpLPdA2tZ7/rXw0s7pzU/9CEwuhMM0shrforKNljjfyKRgz2A9ZoEXERwINxDjpK100xIpqskgLsNeRMU63NI=
0irbrcqk8n3v9vnq4b3djaus7u86fi2l.dog.	3600	in	nsec3	1 1 0 73 0IRMJ35QP13TPN28TDLGBG7UK9I45N9T NS DS RRSIG
0irbrcqk8n3v9vnq4b3djaus7u86fi2l.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. B+I0lYTF8BLlK9Y7e5/5u9i4V0UzDfJgWC+nOuOyCgp6wIi4F4hVyjP0mz8uuFPfljqnrv5+eVBYp/sREKfbpG4Yyq1pTnGXphkaQVbHEK8q4ocvE0CUknsTIV0iDO6G+DVdW54fxyHj+Nyn/RAGd/CFqUEpxoDxmWvssFXIPFk=
0irmj35qp13tpn28tdlgbg7uk9i45n9t.dog.	3600	in	nsec3	1 1 0 73 0ITQ1FKG0U955DIB60LGPA9OM2TLTINU NS DS RRSIG
0irmj35qp13tpn28tdlgbg7uk9i45n9t.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. a5sIpQxvBqhX5JFsYMKpSowdmtz48+TOT2suwqZRSy2wmMd3BNg9YIPnWzT8PzRwR2gmPvdO0LmyThMkGZY3VUczZowsKraocooWUA9q0OSVT1ejosxUIMb0sxReSOR2k4rXhPaZUA8eNWJvwxgSCw7XWmIVCngcClWknQIL4P0=
0itq1fkg0u955dib60lgpa9om2tltinu.dog.	3600	in	nsec3	1 1 0 73 0J1OKRPPLAO2UD0DA0EGA1C6N454OD0P NS DS RRSIG
0itq1fkg0u955dib60lgpa9om2tltinu.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. WV65noy0mGn3KkzDLAi0qogfGQsLFnyWuenR/NZ+6UL9yKjB75sdKyk5LM7XdJugBzIRMbaJa1XQ5+AjJXPz3FsOX/3Y2VGtNoHbeyaQ+kHP+g3ow/uhYCAVEmgkIqaAs/FiAxt7NfoSpcoxue4MCLY0yn0CMTuZAhzcgkdUOwc=
0j1okrpplao2ud0da0ega1c6n454od0p.dog.	3600	in	nsec3	1 1 0 73 0K1V2GH9C8JSNOTNMPGL8T38L8K226P9 NS DS RRSIG
0j1okrpplao2ud0da0ega1c6n454od0p.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. Z4z7NT9yz2RlwQCAiVRx/9Ug8ytjznmsbs82KL6fX+k/y6rkQ8s4pIg4/g+VqqrauiC5bzFAcHgMfcoTagsbZ7KzNRyMNUk+WEYovyGaAikYo9b5S1+98xm1eLcodmBe6ObhkFycgtczAvm/jwCRE+xHEPi891e9GSIk0mzqeWI=
0k1v2gh9c8jsnotnmpgl8t38l8k226p9.dog.	3600	in	nsec3	1 1 0 73 0KSIOASSGNVAVMRN6BQDPBR2G2H17T4D NS DS RRSIG
0k1v2gh9c8jsnotnmpgl8t38l8k226p9.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. qJubpCVV6di9E0iNnRjKPsiLbtrLCvqKnn0XZDGq39VzPU5svRYFN2/X79+M2drf/xOrNl1oqzhPYijSg7V2C9D2PHrGRtQTkEJszvFPB8xfKkn8t4fIi8Pny7wPYEDdku+dx8O0LTrPCo7qRT/7YMPNJzpsPiIRH0+6TbokegQ=
0ksioassgnvavmrn6bqdpbr2g2h17t4d.dog.	3600	in	nsec3	1 1 0 73 0M2875V0I8B082L7SR180T7F8HGCKB22 NS DS RRSIG
0ksioassgnvavmrn6bqdpbr2g2h17t4d.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. a9n7D+SWSIz4w3fKN2OlRUcpeLnN8MI5x5tOd07lFe44JN0U2fDgvgsRi+prp1nIzDghxKMoNhzUEPqozfmcM+HlGMWKGtn4YHpogN3CHZj/N2vOo7j/E1fTUqybY3oQtyccLGbONrjIkcAPA1q7k4T7TuORKszg1JZOnn+KeOA=
