domains.	3600	in	soa	v0n0.nic.domains. hostmaster.donuts.email. 1767661078 7200 900 1209600 3600
0.domains.	3600	in	ns	a.ns.diemo.net.
0.domains.	3600	in	ns	b.ns.diemo.net.
0.domains.	3600	in	ns	c.ns.diemo.net.
0.domains.	3600	in	ns	d.ns.diemo.net.
0.ns.inxsoft.domains.	3600	in	a	162.159.10.144
0.ns.inxsoft.domains.	3600	in	aaaa	2400:cb00:2049:0001:0000:0000:a29f:0a90
00.domains.	3600	in	ns	ns1.dyna-ns.net.
00.domains.	3600	in	ns	ns2.dyna-ns.net.
001.domains.	3600	in	ns	dns1.registrar-servers.com.
001.domains.	3600	in	ns	dns2.registrar-servers.com.
007.domains.	3600	in	ns	ns1.007.domains.
007.domains.	3600	in	ns	ns2.007.domains.
00c16mgpouaf2gle8akj88cbfdsstjfg.domains.	3600	in	nsec3	1 1 0 73 01I3C4PGCBMTBN1JS53FCSUJNPIR9B9N NS DS RRSIG
00c16mgpouaf2gle8akj88cbfdsstjfg.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260124193204 20260103183204 63456 domains. n+czQqtThdqM7ZWGcEYT8mgvg9wc1vfRrQJWCONpKStRO/RdQwAt79GCDT6xhzclUzrVIvqUtV6NhKzciBva+cFy4Pnd3rYDTWpRca4rljUU0eh94ZOihPw02TKsiQUEtEn0JHUUobCW10knhq2ATWhbIMhu/4npgZXgECDOpEg=
01i3c4pgcbmtbn1js53fcsujnpir9b9n.domains.	3600	in	nsec3	1 1 0 73 02S0F24RE9MLTRDSKKDJTQP8QFQPELU3 NS DS RRSIG
01i3c4pgcbmtbn1js53fcsujnpir9b9n.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260124193204 20260103183204 63456 domains. 2pSrWIuApCtmk04iCzxyRn/ietkP9N3ZDkDUosmddHHnvl/KTul2J7fa1s2+oHHUbkgmp9jscVw1rzPJ2KJiIrptiT5paPcxSpTJ5rVht6TCV2sIVy+/DHVbz5XXLUqISQHtTq+v0+oiR1bubxJGvmLtKdajvTg3RWIQSGuYgiI=
02s0f24re9mltrdskkdjtqp8qfqpelu3.domains.	3600	in	nsec3	1 1 0 73 03GBA9ITQMDIG0Q8CQQDI5NMTDD311M7 NS DS RRSIG
02s0f24re9mltrdskkdjtqp8qfqpelu3.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. f2m4v3DLDnCS5OPWVnmsVhy/+3nP+zKK/HtTMQ6jpG2T9YE9PTWLIQd4gnwMt+2W1d9mtrru0St9mAQ8qf451Vdb5arVlzfMT68xKelZnC+Nx7F/LMiwSM4urCZ/9Uh/Mz/4TZ8OmJ36s/VHlLEnUG4bCUaohl7KOPdOUhkKqMg=
03gba9itqmdig0q8cqqdi5nmtdd311m7.domains.	3600	in	nsec3	1 1 0 73 04E3GCAFVFI0OM0IMTERNM0AJIJRRMQP NS DS RRSIG
03gba9itqmdig0q8cqqdi5nmtdd311m7.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. xoIklKEYQIPrwcgYMr/Crwp4ha+I3UHecIZELwPXJfCjV+TzqDbs+wJ0qjJKfQkfyMmLnPn9VEotZpB3VXsARBK0A6sWv1tik3fpghckpVEBu46w9z6wikkFZeAvSjc4iFJeDkVqgwNZAu3m878hrdeo9StRDn8YWUQhaPEIN8o=
04e3gcafvfi0om0imternm0ajijrrmqp.domains.	3600	in	nsec3	1 1 0 73 063IBJC9BV9NCKTAMI1F54CVU6QAKES0 NS DS RRSIG
04e3gcafvfi0om0imternm0ajijrrmqp.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. qWVVBA0xdnCKpKvc7IADREUJ4Xtvxu6NMr267Ke74IyB2izk5E1VpTKm/BIIUv3rk8i7WqY5jCvAhnMX+voSqtkpMLHs8+7zOg8IKWVcGpi5G3Z7O1UQMoj4cl1fea7X8Dgp9vFXqa76h11EP9Yz6G6XI+mpi5+rZhfOLqDggNI=
063ibjc9bv9ncktami1f54cvu6qakes0.domains.	3600	in	nsec3	1 1 0 73 069R5NP1AHNO2NRN3921MTP9TJ075KTG NS DS RRSIG
063ibjc9bv9ncktami1f54cvu6qakes0.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. 4o7jC4flLXthvoRSEzJq1yCBta9+n1AiBGiR2wstb0ifvhCUcNGqQcRQ+7JckjAsHQvTKq2iEtgAsrdI8P1YwoBveIb/RMhOfFigaTsRtXAxK6cKY0yKet1HpAKmlHnRYziZ4CmX+CdgvtTSfigWk/rNXm8jpHwV+wwrzu2a1OM=
069r5np1ahno2nrn3921mtp9tj075ktg.domains.	3600	in	nsec3	1 1 0 73 06M4BOHTTLTGN85TNJUJPIL7LBJPQ281 NS DS RRSIG
069r5np1ahno2nrn3921mtp9tj075ktg.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. RKEUV2UdUTOheDxKjCtJSZpWrv3kQMiytgneOYVm5lypQ+IOtm2fEd7L5V4RAVxt4yaebXh5xw6cNnbBMxJyr9JKGwQbKY7Zf+30PqCM4MIdJG/iEmytqCwzGmNL/FaENll7oUaCn/H/s+ieBMB8/YVuT7YXgqYdbwflIkCUj+0=
06m4bohttltgn85tnjujpil7lbjpq281.domains.	3600	in	nsec3	1 1 0 73 07K27AMKOBI050DN47ND8ALRPF0EB2DF NS DS RRSIG
06m4bohttltgn85tnjujpil7lbjpq281.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. jTZDAG/a1YgjPiR+o2UltKIWadISoudL9LIWh0r6/kf/q+IXYRverTMDTfQdpYdJtu83f+3mQ6/ZwVnLxAnaysDCjTd0gHb5Xn5q+yGqfLKBUhGziMyoBe7Zbd62nYhluPe5HfEp3qs2WyCi7lIECqOkT/ITVDAlGJJjE1HaWMQ=
07k27amkobi050dn47nd8alrpf0eb2df.domains.	3600	in	nsec3	1 1 0 73 0DSE26LJLVOB4RDI9KVQ726E5MOG1SVL NS DS RRSIG
07k27amkobi050dn47nd8alrpf0eb2df.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. uRshRCHTIE6lZQWLDZi2U7wNzlTkMhaeuyThqbIkxAsexTxEsTO6UrsyeauSKJK0rbD5KjBHMsmr53vTHY4wBQ43OynX9Y4E0x8r06Cng7Qo9HWBbdHv9N+4dKQPC7+dk0uEqdbKOk4bFaqxXk3Fwav6D07xK6NhDlZIW2ztKxQ=
0815.domains.	3600	in	ns	a.ns.diemo.net.
0815.domains.	3600	in	ns	b.ns.diemo.net.
0815.domains.	3600	in	ns	c.ns.diemo.net.
0815.domains.	3600	in	ns	d.ns.diemo.net.
0dse26ljlvob4rdi9kvq726e5mog1svl.domains.	3600	in	nsec3	1 1 0 73 0E21VTE9JQCFRQ040AI1MD1KDIQO0FL3 NS DS RRSIG
0dse26ljlvob4rdi9kvq726e5mog1svl.domains.	3600	in	rrsig	NSEC3 8 2 3600 20260122152159 20260101142159 63456 domains. jJMpzfKU0c9ojNVFkeOXwYoyNzNPz5ZdnQuaHaeVTL5yKXVc8jXKGGJbiNip+/iZF7RItKdMMvVPPw45iApMwpiFT9OsVlxe/7B4NUULI7dTxIlwMFKEosZBmH6EGlbun1DgQvmwZJdLpcMQADbLpvZFpuoKC92MSJs+wDJZ9uI=
0e21vte9jqcfrq040ai1md1kdiqo0fl3.domains.	3600	in	nsec3	1 1 0 73 0E7K6SJL227MUGFTJRIIE5I3SU5VCN90 NS DS RRSIG
