durban.	604800	in	soa	zone-ds.registry.net.za. support.registry.net.za. 2025047320 28800 7200 2592000 28800
031art.durban.	7200	in	ns	ns1.dns-h.com.
031art.durban.	7200	in	ns	ns1.host-h.net.
031art.durban.	7200	in	ns	ns2.dns-h.com.
031art.durban.	7200	in	ns	ns2.host-h.net.
03grdvup0d7emjpb79ofnq1c5mi4t7en.durban.	28800	in	nsec3	1 1 0 - 090DVQMV5IPG346TH1FJI7SSJKKTD9T5 NS DS RRSIG
03grdvup0d7emjpb79ofnq1c5mi4t7en.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. JKtg82D6cxNKfVLBUnW4sIbHzXGBA4RpKFwnjqGOgXMGr30ttrDKvw3r15nbAgumnv9ZtLBY30g5UoGiL28sX76IhMk6MIcZiHm3XzqkNSj/5IJDx2MsFFg/odvYBRtpYGyNVxstphOEE73DV3qY6z/726dVaT6Yvkol4X5B0jM=
090dvqmv5ipg346th1fji7ssjkktd9t5.durban.	28800	in	nsec3	1 1 0 - 24SQ6T0TBOS1C5TGQ8EGVIGBCQD6VVTD NS DS RRSIG
090dvqmv5ipg346th1fji7ssjkktd9t5.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. sNSp+YI89ohhBn5c5ARFlkC/Szq7R+S1HQF7D5Gz3dG8EBGx8x4SG0i1HVkFGIFrO6E3sqiancPHmoKnkAg96g2Y5PLnFcD1IEqROwem/U2IKH91kgLUV8mYx3HdaW0AIMqzGo99TdIubCsbI7PdIRmkJYLe7JEQY6UH8TNULgY=
1-grid.durban.	7200	in	ns	ns1.hostserv.co.za.
1-grid.durban.	7200	in	ns	ns2.hostserv.co.za.
1win.durban.	7200	in	ns	cody.ns.cloudflare.com.
1win.durban.	7200	in	ns	kenia.ns.cloudflare.com.
200.durban.	7200	in	ns	ns.dns1.co.za.
200.durban.	7200	in	ns	ns.dns2.co.za.
200.durban.	7200	in	ns	ns.otherdns.com.
200.durban.	7200	in	ns	ns.otherdns.net.
200unites.durban.	7200	in	ns	ns.dns1.co.za.
200unites.durban.	7200	in	ns	ns.dns2.co.za.
200unites.durban.	7200	in	ns	ns.otherdns.com.
200unites.durban.	7200	in	ns	ns.otherdns.net.
21port.durban.	7200	in	ns	ns.dns1.co.za.
21port.durban.	7200	in	ns	ns.dns2.co.za.
21port.durban.	7200	in	ns	ns.otherdns.com.
21port.durban.	7200	in	ns	ns.otherdns.net.
247prayer.durban.	7200	in	ns	ns1.dns-h.com.
247prayer.durban.	7200	in	ns	ns1.host-h.net.
247prayer.durban.	7200	in	ns	ns2.dns-h.com.
247prayer.durban.	7200	in	ns	ns2.host-h.net.
24sq6t0tbos1c5tgq8egvigbcqd6vvtd.durban.	28800	in	nsec3	1 1 0 - 2NTEC2DGV5DNK0BTP4UID6FJRT1AVGJA NS DS RRSIG
24sq6t0tbos1c5tgq8egvigbcqd6vvtd.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. Ntn22Pd+latCmOEW/73rzWZT8E4cJkpyTGGFm7TzZQgisc7munnN7xN90ei6rXm+rJNXuGwFjObqRwzcXd9+5bUlRWX2tFEuMRkFBon2Ul3NyVIHw6ErWef4tq2bc7D12XNlgIhLbLGPaiQ5MrI/mv8A+v4jOGK6+ebNNrJr1ug=
27four.durban.	7200	in	ns	ns1.dns-h.com.
27four.durban.	7200	in	ns	ns1.host-h.net.
27four.durban.	7200	in	ns	ns2.dns-h.com.
27four.durban.	7200	in	ns	ns2.host-h.net.
27goqoumlazi.durban.	7200	in	ns	ns.dns1.co.za.
27goqoumlazi.durban.	7200	in	ns	ns.dns2.co.za.
27goqoumlazi.durban.	7200	in	ns	ns.otherdns.com.
27goqoumlazi.durban.	7200	in	ns	ns.otherdns.net.
2ntec2dgv5dnk0btp4uid6fjrt1avgja.durban.	28800	in	nsec3	1 1 0 - 9KKIQGVQTROIKUL1J327GST065D21PSR NS DS RRSIG
2ntec2dgv5dnk0btp4uid6fjrt1avgja.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. QqClI5KXylJqGxtvJqf+Jv1t2nsUC1MvFxpM1kDH9RpsXbm4IbChU8jj3fJ+RZlma+FBC1IMd07nO1IQziHHhM2OlHW2sdZU1CUWbMl2dDBo/2g/cEuAcaTVpM/N4rN5fpCK3dXrySwC9pKtFd2HQk4oxP6se035pxms3uaNTPA=
3cchurch.durban.	7200	in	ns	ns1.clusterdns.co.za.
3cchurch.durban.	7200	in	ns	ns2.clusterdns.co.za.
3cchurch.durban.	7200	in	ns	ns3.hostdns.co.za.
3cchurch.durban.	7200	in	ns	ns4.clusterdns.org.
4packaging.durban.	7200	in	ns	ns01.istnet.co.za.
4packaging.durban.	7200	in	ns	ns02.istnet.co.za.
4packaging.durban.	7200	in	ns	ns03.istnet.co.za.
4packaging.durban.	7200	in	ns	ns04.istnet.co.za.
50fifty.durban.	7200	in	ns	ns1.dns-h.com.
50fifty.durban.	7200	in	ns	ns1.host-h.net.
50fifty.durban.	7200	in	ns	ns2.dns-h.com.
50fifty.durban.	7200	in	ns	ns2.host-h.net.
52kingsclermont.durban.	7200	in	ns	ns.dns1.co.za.
52kingsclermont.durban.	7200	in	ns	ns.dns2.co.za.
52kingsclermont.durban.	7200	in	ns	ns.otherdns.com.
52kingsclermont.durban.	7200	in	ns	ns.otherdns.net.
8799e3e2.durban.	7200	in	ns	ns1.netim.net.
8799e3e2.durban.	7200	in	ns	ns2.netim.net.
8799e3e2.durban.	7200	in	ns	ns3.netim.net.
8xbet.durban.	7200	in	ns	boyd.ns.cloudflare.com.
8xbet.durban.	7200	in	ns	tani.ns.cloudflare.com.
9kkiqgvqtroikul1j327gst065d21psr.durban.	28800	in	nsec3	1 1 0 - 9SK5N17F7UO60IA4NU7EI9H45B0V7UOC NS DS RRSIG
9kkiqgvqtroikul1j327gst065d21psr.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. Q6jZ+BwGpGWGCslT7uILYQbRI5UZ8iEzFR8kSdd5pNUt4uu53yi0P/dTfbOJOkQqEEZ4/w211p+KfXAzy8yztlkSDvWyriwiVCYWYAmbdKyrRNDyFN/1AntJTPkX6/QIsU+t3WUkp8F5XPHrO68EyukreiM+l/CCP8Id0W0BuOU=
9sk5n17f7uo60ia4nu7ei9h45b0v7uoc.durban.	28800	in	nsec3	1 1 0 - G525FE4O8UBJD301NQAAMH2R7OIMPINN NS DS RRSIG
