engineering.	3600	in	soa	v0n0.nic.engineering. hostmaster.donuts.email. 1759366665 7200 900 1209600 3600
0.engineering.	3600	in	ds	49595 8 2 91F58743625AC2F9D76033AE8919F8B42D1119EB45E3BE4787C9AB32991EF850
0.engineering.	3600	in	ns	ns-cloud-b1.googledomains.com.
0.engineering.	3600	in	ns	ns-cloud-b2.googledomains.com.
0.engineering.	3600	in	ns	ns-cloud-b3.googledomains.com.
0.engineering.	3600	in	ns	ns-cloud-b4.googledomains.com.
0.engineering.	3600	in	rrsig	DS 8 2 3600 20251022153213 20251001143213 2604 engineering. n3dj5Bqmee+e5T3YcVub0oPQL4tsAjEIxQqW0sFaXbYtlb5z0nlGaXixmkauJngEoWiqJHTVwksskpXNSr68o51h/E8l3xlgLOTtWHDVi7lVizdmHz8d4LzAXvMwUHxVye9nT3DQXFjJ+ctj/zezU+uBTvfAUGorhJWxPdBXdyw=
01.engineering.	3600	in	ns	dns1.registrar-servers.com.
01.engineering.	3600	in	ns	dns2.registrar-servers.com.
010qemr8it46l9dg93a2be94h63hd8r8.engineering.	3600	in	nsec3	1 1 0 73 019MLJCQ9EKVQ7G60USGOUDFGMB48P07 NS DS RRSIG
010qemr8it46l9dg93a2be94h63hd8r8.engineering.	3600	in	rrsig	NSEC3 8 2 3600 20251022153213 20251001143213 2604 engineering. le6bur+JNfevi00oAH8YzSSitXaZzMIlzciMu7oRiDtane6nlcaqJL3syh0u5v/P3DOmS1qHHgcsmN5rwI3kzg6WiJU6yVx6wZWORjpicWuesZz76F0V9J8R6UXioL8wmRsigUNOHY24kwjStDADObWIzUHV98e+/y7mveoDEVA=
012.engineering.	3600	in	ds	54079 8 2 F5F97DEAF727DE54927C24A0222B896C14AB4BF5073C489D292C36BCA1B70127
012.engineering.	3600	in	ns	ns-cloud-b1.googledomains.com.
012.engineering.	3600	in	ns	ns-cloud-b2.googledomains.com.
012.engineering.	3600	in	ns	ns-cloud-b3.googledomains.com.
012.engineering.	3600	in	ns	ns-cloud-b4.googledomains.com.
012.engineering.	3600	in	rrsig	DS 8 2 3600 20251022153213 20251001143213 2604 engineering. AgxEylrfPUYGeKw8CeJK9OSSrmmEOzvAZP6bGrtcZOb0O2JpxFwHatgA2Kk08Z72wyQnGVmB9hlVsrDlqLu75urcCQ8qZ8amfHPw65UafQyYyJ9iF+iXateZjrFZ+OX0Z4j1kWbL9LXz2ZFI3iDUjqHqqKBoIli6Vb77Cqu0jqQ=
019mljcq9ekvq7g60usgoudfgmb48p07.engineering.	3600	in	nsec3	1 1 0 73 02OR3U0MA3NBIF5O2DHH6T01AEFV4QEJ NS DS RRSIG
019mljcq9ekvq7g60usgoudfgmb48p07.engineering.	3600	in	rrsig	NSEC3 8 2 3600 20251022153213 20251001143213 2604 engineering. nLgb6HbPcPbqSijqrC1nNgDqwMFyfXNLKwVXO1I9SqIA+8GFFDRSrsIe8U9LVyYaFulnjIoc+5e1HuMDNcailaVZV3UZJlRV4Ny8VsqCcKONA4iq0GTEyRXvS0xDQHHKRVDq6aYBtoGP5SmYlNsh1+0Flhx4cG0BaKVhJz1cZhI=
02or3u0ma3nbif5o2dhh6t01aefv4qej.engineering.	3600	in	nsec3	1 1 0 73 036MSFBTBQ8O7ATQ63BOAIKJAQM3KM6B NS DS RRSIG
02or3u0ma3nbif5o2dhh6t01aefv4qej.engineering.	3600	in	rrsig	NSEC3 8 2 3600 20251022153213 20251001143213 2604 engineering. FBZmryNgsBkNDChJDwL8JaYpeDA74Ht4rj/6Ue/ClK6vl++8bBG+ZZtLteUuo13UOXLHCtFCVKM029T2fY7dQPErXCirwTrWdXY+W1MAIOi0mLG82Sh15D6bFN3Z/CLuuS91x0H+y8VfWCrjVnrcNb/m9sPPzgnjg6avtg+c8Tk=
036msfbtbq8o7atq63boaikjaqm3km6b.engineering.	3600	in	nsec3	1 1 0 73 03D4RLGTAABBT0E2S0UE2U3UJ6S0A8I6 NS DS RRSIG
