estate.	3600	in	soa	v0n0.nic.estate. hostmaster.donuts.email. 1756256395 7200 900 1209600 3600
000000web5cc00000cc.estate.	3600	in	ns	ns1.dyna-ns.net.
000000web5cc00000cc.estate.	3600	in	ns	ns2.dyna-ns.net.
007.estate.	3600	in	ns	ns1.dan.com.
007.estate.	3600	in	ns	ns2.dan.com.
02kllmm-q2.estate.	3600	in	ns	penny.ns.cloudflare.com.
02kllmm-q2.estate.	3600	in	ns	steven.ns.cloudflare.com.
030.estate.	3600	in	ns	ns1033.ui-dns.biz.
030.estate.	3600	in	ns	ns1046.ui-dns.org.
030.estate.	3600	in	ns	ns1078.ui-dns.de.
030.estate.	3600	in	ns	ns1084.ui-dns.com.
057.estate.	3600	in	ns	bart.ns.cloudflare.com.
057.estate.	3600	in	ns	joan.ns.cloudflare.com.
05pbp0mml3o8eu26c0s623r5q095qrgp.estate.	3600	in	nsec3	1 1 0 73 06K023P0MCEJ2ESS7S33CPE69KR9BHF1 NS DS RRSIG
05pbp0mml3o8eu26c0s623r5q095qrgp.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. mxFn3Iu5/PYJgRKjfcInmAvqLygcJ9sZIlJamKDeAB25gI4OdRlT/rQipoNSmp57OjuubbbO6U6pNUPLfO3Ar/jUWuUUqoKVEfFcL0p2TRcoR3upxHfmCDUEidBGeJP2+ULbS6BIYBGfTIVQL+/JrcDMWOP1TN8u5GP2M39REjQ=
0605test01.estate.	3600	in	ns	ns1.qq.com.
0605test01.estate.	3600	in	ns	ns11.qq.com.
06k023p0mcej2ess7s33cpe69kr9bhf1.estate.	3600	in	nsec3	1 1 0 73 0769IB75A66VJNBULLOEGBEAOS8N2M16 NS DS RRSIG
06k023p0mcej2ess7s33cpe69kr9bhf1.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. DuFoN+LHMTqaG2BbTPvmFgf7dhXCJgwKpfklMAUI28Faj1xO4oxrrkJzWo4Ad+3CQZpjyIwFnk2YZJpsaFZR+E/XjPvFZSd3gt9lKOOAoqNuBt1t5VWyuu+ecEc5ZXFeKdUDi5Ea9CNfr7bEnpOyqR0yA94+uC9XYQ6h4ftwgD4=
0769ib75a66vjnbulloegbeaos8n2m16.estate.	3600	in	nsec3	1 1 0 73 0776369QSG23GIHIFCT9S2M4C2D717PR NS DS RRSIG
0769ib75a66vjnbulloegbeaos8n2m16.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. EHfYg1aWSpkpkqi64NNjnWmCnm7p6eFgJjdQAKlsHtEY7s8rtdl8d6hJhfGLh4YttUUmQLTBidNajucen38JpE91Owc0LlMMtsOXzklEDdZP5v5eni0QoFEQn+njxRyx+wfEq8o9G7z3q77T2q+SI8lQ61aoj32sQDMseGimp3I=
0776369qsg23gihifct9s2m4c2d717pr.estate.	3600	in	nsec3	1 1 0 73 086IKHSUI6AO5I3OVNR297D0HCNIG1KP NS DS RRSIG
0776369qsg23gihifct9s2m4c2d717pr.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. kmZKkDtjihBKbhfN60om4MYQK6iyf2DgaARHV0Fw1H7JrED6bQe142fYiYj5huShYNPf4nlYdMGR8qh0kjpRl6NRlgabzPHew4721zIyxVUbyREzUYZK6Ve6K5EHh1TDafvsE3ttd52MGb53B66DEkhOXcXaVAPKcYTLbjMG8U0=
086ikhsui6ao5i3ovnr297d0hcnig1kp.estate.	3600	in	nsec3	1 1 0 73 09K00AI8O376P7RAIPREPFBU5SHR6A1T NS DS RRSIG
086ikhsui6ao5i3ovnr297d0hcnig1kp.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. S3qxpUb5odzrAmcefhB+vXbH/QTMp77UnJ1DVwfb/k9aYZ3Rgvsd1EzUaYN16cr5U5pbIznVn9sAdtjLxcTtLsOm7UfGSCO3joDM8qMBvdgzm/JLcPObRs16rJCEmkNRgTp3C7Bp5Rgx8rVAEyq6acFEfoEq8JvR5UDvUysfB2A=
089.estate.	3600	in	ns	dns1.registrar-servers.com.
089.estate.	3600	in	ns	dns2.registrar-servers.com.
09k00ai8o376p7raiprepfbu5shr6a1t.estate.	3600	in	nsec3	1 1 0 73 0D7NC4SOBCE3D2N1NUFISV6NBSRE408A NS DS RRSIG
09k00ai8o376p7raiprepfbu5shr6a1t.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. qMQnksTTPgkB5teFXfCRtpZVMmMC6H89wZp2GiRGQdVSGnFhMMFkpVZUbFXGoIKkFpZfraFz5V+PKFa95Duo5LDqFagnmZzfzARMUtdXu2jN8h27UlomEMfq4dS19VjwOnmWOmGIidsefZDlJzWnOQSrR7RexjJdrvaKMi4nBZo=
0d7nc4sobce3d2n1nufisv6nbsre408a.estate.	3600	in	nsec3	1 1 0 73 0EMR0M17CIM3FSD0FIT90NTT6P0E6H03 NS DS RRSIG
0d7nc4sobce3d2n1nufisv6nbsre408a.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. gZpM0rTFUhUixnzWmoBmnfYxxiY2UWY1NSvj7bhWSiLMfXDx6tvlQqckQVZ0BMZTdKZs4gkQZ3woEPNdHNIhv492DmdoXE8IHfVGj3yHavNyZbhqVoXdvOcBLJE7Gtio5HyfMcj2Zr9XfCAUWchd2Iu5EIzjKApzabJDGIc29aw=
0emr0m17cim3fsd0fit90ntt6p0e6h03.estate.	3600	in	nsec3	1 1 0 73 0EPB40FJP534P252KD53SU5NMFLE5PB7 NS DS RRSIG
0emr0m17cim3fsd0fit90ntt6p0e6h03.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. ThND2Xaf33Hhta3uBGeXMZdl407yMsqEZDF0uXuQ5/63rNP0lNv+s27SdSJcbG1+iZlNbLqFF1tOa+zCr/beA0etcUkGSBjHluotprCB1ErNAnfv1//H2t/AUTMgH74k6bAaGYRQI5TN4Hrkb3NoOXKWb9XteWtQTcijUZnoxis=
