events.	3600	in	soa	v0n0.nic.events. hostmaster.donuts.email. 1769302943 7200 900 1209600 3600
0.events.	3600	in	ns	launch1.spaceship.net.
0.events.	3600	in	ns	launch2.spaceship.net.
000n4kfo16s7ukgbfoidt321j1dr3dfe.events.	3600	in	nsec3	1 1 0 73 00C2FIB1JI3BCT5P5JM7H4555EI7CSE9 NS DS RRSIG
000n4kfo16s7ukgbfoidt321j1dr3dfe.events.	3600	in	rrsig	NSEC3 8 2 3600 20260207154137 20260117144137 19068 events. RjV4npULRsB4vaKDIcCQ9DJj1m+O/4Qwp85lOuPdGAQdlh6IRZXaRBT6060eAabJOLDV6tvrXhNaPcjUqmriEt/DhCAAlGynQaz+g/35AWFnc7L1Cg9JS3tJD6LoJCpzuGiI4wbwS7J1mBDZEIn732YknruIOmKJq2G+gCJTmDs=
0049.events.	3600	in	ns	docks18.rzone.de.
0049.events.	3600	in	ns	shades11.rzone.de.
00c2fib1ji3bct5p5jm7h4555ei7cse9.events.	3600	in	nsec3	1 1 0 73 00M81H7O4CPABJ3F6UD6DR8UU7LFVKP9 NS DS RRSIG
00c2fib1ji3bct5p5jm7h4555ei7cse9.events.	3600	in	rrsig	NSEC3 8 2 3600 20260207154137 20260117144137 19068 events. ER9rvZYx68x1ie04rm6Iog8s5T26K6Bwg+p8udNMKt+KDgDAU9pg9TuRi4oPvf6MLQB2KQncZ0wuHrMPQK19kF4ORwfqMKG/q+ZB48RiR7ovb77anrPV0s6iqZZ3XIB+eSHf4ZUsIiyWhPibuNCmlmIa4DVab+1h0+OAXeVtCNs=
00m81h7o4cpabj3f6ud6dr8uu7lfvkp9.events.	3600	in	nsec3	1 1 0 73 00P37JTDNMQ4I8LN7DLODOI2LC5PE5L3 NS DS RRSIG
00m81h7o4cpabj3f6ud6dr8uu7lfvkp9.events.	3600	in	rrsig	NSEC3 8 2 3600 20260207154137 20260117144137 19068 events. NvHdqVfV//+sMx0+AJBkBIw5ATPKeuoVv62KteI6DX6kpTvaUVmH0DyoH5b2+n0LMT50Vu5ijTmdswMKieIihw1A5z7wNy795ZRRTt9BSNimcQW81z0Gn/rKYeEbIct+w2Eh1gwShanXdozMFK6v8fgQEJhX+i91I5P3H8aft48=
00p37jtdnmq4i8ln7dlodoi2lc5pe5l3.events.	3600	in	nsec3	1 1 0 73 01IDIUC4FS69PG6M5U2FK4BN0DP9UC8A NS DS RRSIG
00p37jtdnmq4i8ln7dlodoi2lc5pe5l3.events.	3600	in	rrsig	NSEC3 8 2 3600 20260207154137 20260117144137 19068 events. V47o7L0rUHAGzWMQb8GJcSw0tpuYhm1MUN0ge7UqKyTL05CEhq4fqYMfIyOJEmKbHHeDkz8/7cyQwuY5gJoMPVyqRS7BnSa1FcJaCfg0m/GpF6TAxJk8zgRPB7VD8IBuQopACrb44v6kQr/ED1nJUvVQ73V0pVVn0G11r99UwZE=
010.events.	3600	in	ns	ns01.hostnet.nl.
010.events.	3600	in	ns	ns02.hostnet.nl.
0102.events.	3600	in	ds	63517 14 2 D2841244CFD1D1C3684482BC01830A3ED91BFBA61DBB6F271CE9C8C593292F03
0102.events.	3600	in	ns	ns1.cdmon.net.
0102.events.	3600	in	ns	ns2.cdmon.net.
0102.events.	3600	in	ns	ns3.cdmon.net.
0102.events.	3600	in	ns	ns4.cdmondns-01.org.
0102.events.	3600	in	rrsig	DS 8 2 3600 20260207154137 20260117144137 19068 events. LJpRIhXLpr9HiqIPVwDOPJN5SnrHFUHf3+gZeB03Iat84upWHUlmPbqcBQWhgEJ27OovUVOz35JGhzYKx99DLKfEK0QctQB7eCzei3wOKlKrWnokfIB4nWIVkscJGFY5V/fSyX866GqeN3JUxI17DLinGx9J23oXJUvgQGOXSHA=
01idiuc4fs69pg6m5u2fk4bn0dp9uc8a.events.	3600	in	nsec3	1 1 0 73 01UM9FGDBS4AP259CPAO8TDLKDASH97I NS DS RRSIG
