exchange.	3600	in	soa	v0n0.nic.exchange. hostmaster.donuts.email. 1757638849 7200 900 1209600 3600
0.exchange.	3600	in	ns	ns27.domaincontrol.com.
0.exchange.	3600	in	ns	ns28.domaincontrol.com.
001k.exchange.	3600	in	ns	chin.ns.cloudflare.com.
001k.exchange.	3600	in	ns	gabe.ns.cloudflare.com.
003srqhfpj1pksra10jk5lsb8dhj0vn4.exchange.	3600	in	nsec3	1 1 0 73 00F4UBU4UV36D712C81IJTK7GQEDGCG7 NS DS RRSIG
003srqhfpj1pksra10jk5lsb8dhj0vn4.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. H1Iah27FE7meksU4gBsI+MrXiubbN1v9YggFQPHcf2Gyc9QB6nWSu5fh9AzpsianK8QPICSmQgJYsM/s6NfqpvZfEbHWDARcKyni7CtMz2YjbIha7Se6Vp3GZ1TuNfmwye/9oKovTS5ktV4RzMFL/dXpWzOA8VmDazCNTa9qtgQ=
00f4ubu4uv36d712c81ijtk7gqedgcg7.exchange.	3600	in	nsec3	1 1 0 73 00IORIN1ISM00C4B4RSMMB129I1FUS4U NS DS RRSIG
00f4ubu4uv36d712c81ijtk7gqedgcg7.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. lDa/tGHPmMs5FzYcZAQVyuHe7l1Ybvz8B72WsJIAccHx3VQajVHELTXpuyJhZazk+f2SDR9DxVdURgUGchBLlw9l/qJXhUX91lNyU9nxiKm9sSENpmi3Se9ldKaI0s4Feyq3cgmsmhUXgTRlPc0px2IFp7Owr58Ta3ytToKlASs=
00iorin1ism00c4b4rsmmb129i1fus4u.exchange.	3600	in	nsec3	1 1 0 73 01C38I4V8BVF8TUK6JMU0OH5PF8A53R8 NS DS RRSIG
00iorin1ism00c4b4rsmmb129i1fus4u.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. ryeSetE5dUWLKW6net0qEOyYzIXgGMi2imOBIAGLtz7xeVHrtRAas1F4cmvM5fOmt7gCNXv0mLvNrueq1ey60hlN93U3QkmiBzNnZWC05nWhGXTepdjw0SWK14cYDj2NznT+EcJyFNL/ps7rYQQKYo+gDet0Ov1LmHeTXz/HLgk=
01.exchange.	3600	in	ns	dns1.registrar-servers.com.
01.exchange.	3600	in	ns	dns2.registrar-servers.com.
01c38i4v8bvf8tuk6jmu0oh5pf8a53r8.exchange.	3600	in	nsec3	1 1 0 73 01QRGR3U283IQ259NVJABSRSHMV9SNRV NS DS RRSIG
01c38i4v8bvf8tuk6jmu0oh5pf8a53r8.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. ajGneMS4i30WSj2YVdLQ5GEzYEi7qiyFk9yiQ4M5JRd+SXkF2vRYJSl0Ar+o2krZgBXTl5eOtET8WmGNERghHE6brOvRiK45HqeZVWpet5nIgJQjrZ7+k14nY4rXKh8ymM2iAYyrjI+X09YdKL9M4sicwwGW/Qil7n3RnIQbL0g=
01coin.exchange.	3600	in	ns	ns3.afternic.com.
01coin.exchange.	3600	in	ns	ns4.afternic.com.
01coins.exchange.	3600	in	ns	ns3.afternic.com.
01coins.exchange.	3600	in	ns	ns4.afternic.com.
01qrgr3u283iq259nvjabsrshmv9snrv.exchange.	3600	in	nsec3	1 1 0 73 03CEEHE2CUGI6FU05F96DEHEKJ12E8J5 NS DS RRSIG
01qrgr3u283iq259nvjabsrshmv9snrv.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. bnnnaxz3vNNpZgveYIAyZ+fTW3o4QOJG4DQystxJb99q6xoNo4RR4fuWtQM/FPsPYEQIHSxouapAHFLzosNYp5GzhTG7xFhZ/YE91AxTmV9VrN9Vy7bgr2NOCZt03yxxWvjJMWhB6noGIFYQyhcj69MB1gT+4t/dj+yzMJCPmqk=
023.exchange.	3600	in	ns	martha.ns.cloudflare.com.
023.exchange.	3600	in	ns	shane.ns.cloudflare.com.
0365.exchange.	3600	in	ds	61786 13 2 7E9A720AE48D7CF296D3ED63C0303A2031F7B6A60FC6F5E6CCE90D2233A2302E
0365.exchange.	3600	in	ns	ns0.transip.net.
0365.exchange.	3600	in	ns	ns1.transip.nl.
0365.exchange.	3600	in	ns	ns2.transip.eu.
0365.exchange.	3600	in	rrsig	DS 8 2 3600 20250930152109 20250909142109 26811 exchange. YQnrsq1ewRFK9WnndhfWJUBe7N649vOnMTzWlPjOgszt4Cvv41F/Gp7Jz3zu8GhL34w+sOaXGcqEc6MwiB6Ero+d6MqiBeG0X8+L16ZLd8Jwp12b0CQ0wNtf1atMz9l+qPBLV1tJgldWQI2jlp/uUs1jP+y44wpjIsVyEKqLmFE=
03ceehe2cugi6fu05f96dehekj12e8j5.exchange.	3600	in	nsec3	1 1 0 73 04EM40GGE329IHOPM00929E5SQEHNSB8 NS DS RRSIG
03ceehe2cugi6fu05f96dehekj12e8j5.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. kE5kLhwc/nNdo9p5xgidPE104iHtPVJUXVzsFSGO1KUO5J/51WXNkrDCk6b8V5Ty4nkq4AA4bafHUFgnd+AyEWsVkmy1wJY2c8NzlmzybORQR3LH8Po/UNxgONR26+IJ2xAa2S3Y1D3SInOM++kaTy0I85mW+g4xi9nHJ6BohO0=
04em40gge329ihopm00929e5sqehnsb8.exchange.	3600	in	nsec3	1 1 0 73 06S9A1K7D4UIA6NT9GR0RV7L1RUK73FF NS DS RRSIG
