exposed.	3600	in	soa	v0n0.nic.exposed. hostmaster.donuts.email. 1767661092 7200 900 1209600 3600
02987.exposed.	3600	in	ns	ns7.alidns.com.
02987.exposed.	3600	in	ns	ns8.alidns.com.
06e76ll41f4tsg8dvlm91870l0qmv0ms.exposed.	3600	in	nsec3	1 1 0 73 06TV4LL3779E571S6L23ACF0D7U8SE6R NS DS RRSIG
06e76ll41f4tsg8dvlm91870l0qmv0ms.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. w28nUQpcdIEHCPcyFc6Dbh2E4pNXpmhPIMK6d2zHVm+SERO7/069GBbTGf+6ivVxRrU/GrTghm+/ErlLLhWa9LqJPwincPe8VKehzpALG9MafHi3Qf4sD1HV7isD7//rXsfA8hCZUrGLYTuiu9kUxXkGAcpX7SxIVX97zoDqoAI=
06tv4ll3779e571s6l23acf0d7u8se6r.exposed.	3600	in	nsec3	1 1 0 73 09VL2OKOL767J8J6ANGO9GC6PAJH5OVM NS DS RRSIG
06tv4ll3779e571s6l23acf0d7u8se6r.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. TaX8Y91LyyQdt+sDdQBxHDd6SZJh6VqR9F0Hw4QkhsLCsRXFtBpJfeQppq0FZ7WbF83HIDQaiSIV+rno9blsIQKOn/VoGE/aEBwd01NhSZglbUbH8k9nVIjLSxoUyDE8/f158qN1UV5nVttJW38kdiLCdZzo96dcnto7nY5M3pk=
08five88.exposed.	3600	in	ns	ns1.dyna-ns.net.
08five88.exposed.	3600	in	ns	ns2.dyna-ns.net.
09vl2okol767j8j6ango9gc6pajh5ovm.exposed.	3600	in	nsec3	1 1 0 73 0RCVUSJDT18U3NLCC87GP2VVNGHDEEC3 NS DS RRSIG
09vl2okol767j8j6ango9gc6pajh5ovm.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. FIAQHrnIvMvBDl8+KwZVwr3YW+3bK4Hb9n4sFsF/qUhPaClSDUkTvzrJIvTbW5D9nnAYSCDLF0j1lQtoHSriykDFGD6sxo6mFltzAJv+aD45In8cug2sOAPDA6T8loc4wpaWUVlHhTNwwFjpuZFx8TF5UUpf2IgGTJDSqrxkVa8=
0day.exposed.	3600	in	ns	ns-cloud-b1.googledomains.com.
0day.exposed.	3600	in	ns	ns-cloud-b2.googledomains.com.
0day.exposed.	3600	in	ns	ns-cloud-b3.googledomains.com.
0day.exposed.	3600	in	ns	ns-cloud-b4.googledomains.com.
0rcvusjdt18u3nlcc87gp2vvnghdeec3.exposed.	3600	in	nsec3	1 1 0 73 0SI5969NKFAILN14S4P77N0RP5HNSBNK NS DS RRSIG
0rcvusjdt18u3nlcc87gp2vvnghdeec3.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. jZjjrOk+rLqyS0dinJmycZyOM9Se0gjujE9irjOOa73wJ1/NaFNh0im+UJMZ6zCJVQQaRoJa7CNS3wVjEjmUhG+m1iLDEKq9NvzPNV4L88YevZx0OiW0PG6MkbJ0bexg0iwE6Md7v63jWntI84ra8IMkX0gL8DmzRSgKGQSCCQw=
0si5969nkfailn14s4p77n0rp5hnsbnk.exposed.	3600	in	nsec3	1 1 0 73 118CHRT5LU2AQOK3U3VO88018PRN4O9M NS DS RRSIG
0si5969nkfailn14s4p77n0rp5hnsbnk.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. dANE3PQs1WmeriBTkkusFEQKT8QakHTDXc2WVu1trNyG1UdzaFmnSz/LeoqtfJT1h5KTBTBQOqiJdMcQ7AyuO4tVd/572ykslS77tLl0Za9QwxjW9l58+GpW5m70So1xewSiIBvL+0RZhLKHaRJ4ZzF9Ryj6En3ANdEVPQwZ7UE=
10937.exposed.	3600	in	ns	n1.xundns.com.
10937.exposed.	3600	in	ns	n2.xundns.com.
118chrt5lu2aqok3u3vo88018prn4o9m.exposed.	3600	in	nsec3	1 1 0 73 1401US2RP2KG25KFANT7SDTUNNBG20PQ NS DS RRSIG
118chrt5lu2aqok3u3vo88018prn4o9m.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. iFlJsYoUmeYIeMoLcWyc8F0XujK4+7PD47HyrxrrMmEVm9CKfMaLUnrFPpcrxehVVNUpaboFtQYnkrT80j2mcMlHfyPcIBMgWO/HtFrIyD0hprWz8YvrTpzvRiazi5aemGc0RPw/QktCHcTyAa19zyCX1k8bPbSqIC+0sR+Rdo8=
121.exposed.	3600	in	ns	ns1.dnsowl.com.
121.exposed.	3600	in	ns	ns2.dnsowl.com.
121.exposed.	3600	in	ns	ns3.dnsowl.com.
123b.exposed.	3600	in	ns	curt.ns.cloudflare.com.
123b.exposed.	3600	in	ns	dalary.ns.cloudflare.com.
1401us2rp2kg25kfant7sdtunnbg20pq.exposed.	3600	in	nsec3	1 1 0 73 1KRSBSPOQC92Q427E8F6MT3NGSLGNFKA NS DS RRSIG
1401us2rp2kg25kfant7sdtunnbg20pq.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. MU7NrfFbZ7c44Z6V+pmBAYqDZOKvGsHbtY6nJ3z52+tFbLpeU5y4G/6hnmahukDGbvyjnZ1bxs5BXHrNtgYCwO6lcyrSYI3rPo3d63sbgtPOkLKm+zyEQ1t6O1MyoI+fSZqvqlYYOHaZoSUffWkiRS01C/h8MlDS0yKfGwlUW64=
14395.exposed.	3600	in	ns	n1.xundns.com.
14395.exposed.	3600	in	ns	n2.xundns.com.
1776.exposed.	3600	in	ns	ns1020.ui-dns.org.
1776.exposed.	3600	in	ns	ns1035.ui-dns.biz.
1776.exposed.	3600	in	ns	ns1035.ui-dns.com.
1776.exposed.	3600	in	ns	ns1073.ui-dns.de.
