fail.	3600	in	soa	v0n0.nic.fail. hostmaster.donuts.email. 1769302955 7200 900 1209600 3600
0.fail.	3600	in	ns	ns1.sedoparking.com.
0.fail.	3600	in	ns	ns2.sedoparking.com.
00.fail.	3600	in	ns	ns1-08.azure-dns.com.
00.fail.	3600	in	ns	ns2-08.azure-dns.net.
00.fail.	3600	in	ns	ns3-08.azure-dns.org.
00.fail.	3600	in	ns	ns4-08.azure-dns.info.
001.fail.	3600	in	ns	ns1.dns-redirect.com.
001.fail.	3600	in	ns	ns2.dns-redirect.com.
0123zx.fail.	3600	in	ns	ns1.dyna-ns.net.
0123zx.fail.	3600	in	ns	ns2.dyna-ns.net.
01l12a2eft7u5no77cv6t60cucu8sili.fail.	3600	in	nsec3	1 1 0 73 023HAS4VPEED2IDIJ55H83FEM6GU7CR9 NS DS RRSIG
01l12a2eft7u5no77cv6t60cucu8sili.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. U83+7pKEg2LaCF+aO1AzMs2hNSfDz7X8ASWxtKaYd6L02Qz+5bnbOjjoL9R11LOgDTm//ZgKZpqcy3suMpVWAlKfPGiXY+KiQz0Sh+75H1BVqv+cXJXlMEbq+KEeltof6ULR72YW/URMpJqKdciFdQjGMrBaXCBk43X43LaESSg=
023has4vpeed2idij55h83fem6gu7cr9.fail.	3600	in	nsec3	1 1 0 73 03OUET6DKFJ2J37Q8S6KSVN356H583VG NS DS RRSIG
023has4vpeed2idij55h83fem6gu7cr9.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. y6qY9Q1FwrT7fIXBFlPPJfoH1l9JxRe5vUSxDca3hnE89xOeRNi0sTq5CWYP2dyRIA7QF3GyHDWalLfJUOBo5KVjcIzClfUptkTntdp2e5gnwZhePuGrbl437tPn7xM7iDllxjQpjg5p3v+BHqJ2JQBumDuXA7TBjvJiWKeAVKs=
03ouet6dkfj2j37q8s6ksvn356h583vg.fail.	3600	in	nsec3	1 1 0 73 04RRDORR39TGAS7H396NA2H96APTT84F NS DS RRSIG
03ouet6dkfj2j37q8s6ksvn356h583vg.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. NWvoyc8qoLz86Tkwz687Z4xXhCm6V7gUItSdGylUoSa6x1JwGFK0uLQX87VkxsCq2YB+KlsX1OnNXZJTYvWaGiYZLMYZjGdI4IkLCFGMzsPo9alUh6r1gTs4/ttEAd+SEOACEVwikI//zKSkSXfujmFqqD5KQST35zY/ydzQoI4=
04rrdorr39tgas7h396na2h96aptt84f.fail.	3600	in	nsec3	1 1 0 73 0ES7GKSRPU27LD2D1IOFFR5C9BIGV3K8 NS DS RRSIG
