faith.	900	in	soa	ns1.dns.nic.faith. admin.tldns.godaddy. 1759361006 1800 300 604800 1800
010.faith.	7200	in	ns	ns1.myhostadmin.net.
010.faith.	7200	in	ns	ns2.myhostadmin.net.
021.faith.	7200	in	ns	ns1.myhostadmin.net.
021.faith.	7200	in	ns	ns2.myhostadmin.net.
0282d97f3469d44gpbaj8im5q7a00t5s.faith.	900	in	nsec3	1 1 0 - 04P5BR3K8JRMIGAG4LK5NJF7KAPN9FRA NS DS RRSIG
0282d97f3469d44gpbaj8im5q7a00t5s.faith.	900	in	rrsig	NSEC3 8 2 900 20251012202110 20250928194143 36501 faith. eBfp1oxCnQ6FjykmPwlF48N/iNTxB56SliHy1ZY+M6/alC5Qyn65p5XEbDjB49BPDdJlSzp0cLdSiTxU8ivbMTAPx4Kn9xeqMFLmlVxQutZDqhzE0ROd7sQ3wbqknKxQGoUrY4bIWiOsGKcXiNLCgXRg/V4Ps1ABZnj7O+3w5Gkp/05Bei+8yZxBK02u7grN8HPB3LkEd3nKVBc/BhPOLA==
0351.faith.	3600	in	ns	ns3.myhostadmin.net.
0351.faith.	3600	in	ns	ns4.myhostadmin.net.
0356.faith.	3600	in	ns	ns3.myhostadmin.net.
0356.faith.	3600	in	ns	ns4.myhostadmin.net.
0359.faith.	3600	in	ns	ns1.myhostadmin.net.
0359.faith.	3600	in	ns	ns2.myhostadmin.net.
03857.faith.	3600	in	ns	a.dnspod.com.
03857.faith.	3600	in	ns	b.dnspod.com.
03857.faith.	3600	in	ns	c.dnspod.com.
04p5br3k8jrmigag4lk5njf7kapn9fra.faith.	900	in	nsec3	1 1 0 - 081NS1T6G32JGR4QFTUV85F32AJKAVQI NS DS RRSIG
04p5br3k8jrmigag4lk5njf7kapn9fra.faith.	900	in	rrsig	NSEC3 8 2 900 20251014081646 20250930075436 36501 faith. duPcG+OTBS2/oR9Ncnrj9DZnX9ANJS0GdNffUkh1gAionrSPMkAThSpOlRi6/JJv8luyJx4UrqFjveMtv4ewyWBFIMr891+razkrPiYzTpJLuUebgnh1rWbFqwW8A44J3BpKVOnP0I7LoTporV8faEZfFmVbp0vp4ik02sTvQN0LeSYbuGn5BjiP/VMNKLoCJD02UCOYI/YfK6EoRO9Aqw==
081ns1t6g32jgr4qftuv85f32ajkavqi.faith.	900	in	nsec3	1 1 0 - 0BBS7MR7780QPKD8P7K9GP807A1FU4EV NS DS RRSIG
081ns1t6g32jgr4qftuv85f32ajkavqi.faith.	900	in	rrsig	NSEC3 8 2 900 20251011192434 20250927190508 36501 faith. ErxH56BACl856F9M0z58cS2WOML1eTKG5ynWaLig9x92i7gtnibjjT5Rd4S9/p2a+ubs/WkE+zg7PFetyOV9ozMunoGCroWqZldE+f5dJCotCIw747/m/GrIPODw0fBFjxlqqvXWR94C7wvGs5a9FLmpXPU6qm/PXr3/Fr7Be7ARXjPNE15RHR5fkBOgg9nWv1NgpTi3I+6KGy2Y1pPIhA==
09303.faith.	3600	in	ns	a.dnspod.com.
09303.faith.	3600	in	ns	b.dnspod.com.
09303.faith.	3600	in	ns	c.dnspod.com.
0bbs7mr7780qpkd8p7k9gp807a1fu4ev.faith.	900	in	nsec3	1 1 0 - 0EMAUC8G0RREP21ARSLRGJ9H132K81R1 NS DS RRSIG
0bbs7mr7780qpkd8p7k9gp807a1fu4ev.faith.	900	in	rrsig	NSEC3 8 2 900 20251015181646 20251001180906 36501 faith. PDjVwRFwBaNoKGA7OpZ3zIr5x2Tn0Ps5wgc+FwME1B5C6Wa8EGfrmEvzghqhLO05CFMhPuAjQ0lOJ7n+kzjWd0w+ygKEOrs9KmNabfmOGUcEj1aPphBkfHlpyZ/P4JIT3sk8MIuc/wQM0G0SeKIosU8sVKtKYa3LwFAAxfqQkAYyANuLJgJBxPVZ4VtDrrwIr6JeaYNCUvmPwiWhVS62FA==
0emauc8g0rrep21arslrgj9h132k81r1.faith.	900	in	nsec3	1 1 0 - 0KN2V6G9JG2C2325KCANH1OGI7MI7463 NS DS RRSIG
0emauc8g0rrep21arslrgj9h132k81r1.faith.	900	in	rrsig	NSEC3 8 2 900 20251011192434 20250927190508 36501 faith. Y5fLTIgW95CXPa/7kcm7D4JEV/TAGZT2TeGbKNIrijjbP9mA/8IZrixnae5A1w6dDwDCztMrlqQmu0siEwIHjonQ3X//0PpUwubYxn26CNNbbQVcn1MZIEJvaFNiFBT277/mMx4ToyOHn9xA+RGdzERggJakaolkiBpHUkkR+cAlH2cN1g4Id5AVrJxrPt5vNnEF5fVa7eD0PasN3IuXcQ==
0kn2v6g9jg2c2325kcanh1ogi7mi7463.faith.	900	in	nsec3	1 1 0 - 0MAQF188GP9RL5NJ0B7AB2OP7JMJK5RV NS DS RRSIG
