family.	3600	in	soa	v0n0.nic.family. hostmaster.donuts.email. 1759366710 7200 900 1209600 3600
000.family.	3600	in	ns	ns1.whoisdomain.kr.
000.family.	3600	in	ns	ns2.whoisdomain.kr.
000.family.	3600	in	ns	ns3.whoisdomain.kr.
000.family.	3600	in	ns	ns4.whoisdomain.kr.
00ns4rof2mahcmavr2d54934m7nv58dl.family.	3600	in	nsec3	1 1 0 73 00RQT36TOSNLCSN2FVVKGD7E8DOCP3HE NS DS RRSIG
00ns4rof2mahcmavr2d54934m7nv58dl.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. 26jHAj28I4GKz7ql8E4wyjoDezjESneSRe1Eaj719oth0xl8cHxKcj2F5zDY/HfP+PFTGUc6AHkFeXiI6X86saOJPRAKIkynhnhwoIiQM0szQ2WFoxmmfkmruWK5RqIv7uWTuaLYvpNSeDlyAc5Lx7/b7MSiYsOjqgBgCdMXDB4=
00rqt36tosnlcsn2fvvkgd7e8docp3he.family.	3600	in	nsec3	1 1 0 73 0164HT5V60DD2960F1B76RSI01U2JGGU NS DS RRSIG
00rqt36tosnlcsn2fvvkgd7e8docp3he.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. y4pFWnau73+rK3nv3PG496U8siMoQFHYnFtEfHHbWcLM1k+Baeg5cS1OOB3cqa6TCxiH4dULYrxL94b9mKGdLoSJGwpnKv93wgf6NEw+ZV9N3nVSIdXO41HleN0457KZA4EgA4uAt/foiicIj641n1O5KTVICBV2/DLUuFJ1Zn8=
0164ht5v60dd2960f1b76rsi01u2jggu.family.	3600	in	nsec3	1 1 0 73 016IQV7AFA6A7HIMI2306MI37VJ1VGKF NS DS RRSIG
0164ht5v60dd2960f1b76rsi01u2jggu.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. 1mLjBatIMreXvDWcgjUnL6Sv3S3jUYHjInCqDa2sHU2TjiHzF3nCSf3ABwXQJOhu5DgMNX8+2NIuoIuQ43wq5XmRwT5ndH/hKUBqBLHXbxirnWX3vzKGLpAHVYuQhEng4e5w/2KWjVmj2+skog8LFsSneJlLNHSC3z4ptWA+pzM=
016iqv7afa6a7himi2306mi37vj1vgkf.family.	3600	in	nsec3	1 1 0 73 01AFVFPLK6QCMNJ37IRNS0IU2H5E1NI8 NS DS RRSIG
016iqv7afa6a7himi2306mi37vj1vgkf.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. JeyFed6OyVXmE80jRl2gdp/MAObJJbrZJCCFJZkbUvbBWd2uTWjA3XcCjT3O2xbvQMIHoG+AeidVjEb3n2hRuxwlXtmCzNQqLMiA4KdvOYc/CGzpOd80Gp1B9jkKEZYtG9TF1VfjO4oyAzw5v6lZdmIV0vyJP41mJDB9fzzLVxE=
01afvfplk6qcmnj37irns0iu2h5e1ni8.family.	3600	in	nsec3	1 1 0 73 01G2JCFPS3P69ART3EOHHCBC2119BKUG NS DS RRSIG
01afvfplk6qcmnj37irns0iu2h5e1ni8.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. g3BUjLLTokAyRaEx6yVIv9WbdJeDb37TgFP5Awc8vxFALsXZPQnto4/5nDhdHxoQsvVBBFAooSr/DvSRE+1vSTyVQwbFpm6SKSFpgIh4aTYT8lYfq6SlXp4NhleTJB7OfDwLbqM+ey9N5ySJNgEcLd8ww3eGad4xzpz5WoGIZQg=
01g2jcfps3p69art3eohhcbc2119bkug.family.	3600	in	nsec3	1 1 0 73 01N1IKKLDS16CVJUG9OBJLGG1M0AFRRF NS DS RRSIG
01g2jcfps3p69art3eohhcbc2119bkug.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. 1KmpM946Br8pEOERB1MUBJcJ5eCX62ZwFYyfOkt0LP2utQp1SpClVVODawBLiepqiMQ4jbSDxQSnMsYpd424HIm/5mwWXXDdA92/Bq06D3zbVWBirvwzonQNC2+nhyysIlB8g3zLiycYwDSNpRWKPSNSkl4TPYgbY4KQeINcHLo=
01n1ikklds16cvjug9objlgg1m0afrrf.family.	3600	in	nsec3	1 1 0 73 027TMSUGEJ1MVGJKSDRIFC4GBA5U699O NS DS RRSIG
01n1ikklds16cvjug9objlgg1m0afrrf.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. vgknZcBMgjt8q1Ni/+94Fr8+dqBm3ATKsPZIgl6PtXjmGhhNXFVc9Bybg2lIuwyuiIo2ozPrsKJJ7M47aeBNbu5dorhxwRrTwoaRSTVYis1L8KrjWfqLTYSBaGhiiXOB0MxPxwpAUK0NDVVkQgU6C9pUY4r1VHplDX0F4CHJbOI=
027tmsugej1mvgjksdrifc4gba5u699o.family.	3600	in	nsec3	1 1 0 73 02B0G7A3JVA77PEK4N8TKK292537ELQC NS DS RRSIG
027tmsugej1mvgjksdrifc4gba5u699o.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. 8idt7rPnk5Sjyi1H6zQW2a6lFfO2RmFvEcad48dxv4qFdcFJvZzNdowyg3DuYRDF1j6O+Xox2T80OLmXi6NRGpu668KXveoOdoKy4QeZBqWkk6pbBjTyjLJ6ufhlXuNClbIeQG5KC0B65Fc7hrHUl8qGw5soB2eD7nzFxQHj1CQ=
02b0g7a3jva77pek4n8tkk292537elqc.family.	3600	in	nsec3	1 1 0 73 02GJ311C3N1M01KRGR20ATAQTV0L435P NS DS RRSIG
02b0g7a3jva77pek4n8tkk292537elqc.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. 105sxv2ZQLs4qR2on9GEU+4OlqHqgLTYz6NhnNPDklmChgsmGoIXUYQXBWfFwSOJJEmgLtvZRmYTCTHL0sBG1m+l1q3FnOsyqw/VrpyLBdYt09yx3X9/IPafWB7XKK6DmaDviKL7+lhicbMjDXmnYAks/pUWrYZNAqP//1NpGAY=
02gj311c3n1m01krgr20ataqtv0l435p.family.	3600	in	nsec3	1 1 0 73 02HP9B5TUA264OCF9921P8A7FEFL7BAP NS DS RRSIG
