film.	900	in	soa	a.nic.film. admin.tldns.godaddy. 1767649774 1800 300 604800 1800
00000101.film.	3600	in	ns	ns1.webhostinghub.com.
00000101.film.	3600	in	ns	ns2.webhostinghub.com.
01m79i6e9p4013mbl7ofebsba1g3h1h7.film.	900	in	nsec3	1 1 0 - 0C3BQEQ6A6R55DM9KBNJEKC33QN8LG5D NS DS RRSIG
01m79i6e9p4013mbl7ofebsba1g3h1h7.film.	900	in	rrsig	NSEC3 8 2 900 20260116231312 20260102224311 49428 film. M89YSif298jcYHACFdykIhxuBNEzt8+XqoviioiIGWj4V90Xc5mdivtjtJiT2whH0xgSf7p+dqEwm2aqNjKoTgCdXz2EFSdEZRQ2/dT4Y+96b61Ef4GdvwvCVeDqIvjEDPb360+GDhosX4g7yKufXtGKsS4defD1p71c+spJ+2fBO40ERSS0PmpPM2E4t84NAn1Sny7M5rWlx01Z055yOg==
040.film.	3600	in	ns	dns1.registrar-servers.com.
040.film.	3600	in	ns	dns2.registrar-servers.com.
095.film.	3600	in	ns	ns49.domaincontrol.com.
095.film.	3600	in	ns	ns50.domaincontrol.com.
0ad.film.	3600	in	ns	ns13.domaincontrol.com.
0ad.film.	3600	in	ns	ns14.domaincontrol.com.
0c3bqeq6a6r55dm9kbnjekc33qn8lg5d.film.	900	in	nsec3	1 1 0 - 0FH5JIHBMJCIGO7PP2DBO67SD9210505 NS DS RRSIG
0c3bqeq6a6r55dm9kbnjekc33qn8lg5d.film.	900	in	rrsig	NSEC3 8 2 900 20260119235003 20260105232822 49428 film. R/fCdBJZX4KoGKuBybxg1BmB810xAcp87VHTD9G7T8tzCr/gGmj8iCT+iCqXBWQTvrQ3/Q8N2ZeON6adgEclIpELHFptlxmEgvV38C1Hp3MQjPgQSvIuzCVOauPw7H0MGy/2uwNGucqz4+3nAn0/DoY93Vsad+EuGvV7d9uNOeEonIVqmZ+YNgqP3Ma+GSqdX4tSSSm07VS0BYQ2HBadoQ==
0fh5jihbmjcigo7pp2dbo67sd9210505.film.	900	in	nsec3	1 1 0 - 0GNFV7DLM1NE35SQMAV7SISAMS6H68IQ NS DS RRSIG
0fh5jihbmjcigo7pp2dbo67sd9210505.film.	900	in	rrsig	NSEC3 8 2 900 20260117202536 20260103200511 49428 film. ivr8wfDy0WwbovEPu4vxKCQVdrpH7Rm8WcRjiz8w2lrR6VKLBMRhyY1/xY7lDc/DpMiykWKibmvw9aBMw6Xtg7Var6s5sEyxq7uVxzGZjoRU1k2LJGQcSwnfdXPJIxQyY1O0s0Kvzzyu7nLrRgbPK2k3Pk6ljfq7MS8qTyPne7cjhfAtnYuyBoHO92pmlLRCK40j1n1UWOzHEFX6hCkLBw==
0gnfv7dlm1ne35sqmav7sisams6h68iq.film.	900	in	nsec3	1 1 0 - 0JFHSJFLM3VPGPE9MMFVORPHE9736N5U NS DS RRSIG
0gnfv7dlm1ne35sqmav7sisams6h68iq.film.	900	in	rrsig	NSEC3 8 2 900 20260118161348 20260104153033 49428 film. W0gPWORYoa9NrsjlPSDHIK3qsGkjsdm0TsXfx69K7fyh6p+wvKeey1mFXdo7JlYUITaae+iJwAHgBG7jRhNvUgnijU/0T8y8xXqE3sla67+NZIS2lj71Cp+eppqiXyXUTWKvrhIYrGM1xUdJ8f6yp49gXORWvlMdD4HG+J+apDffzixfUhqnQ0F5JBveCpJza+nnZEfhghGJtyJFgt2IXg==
0jfhsjflm3vpgpe9mmfvorphe9736n5u.film.	900	in	nsec3	1 1 0 - 0L021UILPGEF7SPF667RNTOOKTCRJECQ NS DS RRSIG
