financial.	3600	in	soa	v0n0.nic.financial. hostmaster.donuts.email. 1757034198 7200 900 1209600 3600
0.financial.	3600	in	ns	ns1.dan.com.
0.financial.	3600	in	ns	ns2.dan.com.
007c8ivq369c36p1ijtq2hnjca1p81ml.financial.	3600	in	nsec3	1 1 0 73 02JGGIMKRK1VOC3QH3DPMHMATUM34I69 NS DS RRSIG
007c8ivq369c36p1ijtq2hnjca1p81ml.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. FaGYrizsrEo3MzJA5W5BdH/1C/H37IbUe7Egwe1/VZNQ75NWTNumYXrCdeTd4vCsWiWM8Nfvrf+VrQCHK1/O5psxAtKT348+Nq8zt13/yOIrY+tHwj8U1vDxPpinsJNpy5AafjMVIC0FrtOCrIMvATkYuOEBEVgAauGiOQz/eZI=
02jggimkrk1voc3qh3dpmhmatum34i69.financial.	3600	in	nsec3	1 1 0 73 03DAMK1MIK4M1RCVP0DR8OL1TR0UKN3V NS DS RRSIG
02jggimkrk1voc3qh3dpmhmatum34i69.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. O7YBEuHR1Zt424fSUKLkIxvJbq5oGDJL5NUl9T+tlj6BmZwWf+APQ7n/1bx8/z3bHIG/5tf3gHGUIG9nLspiO/F8aPpV3zZ7QAs2Z88ZZYN/SVwD9NAZo5UpiwP3VULQnTK6AlN2lLLoTXFmC2q6fARSUC3sogmBuve0zC1Wbug=
02lopdzczz4.financial.	3600	in	ns	ns1.dyna-ns.net.
02lopdzczz4.financial.	3600	in	ns	ns2.dyna-ns.net.
03damk1mik4m1rcvp0dr8ol1tr0ukn3v.financial.	3600	in	nsec3	1 1 0 73 03NA31VOMHFBIJVE5E7MPQ8EMFDGOC8C NS DS RRSIG
03damk1mik4m1rcvp0dr8ol1tr0ukn3v.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. vEHVA3WoQ1wWrXBXK4mb9kV/s5v7UrQr9UxwMIdjUZ7zbXVZq/C+8yxhVq9NMvzWsYuAZ+cgsN6IzJyVJlcHi8IZIXUcDBByqWULJD0qhY/8akkX9R8k5eG+u367atZrBfcjOzbxic8KWy8wgV9ETpvymZy2WQJsQznGbnGtEZw=
03na31vomhfbijve5e7mpq8emfdgoc8c.financial.	3600	in	nsec3	1 1 0 73 05U2L2IS057MKQ8V0FUCDVKM8QOSK6PT NS DS RRSIG
03na31vomhfbijve5e7mpq8emfdgoc8c.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. t/clIWlZsTvOfagc2jBTvgABdZBbB4FNlKBIxWWOwmIUI7R3Nn5CFOjyhYHimHgmanzgt7Jom19qYnJG5gWWZSLiUCRdJpmzmjsuTOk+GUCnZnk/RSsUz93lAGPzvEfEl3HDAw1v/sO8zveG1lxX/bN/U5ZGdXGzWj4xQMZE4oY=
05u2l2is057mkq8v0fucdvkm8qosk6pt.financial.	3600	in	nsec3	1 1 0 73 0CPIDKGJHOFVFLJFKLMQG696ACETHKCD NS DS RRSIG
05u2l2is057mkq8v0fucdvkm8qosk6pt.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. osdGmZ9q1tckrn3ZV9zyaPMh4xKNurgI6OASYCdCZCHtSEBRxHd9mNA4gDrPcrfCXCCLsUUkJhdAfwdy1HUlvTEoBnr+q1im+EeFEjhA6drEbOowcBfBo0woxrsWOzor/aDwXwstS/J69GhDkfyUIRAysutEI7S5rXfZ/K336qE=
0cpidkgjhofvfljfklmqg696acethkcd.financial.	3600	in	nsec3	1 1 0 73 0KI46C3E83VD9OL1MG1QNT3DPF5EL5DT NS DS RRSIG
0cpidkgjhofvfljfklmqg696acethkcd.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. b3RCz2P9UCETHNMSM5d45xyq1lPEJ/BVswOd084l9wcZ7aRL0oTbsX6grePogs0JOQ6KQX7ACkcGWg9QUAmfczccWdvL3Hw25iYZTrxpNNhPzxkQfN59lFuAis9SpJkSen9nI/x8lczXeNqEoR+huRDY08VjeGYJP2dkJHHa7hY=
0ki46c3e83vd9ol1mg1qnt3dpf5el5dt.financial.	3600	in	nsec3	1 1 0 73 0PD6I202S1DL8FH4HF7MV2628G9FL57I NS DS RRSIG
0ki46c3e83vd9ol1mg1qnt3dpf5el5dt.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. SoIozWIvkjmXCHBUGjxjKOKSUYqHIrvfDHSAV8+MYJFt9Um+WotiKw4OQpB1FXWAATfn82z3Lg2Hkn6/SfL2XzMolcwM4LLIr8qNBnDF1RgmK0hWlMZUgJNvJe98LVrAi8NooSRNvBA9R4QAHfIp7AiXNQTbjJSJUDGZWZ2cRsk=
0pd6i202s1dl8fh4hf7mv2628g9fl57i.financial.	3600	in	nsec3	1 1 0 73 0RBJAMJ31RF4V6RJF9E733KLR1322B0U NS DS RRSIG
0pd6i202s1dl8fh4hf7mv2628g9fl57i.financial.	3600	in	rrsig	NSEC3 8 2 3600 20250922154711 20250901144711 28008 financial. uRKA9r/qnUkKEZ3Gk+Bimc8E9jBTZxgn69D6DwdcaHo57eFXsXWvVN3XLCAmMI+BZawKtpaFD14d7hvsVg4aOBVdnlmPwuTaPpJASj+r8Nqm8z27XPc9WJmrR+YXMgNZmOm3PKhxQ7WUhDW/cJ2w9Ag0FxJPJ24BPyutVjD0kHk=
0rbjamj31rf4v6rjf9e733klr1322b0u.financial.	3600	in	nsec3	1 1 0 73 0T37KHARNHRIMUJ3GM0R76O18K3A2EM9 NS DS RRSIG
