fish.	3600	in	soa	v0n0.nic.fish. hostmaster.donuts.email. 1767661095 7200 900 1209600 3600
0.fish.	3600	in	ns	launch1.spaceship.net.
0.fish.	3600	in	ns	launch2.spaceship.net.
000.fish.	3600	in	ds	2371 13 2 8EF1CAF85AD2B325F46794180C910A4B5F58E7C9E0B8A6324CDC6D7C0A56C840
000.fish.	3600	in	ns	arya.ns.cloudflare.com.
000.fish.	3600	in	ns	terin.ns.cloudflare.com.
000.fish.	3600	in	rrsig	DS 8 2 3600 20260122153534 20260101143534 61224 fish. lSyaD3PxZ1Ns3i8KfzWzCJH1re/jhv8/zZOZzoNi63yRiAuPA51Xltoe7Bm4FZ8e29Aa7jqHEP6nw9e84QLTl2x14M742bN4yLUCmMqAuDOw8PZnOyMnaakw8tLIuZrT1kCidstt4jTqohhaWK9XkPakIZiF0OfYkxYc1Wj1jV8=
009.fish.	3600	in	ns	brynne.ns.cloudflare.com.
009.fish.	3600	in	ns	curt.ns.cloudflare.com.
02f5q5jt958jj3v22j0n9794v6tbru85.fish.	3600	in	nsec3	1 1 0 73 033VFGFB0PPO2OS8BN2PTAHO5CJ4688G NS DS RRSIG
02f5q5jt958jj3v22j0n9794v6tbru85.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. L87m+MiKt0c2i0iU69myzuSS5GsPTJGQfz1Y4sURQZrTM3VDQWPoP/EvTxHxNV6eXaSINOWQQ9IqAMO2+7GsbWf3iElSkNvNUX5KgSC2KMS6ERTuKCZE7bKuW5tE/f0EgCJBjePa9BH53YMJJHreBxg+w+Pu/65YDCdK3hVMil4=
033vfgfb0ppo2os8bn2ptaho5cj4688g.fish.	3600	in	nsec3	1 1 0 73 06E8M2SRHOM3L5BU8CNEGAV5COMA8C1A NS DS RRSIG
033vfgfb0ppo2os8bn2ptaho5cj4688g.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. RiRezv8tLBS00+hataN6P9M7muFjGM7Eyz2wrUuxsdF+Wgwj4iq7ud2/W036UrJpi98fhW9RibyTaWfV4jp2T6KAtTVvKfNjm0d3sRiRyiUgjSgSVoCGIf6NNra4aulRQ/JI+i+EOn2XLvjygnrAWFAg+PpALrjcaAbFv0y/7T8=
06e8m2srhom3l5bu8cnegav5coma8c1a.fish.	3600	in	nsec3	1 1 0 73 06I4MB1CQER47G5A3HNSHA7TD7SCPNQO NS DS RRSIG
06e8m2srhom3l5bu8cnegav5coma8c1a.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. R8Fhlr39x6+va+bkQaaXah54CSU2pQ1Nju9uT0yjFoVnPKtsOeAirO/ybyxpHdWtb069vWYNLpcLSXkckjXSCugwUO3kij1UfXRzXNQJWmTNhBy1Ks29DpVE7a9aVekeeZLS+qJkdOIqeE1G/eZjRXK5MW/VfC0AxcSTocH+Nck=
06i4mb1cqer47g5a3hnsha7td7scpnqo.fish.	3600	in	nsec3	1 1 0 73 07MA074PCK503OF6JDL1BACFNML81L8Q NS DS RRSIG
06i4mb1cqer47g5a3hnsha7td7scpnqo.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. Z8v/Dd6xcdQ+5qNdMHKfSCMxNLzKQMyKypaEPmNi7Hjd4bQNpVdqsf0PVT+npf/e6tUFM9MeIV8z+aN/nltA9KFw/qJk0OpTcodNIrQgXEAJXkFz1c9VyVfSe7m62DQpY6YLm2UsT61/vv81RX10lZO1zDvWBrTjCJomRBNHiCY=
07ma074pck503of6jdl1bacfnml81l8q.fish.	3600	in	nsec3	1 1 0 73 097BK2GO2JI76GC9OKRBU7NJ5J27F1GS NS DS RRSIG
07ma074pck503of6jdl1bacfnml81l8q.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. lE9OYdg91fYniSn2y+S3K0DVgmeFB5ybFvJPlu4C7YB/ysVWpZ1Z7OTdumIxzlB4GPSfZBQCMJUf4NcKy7wKgpMuAnOnDOqtQ+g/ImxqCZHJqrJ+ZXPSfkJTHGxbVOSLo37d37gf1A6kSNgsNq4N8WUctBLSXiUFnyFSKnf5kOg=
097bk2go2ji76gc9okrbu7nj5j27f1gs.fish.	3600	in	nsec3	1 1 0 73 0ACEU8UKU2QEG7DDHE89K9O900NTC47H NS DS RRSIG
097bk2go2ji76gc9okrbu7nj5j27f1gs.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. JmYGgnEVkbvakqgblAKxRxVemeun2CCGSJuq7MucGGHVhk5bWzxnGXGLcgFNRr70RsXUsHwBMu+NbSANQPg3ztzi3NR1Y+aq+NPwLvDNKudZ1jJ8cWvMVC0Y7cL6N5gwfUGuVgqpO2fFHNQGxfnyTBu7Nj7eL46KfpdyEAu61AQ=
0aceu8uku2qeg7ddhe89k9o900ntc47h.fish.	3600	in	nsec3	1 1 0 73 0ATTJ6MH8SQIE8SR14GGAS17V3JO9L9K NS DS RRSIG
0aceu8uku2qeg7ddhe89k9o900ntc47h.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. O2XsD+JCXZ/VdfCRf4Cnt2iBMIdlNZtQw0e8kKaGbf3oOnj5XYceDf+R8c22f8pSnpWKaf/OOJQXlCU1YDkTLVK7pP2lJRWhDHCzuEodMZE2d0NRiCylKJPcaAf5MwYpsp3AEUuLCQI63mfOzfF3o03l0pS0LYmMefHpN0WU1o4=
0attj6mh8sqie8sr14ggas17v3jo9l9k.fish.	3600	in	nsec3	1 1 0 73 0GBRQ5T8N5SQE3S36DA1HOJLIBGG961S NS DS RRSIG
0attj6mh8sqie8sr14ggas17v3jo9l9k.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. ofIXbvap7Aus+UEBgK21VlJxUFGiSxI25OZAPXBd89KnxQxXraYUnRqKSdqLOabCYzkxAF+gV6qS2TFwDp87WxWD44sRIKt3SpI9QvgtpSTd6XzT92kN3iBIxuerslZWJaPPkxJcADCM0XyThQGGRK3v+OqQIwGJS8W58TzBB30=
0gbrq5t8n5sqe3s36da1hojlibgg961s.fish.	3600	in	nsec3	1 1 0 73 0J26NP65ELTA605KIFQTAIM2079VAG7M NS DS RRSIG
0gbrq5t8n5sqe3s36da1hojlibgg961s.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. Qdr8/6TU8UNeyJESWLvVpXUn7tDJv0+F2Uqp8yyCkBUV1GsK4xuj+8YQg9MH3+whWR8OBveNr2ndu9qQJVCyY2WkYvEvUQfvthSc9/5P/FmyXNXB7hwcsOu0Oc2vPiQfNxuMxagq/Ye5N1iwdwIo13YHBWJgiw4iVN7JFqhikmc=
0j26np65elta605kifqtaim2079vag7m.fish.	3600	in	nsec3	1 1 0 73 0MILPHV0EBRFLKBJ81N8DQLFI7S8F2T1 NS DS RRSIG
0j26np65elta605kifqtaim2079vag7m.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. esIGOs/Aa54Q7EvghQXK/E9TNSFflnWz2XKJyWTDHvKyNSBxZREaOPc2PZmyhSNK8hdAP9GHN0Qb2gB/iMyAcMtHmpRxZzbMVFO8lFpWLYb0Gl8YgWYWgQKhBslDubSlcr41wk3UDUuYWrpnMnFOOAgzcR7xauXIfgeIre6gHPU=
0milphv0ebrflkbj81n8dqlfi7s8f2t1.fish.	3600	in	nsec3	1 1 0 73 0N0PPUR06FP4AH0OTMEPV69AORKN922L NS DS RRSIG
0milphv0ebrflkbj81n8dqlfi7s8f2t1.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. cDnM6HqQDfWR8Og1YvidEI3tMR9/vm6sIHY5OQOHSMKGQ5rl/dH0J+VRjEwwZZlFfJZ5XPKUZeFsruVT6tddnXTLAhy7Er8P00labPI1B4EVpQsDHkbrrRz08cfsglc90Qbs3hlozb57VuXR1Hv3n/uvL2mnuMSR1oO0Kf8MYpo=
0n0ppur06fp4ah0otmepv69aorkn922l.fish.	3600	in	nsec3	1 1 0 73 0NEA2IH57R93KOBJSUG1BOFUHIFLPLMR NS DS RRSIG
0n0ppur06fp4ah0otmepv69aorkn922l.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. ITfda0wktotqV/MwEiqmA6z+GftyAPQTScoakcdZ8OZ/wTswi2W2k8/lBNYdUWweNTqXpPRpHh/4aii/rdLawL5FqO2mkv1tDV83kQmO2ws3LUJ1YxQNKLwDp2jNYEV0copo7ZOMuBWd7GS+s6JKN1JSrJ95B1jdX+/37oNSqQM=
0nea2ih57r93kobjsug1bofuhiflplmr.fish.	3600	in	nsec3	1 1 0 73 0ON4P7D5TCUOMKO9AGD4F9CM5OTS2LQV NS DS RRSIG
0nea2ih57r93kobjsug1bofuhiflplmr.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. Ca0aqWYSpyy46tIrLuma+5t0glrC8els6F/6yP4+GJbRzZEFR6KlR2vUw0bPAPip+4EFNrm/rEyHlu5XEBXN3p9TRgelyy3FIto403WNLdO8+eR6u8ktbDJfssqBzBI7zSGOzVsF8/88gIfDD8nhmpN2LP6TrmDBqu0KNdJouOE=
0on4p7d5tcuomko9agd4f9cm5ots2lqv.fish.	3600	in	nsec3	1 1 0 73 0P9QM8ITOAKN5PABGIS2258E8LEKGA5P NS DS RRSIG
0on4p7d5tcuomko9agd4f9cm5ots2lqv.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. pO9Ajh2WRVDXDshjMymk2TSwVBzIIUK6X88RO2HG0lF8YY74qs+RxHS32JQlSfT5avpTRtnzpPP78CogqMCvcgJMyT/fPmiB4XhKHVUbbG2YxarKDv8M8MUN9kcE52oDbpaLPIuAUwRwroQCNEp9Fq0i/EsWEv0y0rAgdJw+JHQ=
0p9qm8itoakn5pabgis2258e8lekga5p.fish.	3600	in	nsec3	1 1 0 73 0QV6JV1ACK8E3AS0C46SSA4T9RPFM5LA NS DS RRSIG
0p9qm8itoakn5pabgis2258e8lekga5p.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. OlkJUEl60PuChXgPpuSiahv7X+N8qN8xRdd4pygoP8dbOLwRD3QGJZsQ/Fbx+/7/y8uX9XqoAgAyDRdNNJ6QYWGKZeLO8UZnTNqUCgIeDNQGsKRjXb6bfgIbVKDoYPEtOYui3/gamtAjoumIQXIMNKzg2bsaeJhSJLUVP25bnIU=
0qv6jv1ack8e3as0c46ssa4t9rpfm5la.fish.	3600	in	nsec3	1 1 0 73 106ER1QFCTABCMBIRN86VB1B9CCE12NS NS DS RRSIG
0qv6jv1ack8e3as0c46ssa4t9rpfm5la.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. PCS2hrlaaYTc3w0HcThjTFlAWywK1UFWAjOachjvgTtpRtYpwH7UMiUFJBcSa/V2q3SOzA74db0TwuxcyMfjLGhFkc0cGXVTaWGJJDu5HrY40tV74auKaiozAOzItFCDIFPBSMm/NbK2ZZuvgoxWa5+TS2/eFvapR3fnWWZmgd0=
1.fish.	3600	in	ns	ns1.huaweicloud-dns.net.
1.fish.	3600	in	ns	ns1.huaweicloud-dns.org.
100p.fish.	3600	in	ns	dns1.registrar-servers.com.
100p.fish.	3600	in	ns	dns2.registrar-servers.com.
106er1qfctabcmbirn86vb1b9cce12ns.fish.	3600	in	nsec3	1 1 0 73 107QFJI1MG6BIQDVNQTKQ9U3OHUAD3GA NS DS RRSIG
