fishing.	900	in	soa	a.nic.fishing. admin.tldns.godaddy. 1757011951 1800 300 604800 1800
0084.fishing.	172800	in	ns	dns01.gmoserver.jp.
0084.fishing.	172800	in	ns	dns02.gmoserver.jp.
0betfrgqtrnsjrspdhqc483u4h6ctilt.fishing.	900	in	nsec3	1 1 0 - 1NKU0RIPLKEKQUJCJSRE7LG697ME2C2A NS DS RRSIG
0betfrgqtrnsjrspdhqc483u4h6ctilt.fishing.	900	in	rrsig	NSEC3 8 2 900 20250913172335 20250830162935 47751 fishing. Bh/ARAta8B0wRTQ+WksqbG3JAzn2AlOcUKBs2hbSpiQJqYP0ZT/3OTnEuqLNHLYFyMsMr2aEa6/zetPUYAXC1D66c/SCeTHitwJN7m2QOLgIk5Y5QHsJAm50X07r95Kr0j3ic260R3IWhbPC1i0hIa/mMUxtb7hliyP/PjxprLt3XUdjXbo6FHQclYtvg2v9enhR57EOLFlXvxEH0IBf5Q==
1.fishing.	172800	in	ns	pdns1.registrar-servers.com.
1.fishing.	172800	in	ns	pdns2.registrar-servers.com.
123.fishing.	3600	in	ns	ns1.afternic.com.
123.fishing.	3600	in	ns	ns2.afternic.com.
123b.fishing.	3600	in	ns	diana.ns.cloudflare.com.
123b.fishing.	3600	in	ns	jack.ns.cloudflare.com.
123dzo.fishing.	3600	in	ns	dns101.registrar-servers.com.
123dzo.fishing.	3600	in	ns	dns102.registrar-servers.com.
188bet.fishing.	3600	in	ns	bristol.ns.cloudflare.com.
188bet.fishing.	3600	in	ns	sam.ns.cloudflare.com.
1alpha.fishing.	172800	in	ns	ns13.domaincontrol.com.
1alpha.fishing.	172800	in	ns	ns14.domaincontrol.com.
1nku0riplkekqujcjsre7lg697me2c2a.fishing.	900	in	nsec3	1 1 0 - 1QVRD5IS874JFDETLCIIS6HBPKKAVL3L NS DS RRSIG
1nku0riplkekqujcjsre7lg697me2c2a.fishing.	900	in	rrsig	NSEC3 8 2 900 20250913172335 20250830162935 47751 fishing. jeMxndgnbJQ2rR7nGbvNB37/dxhV+faoB20UQS7T4629rQma4RZep4gAIkIjeDpK1+bMI+T15QXULca6/M8QiZ/JFfJvppNSZnWkzLjUh7o2HWDTUrKgjuplQn4dz8YN83rxyfOLRX77vfpQK5wTM43y7jaY9mtly6ecjcTDxLl0A6BI2oVLqhI4hN7kykqgjY94Ui+9h2w6R/QlUAIjKw==
1qvrd5is874jfdetlciis6hbpkkavl3l.fishing.	900	in	nsec3	1 1 0 - 3CBMF40ILUTMFU7B7IAUR7PVDIG0H80R NS DS RRSIG
1qvrd5is874jfdetlciis6hbpkkavl3l.fishing.	900	in	rrsig	NSEC3 8 2 900 20250916230303 20250902223649 47751 fishing. dHyse8v7UN3zt9abKvWzq8DrLwDzvwhh0Hc+YTp+dzn00ZPAfftLP3VVGLmE3Hg3KmsuKK8x4s9GFXKsrj52YeLvx6zaqpLtoVlhM7ste9hYzBZ1VT1zD60cx69Spl0YWPCnwk9XKhkP4e6pQge5oWparHXMRkstVFJx1dyJpRpj1QMX+g5GHYlfI9j287NDLvUro0pV1oiwKI4YLkcviw==
