football.	3600	in	soa	v0n0.nic.football. hostmaster.donuts.email. 1767661129 7200 900 1209600 3600
000.football.	3600	in	ns	ns.udag.de.
000.football.	3600	in	ns	ns.udag.net.
000.football.	3600	in	ns	ns.udag.org.
0049.football.	3600	in	ns	docks04.rzone.de.
0049.football.	3600	in	ns	shades15.rzone.de.
007.football.	3600	in	ds	26183 13 2 7EE451D11D89EE11207757FA551D8083F1D550220F918C40524E8DD149FBAB73
007.football.	3600	in	ns	launch1.spaceship.net.
007.football.	3600	in	ns	launch2.spaceship.net.
007.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. pUAcYFmDg/73/KlQCEqOKBD07UdAxa6xnSBtQwVaAzzKWehaEYN4JXCaMGaBleIuRNKHyCRI1Vtb/oup0Tfv9YEfk7/HEsxQNBuOwZlJHMYiwwmg4QvHl4SMyopGv76jT7zYrH2XgaE30c+IfiBWvoWdpLQ1GxxAc4AVZONyqrk=
00jbdkubpdr9q1280j6hb8cg8adapam6.football.	3600	in	nsec3	1 1 0 73 01PEA3IRK7NEN3QPIG3F05JMN0VT7GUL NS DS RRSIG
00jbdkubpdr9q1280j6hb8cg8adapam6.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. kMepZT53Wu8CtFKHRMfF7XslIbrtCPZzj0gw0qUYb6cEezgMVQskzTomi7BRXr4rd6WNbs49DwmO/M0c3tKBDwLr5IIkvHqsazDSistQK8rCghAymfstevbMtr8Hsk848grL10WvD1wDORXxmHnc+XD561fRVEQE5QngzGnD3iA=
01pea3irk7nen3qpig3f05jmn0vt7gul.football.	3600	in	nsec3	1 1 0 73 04B9AGCKG6NRV3SC1D9TNKAO4N7C8A05 NS DS RRSIG
01pea3irk7nen3qpig3f05jmn0vt7gul.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. FyuXAPAWVJjjpjbAeg955vr1A9/omQLgkHbLvyg6zvffvLosXc1Hth3ymaGHTA8ycMbXXk03Xkrfe9Adu/S4gR9Nj3AqW87ebgUe4iTtE90r5mtbkO2sjsWHVDQD7CgqFd1sWmRtN+WXdNXu6Jef0CoNWIvVRdTkSkW5HXBZ7oY=
04b9agckg6nrv3sc1d9tnkao4n7c8a05.football.	3600	in	nsec3	1 1 0 73 083OC6FOSL491FN6T154A961T4DD8BMA NS DS RRSIG
04b9agckg6nrv3sc1d9tnkao4n7c8a05.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. r6BeY98fe6Ju1V26paVX/snr+6U8eWpn0QuZ+9GX0HIr0SWm/t0sbciudDfxnqijWiHMM6rRzcDenbl9WCZ6z7L2K77rQ/bhxWAbjwjNv0oKHliLWLa4cWgiKw5Ah6lWp2ou7dq05UbxN7t4R5fyJK1q4PuP4iffgMEsqw+T49A=
083oc6fosl491fn6t154a961t4dd8bma.football.	3600	in	nsec3	1 1 0 73 08EBDPJR0FKDHS76LNDK7H84N2PJL6CK NS DS RRSIG
083oc6fosl491fn6t154a961t4dd8bma.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. Oqe2hBgx9Tx6+l0N+w1lhgIeKQB9I5l1/UqC+VMtdk1SASN/ThsXpnKPSiL+LPb71XXE7A+Ql1U6OOrou9H7vm/7HmkEi+KsusW4VW/8ULQw0S689mjAjpWI5g3hcVnaVDYAEOLJDyGS5ar0qS4mW9BFu2o9VzHgPTsyPz8vaRA=
08ebdpjr0fkdhs76lndk7h84n2pjl6ck.football.	3600	in	nsec3	1 1 0 73 0ABBBQ1SG3JABC70N03IM78A2D6MFQJT NS DS RRSIG
08ebdpjr0fkdhs76lndk7h84n2pjl6ck.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. jvYyZ4/3mvgiX0ndlCgdEyaKmf6AeYYGUzfV852J0lqZ3bVLbJArGxzPw0xJM+qXwfa+//ZShlwLiLzApJmN4OJ5IcK2ZpmRTb/+36h8hDtBo6Bl7o8eqoO7lhJFRW2qVvhxhHNmNbPE3fF8zi2njFMYRaTAoglcmyrdI8qqW8o=
0abbbq1sg3jabc70n03im78a2d6mfqjt.football.	3600	in	nsec3	1 1 0 73 0B3JQ4VFMK9AGDDKP5S8TTI66BFJ953P NS DS RRSIG
0abbbq1sg3jabc70n03im78a2d6mfqjt.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. mlzYF4lhRB6xMWcCcj0TZnBRqyz/DMu5NU5Giska9sm9BCM2P251CWVFYDhsv+i6WiICEZGwdiglDbUwfEd4CFZvtTACBQgmL27eB64W6kN/c1ydYRpaXrLQNTQfodVXYPCYLv1kOg0QxLZSL8dSC3EdgYjBn8JtrqwT5pRnxgI=
0b3jq4vfmk9agddkp5s8tti66bfj953p.football.	3600	in	nsec3	1 1 0 73 0C4TRSKKI7NC8MH49TBKR6SLJH224LK4 NS DS RRSIG
0b3jq4vfmk9agddkp5s8tti66bfj953p.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. unNMwjaNYo7fgAiU/DIhUIpGF3weZmZPKY8v7ntabAD48dmFOS14sFyFAauOptg/ouRbn5Mf36ocgoKmArCY2gbNmLF2xG8y0C4DHOzdU2SVfCBsdgcwwurqn5kyyRwwm58aUo8sM+KjEkFGGUURwU8uNLHgYOaVUrDylT6XKq4=
0c4trskki7nc8mh49tbkr6sljh224lk4.football.	3600	in	nsec3	1 1 0 73 0MDOOG2S1EPSCLPGJCPTGFVMO4TEUV2L NS DS RRSIG
0c4trskki7nc8mh49tbkr6sljh224lk4.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. f9qnxzH4Kb8oYdNXj1p/fIm0TCWoG5ZPejDwA4dPERIJvIVh/zDjSndKGd9Y9NdKbew4F/pWFHI6AnZFMx/HQ1IYLlMsOESLiob43P4fqKKJ8MmT2z7nVGSbmWhFMyizwD6qVEDQ2q/I559e3Ia01c5hD4xqfKuGTNnl8zGDkxI=
0mdoog2s1epsclpgjcptgfvmo4teuv2l.football.	3600	in	nsec3	1 1 0 73 0OHGT5QFTGBFL9619UEDL0B0DA0DKVGG NS DS RRSIG
0mdoog2s1epsclpgjcptgfvmo4teuv2l.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. oPSeHXX9MR3WWgLihDpjHyP0fB1q5C9dhApkQy6JJzrJ+m5icHiC4urtzFyVW0Kt1OXn0rtdlD+xLMD16vUzz5HdS1VIaoMPCkv6V3nEdRmTSt2RPEiRgyTpa69poMcG21JAUQp2GQ7OtcOdQXaLiiynXN6ORLrB0OUa6L05fVM=
0ohgt5qftgbfl9619uedl0b0da0dkvgg.football.	3600	in	nsec3	1 1 0 73 0OV4D69V453I2KJGEAF9Q7CBDAFCOR5I NS DS RRSIG
