forex.	3600	in	soa	v0n0.nic.forex. hostmaster.donuts.email. 1767661147 7200 900 1209600 3600
030091.forex.	3600	in	ns	ns1.dyna-ns.net.
030091.forex.	3600	in	ns	ns2.dyna-ns.net.
09ajcd0u3lvagn5nvnq7kqfbo79tdd50.forex.	3600	in	nsec3	1 1 0 73 0U6G170NR2TG4KAP6ONAKJH0S4QGE0CQ NS DS RRSIG
09ajcd0u3lvagn5nvnq7kqfbo79tdd50.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. gTZ/GblHA3+Ji1rkXMDrBPR0dPUbPuMJ/wt7X6wbw4nr/35DsZQbDchElrYY4spE1vQ1HjhDI5VeElcsFefgw6hudsuSj1eqhVMfFxa9z0ieoo6CHqbvIGlHuLkb4sLXUKJx2UWMX2xTK5prqgHPd0fm4r/p/HePcZ8AX+6sfRY=
0u6g170nr2tg4kap6onakjh0s4qge0cq.forex.	3600	in	nsec3	1 1 0 73 1D6DJB6N9L0NL9C1KP0BA04KGC6MQSP2 NS DS RRSIG
0u6g170nr2tg4kap6onakjh0s4qge0cq.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. uHFMp2B3e1c3F1Oggg1lKS0OACnIShicD/bL4EnFoyb8iTAJC6TwmbU8Yy3ATosGUVgE9J4JVKGDDqf6dqPrq/pjoacLzt5L/YgqdGoQTcmRpBbs3fM1FqM6A1N78QUfMLDNDPdCLDAxm5QEfHDksSkAwsstimV4es2OzJc8hBI=
0x.forex.	3600	in	ns	ns1.sedoparking.com.
0x.forex.	3600	in	ns	ns2.sedoparking.com.
100.forex.	3600	in	ns	ns1.sedoparking.com.
100.forex.	3600	in	ns	ns2.sedoparking.com.
101.forex.	3600	in	ns	ns1.ooparked.com.
101.forex.	3600	in	ns	ns2.ooparked.com.
10minitz.forex.	3600	in	ns	ns1.cafe24.co.kr.
10minitz.forex.	3600	in	ns	ns1.cafe24.com.
10minitz.forex.	3600	in	ns	ns2.cafe24.co.kr.
10minitz.forex.	3600	in	ns	ns2.cafe24.com.
123.forex.	3600	in	ns	miki.ns.cloudflare.com.
123.forex.	3600	in	ns	nash.ns.cloudflare.com.
123b.forex.	3600	in	ns	jasmine.ns.cloudflare.com.
123b.forex.	3600	in	ns	woz.ns.cloudflare.com.
