forsale.	3600	in	soa	v0n0.nic.forsale. hostmaster.donuts.email. 1767660482 7200 900 1209600 3600
0000.forsale.	3600	in	ns	ns39.domaincontrol.com.
0000.forsale.	3600	in	ns	ns40.domaincontrol.com.
03ajob1o4670t5cs4d1590uci65i130e.forsale.	3600	in	nsec3	1 1 0 73 0UV7JQSDKLOJ39AE15G28LTFJUR7TTMI NS DS RRSIG
03ajob1o4670t5cs4d1590uci65i130e.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. HNZva0WqF6LBgx/N6hlixH/+DGeLhJU1IOVDmakWEXFtpSBEjgeB/jWCSRzJivraVufnN2ktP1EbsDRqht1U5yERfY0Ca6BjgqcpHFCCFiUB8kg7QETlA6Wrb8enj+7Hx4NS9oUZzFZveY5GwowvpANPWdQ9JlWnb0c8RLNCzXc=
04279.forsale.	3600	in	ns	ns1.dnsip.com.
04279.forsale.	3600	in	ns	ns2.dnsip.com.
06508.forsale.	3600	in	ns	ns1.dnsip.com.
06508.forsale.	3600	in	ns	ns2.dnsip.com.
0days.forsale.	3600	in	ns	ns41.domaincontrol.com.
0days.forsale.	3600	in	ns	ns42.domaincontrol.com.
0euro.forsale.	3600	in	ns	dns1.registrar-servers.com.
0euro.forsale.	3600	in	ns	dns2.registrar-servers.com.
0uv7jqsdkloj39ae15g28ltfjur7ttmi.forsale.	3600	in	nsec3	1 1 0 73 141M7O3S3PMSPTNKGNOB8JGOG18I456O NS DS RRSIG
0uv7jqsdkloj39ae15g28ltfjur7ttmi.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. jyh3j7hb4oOOhdi4/2ITQ1TcbDwXvH6yk8ADa53dfy6/uaJU/BLyJs+VCkKPeVzBFcC+yaLcsv//tfb17bpB1r7zIImbgKcJB5QSHH/UgoiEebSaMhFgNgkGAEKjhQrA+ilFik45C5qvC3nFkXPfoHVET7kGHUiRkScPYwF7kVU=
0x.forsale.	3600	in	ns	dns1.registrar-servers.com.
0x.forsale.	3600	in	ns	dns2.registrar-servers.com.
1-877-smarthome.forsale.	3600	in	ns	partners1.domainagents.com.
