foundation.	3600	in	soa	v0n0.nic.foundation. hostmaster.donuts.email. 1767661198 7200 900 1209600 3600
0.foundation.	3600	in	ns	pdns03.domaincontrol.com.
0.foundation.	3600	in	ns	pdns04.domaincontrol.com.
000xnxx.foundation.	3600	in	ns	olga.ns.cloudflare.com.
000xnxx.foundation.	3600	in	ns	scott.ns.cloudflare.com.
00nqg1bg8mjpba7h4jv2cpq4ml1tpbb7.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 00TA5RT9LSBQTOU1DU8KCC7ULA99H1SM NS DS RRSIG
00nqg1bg8mjpba7h4jv2cpq4ml1tpbb7.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. A5GsLK6Xd0wqtCVNuoERj8KA3dW08Ogai0Gm3XknvqeLmCJqUk9/UDMht+2chX6KPiYeSSbsaNMqIRp9eCvfAY2uPH6bdgPMVVVGfgEswJp2kynNIXlVjHNE0jPNPsrCf255aSalVY0ZQbaEK3KA3Ezn8fyrNWdfOaEG8t5ImOU=
00ta5rt9lsbqtou1du8kcc7ula99h1sm.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 027M9SEBBELFII9C9I7M4UCODFCQLBJ7 NS DS RRSIG
00ta5rt9lsbqtou1du8kcc7ula99h1sm.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. W3Fl+pd7gfx+zFMCjhLo02X5YJUili6sadUKE2sLQla/OdSYteehIlFoH4VVXxQGv2aUmYcBDowEchVVKAzXefo9T5Tqgu6ogR4C8tl8jQgMicjCC8+/fQQj3OL3+2mkkWuzwMv4FuRzBZa3qt/DdBdlmYZ5GgH4X+H6ztdPAeY=
01.foundation.	3600	in	ds	19727 8 2 EC97A14EECCF71924A54A224E8E80E284D27254C3276F455E9B76C0EE529A814
01.foundation.	3600	in	ns	ns-cloud-b1.googledomains.com.
01.foundation.	3600	in	ns	ns-cloud-b2.googledomains.com.
01.foundation.	3600	in	ns	ns-cloud-b3.googledomains.com.
01.foundation.	3600	in	ns	ns-cloud-b4.googledomains.com.
01.foundation.	3600	in	rrsig	DS 8 2 3600 20260122161324 20260101151324 64575 foundation. uV9D8IJXXKqq5PRCxpjDqp0Tk9fI5a/JjVBbGHS/Neb/ZxLC+a5YMW+M7XMylk8lLQtNmJ45caoLieJl/Z7CTkc/OX4TncJ2FZdGq+eeM+gWBezeLotnRhd2chxhLed2dR2IhTCmG5XnxOPKSallbo6ORE4iTakXDQva+Es+xeA=
018.foundation.	3600	in	ns	lochlan.ns.cloudflare.com.
018.foundation.	3600	in	ns	sandra.ns.cloudflare.com.
01joyful.foundation.	3600	in	ns	ns15.domaincontrol.com.
01joyful.foundation.	3600	in	ns	ns16.domaincontrol.com.
0223.foundation.	3600	in	ns	ns1.tildadns.com.
0223.foundation.	3600	in	ns	ns2.tildadns.com.
027m9sebbelfii9c9i7m4ucodfcqlbj7.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 039SP0G5P6M5CBBQCIJ8VOCBHJKNTKUP NS DS RRSIG
027m9sebbelfii9c9i7m4ucodfcqlbj7.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 8A6fplqT/u5OvpTQOeGGWS7uhUlDrIM65yQyFoYVBVnrcTcC0r+1l64m2eP48ZTBuoumGPmhHvHOoBu5wPVDKTlB1BBflBCvRfHfyQ3WwbKVcZTQAJ71TSqSUbr5mXDgtCEPz/ma97H98gBFmZUgY9jcLmA6Ei49Sx+sP8jGJH0=
039sp0g5p6m5cbbqcij8vocbhjkntkup.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 03BD1I0OD8OCIP3QFTF9Q99PH5N13187 NS DS RRSIG
039sp0g5p6m5cbbqcij8vocbhjkntkup.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. g0/2hRRtpbGJoymgqgKlKd8Ho4Nyh0xkMuVvapptZymPntSYaSQsCbk9m5aJsMrLid6u9pNuhhzMU6cMrzGTML3hGnu/KUVti0J/I2cVsT47T7dWZOJlhxgz+SFytFhwQQHfqe6PCu/snLvKuD9nLoujZHA1E9Yzu+thXdM5DD4=
03bd1i0od8ocip3qftf9q99ph5n13187.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 045Q99QL81F0H1FO8J6V1S2R31VR94AU NS DS RRSIG
03bd1i0od8ocip3qftf9q99ph5n13187.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. trq7u8wqD7HuCze1drybbukjlfehwEZa0dGrUhiIR6S2GOYg4dCHmlR2f5+TybUl8u5ctdCipcyWQ9ehcmVhJLEOly6xUdSy8xeA+wjtWZRFySoXpDY4uO7GvKdUsAzsCYH//4K0vY04EkRoVGyt0wSldKaVWQWBfMH+uR0889s=
041.foundation.	3600	in	ns	ns55.domaincontrol.com.
041.foundation.	3600	in	ns	ns56.domaincontrol.com.
