fox.	900	in	soa	ns1.dns.nic.fox. admin.tldns.godaddy. 1756222625 1800 300 604800 1800
0em0o2rvpmbd6u8nu0q7rtnstbvnqdn1.fox.	900	in	nsec3	1 1 0 - 0NQ1TLGLOFO80VIR09PHQJ6MSKK2JHJV NS DS RRSIG
0em0o2rvpmbd6u8nu0q7rtnstbvnqdn1.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. X+OdCpevYP8xKO+Uehcl4xxnfjvPhoKyMxpx2I8f6/vDYnKStHx3nCbfT+v2Q1X1Gidy8IEw4NwWqaoLS7tCrsoXf5wxDnYrVws2XLCtRQowGC56TBiENvzs/3SmcS7k4qSu9RvWjYvUWR7egTAPNwWT3BpPO4V0CMgsqq91HUW0a1G4x6+yFFl/M1RPP4faDt43PVUj0xRx5wdrN32Wjg==
0nq1tlglofo80vir09phqj6mskk2jhjv.fox.	900	in	nsec3	1 1 0 - 0QVLOE3E8SRPHC8R9E1PGCFDDMA0GB1B NS DS RRSIG
0nq1tlglofo80vir09phqj6mskk2jhjv.fox.	900	in	rrsig	NSEC3 8 2 900 20250907084135 20250824081807 39369 fox. KbLLldFd9pr4ZlnZeUzu05RR5sju3RBl/R1T7YT4WgErM+ApBKwla6zK01yMppwpFYSrhYXUfUutC+eAS7jb/yM0y9VnLkZHwx/7J+R6yoYDWhGDkv82IItf4joleIiGfB07dwsShmGmwWjr80N/1doO/72XnVRq/rOe0rLKaGZxWSKI35LwyQOFVDsYJS9+oKwrMBTkA5QUlDke2hfY3g==
0qvloe3e8srphc8r9e1pgcfddma0gb1b.fox.	900	in	nsec3	1 1 0 - 0VI3TLL2TG0MD7OCG96FJ9AE2M9RGKH1 NS DS RRSIG
0qvloe3e8srphc8r9e1pgcfddma0gb1b.fox.	900	in	rrsig	NSEC3 8 2 900 20250907084135 20250824081807 39369 fox. J4i8h5nXw5V1/5QBedHmBkOtUzhA039vfxZZjdQ+qQ/Ow9GstlpwbqmWsX22kFGmv2svPe5+APNC/QSZSR5HOPf/1TIxqQ4MZSYUVdb/68ewJeabqSUZw2bLgw0XvbwanM/AZ1HYo+jwB3ZzsyFiI0tKiPYaJNlDX2vww9ApX2YAe91/wmQQxj2qEZ02hv87H32n73aIFl6TkzaQjUXpEQ==
0vi3tll2tg0md7ocg96fj9ae2m9rgkh1.fox.	900	in	nsec3	1 1 0 - 19KG5VN2AT4MD8C1N7VKFR90UB3VR6P6 NS DS RRSIG
0vi3tll2tg0md7ocg96fj9ae2m9rgkh1.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. RVcZj/c2BoGHz/fVTdMjBdXuX4n8pH/8NIiHxNtFCf7MBmqClEX10jmz0uuA4uYUbUW276ABgP0X7lFTOVLn36WR3EoXYu6W56bl52NDh7nRLmj5sWRBtJEy9X5jZssQeCXOP5VI1aka7A0YJtytTD9wU8hg3aXU1hAR6iFu4fj8QIudKDv0cH67AMPHVYzLsjEckC7XioVN5rKU5RjWeQ==
19kg5vn2at4md8c1n7vkfr90ub3vr6p6.fox.	900	in	nsec3	1 1 0 - 1KH8C2CGSK605QMBP3GCQBU8JOT2HL5C NS DS RRSIG
19kg5vn2at4md8c1n7vkfr90ub3vr6p6.fox.	900	in	rrsig	NSEC3 8 2 900 20250907115254 20250824114845 39369 fox. X4ej6/laNRlY5Vx46CxMpjQ9UHiPGkBmZfciQmaHR1anYwNC0IkQG4cWOMqxFgdBHRXT4DCVtiAffAYKbTBv7SRFVURpPNjVNv4Xt6gfinrvfeXIsZGhMYyt1fi24kvFJlFC2yOxiWpCzdrXigbsGB01SnE2dKE/fcMZTVyn9XNIBWnU32/upDufEttlynCXIDNVD/bUjB4EBx9GmFbOzw==
