fund.	3600	in	soa	v0n0.nic.fund. hostmaster.donuts.email. 1757553276 7200 900 1209600 3600
0.fund.	3600	in	ds	64690 8 2 AC6D3CFF6E32324C924D44A7F77BFEDFCA70056A2A16B8F1816956DC8E5E039F
0.fund.	3600	in	ns	ns-cloud-e1.googledomains.com.
0.fund.	3600	in	ns	ns-cloud-e2.googledomains.com.
0.fund.	3600	in	ns	ns-cloud-e3.googledomains.com.
0.fund.	3600	in	ns	ns-cloud-e4.googledomains.com.
0.fund.	3600	in	rrsig	DS 8 2 3600 20250930154121 20250909144121 29934 fund. RU3bhaS1vc/qxzKJIRr19McQHRj75VI1lZAKYQC/4ApubKseJdGZ6/QBNXXeac220WOZDdJFseXNenbLzKFrBoLNYgVw1Nftx/e3/edG7xAjTgkM8/sqdwqs//rIb4UICWSQ/5jeJz8ZSHsANkCgTGVD3zFZCrOmOXEM2cdVejw=
00.fund.	3600	in	ns	ns09.domaincontrol.com.
00.fund.	3600	in	ns	ns10.domaincontrol.com.
001.fund.	3600	in	ns	ns1.afternic.com.
001.fund.	3600	in	ns	ns2.afternic.com.
007.fund.	3600	in	ns	ns-cloud-e1.googledomains.com.
007.fund.	3600	in	ns	ns-cloud-e2.googledomains.com.
007.fund.	3600	in	ns	ns-cloud-e3.googledomains.com.
007.fund.	3600	in	ns	ns-cloud-e4.googledomains.com.
009.fund.	3600	in	ns	ns1.dns-redirect.com.
009.fund.	3600	in	ns	ns2.dns-redirect.com.
01.fund.	3600	in	ns	ns1.vercel-dns.com.
01.fund.	3600	in	ns	ns2.vercel-dns.com.
01001101.fund.	3600	in	ns	ns53.be.
01001101.fund.	3600	in	ns	ns53.io.
0128.fund.	3600	in	ns	dns7.hichina.com.
0128.fund.	3600	in	ns	dns8.hichina.com.
013i9gccoj9il4hsfgnhtrsrv23r7tuv.fund.	3600	in	nsec3	1 1 0 73 01E0J5R1UDU336SESNSQKNGC53MRAO9I NS DS RRSIG
013i9gccoj9il4hsfgnhtrsrv23r7tuv.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. LS4TjPfTXk2b56cQubeR9wH3yYqDhEwvAyiv3Ze29Pl7Vm1BwzcS+In2VdgNAEr3gbg9VuqsSW0lajreiuM8q4kOwAIl8XWX1jsX7vzLNMEcJOJUUpAA1cQu17PjN2mtuZqhDBvNfIGZELXuLAKLoRldr/AalX9isTMYlXQr+sA=
01e0j5r1udu336sesnsqkngc53mrao9i.fund.	3600	in	nsec3	1 1 0 73 01MN6VSKCV0JFO0V32DCPGP9DFTDOTJ5 NS DS RRSIG
