furniture.	3600	in	soa	v0n0.nic.furniture. hostmaster.donuts.email. 1757638861 7200 900 1209600 3600
0001.furniture.	3600	in	ns	dns1.cafe24.co.kr.
0001.furniture.	3600	in	ns	dns1.cafe24.com.
0001.furniture.	3600	in	ns	dns2.cafe24.co.kr.
0001.furniture.	3600	in	ns	dns2.cafe24.com.
0086vmj0itu6td4cn7t0tqha4rho529r.furniture.	3600	in	nsec3	1 1 0 73 01UUJJS60I01M2SIPRBSPHQ0TUHTQTI0 NS DS RRSIG
0086vmj0itu6td4cn7t0tqha4rho529r.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. BQ6MY/pXVmtEkONngqwNAFE7V+sijN+6ecRtNsybJswwiHpov10oGMsbLIVBP0mgZquBT8BI0s8mfSmnjr7sbuzeYTxYFcAOL4ay2d+znX6Ix23srD/3msqxJfIJqHJQJwMRYCd9e3PATTHlHfg8dctAerGTrb3QL5oH2sFUuZ0=
01uujjs60i01m2siprbsphq0tuhtqti0.furniture.	3600	in	nsec3	1 1 0 73 05CQ6JF7UCIA60GQM57P8224IVSDJK0C NS DS RRSIG
01uujjs60i01m2siprbsphq0tuhtqti0.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. GdeXK8vaE7Mh1RrmTwSe+l8wmHpooKPwm7iwUCi8W122rFdZIFqRtsFr4cz8rOg6T1NrbQak7VsBJo/r1WzYnsc5riI0HqyzsSe2PpyyYKvqT4iob3V2CzYUWRQo1uxjP+z0VFep8G1Ww7wqeaTQPArpist9R0GHMWEKIY5flgw=
05cq6jf7ucia60gqm57p8224ivsdjk0c.furniture.	3600	in	nsec3	1 1 0 73 09K78C72QOT8826RJFGC9EAHA8GB3CSS NS DS RRSIG
05cq6jf7ucia60gqm57p8224ivsdjk0c.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. iW8ib1k2Q30cLBBXjlOMkHNvVW/h9OkspO+sipq0QUGExlir+AgnolMqYD8I/R9hdRyL6QGdCUMRKnkKSJQohdKkWsaOLVmgK2JL8aGrvMcHyzaZ2uipjIgW39Bjd0l0XWJOHDoVQbEX/5rfFjtVJHz+OiI4OUJXt8XKMARqoZs=
