futbol.	3600	in	soa	v0n0.nic.futbol. hostmaster.donuts.email. 1767661712 7200 900 1209600 3600
04pujlqm49rlaj2e1gkcng1vpmokmvdi.futbol.	3600	in	nsec3	1 1 0 73 05GHHTHU72ETEO3IO7LOOATIEKSBLHED NS DS RRSIG
04pujlqm49rlaj2e1gkcng1vpmokmvdi.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. z5H5WJ8Q6qMzxpLQ4wHwIYh/2aRUnI7EYWjYKi5O5Xo7bmz8jdmTH6DtFjBAYcGHyJhBB1CL0i8lCNAYd//jO3230pXL5KcKecAD4BAFa/rQNi0Zk/ucxLzmOnHb2tDrq28dy97VEA34/oDK6/2TFyXIxxQ8pmoi3Hjuy4wSYDo=
05ghhthu72eteo3io7looatieksblhed.futbol.	3600	in	nsec3	1 1 0 73 06JCHKMH7ATAOOPRDFBI8G8LPVGLDA11 NS DS RRSIG
05ghhthu72eteo3io7looatieksblhed.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. mH+Q5aHP6r1b0rlbkRWzXYY8OArfUFJKS50ObDG6uIn/PMQPjz/lgQDK33rQF3jj18XDdb8t5Qcbs5L9wt0itSUzpu79MoEgTImnAncsrnKKppq/Ah8W1B2TzUKCVgKED0YvBABJwZXY0rAFrF3uOcytwt83Dp65FdvQtZzj3b4=
06jchkmh7ataooprdfbi8g8lpvglda11.futbol.	3600	in	nsec3	1 1 0 73 0EHTNF9V1A2B4MQR6Q3C0QRBTOVIKFOP NS DS RRSIG
06jchkmh7ataooprdfbi8g8lpvglda11.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. T1c7iOf+akCeeCecktx4KR7ulDNJ4n4ZqBnzIwMTA7Qdddq5OCbUkU5QH6YbjC50RNb1E4b6S2LIamKFhcAu/m9e6kbhpLaaxtCDx3OECk8O/HNbOOPS4F7/Lyf+tD0bMFQFVZ6cqRedRKT9EMccf9BC+Igl3KpcBuuT74uibPE=
0ehtnf9v1a2b4mqr6q3c0qrbtovikfop.futbol.	3600	in	nsec3	1 1 0 73 0EV931BUSQ52PH9882GNT4SEQKGHGVHV NS DS RRSIG
0ehtnf9v1a2b4mqr6q3c0qrbtovikfop.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. wsLmhpUjheXjlidQwRJh98hUx1AFQzFaRwqfeQuHhmKnvqxIN8reXIRoLUafTqfV/5JCzlO3hED9a+lVaHFw3bHVYfUwq6kiZDUGF2dRWZU+R4v5sKqBEiUht5xceu7ULJvyZTD2ysDmcrbS0gl3t90jQJ8HKsWcRprTqUFogCs=
0ev931busq52ph9882gnt4seqkghgvhv.futbol.	3600	in	nsec3	1 1 0 73 16SU4S610EREMLP6R4UPSE20KMC06KOL NS DS RRSIG
0ev931busq52ph9882gnt4seqkghgvhv.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. URcwsAKKKn6gNbObr6ZZ3/foyUbomVXxL7ca0d/ONTVb82Y+xzGCUNR55pc6F+gduOHnAl2zHpyXSzG+du44uBmXXirteqDefzq0jAzO3KCYCG5MFsm1czAE3rSLzToDbqBDY/jhZZX8hg/if3Rd7jMKbPkK6ShAfzZhyUy4ODA=
