game.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1756253680 900 1800 6048000 3600
00.game.	3600	in	ns	ns77.domaincontrol.com.
00.game.	3600	in	ns	ns78.domaincontrol.com.
00.game.	900	in	nsec	000.game. NS RRSIG NSEC
00.game.	900	in	rrsig	NSEC 13 2 900 20250907161201 20250808144201 25267 game. Q94Vm+d9LyvUJT/HD6+T8eeT5SFhudW24ycDcDH6x3sb58FD+XToOjzgP2ATPIxKv6LuBDR9REOaU31aUh1s9Q==
000.game.	3600	in	ns	darwin.ns.cloudflare.com.
000.game.	3600	in	ns	elaine.ns.cloudflare.com.
000.game.	900	in	nsec	001.game. NS RRSIG NSEC
000.game.	900	in	rrsig	NSEC 13 2 900 20250907161201 20250808144201 25267 game. /2CdYKzhFhzev8KkTGVNNzeYM8Sa8Pv7fWMgIOPxfNQT+vqhaUC65lEPwozaBUmtwUliUbmizQBQ8edjFBEC6A==
001.game.	3600	in	ns	ns21.domaincontrol.com.
001.game.	3600	in	ns	ns22.domaincontrol.com.
001.game.	900	in	nsec	002win.game. NS RRSIG NSEC
001.game.	900	in	rrsig	NSEC 13 2 900 20250830030140 20250731013140 25267 game. lHKELnTsxQ9PTU650h9bYjsPkyzGF5cdCUJhKuE7Y6T8pAo79LmB3ONDfC98BeAEYQwyqNL6JpFaQM8dyRbrEg==
002win.game.	3600	in	ns	vip7.alidns.com.
002win.game.	3600	in	ns	vip8.alidns.com.
002win.game.	900	in	nsec	007.game. NS RRSIG NSEC
002win.game.	900	in	rrsig	NSEC 13 2 900 20250830030140 20250731013140 25267 game. C8x/OP4dz83ZeQZcvnLA8Hd0N4yv60906IuJc5xgKiEbRTNDK/XgSBz1AkfLHvq+06J1rsWNd7JRLMwI1StvqA==
007.game.	3600	in	ns	garret.ns.cloudflare.com.
007.game.	3600	in	ns	hope.ns.cloudflare.com.
007.game.	900	in	nsec	007firstlight.game. NS RRSIG NSEC
007.game.	900	in	rrsig	NSEC 13 2 900 20250920123312 20250821110312 25267 game. EAh6oIT3e+anIs017zzjLPXfxUh6E8kUQ3aKbBpAw5hk9zVdFnRJUWMB8SnaZCgTT5epQhHNSASDxcJxeUioCA==
007firstlight.game.	3600	in	ns	dns1.comlaude-dns.com.
007firstlight.game.	3600	in	ns	dns2.comlaude-dns.net.
007firstlight.game.	3600	in	ns	dns3.comlaude-dns.co.uk.
007firstlight.game.	3600	in	ns	dns4.comlaude-dns.eu.
007firstlight.game.	900	in	nsec	007firstlightgame.game. NS RRSIG NSEC
007firstlight.game.	900	in	rrsig	NSEC 13 2 900 20250921121249 20250822104249 25267 game. Ho47cnr7ZRB/PbNeQXtiX4jbJL1pSWZVU65Gg29xwvVvZMguPAoXz52tM6T80j5C5a2n4R8c6Gu5yCcIPrPcgg==
007firstlightgame.game.	3600	in	ns	dns1.comlaude-dns.com.
007firstlightgame.game.	3600	in	ns	dns2.comlaude-dns.net.
007firstlightgame.game.	3600	in	ns	dns3.comlaude-dns.co.uk.
007firstlightgame.game.	3600	in	ns	dns4.comlaude-dns.eu.
007firstlightgame.game.	900	in	nsec	007win.game. NS RRSIG NSEC
007firstlightgame.game.	900	in	rrsig	NSEC 13 2 900 20250921121249 20250822104249 25267 game. wR42kNsQ9Jj69K34E8Sf9FuSEVqzhjJ4BQFCxzOqC7MkALBA4u1sQTFqbJZHMPHBMlScMwE16TNHnRZKHSboZA==
007win.game.	3600	in	ns	ada.ns.cloudflare.com.
007win.game.	3600	in	ns	curt.ns.cloudflare.com.
007win.game.	900	in	nsec	01.game. NS RRSIG NSEC
007win.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. rB7H1D8MfCtREZ8EU6TCeb4zsw2m4LL2fOS40nPqy4RmZWzitYaltFNZhsE9HXWiOCCKBWUOteJ9dTDOC2uyuw==
01.game.	3600	in	ns	ns-1173.awsdns-18.org.
01.game.	3600	in	ns	ns-1600.awsdns-08.co.uk.
01.game.	3600	in	ns	ns-391.awsdns-48.com.
01.game.	3600	in	ns	ns-591.awsdns-09.net.
01.game.	900	in	nsec	01win.game. NS RRSIG NSEC
01.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. RID+51VJbBTncTGsXK5adNLsRZuSxg9WEzU7TldrG/VsVhJgXK6/JfGcCgySo9o1ArtS7LRd8LhXjEbpmflbHw==
01win.game.	3600	in	ns	jessica.ns.cloudflare.com.
01win.game.	3600	in	ns	jobs.ns.cloudflare.com.
01win.game.	900	in	nsec	02.game. NS RRSIG NSEC
01win.game.	900	in	rrsig	NSEC 13 2 900 20250918042621 20250819025621 25267 game. 9KudSy+TX/TMRLNcphqho5g/0EVMsDlY4xhCjAh7RQlfVaWC5DCDp45+o5ZKo920WU3uocyBjF02jvMsRfuFuA==
02.game.	3600	in	ns	aleena.ns.cloudflare.com.
02.game.	3600	in	ns	owen.ns.cloudflare.com.
02.game.	900	in	nsec	020.game. NS RRSIG NSEC
02.game.	900	in	rrsig	NSEC 13 2 900 20250918042621 20250819025621 25267 game. 3PnWwFoXMT32gYH3f7WVGx9y2CIJcoRShB2CT1LJdWVga9uuxsqZ1G+PRuo3LhKjGtEciZkgWWivF64nEK8uNQ==
020.game.	3600	in	ns	dell.ns.cloudflare.com.
020.game.	3600	in	ns	thaddeus.ns.cloudflare.com.
020.game.	900	in	nsec	03.game. NS RRSIG NSEC
020.game.	900	in	rrsig	NSEC 13 2 900 20250919071258 20250820054258 25267 game. ay5KFa6QZfTAqeDGTQy9/EeVjJDGUEz6tplSzdrzpXNlnmtv3k1OpUXMiLOBvwdU07bL5NS6XVnJtj40pNQOUw==
03.game.	3600	in	ns	ns1.dyna-ns.net.
03.game.	3600	in	ns	ns2.dyna-ns.net.
03.game.	900	in	nsec	0697.game. NS RRSIG NSEC
03.game.	900	in	rrsig	NSEC 13 2 900 20250923125447 20250824112447 25267 game. OZyLjzcijXBjMygEAp9ZNsTk9mPt4Bh5JtY2B+UHbXoXKvLk7+iwMgDh+d+uwe0zNX24L5OFAYbdvd/RWuOYsw==
0697.game.	3600	in	ns	ns67.domaincontrol.com.
0697.game.	3600	in	ns	ns68.domaincontrol.com.
0697.game.	900	in	nsec	07.game. NS RRSIG NSEC
0697.game.	900	in	rrsig	NSEC 13 2 900 20250923125447 20250824112447 25267 game. /oS0uMiOyBm3/xxXCg3eqEKIKSsWWIIgGArtLbQNboCZ0B+din5EoU4bXJNXzRFNqxMZFDUmgWW/6AtEaTYPVg==
07.game.	3600	in	ns	ns-1064.awsdns-05.org.
07.game.	3600	in	ns	ns-1789.awsdns-31.co.uk.
07.game.	3600	in	ns	ns-471.awsdns-58.com.
07.game.	3600	in	ns	ns-809.awsdns-37.net.
07.game.	900	in	nsec	077.game. NS RRSIG NSEC
07.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. /zrq7H2tGUOiHYFK94KTTougbC/h6MO62L8PKylDcxD8tyd0aVPAJINWa2w78UOPQs5ppX4bOKhLYKm81Zw1FA==
077.game.	3600	in	ns	elly.ns.cloudflare.com.
077.game.	3600	in	ns	jasper.ns.cloudflare.com.
077.game.	900	in	nsec	08.game. NS RRSIG NSEC
077.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. ViGieV+crNDzF1bdnt220TufOhlw0MSUelDmq8JHHC+2kiXJQfBNUBhSlmveEWQZ6cdt/PgPEMs+VhIzVqn17A==
08.game.	3600	in	ns	ns-1113.awsdns-11.org.
08.game.	3600	in	ns	ns-1652.awsdns-14.co.uk.
08.game.	3600	in	ns	ns-191.awsdns-23.com.
