garden.	900	in	soa	a.nic.garden. admin.tldns.godaddy. 1757530672 1800 300 604800 1800
0.garden.	3600	in	ns	ns43.domaincontrol.com.
0.garden.	3600	in	ns	ns44.domaincontrol.com.
0000.garden.	3600	in	ds	781 13 2 85BC0290712555C4AE918B2F0B85CA915B12B5DED0749CFE74C2F307780F5533
0000.garden.	3600	in	ns	ns1.greenhost.nl.
0000.garden.	3600	in	ns	ns2.greenhost.net.
0000.garden.	3600	in	ns	ns3.greenhost.nl.
0000.garden.	3600	in	rrsig	DS 8 2 3600 20250920215610 20250906210653 7590 garden. gm+VJs4zf2PZpW9zeKk4PeA1jsUI4esJo/iiZLZyn18MfjUfvKIgGNvoamTo3Aq0Fh6EV/PGBu85dcDh1CQIypjrBs7l8D1ZruTX3Jgy3ulIcTCEyaGkKWPFYcI7py8w9Zaer1pXPfkZ6y1ZO04fPt5R3vn8SQ0wHruf3unAFAZ8BXRqd0YusHDctn/EY6s0J3Uyiyp/yR2p0Ae7RWTspw==
0001.garden.	3600	in	ds	181 13 2 FA35EC1EDF4FD54033BC30628DF0405C3B2C1051AE85AD061A056F3A9F6A1783
0001.garden.	3600	in	ns	ns1.greenhost.nl.
0001.garden.	3600	in	ns	ns2.greenhost.net.
0001.garden.	3600	in	ns	ns3.greenhost.nl.
0001.garden.	3600	in	rrsig	DS 8 2 3600 20250920215610 20250906210653 7590 garden. u3Crk8jYCWLM1pICXrFd8IsLokj4xyqM5pqlUu+GmEPmaKkmbXOAiA2r13g21FKL/5oHfPpmE/dQKEJgc/sFVdtmLPDjuvRBWOa68fLNcB2bgvFwW/dPNHmif3FGJy8oMc26X7InVUWJPVUlsadLioGt0AigCY2bhvhMCvVQn9vXIUwbnkx/QcTVVLluUx+O5KuCxdBBE2aX8GElkB2uiA==
03ah0eiikrj69sm37lht76t0t2ioh1tn.garden.	900	in	nsec3	1 1 0 - 06H76F8K0FSPACNEMJ6F1D8K9DB44R2Q NS DS RRSIG
