gay.	900	in	soa	a.nic.gay. admin.tldns.godaddy. 1767660308 1800 300 604800 1800
0-1.gay.	3600	in	ns	sue.ns.cloudflare.com.
0-1.gay.	3600	in	ns	yadiel.ns.cloudflare.com.
0-g.gay.	3600	in	ns	dns1.registrar-servers.com.
0-g.gay.	3600	in	ns	dns2.registrar-servers.com.
000.gay.	3600	in	ds	11150 13 2 02A1F374F6A3253864DA8E2AB0A06D016F026983B1EAF6C7C250F0F6197233F1
000.gay.	3600	in	ns	launch1.spaceship.net.
000.gay.	3600	in	ns	launch2.spaceship.net.
000.gay.	3600	in	rrsig	DS 8 2 3600 20260117174438 20260103170218 36750 gay. VAWzelADwiL9vCCFia1dTec5g4VpEaHE0s8b41pvTiFAjTxJ/Y76IkoZHBi3eJJMKYqSAyFSoNp4w2IfhgKwybEI9rvXqL72zkpIm6yabJ4QtJVZkRiMQi0NbDF/LuorCff8oA2i4cOu5x8z9kaVIYsqAy2aHxNVKObaRSrOd9GOOqyOaORhK8Us47vNIVga/gzaDIOf2VKM8E85TomIIg==
0000.gay.	3600	in	ds	27414 13 2 6456DEDD1ABCB3342F77D8DCB4E51976E917F479B2AF3973FA61DBEB9C837E81
0000.gay.	3600	in	ns	launch1.spaceship.net.
0000.gay.	3600	in	ns	launch2.spaceship.net.
0000.gay.	3600	in	rrsig	DS 8 2 3600 20260116055027 20260102045327 36750 gay. OTW4w5nAxVXoEqMwE0ORl/VHdT+/sgwJZxfHGaY4lnI7br/Q3qos8ryF0+1sxlGeoVp2ijEHocWdLdy/fJN24rvC8BFJt6S3YVyKvLzCIo90hMuIh5Sefn4c09Lx5NnPbu7h8D1f+WEfNUsY4LhToY8TotQH17Dq5P0JP0QyMxtqCDqFWj5e/f6LYxWfbUiTK6tmlVItIE7ANHW+Gl7vCA==
000000000000000000000000000000000000000000000000000000000000000.gay.	3600	in	ns	curitiba.ns.porkbun.com.
000000000000000000000000000000000000000000000000000000000000000.gay.	3600	in	ns	fortaleza.ns.porkbun.com.
000000000000000000000000000000000000000000000000000000000000000.gay.	3600	in	ns	maceio.ns.porkbun.com.
000000000000000000000000000000000000000000000000000000000000000.gay.	3600	in	ns	salvador.ns.porkbun.com.
003lnsbk6a07nieosr8ggcucoci9hsiv.gay.	900	in	nsec3	1 1 0 - 020HR3UJCQF4KTO0235T376H7J1KNICQ NS DS RRSIG
003lnsbk6a07nieosr8ggcucoci9hsiv.gay.	900	in	rrsig	NSEC3 8 2 900 20260119055132 20260105054039 36750 gay. st4hOqU5GgDqO64XHjpN44x3r5dug2rg44B2NdnBVFpcVFEDPlNY4Djn1OUB1Xu3doOIIa+AuF0S6v/gVCbrGCb6gSzEkTQaH6ZkuMb6MPB1cRytzNZ0cHucZBsvgOWL9IRmZLsIVFCf9QvFtkgP8O9Eg5V6SF24Bqn/0de5FKzVWWPmK2QmN8Y7VykE9XCA20V6VV6NS+5P2ercD2mEFA==
00luna.gay.	3600	in	ns	curitiba.ns.porkbun.com.
00luna.gay.	3600	in	ns	fortaleza.ns.porkbun.com.
00luna.gay.	3600	in	ns	maceio.ns.porkbun.com.
00luna.gay.	3600	in	ns	salvador.ns.porkbun.com.
00video.gay.	3600	in	ns	ns1.afternic.com.
00video.gay.	3600	in	ns	ns2.afternic.com.
01.gay.	3600	in	ns	ns1.alidns.com.
01.gay.	3600	in	ns	ns2.alidns.com.
