gent.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 159316 900 1800 6048000 3600
001imhnasa0s2m31phv4vmnun2mg9uih.gent.	900	in	nsec3	1 1 0 - 00EA17PG6M71CA8O1KVT1J3L417H6KT5 NS DS RRSIG
001imhnasa0s2m31phv4vmnun2mg9uih.gent.	900	in	rrsig	NSEC3 13 2 900 20260120102015 20251221085015 48473 gent. Jqpu/Fs3K2FMhkd2mpSKD4UOv/RKq/PaKzCO4+0brbEHAgDTNnSdSBa9iDLlgVZ1p391V9oWmqDWaSzDpMyVqw==
00ea17pg6m71ca8o1kvt1j3l417h6kt5.gent.	900	in	nsec3	1 1 0 - 00UPBU03HSQUI7DVEC7QKALG0JJDLFOJ NS DS RRSIG
00ea17pg6m71ca8o1kvt1j3l417h6kt5.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. S2w5r9sj7rKsj6by7FdManDCxPV9vIy//4Xc4coLbIOsHpjYsGEhI1ewOn54qmYVwYbJqarAMkoixKuMKHeLug==
00upbu03hsqui7dvec7qkalg0jjdlfoj.gent.	900	in	nsec3	1 1 0 - 02QLEECMR5SOKPIRMAJSND24CTPQ3I6J NS DS RRSIG
00upbu03hsqui7dvec7qkalg0jjdlfoj.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. USiSVXUruTNzlo9SGywoppj0Hzhm42ecaszzSPkDaSRJO9HFc6QxXl5Kb4T2uhMm5D+SnLZI6mo5Ol+cyW/iFA==
019.gent.	3600	in	ds	57262 13 2 70A6441C757904CD6D5BE0BBEB9B1AC21F51FAC8A944B3FE326D0C18C0EA760F
019.gent.	3600	in	ns	ns3.combell.net.
019.gent.	3600	in	ns	ns4.combell.net.
019.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. IG/0xuCAPTh1NzTIcrXgwRrX7n//cFQJrFf4NXF2S+XvwMYZKE83g1gRonn7p+LTLybGQV8AE7AgqpoBqNHOgg==
02qleecmr5sokpirmajsnd24ctpq3i6j.gent.	900	in	nsec3	1 1 0 - 03E5P5ND44GSU22I51UGLB36T5MJ51R6 NS DS RRSIG
02qleecmr5sokpirmajsnd24ctpq3i6j.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. r74oJ7iNdEXjuXHfYqwHsHGK8ua8l7QCRRT1gQrIxGkhxJi12J/qgPCIrC3gJnraMaIzDvRMPa0o3t70N6PGIQ==
03e5p5nd44gsu22i51uglb36t5mj51r6.gent.	900	in	nsec3	1 1 0 - 03MFQD6TSFKPSNMM6TOC0IPQVJ09VBPQ NS DS RRSIG
03e5p5nd44gsu22i51uglb36t5mj51r6.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. tD5GjQDgHV6fWI0kfILMnVsYlt59WnrJufqnR8Y14qHsHfjEk3r9eTBRAXwVxuCZRSvOhEHZR3TNA9InV0n9YQ==
03mfqd6tsfkpsnmm6toc0ipqvj09vbpq.gent.	900	in	nsec3	1 1 0 - 05FULC27C024EMI6UE9T0RLELBTV8JCB NS DS RRSIG
03mfqd6tsfkpsnmm6toc0ipqvj09vbpq.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. 8BevAwu/7Zbtevp6Eo6w+HiSGcOfeW03gDGdAtDJ5wUVkughHhS3QbGa/nD2h87MuCgbuZEMwShv4TU2CIRNxQ==
05fulc27c024emi6ue9t0rlelbtv8jcb.gent.	900	in	nsec3	1 1 0 - 08SL0RTM0FOEO384453EPQ6LVGUS3CTU NS DS RRSIG
05fulc27c024emi6ue9t0rlelbtv8jcb.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. xTuCiTX2UFOTtYUNMh3Ao6wWIZgA1ouH+130nzAlE4oQJO6Yg07CvRu0BzsLqTlxRzT+FZLTwbwRp2EKckpkpg==
08sl0rtm0foeo384453epq6lvgus3ctu.gent.	900	in	nsec3	1 1 0 - 0924D4FHK35NTBHFLRV8SRCCO8VMN2JH NS DS RRSIG
08sl0rtm0foeo384453epq6lvgus3ctu.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. a7jw5Vp3Q8oOln9i2WvUyrUgaLTEnqHodU1msSHt/J+ven5rMUlx7NqdTe6+39h2PCo6mcS5JxE+IaewsJvKQA==
0924d4fhk35ntbhflrv8srcco8vmn2jh.gent.	900	in	nsec3	1 1 0 - 09ECAK6OUA3LH8F55DA0KBKCHG1VO90R NS DS RRSIG
0924d4fhk35ntbhflrv8srcco8vmn2jh.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. KTymEvUVznW5oqkdqgiB2LAzSnQrYfN+CqMlNmXNxzNkE+urBq+hcYj4+neh+4tFCvY+nSYCxsudrKIlCScI4A==
09ecak6oua3lh8f55da0kbkchg1vo90r.gent.	900	in	nsec3	1 1 0 - 09ESRQP0ARCHGDQ9ROLLFEE46QAVOMHP NS DS RRSIG
09ecak6oua3lh8f55da0kbkchg1vo90r.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. Z8DLa0GwKhSUAkZqgYcPkarQjv651Ias4lUWy2S5qjdthjHHvMBECAKr6nRfT/cpn6rBzF3z9focQoBFUwdeCA==
09esrqp0archgdq9rollfee46qavomhp.gent.	900	in	nsec3	1 1 0 - 0ALNDQN6SVTO0J42A8C393JQMKPC5GT8 NS DS RRSIG
